Composition,
Date Added,2015-03-28
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,800
Sample Name,"LAP031047,10a powder <125 um"
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,Impact melt study
Sample ID,BIR1MT185A2
Original Sample ID,MT-A1W-185-A2
Viewing Geometry,
Wavelength,Response
799.9,79.13
800.0,79.34
800.2,78.66
800.3,79.17
800.4,80.96
800.5,80.25
800.7,79.12
800.8,79.4
800.9,79.47
801.0,78.28
801.2,78.63
801.3,78.75
801.4,78.62
801.5,78.97
801.6,78.62
801.8,78.61
801.9,79.11
802.0,78.72
802.1,78.16
802.3,78.2
802.4,78.26
802.5,78.86
802.6,80.18
802.8,79.62
802.9,78.92
803.0,78.7
803.1,78.58
803.3,77.79
803.4,78.68
803.5,77.59
803.6,76.1
803.8,76.98
803.9,77.29
804.0,76.54
804.1,76.53
804.3,77.85
804.4,78.84
804.5,77.31
804.6,75.73
804.8,77.36
804.9,77.12
805.0,76.04
805.1,76.87
805.3,77.59
805.4,77.43
805.5,77.99
805.6,77.99
805.8,77.15
805.9,76.83
806.0,76.47
806.1,77.79
806.3,78.07
806.4,77.67
806.5,78.43
806.6,79.41
806.8,79.51
806.9,78.85
807.0,77.95
807.1,78.21
807.3,77.61
807.4,77.67
807.5,77.09
807.6,77.27
807.8,78.08
807.9,78.11
808.0,76.73
808.1,77.09
808.3,78.59
808.4,77.81
808.5,77.19
808.6,76.9
808.8,77.38
808.9,76.96
809.0,77.23
809.2,77.53
809.3,76.8
809.4,77.12
809.5,77.21
809.7,76.87
809.8,76.75
809.9,78.08
810.0,78.71
810.2,77.86
810.3,77.22
810.4,76.61
810.5,76.32
810.7,76.84
810.8,77.88
810.9,77.22
811.0,76.42
811.2,76.96
811.3,77.19
811.4,77.93
811.5,78.02
811.7,76.72
811.8,76.6
811.9,77.0
812.1,76.51
812.2,75.44
812.3,75.51
812.4,76.81
812.6,76.95
812.7,75.55
812.8,74.85
813.0,75.14
813.1,75.81
813.2,77.03
813.3,76.92
813.5,76.64
813.6,75.8
813.7,75.52
813.8,76.08
814.0,75.96
814.1,74.88
814.2,75.62
814.4,76.59
814.5,76.46
814.6,76.51
814.7,76.28
814.9,77.41
815.0,77.76
815.1,76.32
815.3,76.04
815.4,75.5
815.5,74.76
815.6,74.17
815.8,75.08
815.9,76.32
816.0,76.18
816.2,75.44
816.3,76.42
816.4,76.19
816.5,75.31
816.7,77.15
816.8,78.04
816.9,76.48
817.0,75.61
817.2,75.68
817.3,76.48
817.4,76.28
817.6,75.72
817.7,75.6
817.8,75.9
818.0,76.52
818.1,76.15
818.2,75.39
818.3,74.74
818.5,74.74
818.6,75.51
818.7,74.89
818.9,74.21
819.0,74.74
819.1,75.97
819.3,75.13
819.4,74.6
819.5,74.58
819.6,74.84
819.8,74.77
819.9,75.35
820.0,76.31
820.2,75.8
820.3,75.21
820.4,75.1
820.5,75.27
820.7,74.42
820.8,73.85
820.9,74.57
821.1,74.99
821.2,75.2
821.3,75.59
821.5,75.6
821.6,75.26
821.7,74.96
821.8,75.19
822.0,75.44
822.1,75.17
822.2,75.57
822.4,76.15
822.5,77.17
822.6,76.84
822.8,75.49
822.9,74.32
823.0,73.04
823.2,72.93
823.3,74.36
823.4,74.31
823.5,74.51
823.7,75.88
823.8,76.93
823.9,75.79
824.1,74.4
824.2,75.23
824.3,75.55
824.5,74.02
824.6,73.77
824.7,74.17
824.8,73.38
825.0,74.14
825.1,74.98
825.3,74.72
825.4,74.48
825.5,74.92
825.6,74.4
825.8,73.59
825.9,74.05
826.0,74.61
826.2,74.12
826.3,73.46
826.4,73.28
826.6,72.67
826.7,72.92
826.8,73.79
827.0,73.77
827.1,72.54
827.2,71.84
827.3,72.79
827.5,74.06
827.6,74.79
827.8,74.81
827.9,74.21
828.0,74.15
828.2,73.78
828.3,73.36
828.4,73.77
828.5,74.53
828.7,74.51
828.8,74.2
828.9,72.6
829.1,72.29
829.2,72.72
829.3,73.52
829.5,73.23
829.6,72.01
829.7,72.43
829.9,72.41
830.0,72.0
830.1,72.62
830.3,73.72
830.4,73.65
830.5,73.08
830.7,72.78
830.8,73.79
830.9,73.64
831.1,72.82
831.2,72.97
831.3,72.65
831.5,73.57
831.6,74.74
831.7,73.76
831.9,73.07
832.0,72.63
832.1,72.68
832.3,72.05
832.4,71.59
832.5,73.18
832.7,73.44
832.8,72.67
832.9,73.0
833.1,71.91
833.2,71.23
833.3,71.83
833.5,71.52
833.6,72.68
833.7,73.22
833.9,72.39
834.0,71.76
834.1,71.77
834.3,72.0
834.4,71.82
834.5,72.35
834.7,73.16
834.8,72.15
835.0,71.47
835.1,72.16
835.2,73.07
835.3,72.98
835.5,72.46
835.6,72.75
835.8,72.24
835.9,72.31
836.0,72.29
836.2,71.63
836.3,71.84
836.4,72.6
836.6,72.7
836.7,72.64
836.8,73.29
837.0,72.39
837.1,70.53
837.2,70.67
837.4,73.08
837.5,73.84
837.6,72.95
837.8,72.77
837.9,71.87
838.0,71.85
838.2,72.1
