Composition,
Date Added,2005-07-12
Formula,
Grain Size Description,<63.0um
Grain Size,0.0 - 63.0
Locality,
Minimum Wavelength,1000
Sample Name,"Serpentine #2370 Vial A Large fragments, ground into <63 um"
Maximum Wavelength,4762
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,Impact dehydration study (NASA Origins / PGG)
Sample ID,BNR1SR080A
Original Sample ID,SR-ASR-080-A
Viewing Geometry,
Wavelength,Response
1000.0,296.17
1000.2,296.2
1000.4,296.19
1000.6,296.09
1000.8,296.13
1001.0,296.2
1001.2,296.24
1001.4,296.2
1001.6,296.13
1001.8,296.14
1001.9,296.03
1002.1,296.08
1002.3,296.18
1002.5,296.12
1002.7,296.15
1002.9,296.23
1003.1,296.27
1003.3,296.28
1003.5,296.27
1003.7,296.24
1003.9,296.18
1004.1,296.2
1004.3,296.21
1004.5,296.18
1004.7,296.17
1004.9,296.23
1005.0,296.12
1005.3,296.04
1005.4,296.07
1005.6,296.06
1005.8,296.0
1006.0,296.04
1006.2,296.01
1006.4,296.01
1006.6,296.01
1006.8,295.97
1007.0,295.95
1007.2,295.98
1007.4,295.99
1007.6,296.07
1007.8,296.17
1008.0,296.2
1008.2,296.18
1008.4,296.1
1008.6,296.06
1008.8,296.07
1009.0,296.0
1009.2,295.9
1009.4,295.97
1009.5,296.0
1009.8,295.96
1010.0,296.05
1010.1,296.1
1010.3,296.09
1010.5,296.03
1010.7,296.03
1010.9,296.06
1011.1,295.93
1011.3,295.86
1011.5,295.93
1011.7,296.0
1011.9,295.98
1012.1,295.89
1012.3,295.87
1012.5,295.92
1012.7,295.97
1012.9,296.02
1013.1,295.96
1013.3,295.85
1013.5,295.84
1013.7,295.86
1013.9,295.86
1014.1,295.78
1014.3,295.74
1014.5,295.86
1014.7,295.91
1014.9,295.87
1015.1,295.83
1015.3,295.7
1015.5,295.76
1015.7,295.85
1015.9,295.9
1016.1,295.93
1016.3,295.89
1016.5,295.8
1016.7,295.72
1016.9,295.68
1017.1,295.71
1017.3,295.78
1017.5,295.86
1017.7,295.83
1017.9,295.8
1018.1,295.81
1018.3,295.77
1018.5,295.69
1018.7,295.7
1018.9,295.69
1019.1,295.75
1019.3,295.75
1019.5,295.67
1019.7,295.72
1019.9,295.77
1020.1,295.78
1020.3,295.81
1020.5,295.67
1020.7,295.56
1020.9,295.62
1021.1,295.69
1021.3,295.68
1021.5,295.76
1021.7,295.83
1021.9,295.81
1022.1,295.69
1022.3,295.67
1022.5,295.73
1022.7,295.64
1022.9,295.56
1023.1,295.54
1023.3,295.48
1023.5,295.59
1023.7,295.56
1023.9,295.61
1024.1,295.67
1024.3,295.75
1024.5,295.85
1024.7,295.73
1024.9,295.63
1025.1,295.67
1025.3,295.72
1025.5,295.67
1025.7,295.72
1025.9,295.73
1026.1,295.64
1026.3,295.57
1026.5,295.58
1026.8,295.54
1026.9,295.43
1027.2,295.42
1027.4,295.37
1027.6,295.33
1027.8,295.34
1028.0,295.35
1028.2,295.42
1028.4,295.53
1028.6,295.55
1028.8,295.48
1029.0,295.38
1029.2,295.37
1029.4,295.33
1029.6,295.23
1029.8,295.27
1030.0,295.37
1030.2,295.4
1030.4,295.4
1030.6,295.44
1030.8,295.52
1031.0,295.43
1031.2,295.36
1031.4,295.4
1031.7,295.39
1031.8,295.35
1032.1,295.32
1032.3,295.27
1032.5,295.26
1032.7,295.33
1032.9,295.28
1033.1,295.21
1033.3,295.17
1033.5,295.23
1033.7,295.26
1033.9,295.24
1034.1,295.21
1034.3,295.26
1034.5,295.31
1034.7,295.3
1034.9,295.19
1035.2,295.1
1035.4,295.19
1035.6,295.22
1035.8,295.21
1036.0,295.14
1036.2,295.21
1036.4,295.22
1036.6,295.19
1036.8,295.16
1037.0,295.21
1037.2,295.26
1037.4,295.14
1037.6,295.09
1037.8,295.12
1038.1,295.2
1038.3,295.18
1038.5,295.05
1038.7,295.05
1038.9,295.05
1039.1,294.99
1039.3,294.95
1039.5,295.01
1039.7,295.18
1039.9,295.03
1040.1,294.93
1040.3,295.01
1040.6,294.99
1040.8,295.0
1041.0,295.05
1041.2,295.02
1041.4,294.99
1041.6,294.94
1041.8,294.95
1042.0,295.06
1042.2,295.1
1042.4,294.99
1042.6,294.91
1042.8,294.92
1043.1,294.9
1043.3,294.85
1043.5,294.77
1043.7,294.89
1043.9,294.99
1044.1,294.93
1044.3,294.92
1044.5,294.93
1044.8,294.86
1045.0,294.79
1045.2,294.8
1045.4,294.81
1045.6,294.74
1045.8,294.72
1046.0,294.84
1046.2,294.95
1046.4,295.0
1046.6,294.99
1046.9,294.98
1047.1,295.07
1047.3,295.04
1047.5,294.87
1047.7,294.71
1047.9,294.7
1048.1,294.81
1048.3,294.78
1048.6,294.74
1048.8,294.74
1049.0,294.77
1049.2,294.71
1049.4,294.65
1049.6,294.65
1049.8,294.65
1050.0,294.7
1050.3,294.71
1050.5,294.73
1050.7,294.66
1050.9,294.66
1051.1,294.62
1051.3,294.5
1051.5,294.63
1051.7,294.72
1051.9,294.57
1052.2,294.53
1052.4,294.59
1052.6,294.6
1052.8,294.67
1053.0,294.63
1053.2,294.53
1053.4,294.62
1053.7,294.67
1053.9,294.66
1054.1,294.69
1054.3,294.7
1054.5,294.59
1054.7,294.51
1054.9,294.53
1055.2,294.55
1055.4,294.51
1055.6,294.54
1055.8,294.48
1056.0,294.55
1056.2,294.53
1056.4,294.39
1056.7,294.39
1056.9,294.44
1057.1,294.45
1057.3,294.42
1057.5,294.39
1057.8,294.44
1058.0,294.43
1058.2,294.45
1058.4,294.5
1058.6,294.46
1058.8,294.43
1059.0,294.41
1059.3,294.35
1059.5,294.44
1059.7,294.47
1059.9,294.53
1060.1,294.59
1060.3,294.47
1060.6,294.36
1060.8,294.3
1061.0,294.37
1061.2,294.37
1061.4,294.33
1061.7,294.29
1061.9,294.35
1062.1,294.36
1062.3,294.26
1062.5,294.34
1062.7,294.33
1062.9,294.28
1063.2,294.2
1063.4,294.16
1063.6,294.13
1063.8,294.15
1064.0,294.26
1064.3,294.33
1064.5,294.31
1064.7,294.3
1064.9,294.26
1065.1,294.17
1065.3,294.17
1065.6,294.21
1065.8,294.24
1066.0,294.2
1066.2,294.17
1066.4,294.15
1066.7,294.09
1066.9,294.13
1067.1,294.16
1067.3,294.21
1067.6,294.24
1067.8,294.12
1068.0,294.07
1068.2,294.09
1068.4,294.11
1068.7,294.13
1068.9,294.15
1069.1,294.17
1069.3,294.19
1069.5,294.15
1069.8,294.09
1070.0,294.11
1070.2,294.07
1070.4,294.05
1070.6,294.16
1070.8,294.14
1071.1,294.09
1071.3,294.15
1071.5,294.24
1071.7,294.18
1072.0,294.07
1072.2,293.97
1072.4,294.03
1072.6,294.1
1072.8,294.1
1073.1,294.13
1073.3,294.1
1073.5,293.98
1073.7,294.01
1074.0,294.06
1074.2,293.99
1074.4,293.93
1074.6,293.92
1074.8,294.0
1075.1,294.06
1075.3,294.06
1075.5,293.99
1075.7,293.93
1076.0,293.99
1076.2,294.03
1076.4,294.06
1076.6,294.08
1076.9,293.97
1077.1,293.88
1077.3,293.95
1077.5,294.05
1077.8,294.03
1078.0,294.02
1078.2,294.05
1078.4,293.99
1078.7,293.97
1078.9,293.96
1079.1,293.95
1079.3,293.96
1079.6,293.88
1079.8,293.79
1080.0,293.79
1080.2,293.86
1080.4,293.85
1080.7,293.81
1080.9,293.74
1081.1,293.7
1081.3,293.78
1081.6,293.85
1081.8,293.86
1082.0,293.82
1082.3,293.85
1082.5,293.83
1082.7,293.81
1082.9,293.85
1083.2,293.89
1083.4,293.89
1083.6,293.84
1083.8,293.84
1084.1,293.87
1084.3,293.9
1084.5,293.92
1084.8,293.88
1085.0,293.79
1085.2,293.76
1085.4,293.82
1085.7,293.83
1085.9,293.79
1086.1,293.72
1086.3,293.67
1086.6,293.73
1086.8,293.74
1087.0,293.71
1087.3,293.64
1087.5,293.59
1087.7,293.62
1087.9,293.7
1088.2,293.73
1088.4,293.73
1088.6,293.69
1088.8,293.68
1089.1,293.69
1089.3,293.67
1089.5,293.66
1089.8,293.63
1090.0,293.65
1090.2,293.66
1090.4,293.64
1090.7,293.63
1090.9,293.65
1091.1,293.66
1091.4,293.6
1091.6,293.59
1091.8,293.65
1092.1,293.68
1092.3,293.68
1092.5,293.59
1092.8,293.57
1093.0,293.6
1093.2,293.59
1093.4,293.57
1093.7,293.63
1093.9,293.67
1094.1,293.68
1094.4,293.64
1094.6,293.52
1094.8,293.53
1095.1,293.58
1095.3,293.56
1095.5,293.49
1095.8,293.53
1096.0,293.6
1096.2,293.56
1096.4,293.59
1096.7,293.63
1096.9,293.62
1097.1,293.57
1097.4,293.56
1097.6,293.6
1097.8,293.53
1098.1,293.42
1098.3,293.5
1098.5,293.6
1098.8,293.59
1099.0,293.57
1099.2,293.56
1099.5,293.54
1099.7,293.53
1099.9,293.54
1100.2,293.56
1100.4,293.54
1100.6,293.53
1100.9,293.55
1101.1,293.56
1101.3,293.49
1101.6,293.47
1101.8,293.51
1102.0,293.58
1102.3,293.59
1102.5,293.55
1102.7,293.5
1103.0,293.48
1103.2,293.54
1103.4,293.54
1103.7,293.56
1103.9,293.54
1104.2,293.57
1104.4,293.57
1104.6,293.5
1104.9,293.5
1105.1,293.52
1105.3,293.48
1105.6,293.52
1105.8,293.59
1106.0,293.61
1106.3,293.55
1106.5,293.53
1106.7,293.53
1107.0,293.49
1107.2,293.47
1107.4,293.46
1107.7,293.51
1107.9,293.52
1108.2,293.5
1108.4,293.5
1108.6,293.55
1108.9,293.54
1109.1,293.51
1109.3,293.52
1109.6,293.51
1109.8,293.51
1110.1,293.53
1110.3,293.51
1110.5,293.44
1110.8,293.4
1111.0,293.48
1111.3,293.53
1111.5,293.55
1111.7,293.57
1112.0,293.51
1112.2,293.45
1112.4,293.45
1112.7,293.51
1112.9,293.46
1113.2,293.43
1113.4,293.47
1113.6,293.47
1113.9,293.43
1114.1,293.45
1114.3,293.46
1114.6,293.43
1114.8,293.44
1115.1,293.52
1115.3,293.53
1115.6,293.44
1115.8,293.43
1116.0,293.46
1116.3,293.43
1116.5,293.46
1116.8,293.51
1117.0,293.52
1117.2,293.51
1117.5,293.48
1117.7,293.46
1118.0,293.42
1118.2,293.41
1118.4,293.44
1118.7,293.48
1118.9,293.5
1119.2,293.48
1119.4,293.41
1119.7,293.42
1119.9,293.4
1120.1,293.41
1120.4,293.47
1120.6,293.45
1120.9,293.42
1121.1,293.43
1121.3,293.47
1121.6,293.48
1121.8,293.56
1122.1,293.56
1122.3,293.52
1122.6,293.5
1122.8,293.51
1123.0,293.49
1123.3,293.47
1123.5,293.49
1123.8,293.48
1124.0,293.47
1124.3,293.49
1124.5,293.5
1124.8,293.46
1125.0,293.41
1125.2,293.43
1125.5,293.46
1125.7,293.52
1126.0,293.51
1126.2,293.48
1126.5,293.55
1126.7,293.57
1126.9,293.51
1127.2,293.46
1127.4,293.49
1127.7,293.51
1127.9,293.48
1128.2,293.47
1128.4,293.51
1128.7,293.5
1128.9,293.54
1129.2,293.56
1129.4,293.53
1129.7,293.5
1129.9,293.52
1130.1,293.5
1130.4,293.52
1130.6,293.52
1130.9,293.52
1131.1,293.55
1131.4,293.47
1131.6,293.47
1131.9,293.55
1132.1,293.54
1132.4,293.55
1132.6,293.6
1132.9,293.58
1133.1,293.53
1133.3,293.52
1133.6,293.52
1133.8,293.55
1134.1,293.56
1134.3,293.54
1134.6,293.56
1134.8,293.55
