Composition,
Date Added,2009-06-23
Formula,
Grain Size Description,<150.0um
Grain Size,"(0.0, 150.0)"
Locality,Iceland
Minimum Wavelength,800
Sample Name,Wtrfall016C <150 um
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Altered Basalt
References,
Resolution,4.0
Material class,Rock
Sample Description,"Earth analogues for hydrothermal enviornments seen by CRISM (Active missions, Student)"
Sample ID,BIR1BE126
Original Sample ID,BE-JFM-126
Viewing Geometry,unknown
Wavelength,Response
799.9,0.40014
800.0,0.40015
800.2,0.39918
800.3,0.40084
800.4,0.40282
800.5,0.40211
800.7,0.40154
800.8,0.40136
800.9,0.40178
801.0,0.40132
801.1,0.39993
801.3,0.40081
801.4,0.402
801.5,0.40195
801.6,0.4024
801.8,0.40285
801.9,0.40278
802.0,0.40225
802.1,0.40188
802.3,0.40036
802.4,0.40028
802.5,0.40097
802.6,0.39976
802.8,0.39956
802.9,0.40034
803.0,0.40119
803.1,0.40154
803.3,0.40185
803.4,0.40221
803.5,0.40205
803.6,0.40106
803.8,0.40102
803.9,0.40087
804.0,0.40026
804.1,0.40006
804.3,0.39987
804.4,0.39956
804.5,0.40014
804.6,0.3992
804.8,0.39983
804.9,0.40207
805.0,0.40261
805.1,0.40085
805.3,0.40127
805.4,0.40172
805.5,0.4005
805.6,0.40067
805.8,0.40179
805.9,0.40205
806.0,0.40176
806.1,0.4017
806.3,0.40158
806.4,0.40137
806.5,0.40148
806.6,0.40221
806.8,0.40256
806.9,0.40305
807.0,0.40225
807.1,0.40143
807.3,0.40203
807.4,0.40205
807.5,0.40225
807.6,0.40086
807.8,0.39918
807.9,0.39974
808.0,0.40143
808.1,0.40199
808.3,0.40176
808.4,0.40121
808.5,0.40041
808.6,0.40127
808.8,0.40166
808.9,0.40012
809.0,0.40049
809.2,0.40397
809.3,0.40444
809.4,0.40302
809.5,0.40237
809.7,0.40194
809.8,0.40151
809.9,0.40081
810.0,0.40022
810.2,0.40058
810.3,0.40145
810.4,0.40145
810.5,0.40258
810.7,0.40341
810.8,0.40217
810.9,0.40176
811.0,0.40207
811.2,0.40168
811.3,0.40187
811.4,0.40268
811.5,0.40233
811.7,0.40217
811.8,0.40122
811.9,0.40121
812.1,0.40294
812.2,0.4044
812.3,0.40287
812.4,0.40145
812.6,0.4009
812.7,0.40076
812.8,0.40146
813.0,0.40202
813.1,0.40188
813.2,0.40313
813.3,0.40244
813.5,0.40215
813.6,0.40208
