Composition,
Date Added,2008-05-28
Formula,
Grain Size Description,<75.0um
Grain Size,(45.0 - 75.0)
Locality,
Minimum Wavelength,280
Sample Name,5% NG-1b 45-75 + 95% OLV-SCb 45-75
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Nontronite Olivine
References,
Resolution,5.0
Material class,Mixture
Sample Description,"Reflectance spectra unmixing of hydrated and mafic minerals (PGG, MDAP, Active missions, Student)"
Sample ID,C1BE35
Original Sample ID,BE-JFM-035
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
280.0,0.08732
285.0,0.08618
290.0,0.08884
295.0,0.09245
300.0,0.09702
305.0,0.10381
310.0,0.11277
315.0,0.12493
320.0,0.13999
325.0,0.15803
330.0,0.17771
335.0,0.20013
340.0,0.22421
345.0,0.24643
350.0,0.26749
355.0,0.28782
360.0,0.30606
365.0,0.32099
370.0,0.33297
375.0,0.34226
380.0,0.35026
385.0,0.35675
390.0,0.36342
395.0,0.37011
400.0,0.37608
405.0,0.38432
410.0,0.39323
415.0,0.39868
420.0,0.40248
425.0,0.40632
430.0,0.40883
435.0,0.41294
440.0,0.41695
445.0,0.41829
450.0,0.41928
455.0,0.42289
460.0,0.43033
465.0,0.43895
470.0,0.44766
475.0,0.4616
480.0,0.47644
485.0,0.48444
490.0,0.49138
495.0,0.49786
500.0,0.5106
505.0,0.52346
510.0,0.5327
515.0,0.5401
520.0,0.54724
525.0,0.55404
530.0,0.56194
535.0,0.57066
540.0,0.57922
545.0,0.58639
550.0,0.59257
555.0,0.59757
560.0,0.6019
565.0,0.6037
570.0,0.60497
575.0,0.60587
580.0,0.60546
585.0,0.60499
590.0,0.60456
595.0,0.60345
600.0,0.60173
605.0,0.59974
610.0,0.59711
615.0,0.59433
620.0,0.59116
625.0,0.5884
630.0,0.58684
635.0,0.58552
640.0,0.58658
645.0,0.58775
650.0,0.58957
655.0,0.59226
660.0,0.59499
665.0,0.5974
670.0,0.5996
675.0,0.60151
680.0,0.60345
685.0,0.6035
690.0,0.6036
695.0,0.60302
700.0,0.60195
705.0,0.59922
710.0,0.5969
715.0,0.59343
720.0,0.58933
725.0,0.58488
730.0,0.57967
735.0,0.57453
740.0,0.56884
745.0,0.56218
750.0,0.55559
755.0,0.54737
760.0,0.54074
765.0,0.53419
770.0,0.52679
775.0,0.5189
780.0,0.51178
785.0,0.50489
790.0,0.49696
795.0,0.49053
800.0,0.48434
805.0,0.47715
810.0,0.47063
815.0,0.46646
820.0,0.4606
825.0,0.45559
830.0,0.45099
835.0,0.44651
840.0,0.44219
845.0,0.43838
850.0,0.43483
855.0,0.43145
860.0,0.42824
865.0,0.42621
870.0,0.42273
875.0,0.41881
880.0,0.41666
885.0,0.41285
890.0,0.41011
895.0,0.40767
900.0,0.40359
905.0,0.39988
910.0,0.39603
915.0,0.39206
920.0,0.3872
