Composition,
Date Added,2008-03-18
Formula,
Grain Size Description,<0.0um
Grain Size,250.0 - 0.0
Locality,
Minimum Wavelength,320
Sample Name,2610 Gabbro melt shot at 4.5 km/s
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Rock
Sample Description,Small scale effect of impact on asteroidal surfaces (DDAP by MJC)
Sample ID,C1SG113
Original Sample ID,SG-BEC-113
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,161.41
330.0,171.4
340.0,179.21
350.0,186.78
360.0,193.35
370.0,197.87
380.0,201.22
390.0,206.03
400.0,208.1
410.0,210.39
420.0,212.59
430.0,215.65
440.0,219.34
450.0,222.13
460.0,224.16
470.0,225.77
480.0,227.29
490.0,228.91
500.0,230.3
510.0,231.66
520.0,233.31
530.0,234.39
540.0,235.32
550.0,235.92
560.0,236.85
570.0,237.78
580.0,238.76
590.0,239.74
600.0,240.56
610.0,241.24
620.0,242.12
630.0,242.73
640.0,243.49
650.0,244.23
660.0,244.71
670.0,245.3
680.0,245.48
690.0,246.33
700.0,247.52
710.0,248.73
720.0,249.65
730.0,250.36
740.0,251.12
750.0,251.56
760.0,251.33
770.0,251.29
780.0,251.0
790.0,250.56
800.0,249.96
810.0,249.4
820.0,247.54
830.0,246.77
840.0,246.29
850.0,244.35
860.0,243.3
870.0,240.98
880.0,240.57
890.0,238.34
900.0,237.67
910.0,236.9
920.0,235.76
930.0,234.12
940.0,233.46
950.0,232.6
960.0,231.71
970.0,230.73
980.0,230.14
990.0,230.04
1000.0,229.17
1010.0,229.03
1020.0,228.78
1030.0,228.72
1040.0,228.7
1050.0,228.62
1060.0,229.24
1070.0,229.83
1080.0,229.55
1090.0,230.97
1100.0,230.35
1110.0,231.44
1120.0,231.56
1130.0,231.44
1140.0,231.27
1150.0,231.61
1160.0,231.02
1170.0,231.6
1180.0,231.49
1190.0,230.94
1200.0,230.78
1210.0,230.36
1220.0,230.97
1230.0,230.79
1240.0,230.45
1250.0,230.31
1260.0,230.54
1270.0,230.74
1280.0,230.13
1290.0,230.25
1300.0,230.17
1310.0,230.85
1320.0,230.74
1330.0,230.92
1340.0,231.23
1350.0,230.68
1360.0,230.16
1370.0,231.49
1380.0,230.48
1390.0,230.98
1400.0,231.32
1410.0,231.46
1420.0,232.17
1430.0,231.95
1440.0,231.48
1450.0,231.17
1460.0,231.33
1470.0,231.65
1480.0,232.07
1490.0,231.74
1500.0,231.29
1510.0,231.67
1520.0,231.35
1530.0,230.8
1540.0,230.41
1550.0,230.79
1560.0,230.3
1570.0,230.57
1580.0,229.89
1590.0,229.41
1600.0,229.05
1610.0,229.21
1620.0,229.08
1630.0,228.16
1640.0,227.34
1650.0,227.16
1660.0,226.42
1670.0,226.49
1680.0,226.0
1690.0,225.33
1700.0,225.44
1710.0,224.5
1720.0,223.56
1730.0,223.46
1740.0,223.05
1750.0,222.69
1760.0,222.22
1770.0,221.66
1780.0,221.59
1790.0,221.26
1800.0,220.9
1810.0,220.18
1820.0,219.69
1830.0,219.16
1840.0,219.79
1850.0,219.63
1860.0,218.75
1870.0,217.88
1880.0,218.38
1890.0,217.76
1900.0,216.77
1910.0,216.86
1920.0,217.01
1930.0,216.97
1940.0,215.94
1950.0,216.19
1960.0,216.44
1970.0,216.23
1980.0,215.89
1990.0,216.04
2000.0,216.01
2010.0,215.81
2020.0,216.8
2030.0,216.49
2040.0,215.91
2050.0,215.37
2060.0,216.69
2070.0,215.36
2080.0,216.05
2090.0,216.62
2100.0,216.55
2110.0,217.04
2120.0,217.16
2130.0,216.96
2140.0,217.69
2150.0,217.35
2160.0,217.7
2170.0,217.89
2180.0,218.05
2190.0,218.56
2200.0,217.86
2210.0,218.71
2220.0,219.47
2230.0,219.39
2240.0,219.87
2250.0,220.08
2260.0,220.73
2270.0,220.79
2280.0,221.09
2290.0,221.43
2300.0,221.3
2310.0,221.45
2320.0,221.7
2330.0,222.52
2340.0,222.64
2350.0,222.8
2360.0,222.49
2370.0,222.83
2380.0,222.95
2390.0,223.47
2400.0,223.67
2410.0,223.97
2420.0,224.92
2430.0,224.36
2440.0,225.04
2450.0,225.76
2460.0,224.9
2470.0,225.5
2480.0,226.87
2490.0,225.98
2500.0,224.94
2510.0,225.74
2520.0,226.14
2530.0,225.6
2540.0,225.95
2550.0,227.34
