Composition,
Date Added,1989-07-31
Formula,
Grain Size Description,<0.0um
Grain Size,Unknown
Locality,"Cerro Mamita Dome, Bolivia"
Minimum Wavelength,350
Sample Name,BOL-88-01 
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,
References,
Resolution,10.0
Material class,Rock
Sample Description,Weathered & Fresh Surfaces Run  
Sample ID,CFBV01
Original Sample ID,BV-RXG-001
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
350.0,0.08732
360.0,0.09431
370.0,0.1014
380.0,0.10816
390.0,0.11444
400.0,0.11969
410.0,0.12852
420.0,0.13211
430.0,0.13585
440.0,0.13913
450.0,0.1417
460.0,0.14435
470.0,0.14727
480.0,0.1497
490.0,0.15144
500.0,0.15337
510.0,0.15509
520.0,0.15802
530.0,0.16006
540.0,0.16205
550.0,0.16358
560.0,0.16608
570.0,0.16846
580.0,0.17068
590.0,0.17272
600.0,0.17408
610.0,0.17559
620.0,0.17611
630.0,0.1766
640.0,0.1776
650.0,0.17821
660.0,0.1794
670.0,0.1805
680.0,0.18092
690.0,0.18138
700.0,0.1818
710.0,0.18222
720.0,0.18255
730.0,0.18332
740.0,0.18331
750.0,0.1836
760.0,0.18416
770.0,0.18458
780.0,0.18487
790.0,0.18426
800.0,0.18384
810.0,0.18386
820.0,0.18395
830.0,0.18374
840.0,0.18334
850.0,0.1826
860.0,0.18207
870.0,0.18005
880.0,0.17977
890.0,0.17956
900.0,0.17845
910.0,0.17752
920.0,0.17663
930.0,0.17506
940.0,0.17551
950.0,0.17336
960.0,0.17288
970.0,0.17201
980.0,0.17294
990.0,0.17193
1000.0,0.1721
1010.0,0.17153
1020.0,0.16951
1030.0,0.16931
1040.0,0.16877
1050.0,0.16811
1060.0,0.16876
1070.0,0.16833
1080.0,0.16824
1090.0,0.16745
1100.0,0.1672
1110.0,0.16622
1120.0,0.16524
1130.0,0.16532
1140.0,0.16504
1150.0,0.16459
1160.0,0.16355
1170.0,0.16347
1180.0,0.1641
1190.0,0.16466
1200.0,0.16359
1210.0,0.16319
1220.0,0.16361
1230.0,0.16254
1240.0,0.162
1250.0,0.16291
1260.0,0.16221
1270.0,0.16258
1280.0,0.16368
1290.0,0.1638
1300.0,0.16426
1310.0,0.16514
1320.0,0.16612
1330.0,0.16559
1340.0,0.16616
1350.0,0.16415
1360.0,0.16552
1370.0,0.16605
1380.0,0.16437
1390.0,0.16368
1400.0,0.16033
1410.0,0.15314
1420.0,0.1528
1430.0,0.15579
1440.0,0.15867
1450.0,0.16108
1460.0,0.16104
1470.0,0.16062
1480.0,0.16199
1490.0,0.16413
1500.0,0.16485
1510.0,0.16572
1520.0,0.16594
1530.0,0.16652
1540.0,0.16679
1550.0,0.16682
1560.0,0.16775
1570.0,0.16735
1580.0,0.16724
1590.0,0.16594
1600.0,0.16645
1610.0,0.16669
1620.0,0.16686
1630.0,0.1664
1640.0,0.16543
1650.0,0.16706
1660.0,0.16787
1670.0,0.16774
1680.0,0.16653
1690.0,0.16751
1700.0,0.16865
1710.0,0.16917
1720.0,0.16867
1730.0,0.16852
1740.0,0.16731
1750.0,0.16757
1760.0,0.16666
1770.0,0.16628
1780.0,0.16572
1790.0,0.16673
1800.0,0.16613
1810.0,0.16577
1820.0,0.16395
1830.0,0.16485
1840.0,0.16381
1850.0,0.16485
1860.0,0.16449
1870.0,0.16282
1880.0,0.16083
1890.0,0.15382
1900.0,0.13158
1910.0,0.11345
1920.0,0.11486
1930.0,0.12371
1940.0,0.13139
1950.0,0.13727
1960.0,0.14038
1970.0,0.14361
1980.0,0.14675
1990.0,0.14957
2000.0,0.15279
2010.0,0.15526
2020.0,0.15742
2030.0,0.15924
2040.0,0.16034
2050.0,0.16185
2060.0,0.16256
2070.0,0.16238
2080.0,0.16345
2090.0,0.16378
2100.0,0.16416
2110.0,0.16426
2120.0,0.16488
2130.0,0.16447
2140.0,0.16499
2150.0,0.16441
2160.0,0.16416
2170.0,0.16263
2180.0,0.16044
2190.0,0.15666
2200.0,0.15494
2210.0,0.15165
2220.0,0.15107
2230.0,0.14956
2240.0,0.15076
2250.0,0.15168
2260.0,0.1519
2270.0,0.15245
2280.0,0.1531
2290.0,0.15385
2300.0,0.1549
2310.0,0.15509
2320.0,0.15618
2330.0,0.15651
2340.0,0.15594
2350.0,0.15524
2360.0,0.15559
2370.0,0.15303
2380.0,0.15011
2390.0,0.14808
2400.0,0.14395
2410.0,0.14074
2420.0,0.13663
2430.0,0.13281
2440.0,0.12914
2450.0,0.12576
2460.0,0.12267
2470.0,0.12029
2480.0,0.11641
2490.0,0.11464
2500.0,0.11365
2510.0,0.11104
2520.0,0.10902
2530.0,0.10776
2540.0,0.10648
2550.0,0.10397
2560.0,0.10679
2570.0,0.10306
2580.0,0.10288
2590.0,0.10002
2600.0,0.10063
