Composition,
Date Added,2020-02-26
Formula,
Grain Size Description,<250.0um
Grain Size,125.0 - 250.0
Locality,
Minimum Wavelength,320
Sample Name,79221 bulk 125-250 um
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Sediment
Sample Description,
Sample ID,C3LS149
Original Sample ID,LS-BWD-149
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
320.0,39.363
330.0,39.835
340.0,40.786
350.0,41.491
360.0,42.363
370.0,43.377
380.0,44.148
390.0,44.645
400.0,45.286
410.0,45.974
420.0,46.514
430.0,46.865
440.0,47.433
450.0,47.848
460.0,48.34
470.0,48.91
480.0,49.488
490.0,49.989
500.0,50.643
510.0,51.093
520.0,51.799
530.0,52.383
540.0,52.96
550.0,53.344
560.0,53.92
570.0,54.528
580.0,54.949
590.0,55.402
600.0,55.855
610.0,56.235
620.0,56.737
630.0,57.233
640.0,57.781
650.0,58.2
660.0,58.788
670.0,59.294
680.0,59.799
690.0,60.294
700.0,60.839
710.0,61.393
720.0,61.952
730.0,62.324
740.0,62.727
750.0,63.095
760.0,63.383
770.0,63.655
780.0,63.745
790.0,63.853
800.0,63.824
810.0,63.72
820.0,63.457
830.0,63.436
840.0,63.012
850.0,62.617
860.0,62.232
870.0,61.5
880.0,61.05
890.0,60.665
900.0,60.228
910.0,60.088
920.0,59.993
930.0,60.003
940.0,59.962
950.0,59.993
960.0,60.076
970.0,60.148
980.0,60.409
990.0,60.484
1000.0,60.681
1010.0,61.015
1020.0,61.43
1030.0,61.86
1040.0,62.465
1050.0,62.789
1060.0,63.222
1070.0,63.751
1080.0,64.352
1090.0,64.962
1100.0,65.642
1110.0,66.21
1120.0,66.946
1130.0,67.552
1140.0,68.19
1150.0,68.726
1160.0,69.21
1170.0,69.786
1180.0,70.159
1190.0,70.675
1200.0,71.078
1210.0,71.456
1220.0,71.926
1230.0,72.246
1240.0,72.532
1250.0,72.918
1260.0,73.256
1270.0,73.619
1280.0,74.1
1290.0,74.601
1300.0,74.958
1310.0,75.413
1320.0,75.844
1330.0,76.259
1340.0,76.737
1350.0,77.182
1360.0,77.778
1370.0,77.907
1380.0,78.532
1390.0,78.839
1400.0,79.363
1410.0,79.639
1420.0,79.996
1430.0,80.492
1440.0,80.85
1450.0,81.272
1460.0,81.611
1470.0,82.07
1480.0,82.376
1490.0,82.722
1500.0,82.97
1510.0,83.267
1520.0,83.566
1530.0,83.642
1540.0,84.058
1550.0,84.224
1560.0,84.365
1570.0,84.631
1580.0,84.827
1590.0,84.929
1600.0,85.225
1610.0,85.35
1620.0,85.508
1630.0,85.604
1640.0,85.762
1650.0,85.993
1660.0,86.182
1670.0,86.345
1680.0,86.531
1690.0,86.638
1700.0,86.777
1710.0,86.838
1720.0,86.962
1730.0,86.916
1740.0,86.878
1750.0,87.025
1760.0,87.137
1770.0,87.033
1780.0,87.185
1790.0,87.208
1800.0,87.424
1810.0,87.559
1820.0,87.618
1830.0,87.767
1840.0,87.799
1850.0,87.952
1860.0,88.098
1870.0,88.137
1880.0,88.242
1890.0,88.327
1900.0,88.41
1910.0,88.553
1920.0,88.64
1930.0,88.817
1940.0,89.058
1950.0,89.137
1960.0,89.199
1970.0,89.589
1980.0,89.648
1990.0,89.896
2000.0,90.172
2010.0,90.384
2020.0,90.578
2030.0,90.832
2040.0,91.082
2050.0,91.29
2060.0,91.5
2070.0,91.823
2080.0,91.927
2090.0,92.183
2100.0,92.454
2110.0,92.955
2120.0,93.352
2130.0,93.739
2140.0,94.101
2150.0,94.372
2160.0,94.537
2170.0,94.844
2180.0,95.046
2190.0,95.418
2200.0,95.763
2210.0,96.12
2220.0,96.347
2230.0,96.592
2240.0,96.798
2250.0,97.204
2260.0,97.525
2270.0,98.033
2280.0,98.342
2290.0,98.834
2300.0,99.012
2310.0,99.508
2320.0,99.916
2330.0,100.034
2340.0,100.624
2350.0,100.938
2360.0,101.364
2370.0,101.848
2380.0,102.272
2390.0,102.861
2400.0,103.171
2410.0,103.57
2420.0,104.16
2430.0,104.684
2440.0,105.12
2450.0,105.641
2460.0,106.3
2470.0,106.589
2480.0,107.166
2490.0,107.688
2500.0,108.254
2510.0,108.727
2520.0,109.028
2530.0,109.692
2540.0,110.442
2550.0,110.72
