Composition,
Date Added,2019-02-13
Formula,
Grain Size Description,<250.0um
Grain Size,125.0 - 250.0
Locality,
Minimum Wavelength,320
Sample Name,62231.58 bulk 125-250 um
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Sediment
Sample Description,
Sample ID,KKLS140
Original Sample ID,LS-BWD-140
Viewing Geometry,30.0° / -75.0°
Wavelength,Response
320.0,82.529
330.0,85.515
340.0,88.885
350.0,92.289
360.0,94.893
370.0,97.713
380.0,100.595
390.0,102.914
400.0,105.433
410.0,107.688
420.0,109.98
430.0,111.955
440.0,114.25
450.0,115.963
460.0,117.546
470.0,119.715
480.0,121.59
490.0,122.926
500.0,124.473
510.0,126.309
520.0,128.237
530.0,129.481
540.0,130.756
550.0,131.937
560.0,133.266
570.0,134.269
580.0,135.44
590.0,136.638
600.0,137.631
610.0,138.51
620.0,139.567
630.0,140.679
640.0,141.763
650.0,142.829
660.0,143.807
670.0,144.739
680.0,146.043
690.0,147.297
700.0,148.238
710.0,149.13
720.0,150.163
730.0,150.904
740.0,151.562
750.0,152.365
760.0,152.879
770.0,153.393
780.0,153.351
790.0,153.649
800.0,153.654
810.0,153.621
820.0,154.586
830.0,154.304
840.0,153.82
850.0,153.548
860.0,152.577
870.0,152.0
880.0,151.301
890.0,150.548
900.0,150.013
910.0,149.711
920.0,149.668
930.0,149.751
940.0,149.974
950.0,150.503
960.0,151.023
970.0,151.982
980.0,152.616
990.0,153.443
1000.0,154.779
1010.0,155.276
1020.0,155.971
1030.0,156.945
1040.0,157.879
1050.0,158.707
1060.0,159.659
1070.0,160.643
1080.0,161.835
1090.0,162.474
1100.0,163.25
1110.0,164.49
1120.0,165.249
1130.0,166.087
1140.0,166.704
1150.0,167.816
1160.0,168.193
1170.0,168.906
1180.0,169.178
1190.0,169.952
1200.0,170.435
1210.0,171.171
1220.0,171.296
1230.0,171.993
1240.0,172.3
1250.0,172.975
1260.0,173.722
1270.0,174.503
1280.0,175.09
1290.0,176.379
1300.0,177.155
1310.0,178.134
1320.0,178.858
1330.0,179.417
1340.0,180.483
1350.0,181.461
1360.0,182.071
1370.0,182.968
1380.0,183.687
1390.0,184.527
1400.0,185.509
1410.0,186.455
1420.0,187.337
1430.0,188.556
1440.0,189.376
1450.0,190.132
1460.0,190.59
1470.0,191.302
1480.0,192.24
1490.0,192.931
1500.0,193.526
1510.0,194.184
1520.0,194.721
1530.0,195.394
1540.0,196.09
1550.0,196.714
1560.0,196.904
1570.0,197.21
1580.0,197.986
1590.0,198.266
1600.0,198.656
1610.0,198.902
1620.0,199.056
1630.0,199.269
1640.0,199.562
1650.0,199.916
1660.0,200.133
1670.0,200.375
1680.0,200.488
1690.0,200.636
1700.0,200.629
1710.0,200.269
1720.0,200.226
1730.0,200.314
1740.0,200.43
1750.0,200.88
1760.0,201.125
1770.0,201.285
1780.0,201.303
1790.0,201.516
1800.0,201.722
1810.0,201.968
1820.0,202.484
1830.0,202.553
1840.0,202.63
1850.0,202.96
1860.0,203.142
1870.0,203.485
1880.0,203.818
1890.0,204.154
1900.0,204.257
1910.0,204.587
1920.0,205.139
1930.0,205.273
1940.0,205.762
1950.0,206.13
1960.0,205.997
1970.0,206.765
1980.0,207.43
1990.0,208.125
2000.0,208.892
2010.0,210.003
2020.0,211.15
2030.0,212.124
2040.0,213.254
2050.0,214.026
2060.0,214.781
2070.0,216.013
2080.0,216.846
2090.0,218.033
2100.0,218.927
2110.0,220.37
2120.0,221.821
2130.0,222.794
2140.0,223.518
2150.0,224.815
2160.0,224.474
2170.0,224.101
2180.0,223.847
2190.0,223.889
2200.0,223.99
2210.0,224.999
2220.0,225.311
2230.0,226.096
2240.0,226.818
2250.0,227.81
2260.0,229.099
2270.0,229.918
2280.0,231.099
2290.0,232.413
2300.0,233.55
2310.0,234.525
2320.0,236.19
2330.0,237.36
2340.0,238.604
2350.0,239.838
2360.0,240.38
2370.0,241.596
2380.0,242.361
2390.0,243.428
2400.0,244.574
2410.0,245.563
2420.0,246.316
2430.0,246.835
2440.0,247.38
2450.0,248.349
2460.0,249.138
2470.0,250.15
2480.0,250.857
2490.0,251.925
2500.0,253.301
2510.0,255.262
2520.0,257.499
2530.0,260.549
2540.0,263.046
2550.0,266.122
