Composition,
Date Added,1999-04-12
Formula,
Grain Size Description,<25.0um
Grain Size,"(0.0, 25.0)"
Locality,Brown Geology 
Minimum Wavelength,300
Sample Name,C Mars-1/Sulfate Mix
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Volcanic Soil Palagonite Magnesium Sulfate
References,
Resolution,5.0
Material class,Mixture
Sample Description,MgSO4: F) 18 wt%.   
Sample ID,CFCC30
Original Sample ID,CC-JFM-030-F
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.04491
305.0,0.04397
310.0,0.0425
315.0,0.04365
320.0,0.04549
325.0,0.04602
330.0,0.04645
335.0,0.04821
340.0,0.04939
345.0,0.04996
350.0,0.05052
355.0,0.05216
360.0,0.05429
365.0,0.05709
370.0,0.06067
375.0,0.064
380.0,0.06801
385.0,0.07254
390.0,0.07828
395.0,0.08219
400.0,0.08654
405.0,0.09086
410.0,0.09632
415.0,0.10059
420.0,0.10668
425.0,0.11308
430.0,0.12039
435.0,0.12784
440.0,0.1347
445.0,0.14093
450.0,0.14671
455.0,0.15143
460.0,0.15521
465.0,0.15893
470.0,0.16205
475.0,0.16635
480.0,0.17151
485.0,0.17781
490.0,0.18477
495.0,0.193
500.0,0.20125
505.0,0.21039
510.0,0.21973
515.0,0.22988
520.0,0.23957
525.0,0.24974
530.0,0.25957
535.0,0.26988
540.0,0.27995
545.0,0.28956
550.0,0.29914
555.0,0.30842
560.0,0.31762
565.0,0.32617
570.0,0.33471
575.0,0.34299
580.0,0.35129
585.0,0.35822
590.0,0.36608
595.0,0.37312
600.0,0.38005
605.0,0.38668
610.0,0.3936
615.0,0.39987
620.0,0.40572
625.0,0.41256
630.0,0.41788
635.0,0.42481
640.0,0.43174
645.0,0.43664
650.0,0.44345
655.0,0.4489
660.0,0.45531
665.0,0.46137
670.0,0.46758
675.0,0.47237
680.0,0.47711
685.0,0.48127
690.0,0.48772
695.0,0.49021
700.0,0.49677
705.0,0.50007
710.0,0.50701
715.0,0.50931
720.0,0.5133
725.0,0.51793
730.0,0.51935
735.0,0.52329
740.0,0.52658
745.0,0.52973
750.0,0.53293
755.0,0.53579
760.0,0.53876
765.0,0.54271
770.0,0.54529
775.0,0.54557
780.0,0.54781
785.0,0.5488
790.0,0.55011
795.0,0.55107
800.0,0.55264
805.0,0.55366
810.0,0.55437
815.0,0.55556
820.0,0.55507
825.0,0.55669
830.0,0.55657
835.0,0.55797
840.0,0.55755
845.0,0.55863
850.0,0.55903
855.0,0.55843
860.0,0.55869
865.0,0.55848
870.0,0.55862
875.0,0.55855
880.0,0.55808
885.0,0.55925
890.0,0.55906
895.0,0.55889
900.0,0.55949
905.0,0.55914
910.0,0.55833
915.0,0.55895
920.0,0.55927
925.0,0.55952
930.0,0.55891
935.0,0.55885
940.0,0.55823
945.0,0.55912
950.0,0.55966
955.0,0.55908
960.0,0.55958
965.0,0.55972
970.0,0.56086
975.0,0.55955
980.0,0.56217
985.0,0.56131
990.0,0.56237
995.0,0.56191
1000.0,0.56089
1005.0,0.56199
1010.0,0.56178
1015.0,0.56231
1020.0,0.56171
1025.0,0.56343
1030.0,0.56384
1035.0,0.56467
1040.0,0.56498
1045.0,0.56738
1050.0,0.56589
1055.0,0.56744
1060.0,0.56842
1065.0,0.56748
1070.0,0.56826
1075.0,0.56821
1080.0,0.56976
1085.0,0.56902
1090.0,0.57004
1095.0,0.56994
1100.0,0.57111
1105.0,0.57201
1110.0,0.57241
1115.0,0.57413
1120.0,0.57204
1125.0,0.57445
1130.0,0.57396
1135.0,0.57499
1140.0,0.57473
1145.0,0.57629
1150.0,0.57548
1155.0,0.57626
1160.0,0.57622
1165.0,0.5761
1170.0,0.57645
1175.0,0.57594
1180.0,0.57748
1185.0,0.57626
1190.0,0.57755
1195.0,0.57659
1200.0,0.5771
1205.0,0.57689
1210.0,0.5778
1215.0,0.5781
1220.0,0.57755
1225.0,0.57825
1230.0,0.57781
1235.0,0.57792
1240.0,0.57894
1245.0,0.57912
1250.0,0.57828
1255.0,0.57854
1260.0,0.5784
1265.0,0.57778
1270.0,0.57912
1275.0,0.5777
1280.0,0.57782
1285.0,0.57725
1290.0,0.57712
1295.0,0.57797
1300.0,0.57818
1305.0,0.57773
1310.0,0.57819
1315.0,0.57938
1320.0,0.57795
1325.0,0.57869
1330.0,0.57691
1335.0,0.57801
1340.0,0.57675
1345.0,0.57613
1350.0,0.57534
1355.0,0.57373
1360.0,0.5744
