Composition,
Date Added,2019-07-29
Formula,
Grain Size Description,<63.0um
Grain Size,(38.0 - 63.0)
Locality,
Minimum Wavelength,300
Sample Name,GMM084 Lab25-Olvsc25-Hwgl50 
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Labradorite Forsterite Glass
References,
Resolution,5.0
Material class,Mixture
Sample Description,"25 vol% labradorite, 25 vol% forsterite (San Carlos), 50 vol% Hawaii glass, See Berlanga 2017, LPS XLVIII, Abstract 2255"
Sample ID,C1CK19
Original Sample ID,CK-JFM-019
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.066706
305.0,0.071966
310.0,0.077909
315.0,0.085036
320.0,0.091818
325.0,0.099172
330.0,0.106688
335.0,0.114135
340.0,0.121268
345.0,0.128845
350.0,0.135408
355.0,0.142037
360.0,0.149763
365.0,0.155973
370.0,0.162582
375.0,0.16779
380.0,0.172553
385.0,0.17736
390.0,0.182005
395.0,0.186719
400.0,0.191425
405.0,0.196087
410.0,0.200245
415.0,0.204646
420.0,0.20894
425.0,0.212246
430.0,0.216519
435.0,0.220761
440.0,0.224461
445.0,0.228331
450.0,0.232521
455.0,0.236431
460.0,0.240747
465.0,0.244489
470.0,0.249138
475.0,0.253618
480.0,0.258133
485.0,0.262626
490.0,0.267621
495.0,0.271653
500.0,0.276718
505.0,0.281385
510.0,0.285804
515.0,0.289797
520.0,0.294052
525.0,0.297362
530.0,0.301466
535.0,0.305109
540.0,0.308272
545.0,0.312016
550.0,0.315127
555.0,0.31832
560.0,0.322187
565.0,0.324743
570.0,0.328424
575.0,0.331391
580.0,0.334554
585.0,0.337154
590.0,0.339526
595.0,0.341336
600.0,0.343699
605.0,0.345958
610.0,0.347436
615.0,0.349318
620.0,0.350536
625.0,0.351794
630.0,0.353137
635.0,0.354492
640.0,0.35533
645.0,0.357033
650.0,0.357858
655.0,0.357736
660.0,0.35947
665.0,0.360072
670.0,0.360673
675.0,0.361087
680.0,0.361781
685.0,0.362017
690.0,0.361897
695.0,0.361781
700.0,0.360993
705.0,0.360811
710.0,0.359884
715.0,0.359364
720.0,0.358698
725.0,0.357771
730.0,0.356535
735.0,0.35546
740.0,0.353585
745.0,0.352444
750.0,0.351476
755.0,0.349777
760.0,0.348592
765.0,0.347955
770.0,0.346181
775.0,0.344188
780.0,0.342598
785.0,0.340962
790.0,0.338696
795.0,0.337608
800.0,0.335553
805.0,0.334461
810.0,0.332702
815.0,0.33072
820.0,0.328893
825.0,0.327194
830.0,0.325943
835.0,0.324387
840.0,0.322493
845.0,0.320881
850.0,0.319558
855.0,0.318144
860.0,0.316266
865.0,0.314734
870.0,0.313567
875.0,0.311863
880.0,0.310495
885.0,0.308721
890.0,0.306781
895.0,0.30533
900.0,0.303899
905.0,0.302908
910.0,0.300916
915.0,0.299293
920.0,0.29819
925.0,0.296597
930.0,0.294726
935.0,0.293281
940.0,0.291996
945.0,0.290342
950.0,0.288824
955.0,0.287367
960.0,0.285941
965.0,0.284934
970.0,0.283635
975.0,0.281903
980.0,0.28079
985.0,0.279611
990.0,0.278693
995.0,0.277129
1000.0,0.276696
1005.0,0.276027
1010.0,0.274758
1015.0,0.274033
1020.0,0.27327
1025.0,0.273031
1030.0,0.272555
1035.0,0.272707
1040.0,0.271926
1045.0,0.272049
1050.0,0.27214
1055.0,0.271814
1060.0,0.27206
1065.0,0.272443
1070.0,0.272828
1075.0,0.273462
1080.0,0.274157
1085.0,0.274355
1090.0,0.275368
1095.0,0.276256
1100.0,0.276986
1105.0,0.277687
1110.0,0.27933
1115.0,0.280028
1120.0,0.28074
1125.0,0.281452
1130.0,0.282402
1135.0,0.283423
1140.0,0.284314
1145.0,0.28523
1150.0,0.286078
1155.0,0.286555
1160.0,0.287478
1165.0,0.288504
1170.0,0.289356
1175.0,0.290329
1180.0,0.29084
1185.0,0.292024
1190.0,0.292921
1195.0,0.294093
1200.0,0.294639
1205.0,0.295687
1210.0,0.296166
1215.0,0.297554
1220.0,0.298564
1225.0,0.299392
1230.0,0.300518
1235.0,0.301302
1240.0,0.302695
1245.0,0.303655
1250.0,0.304815
1255.0,0.305945
1260.0,0.30723
1265.0,0.308341
1270.0,0.309528
1275.0,0.310832
1280.0,0.312484
1285.0,0.313421
1290.0,0.315217
1295.0,0.316102
1300.0,0.3176
1305.0,0.319015
1310.0,0.321047
1315.0,0.322212
1320.0,0.323572
1325.0,0.325101
1330.0,0.326816
1335.0,0.328292
1340.0,0.3296
1345.0,0.331394
1350.0,0.333432
1355.0,0.334682
1360.0,0.33664
1365.0,0.337261
1370.0,0.338944
1375.0,0.340551
1380.0,0.342634
1385.0,0.343353
1390.0,0.345785
1395.0,0.347342
1400.0,0.348359
1405.0,0.350187
1410.0,0.351387
1415.0,0.352937
1420.0,0.35431
1425.0,0.356433
1430.0,0.358172
1435.0,0.359573
1440.0,0.360753
1445.0,0.362085
1450.0,0.363853
1455.0,0.364929
1460.0,0.366067
1465.0,0.367292
1470.0,0.368649
1475.0,0.369998
1480.0,0.371489
1485.0,0.372606
1490.0,0.37349
1495.0,0.374325
1500.0,0.375811
1505.0,0.376614
1510.0,0.377184
1515.0,0.378592
1520.0,0.379237
1525.0,0.379968
1530.0,0.381235
1535.0,0.381667
1540.0,0.382455
1545.0,0.383158
1550.0,0.384014
1555.0,0.384639
1560.0,0.385494
1565.0,0.385803
1570.0,0.386158
1575.0,0.386866
1580.0,0.387356
1585.0,0.3876
1590.0,0.388314
1595.0,0.388384
1600.0,0.388608
1605.0,0.389118
1610.0,0.389518
1615.0,0.389774
1620.0,0.389758
1625.0,0.390091
1630.0,0.390637
1635.0,0.390638
1640.0,0.390685
1645.0,0.391308
1650.0,0.391296
1655.0,0.39194
1660.0,0.392133
1665.0,0.392011
1670.0,0.392657
1675.0,0.392541
1680.0,0.392803
1685.0,0.393304
1690.0,0.392891
1695.0,0.39295
1700.0,0.392937
1705.0,0.392817
1710.0,0.392955
1715.0,0.393014
1720.0,0.39327
1725.0,0.392927
1730.0,0.392577
1735.0,0.392652
1740.0,0.392291
1745.0,0.392279
1750.0,0.392038
1755.0,0.392122
1760.0,0.392004
1765.0,0.392159
1770.0,0.392179
1775.0,0.392237
1780.0,0.392184
1785.0,0.39214
1790.0,0.392173
1795.0,0.392449
1800.0,0.392252
1805.0,0.392143
1810.0,0.392133
1815.0,0.392328
1820.0,0.391902
1825.0,0.392457
1830.0,0.392336
1835.0,0.392605
1840.0,0.392584
1845.0,0.392721
1850.0,0.392506
1855.0,0.393028
1860.0,0.393208
1865.0,0.392979
1870.0,0.392794
1875.0,0.392917
1880.0,0.392852
1885.0,0.392734
1890.0,0.393282
1895.0,0.39337
1900.0,0.393505
1905.0,0.393489
1910.0,0.393509
1915.0,0.393626
1920.0,0.393997
1925.0,0.394426
1930.0,0.394572
1935.0,0.395109
1940.0,0.394934
1945.0,0.395515
1950.0,0.395725
1955.0,0.396092
1960.0,0.396696
1965.0,0.396796
1970.0,0.397168
1975.0,0.397365
1980.0,0.398272
1985.0,0.398701
1990.0,0.399177
1995.0,0.399576
2000.0,0.400236
2005.0,0.400549
2010.0,0.401232
2015.0,0.401687
2020.0,0.402143
2025.0,0.40286
2030.0,0.403349
2035.0,0.403997
2040.0,0.404418
2045.0,0.40463
2050.0,0.405296
2055.0,0.405414
2060.0,0.40636
2065.0,0.406485
2070.0,0.407128
2075.0,0.407363
2080.0,0.408049
2085.0,0.408778
2090.0,0.40918
2095.0,0.409649
2100.0,0.409951
2105.0,0.410779
2110.0,0.411933
2115.0,0.412052
2120.0,0.413198
2125.0,0.414395
2130.0,0.414804
2135.0,0.415396
2140.0,0.416242
2145.0,0.417086
2150.0,0.41809
2155.0,0.418534
2160.0,0.419412
2165.0,0.419853
2170.0,0.420511
2175.0,0.420775
2180.0,0.422011
2185.0,0.422703
2190.0,0.423362
2195.0,0.424327
2200.0,0.424709
2205.0,0.424926
2210.0,0.425613
2215.0,0.426155
2220.0,0.426765
2225.0,0.426971
2230.0,0.427615
2235.0,0.42844
2240.0,0.428932
2245.0,0.43002
2250.0,0.430003
2255.0,0.431394
2260.0,0.43225
2265.0,0.432895
2270.0,0.432893
2275.0,0.434039
2280.0,0.434553
2285.0,0.435293
2290.0,0.436047
2295.0,0.436527
2300.0,0.437026
2305.0,0.438643
2310.0,0.439095
2315.0,0.439407
2320.0,0.440177
2325.0,0.440711
2330.0,0.440843
2335.0,0.442161
2340.0,0.442184
2345.0,0.442807
2350.0,0.44394
2355.0,0.444284
2360.0,0.444779
2365.0,0.445299
2370.0,0.446119
2375.0,0.446727
2380.0,0.447372
2385.0,0.448063
2390.0,0.448544
2395.0,0.449245
2400.0,0.449744
2405.0,0.450551
2410.0,0.450718
2415.0,0.452228
2420.0,0.451974
2425.0,0.452749
2430.0,0.453174
2435.0,0.453975
2440.0,0.454403
2445.0,0.455152
2450.0,0.455209
2455.0,0.4561
2460.0,0.4568
2465.0,0.457131
2470.0,0.457106
2475.0,0.457186
2480.0,0.458235
2485.0,0.458326
2490.0,0.458765
2495.0,0.459364
2500.0,0.460305
2505.0,0.460085
2510.0,0.460278
2515.0,0.461379
2520.0,0.460711
2525.0,0.462174
2530.0,0.461477
2535.0,0.462602
2540.0,0.462333
2545.0,0.462312
2550.0,0.464132
2555.0,0.462981
2560.0,0.46417
2565.0,0.464432
2570.0,0.466122
2575.0,0.465081
2580.0,0.466524
2585.0,0.465589
2590.0,0.467186
2595.0,0.467299
2600.0,0.472805
