Composition,
Date Added,1994-11-18
Formula,
Grain Size Description,<45.0um
Grain Size,"(0.0, 45.0)"
Locality,
Minimum Wavelength,1800
Sample Name,COAL 587/88 
Maximum Wavelength,25920
Database of Origin,RELAB
Other Information,Coal
References,
Resolution,9.0
Material class,Rock
Sample Description,
Sample ID,N1CL04
Original Sample ID,CL-EAC-004
Viewing Geometry,unknown
Wavelength,Response
1800.0,0.15563
1800.7,0.15557
1801.3,0.15593
1801.9,0.15627
1802.6,0.15661
1803.2,0.15686
1803.8,0.15693
1804.4,0.15681
1805.1,0.15652
1805.7,0.15589
1806.3,0.15567
1806.9,0.15616
1807.6,0.15698
1808.2,0.15707
1808.8,0.15716
1809.5,0.15724
1810.1,0.15742
1810.7,0.15799
1811.4,0.15773
1812.0,0.15752
1812.6,0.15739
1813.3,0.15674
1813.9,0.15697
1814.5,0.15773
1815.2,0.15847
1815.8,0.15793
1816.4,0.15783
1817.1,0.1582
1817.7,0.15799
1818.4,0.15822
1819.0,0.15856
1819.6,0.15871
1820.3,0.15834
1820.9,0.1585
1821.6,0.15802
1822.2,0.15812
1822.8,0.15855
1823.5,0.15874
1824.1,0.159
1824.8,0.15882
1825.4,0.15884
1826.0,0.15834
1826.7,0.1582
1827.3,0.15837
1828.0,0.15868
1828.6,0.1582
1829.3,0.15822
1829.9,0.15891
1830.6,0.15959
1831.2,0.15986
1831.8,0.15991
1832.5,0.15935
1833.1,0.15921
1833.8,0.15917
1834.4,0.15938
1835.1,0.15952
1835.7,0.15963
1836.4,0.15942
1837.0,0.15964
1837.7,0.16033
1838.3,0.16076
1839.0,0.16069
1839.7,0.1601
1840.3,0.15934
1841.0,0.16008
1841.6,0.16016
1842.3,0.15984
1842.9,0.16041
1843.6,0.1613
1844.2,0.16101
1844.9,0.16067
1845.5,0.16048
1846.2,0.16108
1846.9,0.16119
1847.5,0.16124
1848.2,0.16145
1848.8,0.1614
1849.5,0.16108
1850.2,0.1611
1850.8,0.16112
1851.5,0.16126
1852.1,0.16175
1852.8,0.1617
1853.5,0.16184
1854.1,0.16223
1854.8,0.16177
1855.5,0.16118
1856.1,0.16107
1856.8,0.16167
1857.4,0.16239
1858.1,0.16288
1858.8,0.1625
1859.4,0.16208
1860.1,0.16233
1860.8,0.16287
1861.4,0.16278
1862.1,0.16253
1862.8,0.16297
1863.5,0.1634
1864.1,0.16322
1864.8,0.16325
1865.5,0.16341
1866.1,0.16315
1866.8,0.16292
1867.5,0.16274
1868.2,0.16294
1868.8,0.16347
1869.5,0.16359
1870.2,0.16298
1870.9,0.16215
1871.5,0.16251
1872.2,0.16354
1872.9,0.16351
1873.6,0.16284
1874.2,0.16293
1874.9,0.16373
1875.6,0.1644
1876.3,0.16401
1876.9,0.16373
1877.6,0.16372
1878.3,0.1637
1879.0,0.16385
1879.7,0.16417
1880.4,0.16393
1881.0,0.1639
1881.7,0.1644
1882.4,0.16497
1883.1,0.1648
1883.8,0.16462
1884.5,0.16451
1885.1,0.16468
1885.8,0.16469
1886.5,0.16472
1887.2,0.16489
1887.9,0.16538
1888.6,0.16507
1889.3,0.16514
1890.0,0.1657
1890.6,0.16508
1891.3,0.16454
1892.0,0.16457
1892.7,0.16474
1893.4,0.16512
1894.1,0.16506
1894.8,0.16534
1895.5,0.16557
1896.2,0.16568
1896.9,0.16568
1897.6,0.16593
1898.3,0.16547
1899.0,0.16509
1899.6,0.16511
1900.3,0.16551
1901.0,0.16589
1901.7,0.1666
1902.4,0.16709
1903.1,0.1665
1903.8,0.16588
1904.5,0.16599
1905.2,0.16585
1905.9,0.16614
1906.6,0.16629
1907.3,0.16601
1908.0,0.16579
1908.7,0.1658
1909.4,0.16678
1910.1,0.16698
1910.8,0.16628
1911.6,0.16632
1912.3,0.16657
1913.0,0.16651
1913.7,0.16715
1914.4,0.16744
1915.1,0.16733
1915.8,0.16715
1916.5,0.16712
1917.2,0.16767
1917.9,0.16741
1918.6,0.16709
1919.3,0.16682
1920.0,0.16667
1920.8,0.16684
1921.5,0.16727
1922.2,0.16744
1922.9,0.16739
1923.6,0.1679
1924.3,0.16846
1925.0,0.16857
1925.8,0.16853
1926.5,0.16825
1927.2,0.16837
1927.9,0.16839
1928.6,0.16842
1929.3,0.16843
1930.1,0.16855
1930.8,0.16873
1931.5,0.1685
1932.2,0.16843
1932.9,0.1685
1933.7,0.1684
1934.4,0.16824
1935.1,0.16854
1935.8,0.16877
1936.5,0.16914
1937.3,0.16896
1938.0,0.16868
1938.7,0.1686
1939.4,0.16898
1940.2,0.16922
1940.9,0.16887
1941.6,0.1692
1942.4,0.16941
1943.1,0.16938
1943.8,0.16939
1944.5,0.16935
1945.3,0.16961
1946.0,0.16971
1946.7,0.17011
1947.5,0.17002
1948.2,0.1694
1948.9,0.16929
1949.7,0.16948
1950.4,0.16934
1951.1,0.16925
1951.9,0.16962
1952.6,0.17015
1953.3,0.17029
1954.1,0.17053
1954.8,0.17083
1955.5,0.17035
1956.3,0.17002
1957.0,0.17014
1957.8,0.17054
1958.5,0.17107
1959.2,0.17119
1960.0,0.17107
1960.7,0.17063
1961.5,0.1705
1962.2,0.17098
1962.9,0.17104
1963.7,0.17058
1964.4,0.17039
1965.2,0.1711
1965.9,0.17157
1966.7,0.1714
1967.4,0.1714
1968.2,0.17145
1968.9,0.17167
1969.7,0.17183
1970.4,0.17184
1971.2,0.17186
1971.9,0.17173
1972.7,0.17194
1973.4,0.17215
1974.2,0.17232
1974.9,0.17235
1975.7,0.17217
1976.4,0.17235
1977.2,0.17222
1977.9,0.17205
1978.7,0.17219
1979.4,0.17251
1980.2,0.17243
1980.9,0.17235
1981.7,0.17241
1982.5,0.17273
1983.2,0.17267
1984.0,0.17253
1984.7,0.17247
1985.5,0.17226
1986.3,0.17258
1987.0,0.17298
1987.8,0.17292
1988.5,0.17306
1989.3,0.1732
1990.1,0.17335
1990.8,0.1732
1991.6,0.17316
1992.4,0.17297
1993.1,0.17326
1993.9,0.17361
1994.7,0.17385
1995.4,0.17358
1996.2,0.17328
1997.0,0.17332
1997.7,0.17337
1998.5,0.17343
1999.3,0.17342
2000.1,0.17364
2000.8,0.17341
2001.6,0.17383
2002.4,0.1739
2003.1,0.17387
2003.9,0.17419
2004.7,0.17413
2005.5,0.17407
2006.2,0.17377
2007.0,0.17384
2007.8,0.17435
2008.6,0.17451
2009.4,0.17456
2010.1,0.17462
2010.9,0.17485
2011.7,0.17473
2012.5,0.17462
2013.3,0.17464
2014.0,0.17508
2014.8,0.17502
2015.6,0.175
2016.4,0.17475
2017.2,0.17512
2018.0,0.17513
2018.7,0.17516
2019.5,0.17514
2020.3,0.17545
2021.1,0.17548
2021.9,0.17529
2022.7,0.17501
2023.5,0.17514
2024.3,0.17565
2025.1,0.17607
2025.8,0.17587
2026.6,0.1755
2027.4,0.17567
2028.2,0.17564
2029.0,0.17581
2029.8,0.176
2030.6,0.17579
2031.4,0.17603
2032.2,0.17632
2033.0,0.17653
2033.8,0.17642
2034.6,0.1765
2035.4,0.17676
2036.2,0.17669
2037.0,0.17678
2037.8,0.17694
2038.6,0.1769
2039.4,0.17638
2040.2,0.17613
2041.0,0.17668
2041.8,0.17693
2042.6,0.17673
2043.4,0.17672
2044.2,0.17687
2045.0,0.17687
2045.8,0.1771
2046.6,0.17747
2047.4,0.17725
2048.3,0.17695
2049.1,0.17711
2049.9,0.17731
2050.7,0.17762
2051.5,0.17745
2052.3,0.17714
2053.1,0.1768
2053.9,0.17686
2054.8,0.17724
2055.6,0.17747
2056.4,0.17768
2057.2,0.17771
2058.0,0.17735
2058.8,0.17737
2059.6,0.17758
2060.5,0.17774
2061.3,0.1776
2062.1,0.17733
2062.9,0.17694
2063.7,0.17725
2064.6,0.17775
2065.4,0.17808
2066.2,0.17792
2067.0,0.17782
2067.9,0.17829
2068.7,0.17834
2069.5,0.17828
2070.3,0.17864
2071.2,0.17874
2072.0,0.17838
2072.8,0.17822
2073.7,0.1783
2074.5,0.17823
2075.3,0.17839
2076.1,0.1785
2077.0,0.1783
2077.8,0.17857
2078.6,0.17849
2079.5,0.17817
2080.3,0.17843
2081.1,0.17859
2082.0,0.17852
2082.8,0.17857
2083.7,0.17846
2084.5,0.17857
2085.3,0.17847
2086.2,0.17826
2087.0,0.17828
2087.9,0.1784
2088.7,0.17836
2089.5,0.17849
2090.4,0.17857
2091.2,0.17884
2092.1,0.17881
2092.9,0.17909
2093.8,0.17894
2094.6,0.17828
2095.4,0.17834
2096.3,0.17866
2097.1,0.17856
2098.0,0.17875
2098.8,0.17875
2099.7,0.17887
2100.5,0.17914
2101.4,0.17909
2102.2,0.17912
2103.1,0.1792
2104.0,0.17903
2104.8,0.17897
2105.7,0.17945
2106.5,0.1794
2107.4,0.17936
2108.2,0.17968
2109.1,0.17945
2109.9,0.17977
2110.8,0.18008
2111.7,0.18024
2112.5,0.18022
2113.4,0.17988
2114.2,0.17998
