Composition,
Date Added,2006-04-25
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,En 97.5 Fs 2.5 (A) <45 um
Maximum Wavelength,49859
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,"PGG from Don Lindsley.  See Klima, R. L. et al. (2007) Meteoritics & Planetary Science 42, 235-253."
Sample ID,BKR1DL064A
Original Sample ID,DL-CMP-064-A
Viewing Geometry,
Wavelength,Response
300.0,486.47
305.0,489.42
310.0,496.28
315.0,509.56
320.0,523.84
325.0,543.48
330.0,561.95
335.0,570.26
340.0,580.9
345.0,586.46
350.0,591.07
355.0,595.69
360.0,599.56
365.0,602.51
370.0,604.27
375.0,606.91
380.0,608.33
385.0,610.98
390.0,611.38
395.0,612.26
400.0,616.34
405.0,619.24
410.0,621.04
415.0,622.02
420.0,622.97
425.0,623.21
430.0,625.47
435.0,628.58
440.0,630.55
445.0,632.45
450.0,634.98
455.0,636.17
460.0,639.29
465.0,641.96
470.0,644.27
475.0,647.27
480.0,650.14
485.0,652.81
490.0,655.69
495.0,658.74
500.0,660.43
505.0,657.69
510.0,664.72
515.0,667.45
520.0,669.92
525.0,671.9
530.0,673.92
535.0,674.96
540.0,675.42
545.0,676.85
550.0,677.49
555.0,679.1
560.0,681.89
565.0,683.52
570.0,685.19
575.0,687.26
580.0,687.9
585.0,689.7
590.0,690.85
595.0,691.87
600.0,693.24
605.0,694.19
610.0,694.37
615.0,696.19
620.0,697.06
625.0,698.75
630.0,699.26
635.0,699.45
640.0,700.9
645.0,701.95
650.0,703.24
655.0,704.33
660.0,705.88
665.0,706.77
670.0,707.21
675.0,708.17
680.0,709.1
685.0,710.79
690.0,711.42
695.0,711.24
700.0,713.34
705.0,712.59
710.0,712.97
715.0,712.86
720.0,712.08
725.0,711.83
730.0,710.63
735.0,709.37
740.0,707.78
745.0,704.7
750.0,703.6
755.0,700.24
760.0,695.6
765.0,691.57
770.0,686.43
775.0,680.04
780.0,673.79
785.0,666.09
790.0,657.77
795.0,648.81
800.0,641.93
805.0,632.18
810.0,620.75
815.0,609.73
820.0,598.73
825.0,587.38
830.0,575.54
835.0,565.51
840.0,554.4
845.0,543.78
850.0,533.81
855.0,520.26
860.0,513.46
865.0,502.55
870.0,495.37
875.0,489.1
880.0,483.01
885.0,477.7
890.0,473.35
895.0,469.91
900.0,468.74
905.0,466.72
910.0,467.44
915.0,469.56
920.0,472.96
925.0,476.62
930.0,482.62
935.0,489.36
940.0,497.54
945.0,507.37
950.0,516.68
955.0,528.17
960.0,539.98
965.0,553.26
970.0,566.53
975.0,580.43
980.0,592.96
985.0,606.1
990.0,619.88
995.0,633.59
1000.0,645.14
1005.0,656.73
1010.0,668.2
1015.0,678.21
1020.0,687.82
1025.0,697.09
1030.0,704.71
1035.0,712.43
1040.0,718.8
1045.0,724.21
1050.0,729.69
1055.0,734.06
1060.0,737.57
1065.0,741.37
1070.0,743.85
1075.0,746.47
1080.0,748.89
1085.0,750.21
1090.0,752.32
1095.0,754.11
1100.0,755.48
1105.0,756.55
1110.0,757.38
1115.0,759.06
1120.0,760.76
1125.0,762.22
1130.0,762.76
1135.0,763.93
1140.0,764.39
1145.0,765.56
1150.0,766.62
1155.0,767.01
1160.0,768.21
1165.0,769.05
1170.0,770.14
1175.0,770.68
1180.0,771.84
1185.0,773.5
1190.0,774.89
1195.0,774.94
1200.0,775.8
1205.0,777.05
1210.0,777.65
1215.0,779.08
1220.0,780.33
1225.0,781.7
1230.0,781.7
1235.0,782.98
1240.0,783.81
1245.0,784.73
1250.0,785.48
1255.0,785.79
1260.0,787.1
1265.0,788.19
1270.0,788.87
1275.0,789.54
1280.0,790.11
1285.0,789.75
1290.0,790.73
1295.0,791.5
1300.0,791.59
1305.0,791.89
1310.0,792.07
1315.0,792.64
1320.0,792.99
1325.0,792.05
1330.0,792.84
1335.0,792.69
1340.0,793.21
1345.0,793.52
1350.0,794.11
1355.0,794.56
1360.0,795.03
1365.0,794.72
1370.0,794.3
1375.0,793.19
1380.0,791.22
1385.0,790.31
1390.0,789.74
1395.0,787.42
1400.0,785.03
1405.0,783.86
1410.0,782.19
1415.0,780.79
1420.0,778.3
1425.0,777.04
1430.0,776.19
1435.0,774.78
1440.0,773.37
1445.0,772.0
1450.0,770.44
1455.0,767.62
1460.0,766.02
1465.0,764.62
1470.0,763.54
1475.0,760.84
1480.0,758.95
1485.0,756.1
1490.0,754.04
1495.0,752.25
1500.0,749.36
1505.0,747.56
1510.0,745.11
1515.0,743.01
1520.0,739.96
1525.0,738.33
1530.0,735.5
1535.0,733.3
1540.0,729.95
1545.0,728.22
1550.0,725.76
1555.0,722.5
1560.0,719.45
1565.0,716.86
1570.0,714.16
1575.0,711.94
1580.0,709.29
1585.0,706.39
1590.0,703.69
1595.0,701.19
1600.0,698.25
1605.0,695.86
1610.0,693.42
1615.0,690.94
1620.0,688.75
1625.0,685.51
1630.0,682.54
1635.0,679.9
1640.0,677.56
1645.0,674.86
1650.0,672.69
1655.0,670.68
1660.0,668.35
1665.0,666.82
1670.0,664.9
1675.0,662.75
1680.0,660.24
1685.0,658.44
1690.0,656.43
1695.0,654.6
1700.0,653.69
1705.0,651.1
1710.0,649.34
1715.0,647.84
1720.0,645.89
