Composition,
Date Added,1990-09-27
Formula,
Grain Size Description,<45.0um
Grain Size,25.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,Blue Glass
Maximum Wavelength,2500
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Glass
Sample Description,
Sample ID,CBGS30
Original Sample ID,GS-CMP-030-B
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,314.62
310.0,431.87
320.0,531.63
330.0,622.11
340.0,690.61
350.0,738.11
360.0,769.53
370.0,787.6
380.0,800.26
390.0,807.58
400.0,811.73
410.0,807.21
420.0,805.41
430.0,794.69
440.0,784.06
450.0,773.71
460.0,754.77
470.0,727.35
480.0,692.69
490.0,660.66
500.0,638.04
510.0,608.79
520.0,587.69
530.0,572.38
540.0,576.12
550.0,593.91
560.0,595.74
570.0,568.13
580.0,524.34
590.0,495.18
600.0,494.7
610.0,497.58
620.0,497.56
630.0,491.62
640.0,484.45
650.0,484.1
660.0,494.11
670.0,516.22
680.0,550.47
690.0,589.54
700.0,617.36
710.0,633.16
720.0,638.27
730.0,640.7
740.0,641.32
750.0,641.74
760.0,642.67
770.0,642.06
780.0,641.97
790.0,643.03
800.0,643.96
810.0,644.58
820.0,647.86
830.0,649.65
840.0,651.59
850.0,653.36
860.0,656.67
870.0,657.86
880.0,659.75
890.0,663.43
900.0,663.69
910.0,667.36
920.0,673.25
930.0,678.41
940.0,681.78
950.0,684.41
960.0,686.57
970.0,690.25
980.0,693.97
990.0,696.79
1000.0,697.7
1010.0,701.73
1020.0,703.01
1030.0,706.61
1040.0,707.2
1050.0,708.03
1060.0,709.42
1070.0,710.27
1080.0,712.02
1090.0,711.59
1100.0,711.5
1110.0,710.83
1120.0,709.59
1130.0,709.31
1140.0,707.57
1150.0,705.48
1160.0,704.43
1170.0,702.74
1180.0,701.09
1190.0,699.72
1200.0,696.02
1210.0,695.05
1220.0,694.27
1230.0,695.1
1240.0,694.39
1250.0,695.93
1260.0,696.5
1270.0,698.78
1280.0,700.64
1290.0,702.96
1300.0,705.58
1310.0,707.45
1320.0,710.68
1330.0,712.48
1340.0,714.42
1350.0,714.48
1360.0,716.87
1370.0,718.98
1380.0,717.24
1390.0,718.51
1400.0,719.1
1410.0,717.24
1420.0,715.7
1430.0,713.41
1440.0,712.37
1450.0,712.14
1460.0,711.33
1470.0,712.15
1480.0,711.87
1490.0,711.88
1500.0,712.04
1510.0,714.35
1520.0,715.06
1530.0,718.45
1540.0,718.31
1550.0,721.8
1560.0,723.48
1570.0,725.97
1580.0,726.98
1590.0,730.16
1600.0,733.04
1610.0,733.71
1620.0,735.65
1630.0,734.02
1640.0,736.87
1650.0,735.98
1660.0,736.4
1670.0,738.16
1680.0,737.1
1690.0,738.83
1700.0,740.18
1710.0,738.7
1720.0,738.87
1730.0,737.3
1740.0,736.99
1750.0,738.86
1760.0,739.42
1770.0,739.77
1780.0,739.83
1790.0,741.93
1800.0,742.67
1810.0,744.45
1820.0,746.36
1830.0,745.7
1840.0,748.0
1850.0,750.0
1860.0,751.37
1870.0,753.34
1880.0,752.81
1890.0,755.01
1900.0,751.9
1910.0,755.02
1920.0,760.67
1930.0,763.11
1940.0,768.36
1950.0,772.67
1960.0,776.02
1970.0,779.61
1980.0,782.72
1990.0,785.77
2000.0,788.14
2010.0,789.84
2020.0,793.37
2030.0,794.73
2040.0,797.5
2050.0,800.1
2060.0,800.38
2070.0,802.83
2080.0,803.59
2090.0,806.59
2100.0,808.05
2110.0,811.27
2120.0,813.61
2130.0,813.98
2140.0,813.41
2150.0,815.14
2160.0,814.22
2170.0,812.93
2180.0,813.83
2190.0,814.69
2200.0,814.87
2210.0,816.34
2220.0,817.98
2230.0,819.68
2240.0,820.44
2250.0,824.27
2260.0,826.25
2270.0,828.73
2280.0,830.8
2290.0,834.06
2300.0,836.34
2310.0,838.24
2320.0,839.81
2330.0,838.91
2340.0,842.11
2350.0,839.3
2360.0,839.73
2370.0,841.1
2380.0,840.45
2390.0,839.87
2400.0,840.42
2410.0,839.84
2420.0,840.64
2430.0,836.74
2440.0,837.4
2450.0,836.31
2460.0,836.01
2470.0,831.85
2480.0,832.1
2490.0,833.95
2500.0,831.2
