Composition,
Date Added,1995-09-30
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,90% #117 + 10% #129
Maximum Wavelength,24923
Database of Origin,ReLab
Other Information,
References,
Resolution,8.0
Material Class,Mineral
Sample Description,90% #117 <45 micron+10% #129 <5 micron  
Sample ID,995F133
Original Sample ID,JB-CMP-133
Viewing Geometry,
Wavelength,Response
300.0,28.12
305.0,28.93
310.0,27.63
315.0,25.91
320.0,25.9
325.0,25.49
330.0,24.89
335.0,25.31
340.0,25.2
345.0,25.81
350.0,26.57
355.0,27.02
360.0,27.79
365.0,28.91
370.0,30.41
375.0,31.77
380.0,33.38
385.0,35.0
390.0,36.91
395.0,38.89
400.0,40.94
405.0,42.94
410.0,44.64
415.0,46.5
420.0,48.67
425.0,51.14
430.0,53.94
435.0,56.52
440.0,58.91
445.0,61.09
450.0,62.94
455.0,64.27
460.0,65.13
465.0,65.69
470.0,66.15
475.0,66.74
480.0,67.36
485.0,68.27
490.0,69.81
495.0,72.27
500.0,75.18
505.0,78.64
510.0,82.84
515.0,87.55
520.0,92.26
525.0,97.55
530.0,102.04
535.0,106.59
540.0,110.43
545.0,114.29
550.0,117.76
555.0,121.4
560.0,125.35
565.0,130.3
570.0,136.3
575.0,143.63
580.0,152.03
585.0,161.77
590.0,171.31
595.0,180.21
600.0,188.5
605.0,195.38
610.0,200.96
615.0,205.55
620.0,209.41
625.0,212.91
630.0,215.58
635.0,218.13
640.0,221.11
645.0,224.09
650.0,227.02
655.0,230.77
660.0,233.7
665.0,237.19
670.0,241.86
675.0,246.38
680.0,251.01
685.0,255.81
690.0,260.71
695.0,266.22
700.0,271.74
705.0,276.95
710.0,282.21
715.0,287.8
720.0,292.37
725.0,296.19
730.0,299.37
735.0,302.72
740.0,306.05
745.0,308.09
750.0,309.24
755.0,310.18
760.0,309.9
765.0,309.38
770.0,307.6
775.0,306.41
780.0,304.89
785.0,303.38
790.0,301.57
795.0,299.64
800.0,297.41
805.0,294.98
810.0,293.4
815.0,291.56
820.0,289.37
825.0,288.22
830.0,286.53
835.0,285.45
840.0,284.38
845.0,283.12
850.0,282.85
855.0,282.59
860.0,282.68
865.0,281.97
870.0,282.97
875.0,284.05
880.0,285.04
885.0,286.63
890.0,287.98
895.0,289.73
900.0,292.38
905.0,294.99
910.0,298.2
915.0,301.02
920.0,304.04
925.0,308.06
930.0,312.03
935.0,315.41
940.0,320.54
945.0,325.31
950.0,329.64
955.0,334.76
960.0,339.87
965.0,344.83
970.0,349.84
975.0,355.14
980.0,360.23
985.0,365.31
990.0,369.48
995.0,374.28
1000.0,378.21
1005.0,381.92
1010.0,385.73
1015.0,388.71
1020.0,391.55
1025.0,394.09
1030.0,396.48
1035.0,398.62
1040.0,401.07
1045.0,403.02
1050.0,404.33
1055.0,406.33
1060.0,407.93
1065.0,408.88
1070.0,410.15
1075.0,411.59
1080.0,412.59
1085.0,413.94
1090.0,414.44
1095.0,415.42
1100.0,416.41
1105.0,417.17
1110.0,418.12
1115.0,419.19
1120.0,419.86
1125.0,420.69
1130.0,420.88
1135.0,420.84
1140.0,421.75
1145.0,421.79
1150.0,421.68
1155.0,421.91
1160.0,422.52
1165.0,422.84
1170.0,422.78
1175.0,422.9
1180.0,423.27
1185.0,422.93
1190.0,423.16
1195.0,422.7
1200.0,423.35
1205.0,423.08
1210.0,422.69
1215.0,422.83
1220.0,422.5
1225.0,422.0
1230.0,421.86
1235.0,422.05
1240.0,421.64
1245.0,420.86
1250.0,420.37
1255.0,420.33
1260.0,420.08
1265.0,419.79
1270.0,419.43
1275.0,418.62
1280.0,418.56
1285.0,417.85
1290.0,417.33
1295.0,417.24
1300.0,416.49
1305.0,416.5
1310.0,415.68
1315.0,415.25
1320.0,415.19
1325.0,413.87
1330.0,413.89
1335.0,413.33
1340.0,412.86
1345.0,411.77
1350.0,411.23
1355.0,410.45
1360.0,409.48
1365.0,408.87
1370.0,408.23
1375.0,406.92
1380.0,404.76
1381.0,404.62
1381.7,404.57
1382.4,404.58
1383.2,404.35
1383.9,404.19
1384.7,404.07
1385.4,403.8
1386.1,403.54
1386.9,403.28
1387.6,403.18
1388.4,403.06
1389.1,403.06
1389.8,402.92
1390.6,402.51
1391.3,402.23
1392.1,402.03
1392.8,401.61
1393.6,401.22
1394.3,400.91
1395.1,400.52
1395.8,400.14
1396.6,399.79
1397.3,399.6
1398.1,399.17
1398.8,398.62
1399.6,398.24
1400.4,397.93
1401.1,397.56
1401.9,397.16
1402.6,396.72
1403.4,396.4
1404.2,395.91
1404.9,395.46
1405.7,395.22
1406.4,395.02
1407.2,394.72
1408.0,394.49
1408.7,394.14
1409.5,393.9
1410.3,393.79
1411.0,393.76
1411.8,393.84
1412.6,394.0
1413.3,394.1
1414.1,394.03
1414.9,394.11
1415.7,394.29
1416.4,394.53
1417.2,394.82
1418.0,395.04
1418.8,395.39
1419.5,395.87
1420.3,396.2
1421.1,396.53
1421.9,396.94
1422.6,397.31
1423.4,397.67
1424.2,397.99
1425.0,398.28
1425.8,398.64
1426.6,399.07
1427.3,399.4
1428.1,399.57
1428.9,399.77
1429.7,400.07
1430.5,400.34
1431.3,400.53
1432.1,400.71
1432.9,400.9
1433.7,400.98
1434.5,401.23
1435.3,401.49
1436.0,401.63
1436.8,401.81
1437.6,401.91
1438.4,402.1
1439.2,402.3
1440.0,402.46
1440.8,402.55
1441.6,402.62
1442.4,402.57
1443.2,402.76
1444.0,402.96
1444.9,402.92
1445.7,402.92
1446.5,403.05
1447.3,403.12
1448.1,403.09
1448.9,403.17
1449.7,403.27
1450.5,403.24
1451.3,403.27
1452.1,403.34
1453.0,403.36
1453.8,403.39
1454.6,403.36
1455.4,403.39
1456.2,403.47
1457.0,403.5
1457.9,403.37
1458.7,403.35
1459.5,403.41
1460.3,403.42
1461.1,403.35
1462.0,403.43
1462.8,403.52
1463.6,403.47
1464.4,403.46
1465.3,403.58
1466.1,403.63
1466.9,403.62
1467.8,403.54
1468.6,403.52
1469.4,403.46
1470.3,403.38
1471.1,403.43
1471.9,403.61
1472.8,403.51
1473.6,403.33
1474.4,403.36
1475.3,403.49
1476.1,403.49
1477.0,403.46
1477.8,403.6
1478.6,403.69
1479.5,403.71
1480.3,403.64
1481.2,403.56
1482.0,403.47
1482.9,403.5
1483.7,403.55
1484.6,403.56
1485.4,403.51
1486.3,403.55
1487.1,403.53
1488.0,403.57
1488.8,403.51
1489.7,403.47
1490.6,403.46
1491.4,403.56
1492.3,403.58
1493.1,403.59
1494.0,403.57
1494.8,403.45
1495.7,403.38
1496.6,403.44
1497.4,403.5
1498.3,403.6
1499.2,403.64
1500.0,403.63
1500.9,403.67
1501.8,403.56
1502.6,403.39
1503.5,403.34
1504.4,403.44
1505.3,403.56
1506.1,403.7
1507.0,403.59
1507.9,403.51
1508.8,403.45
1509.6,403.56
1510.5,403.56
1511.4,403.4
1512.3,403.4
1513.2,403.51
1514.1,403.3
1514.9,403.22
1515.8,403.25
1516.7,403.31
1517.6,403.25
1518.5,403.33
1519.4,403.33
1520.3,403.29
1521.2,403.27
1522.1,403.21
1523.0,403.17
1523.8,403.24
1524.7,403.19
1525.6,403.19
1526.5,403.2
1527.4,403.24
1528.3,403.24
1529.2,403.2
1530.1,403.16
1531.0,403.23
1532.0,403.31
1532.9,403.23
1533.8,403.18
1534.7,403.16
1535.6,403.18
1536.5,403.12
1537.4,403.01
1538.3,402.96
1539.2,402.94
1540.1,403.0
1541.1,403.07
1542.0,403.05
1542.9,402.94
1543.8,402.95
1544.7,403.0
1545.7,402.85
1546.6,402.95
1547.5,402.95
1548.4,402.87
1549.4,402.8
1550.3,402.78
1551.2,402.74
1552.1,402.85
1553.1,402.76
1554.0,402.75
1554.9,402.79
1555.9,402.78
1556.8,402.81
1557.7,402.8
1558.7,402.65
1559.6,402.7
1560.5,402.77
1561.5,402.66
1562.4,402.69
1563.4,402.63
1564.3,402.55
1565.3,402.48
1566.2,402.43
1567.2,402.5
1568.1,402.54
1569.0,402.54
1570.0,402.6
1571.0,402.64
1571.9,402.51
1572.9,402.58
1573.8,402.73
1574.8,402.63
1575.7,402.5
1576.7,402.57
1577.6,402.47
1578.6,402.3
1579.6,402.36
1580.5,402.46
1581.5,402.56
1582.5,402.49
1583.4,402.37
1584.4,402.32
1585.4,402.21
1586.3,402.13
1587.3,402.24
1588.3,402.25
1589.3,402.34
1590.2,402.43
1591.2,402.35
1592.2,402.3
1593.2,402.3
1594.1,402.25
1595.1,402.2
1596.1,402.25
1597.1,402.23
1598.1,402.15
1599.1,402.21
1600.0,402.11
1601.0,402.05
1602.0,402.16
1603.0,402.12
1604.0,402.08
1605.0,402.02
1606.0,401.89
1607.0,401.98
1608.0,402.04
1609.0,401.91
1610.0,401.76
1611.0,401.79
1612.0,401.79
1613.0,401.77
1614.0,401.76
1615.0,401.72
1616.0,401.68
1617.0,401.61
1618.0,401.65
1619.0,401.58
1620.0,401.48
1621.1,401.54
1622.1,401.54
1623.1,401.57
1624.1,401.69
1625.1,401.69
1626.1,401.7
1627.2,401.63
1628.2,401.56
1629.2,401.6
1630.2,401.76
1631.3,401.57
1632.3,401.43
1633.3,401.55
1634.3,401.58
1635.4,401.53
1636.4,401.45
1637.4,401.37
1638.5,401.28
1639.5,401.18
1640.5,401.39
1641.6,401.51
1642.6,401.6
1643.7,401.57
1644.7,401.39
1645.8,401.27
1646.8,401.39
1647.8,401.38
1648.9,401.36
1649.9,401.41
1651.0,401.4
1652.1,401.29
1653.1,401.22
1654.2,401.34
1655.2,401.2
1656.3,401.19
1657.3,401.2
1658.4,401.21
1659.5,401.27
1660.5,401.19
1661.6,401.19
1662.6,401.32
1663.7,401.34
1664.8,401.38
1665.9,401.4
1666.9,401.34
1668.0,401.35
1669.1,401.3
1670.1,401.14
1671.2,401.1
1672.3,401.12
1673.4,401.09
1674.5,401.17
1675.5,401.27
1676.6,401.25
1677.7,401.15
1678.8,401.16
1679.9,401.25
1681.0,401.42
1682.1,401.41
1683.2,401.36
1684.3,401.41
1685.3,401.36
1686.4,401.37
1687.5,401.39
1688.6,401.33
1689.7,401.39
1690.8,401.51
1692.0,401.58
1693.1,401.67
1694.2,401.61
1695.3,401.42
1696.4,401.53
1697.5,401.5
1698.6,401.32
1699.7,401.43
1700.8,401.73
1701.9,401.81
1703.1,401.87
1704.2,401.86
1705.3,401.74
1706.4,401.59
1707.6,401.55
1708.7,401.56
1709.8,401.5
1710.9,401.46
1712.1,401.38
1713.2,401.23
1714.3,401.07
1715.5,400.97
1716.6,401.05
1717.7,401.16
1718.9,401.12
1720.0,401.01
1721.2,400.9
1722.3,401.03
1723.4,401.08
1724.6,400.94
1725.7,400.92
1726.9,400.82
1728.0,400.71
1729.2,400.76
1730.4,400.9
1731.5,400.89
1732.7,400.94
1733.8,400.83
1735.0,400.86
1736.1,400.89
1737.3,400.88
1738.5,400.96
1739.6,400.87
1740.8,400.87
1742.0,400.94
1743.2,400.94
1744.3,400.99
1745.5,401.02
1746.7,401.0
1747.9,401.02
1749.0,400.94
1750.2,400.88
1751.4,400.98
1752.6,401.02
1753.8,400.89
1755.0,400.78
1756.1,400.65
1757.3,400.59
1758.5,400.57
1759.7,400.4
1760.9,400.42
1762.1,400.46
1763.3,400.32
1764.5,400.37
