Composition,
Date Added,1993-04-27
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,DH2-7b 
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Sediment
Sample Description,"Antarctic sediment core, dive hole #2   "
Sample ID,C1JB91
Original Sample ID,JB-CMP-091
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,157.87
305.0,161.22
310.0,166.26
315.0,172.24
320.0,178.14
325.0,184.52
330.0,191.18
335.0,197.8
340.0,204.38
345.0,210.66
350.0,220.21
355.0,226.64
360.0,233.81
365.0,240.27
370.0,247.81
375.0,256.18
380.0,265.39
385.0,273.98
390.0,281.57
395.0,289.25
400.0,295.14
405.0,301.27
410.0,314.79
415.0,321.18
420.0,328.18
425.0,337.1
430.0,349.5
435.0,359.9
440.0,370.57
445.0,381.31
450.0,391.3
455.0,399.79
460.0,407.09
465.0,413.49
470.0,419.72
475.0,424.78
480.0,430.71
485.0,437.33
490.0,444.48
495.0,451.15
500.0,458.55
505.0,466.75
510.0,475.12
515.0,483.86
520.0,491.15
525.0,499.39
530.0,506.31
535.0,513.24
540.0,519.1
545.0,526.1
550.0,531.67
555.0,536.94
560.0,543.38
565.0,547.53
570.0,552.46
575.0,556.45
580.0,559.85
585.0,563.59
590.0,567.06
595.0,569.64
600.0,572.64
605.0,576.85
610.0,578.48
615.0,580.32
620.0,582.39
625.0,583.89
630.0,585.56
635.0,587.77
640.0,589.39
645.0,591.84
650.0,593.67
655.0,595.48
660.0,597.23
665.0,598.79
670.0,600.43
675.0,602.83
680.0,605.39
685.0,606.76
690.0,608.46
695.0,610.32
700.0,613.11
705.0,614.43
710.0,616.0
715.0,618.02
720.0,619.09
725.0,621.8
730.0,622.3
735.0,625.12
740.0,626.66
745.0,627.83
750.0,628.29
755.0,630.82
760.0,633.88
765.0,635.83
770.0,637.77
775.0,639.29
780.0,640.99
785.0,643.19
790.0,644.38
795.0,645.16
800.0,645.01
805.0,646.15
810.0,647.72
815.0,648.14
820.0,648.43
825.0,648.97
830.0,649.7
835.0,650.12
840.0,649.96
845.0,650.02
850.0,650.12
855.0,650.73
860.0,651.85
865.0,651.49
870.0,650.79
875.0,650.8
880.0,650.94
885.0,649.56
890.0,649.32
895.0,649.38
900.0,649.85
905.0,651.04
910.0,649.3
915.0,649.42
920.0,649.66
925.0,649.18
930.0,649.41
935.0,650.18
940.0,650.97
945.0,650.35
950.0,652.65
955.0,651.87
960.0,652.36
965.0,654.04
970.0,654.95
975.0,655.61
980.0,656.07
985.0,656.16
990.0,657.27
995.0,658.84
1000.0,658.54
1005.0,659.06
1010.0,658.85
1015.0,660.65
1020.0,660.09
1025.0,661.57
1030.0,660.83
1035.0,662.28
1040.0,662.66
1045.0,662.78
1050.0,666.05
1055.0,665.61
1060.0,664.95
1065.0,667.09
1070.0,667.5
1075.0,667.98
1080.0,668.73
1085.0,669.13
1090.0,668.4
1095.0,670.87
1100.0,671.87
1105.0,671.78
1110.0,673.51
1115.0,672.11
1120.0,673.31
1125.0,675.28
1130.0,675.95
1135.0,677.24
1140.0,675.63
1145.0,677.12
1150.0,677.91
1155.0,677.77
1160.0,678.51
1165.0,680.07
1170.0,680.29
1175.0,678.9
1180.0,679.52
1185.0,680.72
1190.0,680.62
1195.0,680.42
1200.0,681.37
1205.0,682.28
1210.0,683.25
1215.0,684.82
1220.0,684.96
1225.0,686.31
1230.0,686.08
1235.0,686.75
1240.0,689.5
1245.0,687.72
1250.0,689.25
1255.0,690.07
1260.0,690.86
1265.0,690.13
1270.0,690.4
1275.0,692.69
1280.0,691.86
1285.0,691.12
1290.0,692.84
1295.0,693.34
1300.0,694.09
1305.0,694.18
1310.0,695.67
1315.0,696.73
1320.0,695.5
1325.0,696.27
1330.0,696.05
1335.0,695.78
1340.0,698.35
1345.0,696.1
1350.0,693.18
1355.0,694.89
1360.0,689.1
1365.0,696.06
1370.0,698.78
1375.0,694.7
1380.0,685.12
1385.0,701.46
1390.0,688.82
1395.0,690.69
1400.0,688.06
1405.0,684.38
1410.0,684.88
1415.0,686.64
1420.0,684.98
1425.0,683.15
1430.0,681.6
1435.0,681.97
1440.0,684.21
1445.0,683.4
1450.0,682.32
1455.0,685.86
1460.0,685.51
1465.0,686.67
1470.0,686.5
1475.0,685.8
1480.0,691.55
1485.0,690.17
1490.0,692.85
1495.0,694.28
1500.0,693.74
1505.0,694.19
1510.0,698.29
1515.0,696.7
1520.0,698.09
1525.0,698.26
1530.0,700.58
1535.0,702.2
1540.0,702.88
1545.0,702.62
1550.0,705.05
1555.0,705.22
1560.0,705.5
1565.0,706.53
1570.0,706.54
1575.0,706.85
1580.0,707.41
1585.0,707.85
1590.0,708.98
1595.0,710.09
1600.0,708.99
1605.0,709.66
1610.0,711.68
1615.0,710.43
1620.0,710.23
1625.0,709.32
1630.0,709.27
1635.0,708.33
1640.0,709.82
1645.0,709.45
1650.0,711.16
1655.0,710.12
1660.0,714.64
1665.0,710.77
1670.0,713.19
1675.0,711.01
1680.0,712.98
1685.0,712.09
1690.0,709.22
1695.0,712.08
1700.0,712.34
1705.0,712.64
1710.0,712.04
1715.0,710.94
1720.0,710.36
1725.0,709.01
1730.0,708.76
1735.0,708.56
1740.0,708.11
1745.0,708.46
1750.0,707.63
1755.0,707.03
1760.0,706.75
1765.0,705.73
1770.0,705.5
1775.0,704.91
1780.0,705.23
1785.0,705.4
1790.0,704.33
1795.0,703.52
1800.0,703.53
1805.0,705.15
1810.0,704.7
1815.0,704.33
1820.0,705.87
1825.0,705.45
1830.0,705.33
1835.0,704.06
1840.0,709.52
1845.0,706.77
1850.0,708.56
1855.0,704.02
1860.0,705.12
1865.0,697.71
1870.0,695.87
1875.0,700.36
1880.0,688.13
1885.0,677.82
1890.0,668.5
1895.0,652.15
1900.0,638.83
1905.0,631.43
1910.0,621.22
1915.0,614.85
1920.0,610.75
1925.0,610.39
1930.0,610.15
1935.0,610.8
