Composition,
Date Added,2015-03-01
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,"MIL05035,43 bulk D <45 um"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,C1LM46
Original Sample ID,LM-CMP-046
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,61.993
305.0,62.555
310.0,64.948
315.0,67.949
320.0,71.728
325.0,75.807
330.0,79.883
335.0,85.027
340.0,91.066
345.0,96.835
350.0,103.181
355.0,110.238
360.0,118.556
365.0,127.788
370.0,137.6
375.0,147.417
380.0,157.193
385.0,166.153
390.0,175.636
395.0,183.672
400.0,191.428
405.0,199.261
410.0,205.756
415.0,212.392
420.0,219.092
425.0,224.94
430.0,229.877
435.0,234.423
440.0,239.634
445.0,243.581
450.0,247.631
455.0,250.696
460.0,254.465
465.0,257.489
470.0,259.924
475.0,263.1
480.0,265.898
485.0,269.272
490.0,272.922
495.0,277.448
500.0,281.257
505.0,281.79
510.0,282.423
515.0,291.051
520.0,299.119
525.0,303.848
530.0,308.637
535.0,311.71
540.0,315.16
545.0,317.234
550.0,319.019
555.0,323.464
560.0,329.191
565.0,332.98
570.0,337.157
575.0,340.012
580.0,343.239
585.0,346.026
590.0,348.807
595.0,351.67
600.0,354.649
605.0,356.477
610.0,359.546
615.0,362.275
620.0,364.298
625.0,366.654
630.0,369.365
635.0,372.347
640.0,375.082
645.0,377.418
650.0,380.832
655.0,382.774
660.0,386.821
665.0,388.787
670.0,392.157
675.0,395.738
680.0,399.325
685.0,402.489
690.0,404.939
695.0,406.569
700.0,411.226
705.0,414.014
710.0,418.043
715.0,419.401
720.0,424.112
725.0,428.518
730.0,430.261
735.0,432.004
740.0,434.355
745.0,434.479
750.0,435.802
755.0,433.78
760.0,433.271
765.0,430.339
770.0,428.825
775.0,425.342
780.0,422.123
785.0,418.003
790.0,413.672
795.0,404.991
800.0,398.809
805.0,391.872
810.0,383.359
815.0,374.471
820.0,366.213
825.0,355.968
830.0,346.836
835.0,337.672
840.0,327.185
845.0,318.904
850.0,309.246
855.0,300.185
860.0,291.472
865.0,283.614
870.0,274.715
875.0,267.198
880.0,259.775
885.0,254.213
890.0,247.753
895.0,241.948
900.0,236.544
905.0,232.209
910.0,227.437
915.0,223.701
920.0,221.021
925.0,217.796
930.0,215.511
935.0,213.198
940.0,212.252
945.0,210.873
950.0,210.452
955.0,209.553
960.0,210.087
965.0,210.569
970.0,210.649
975.0,212.098
980.0,213.278
985.0,214.832
990.0,216.479
995.0,218.06
1000.0,221.192
1005.0,224.453
1010.0,226.573
1015.0,230.527
1020.0,233.511
1025.0,237.463
1030.0,241.02
1035.0,245.115
1040.0,249.145
1045.0,253.379
1050.0,258.9
1055.0,263.23
1060.0,268.948
1065.0,274.842
1070.0,280.784
1075.0,287.275
1080.0,293.348
1085.0,300.379
1090.0,308.348
1095.0,314.843
1100.0,321.321
1105.0,329.04
1110.0,335.912
1115.0,343.797
1120.0,349.667
1125.0,355.873
1130.0,362.081
1135.0,367.904
1140.0,373.73
1145.0,378.089
1150.0,383.619
1155.0,387.668
1160.0,393.102
1165.0,396.065
1170.0,399.514
1175.0,403.152
1180.0,406.613
1185.0,410.157
1190.0,411.023
1195.0,414.374
1200.0,416.117
1205.0,418.703
1210.0,420.593
1215.0,423.921
1220.0,424.345
1225.0,426.156
1230.0,429.169
1235.0,430.718
1240.0,432.164
1245.0,434.21
1250.0,435.397
1255.0,438.227
1260.0,438.633
1265.0,441.053
1270.0,443.024
1275.0,444.487
1280.0,446.649
1285.0,448.339
1290.0,450.402
1295.0,451.786
1300.0,454.017
1305.0,455.668
1310.0,457.814
1315.0,459.872
1320.0,462.11
1325.0,463.688
1330.0,465.265
1335.0,468.547
1340.0,469.447
1345.0,471.254
1350.0,473.049
1355.0,474.025
1360.0,475.862
1365.0,477.534
1370.0,478.914
1375.0,480.724
1380.0,483.627
1385.0,484.012
1390.0,485.37
1395.0,486.858
1400.0,488.135
1405.0,488.502
1410.0,490.355
1415.0,491.493
1420.0,493.249
1425.0,493.111
1430.0,495.115
1435.0,496.34
1440.0,497.261
1445.0,497.828
1450.0,499.029
1455.0,499.901
1460.0,500.078
1465.0,500.331
1470.0,501.316
1475.0,501.681
1480.0,502.06
1485.0,503.121
1490.0,502.166
1495.0,501.936
1500.0,502.849
1505.0,503.195
1510.0,502.953
1515.0,502.561
1520.0,502.237
1525.0,502.757
1530.0,502.467
1535.0,501.208
1540.0,501.055
1545.0,500.126
1550.0,500.088
1555.0,499.12
1560.0,498.37
1565.0,497.373
1570.0,496.28
1575.0,495.864
1580.0,494.252
1585.0,492.51
1590.0,492.063
1595.0,490.323
1600.0,489.286
1605.0,487.296
1610.0,486.018
1615.0,485.026
1620.0,483.604
1625.0,482.24
1630.0,479.636
1635.0,477.322
1640.0,477.255
1645.0,473.992
1650.0,472.175
1655.0,471.037
1660.0,469.49
1665.0,467.659
1670.0,465.265
1675.0,463.415
1680.0,461.557
1685.0,459.64
1690.0,457.548
1695.0,455.282
1700.0,453.237
1705.0,451.077
1710.0,449.032
1715.0,447.052
1720.0,444.713
1725.0,442.818
1730.0,440.213
1735.0,437.844
1740.0,435.536
1745.0,433.503
1750.0,431.319
1755.0,429.425
1760.0,427.022
1765.0,424.762
1770.0,422.679
1775.0,420.316
1780.0,418.444
1785.0,416.643
1790.0,414.352
1795.0,411.794
1800.0,410.208
1805.0,408.369
1810.0,406.085
1815.0,404.541
1820.0,401.795
1825.0,399.532
1830.0,397.959
1835.0,395.968
1840.0,393.358
1845.0,392.658
1850.0,389.938
1855.0,388.796
1860.0,385.983
1865.0,385.318
1870.0,383.058
1875.0,380.875
1880.0,379.622
1885.0,377.88
1890.0,376.379
1895.0,374.296
1900.0,371.953
1905.0,369.706
1910.0,368.907
1915.0,366.891
1920.0,366.459
1925.0,364.934
1930.0,363.035
1935.0,362.541
1940.0,361.663
1945.0,360.678
1950.0,358.969
1955.0,358.2
1960.0,357.54
1965.0,357.037
1970.0,355.618
1975.0,354.793
1980.0,354.027
1985.0,353.924
1990.0,353.238
1995.0,352.742
2000.0,351.104
2005.0,351.248
2010.0,350.545
2015.0,350.833
2020.0,350.09
2025.0,349.454
2030.0,349.285
2035.0,347.706
2040.0,348.259
2045.0,347.979
2050.0,347.601
2055.0,347.493
2060.0,347.345
2065.0,347.008
2070.0,346.834
2075.0,347.571
2080.0,347.324
2085.0,346.462
2090.0,346.887
2095.0,347.279
2100.0,347.622
2105.0,347.902
2110.0,348.497
2115.0,347.724
2120.0,348.181
2125.0,348.813
2130.0,349.557
2135.0,349.802
2140.0,349.645
2145.0,349.863
2150.0,350.302
2155.0,351.538
2160.0,352.046
2165.0,352.791
2170.0,353.23
2175.0,354.514
2180.0,354.387
2185.0,355.656
2190.0,356.961
2195.0,357.504
2200.0,358.067
2205.0,359.652
2210.0,359.964
2215.0,360.344
2220.0,361.749
2225.0,362.824
2230.0,363.286
2235.0,364.276
2240.0,365.348
2245.0,366.336
2250.0,367.656
2255.0,369.326
2260.0,369.93
2265.0,369.828
2270.0,371.851
2275.0,372.958
2280.0,373.121
2285.0,374.631
2290.0,376.977
2295.0,377.524
2300.0,378.962
2305.0,379.387
2310.0,381.031
2315.0,382.181
2320.0,383.228
2325.0,385.092
2330.0,386.505
2335.0,387.644
2340.0,389.03
2345.0,390.606
2350.0,392.185
2355.0,393.484
2360.0,395.138
2365.0,397.008
2370.0,398.608
2375.0,399.896
2380.0,401.297
2385.0,403.893
2390.0,404.978
2395.0,407.035
2400.0,408.922
2405.0,410.697
2410.0,412.82
2415.0,414.52
2420.0,416.601
2425.0,418.66
2430.0,420.058
2435.0,422.385
2440.0,424.413
2445.0,426.026
2450.0,427.923
2455.0,429.393
2460.0,430.878
2465.0,433.15
2470.0,434.695
2475.0,436.194
2480.0,440.606
2485.0,440.404
2490.0,442.603
2495.0,445.643
2500.0,446.149
2505.0,448.208
2510.0,450.056
2515.0,452.43
2520.0,452.715
2525.0,455.452
2530.0,458.431
2535.0,459.433
2540.0,463.35
2545.0,464.501
2550.0,464.46
2555.0,466.863
2560.0,469.762
2565.0,469.73
2570.0,472.95
2575.0,474.705
2580.0,476.85
2585.0,478.485
2590.0,481.597
2595.0,484.642
2600.0,484.045
