Composition,
Date Added,2014-01-27
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,833
Sample Name,"65315, 153 <45 um"
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,Anorthosite dry-sieved to 0-45 um
Sample ID,BIR1LR245B
Original Sample ID,LR-CMP-245-B
Viewing Geometry,
Wavelength,Response
833.3,428.95
833.5,429.01
833.6,428.79
833.7,428.98
833.9,428.03
834.0,427.23
834.1,427.37
834.3,426.85
834.4,427.08
834.5,426.85
834.7,426.83
834.8,427.27
835.0,427.42
835.1,428.2
835.2,427.94
835.3,426.99
835.5,426.98
835.6,426.8
835.8,425.97
835.9,425.42
836.0,425.41
836.2,425.55
836.3,426.37
836.4,427.85
836.6,427.35
836.7,426.5
836.8,426.75
837.0,426.63
837.1,427.11
837.2,427.16
837.4,427.05
837.5,426.69
837.6,426.63
837.8,426.7
837.9,426.63
838.0,426.32
838.2,425.43
838.3,425.4
838.5,426.12
838.6,426.32
838.7,426.25
838.9,425.98
839.0,425.32
839.1,424.64
839.3,425.81
839.4,426.15
839.5,425.58
839.7,425.28
839.8,425.45
840.0,425.82
840.1,426.36
840.2,426.29
840.4,426.04
840.5,425.5
840.6,425.56
840.8,424.81
840.9,423.88
841.0,424.18
841.2,424.43
841.3,424.47
841.5,424.61
841.6,424.84
841.7,425.86
841.9,425.63
842.0,424.9
842.1,424.26
842.3,423.6
842.4,424.55
842.5,425.43
842.7,425.46
842.8,424.8
843.0,423.83
843.1,423.78
843.2,424.21
843.4,424.85
843.5,425.01
843.6,424.75
843.8,424.28
843.9,424.01
844.0,424.44
844.2,425.31
844.3,424.72
844.5,423.82
844.6,424.22
844.7,424.79
844.9,424.21
845.0,423.4
845.2,423.57
845.3,423.82
845.4,424.71
845.6,425.29
845.7,424.56
845.8,423.65
846.0,423.49
846.1,423.23
846.3,422.53
846.4,422.72
846.5,422.77
846.7,422.52
846.8,422.54
847.0,423.63
847.1,424.18
847.2,423.55
847.4,423.31
847.5,423.53
847.6,423.62
847.8,422.83
847.9,422.58
848.1,422.91
848.2,423.42
848.3,424.13
848.5,424.04
848.6,423.25
848.8,422.92
848.9,422.84
849.0,422.0
849.2,421.96
849.3,422.14
849.5,422.22
849.6,422.54
849.7,422.62
849.9,422.75
850.0,422.72
850.1,423.18
850.3,423.39
850.4,423.06
850.6,422.08
850.7,422.12
850.8,422.56
851.0,422.49
851.1,422.37
851.3,422.16
851.4,422.11
851.5,422.59
851.7,422.16
851.8,421.8
852.0,421.68
852.1,421.34
852.2,421.02
852.4,421.24
852.5,421.95
852.7,422.34
852.8,422.39
852.9,421.93
853.1,421.69
853.2,422.41
853.4,422.08
853.5,422.32
853.6,422.99
853.8,422.77
853.9,422.49
854.1,422.06
854.2,421.12
854.3,420.75
854.5,422.28
854.6,423.02
854.8,422.1
854.9,421.17
855.0,420.83
855.2,421.41
855.3,421.5
855.5,421.07
855.6,420.73
855.8,420.66
855.9,421.0
856.0,421.27
856.2,420.77
856.3,420.31
856.5,420.84
856.6,420.6
856.8,420.78
856.9,421.47
857.0,422.06
857.2,421.96
857.3,421.89
857.5,421.57
857.6,420.98
857.7,420.73
857.9,420.55
858.0,420.0
858.2,419.16
858.3,419.31
858.5,420.73
858.6,420.96
858.7,420.72
858.9,420.35
859.0,419.84
859.2,420.03
859.3,420.66
859.4,420.51
859.6,420.19
859.7,420.31
859.9,420.12
860.0,419.67
860.2,419.68
860.3,420.93
860.4,420.93
860.6,419.53
860.7,419.64
860.9,420.05
861.0,419.87
861.2,420.33
861.3,420.66
861.4,420.58
861.6,420.18
861.7,420.0
861.9,420.94
862.0,421.25
862.2,420.58
862.3,420.02
862.5,418.8
862.6,418.97
862.7,419.66
862.9,418.96
863.0,418.42
863.2,418.67
863.3,419.5
863.5,419.86
863.6,419.41
863.7,418.88
863.9,418.28
864.0,418.45
864.2,419.23
864.3,419.54
864.5,419.64
864.6,419.46
864.8,418.8
864.9,419.72
865.0,420.1
865.2,419.2
865.3,419.02
865.5,419.33
865.6,418.62
865.8,417.79
865.9,418.18
866.0,418.63
866.2,418.01
866.3,418.56
866.5,419.05
866.6,418.58
866.8,417.98
866.9,418.22
867.1,418.46
867.2,418.58
867.3,418.52
867.5,418.49
867.6,418.4
867.8,418.13
867.9,417.92
868.1,417.7
868.2,417.67
868.4,417.94
868.5,418.22
868.7,418.14
868.8,417.62
869.0,418.21
869.1,418.79
869.2,418.77
869.4,418.2
869.5,418.1
869.7,418.6
869.8,418.26
870.0,417.53
870.1,417.65
870.3,417.78
870.4,417.45
870.6,417.45
870.7,417.06
870.8,416.78
871.0,417.34
871.1,417.22
871.3,417.3
871.4,417.75
871.6,418.09
871.7,416.97
871.9,415.86
872.0,416.51
872.2,417.07
872.3,416.65
872.5,416.66
872.6,417.0
872.8,417.33
872.9,417.56
873.0,417.54
873.2,417.3
873.3,417.12
873.5,417.76
873.6,417.68
873.8,417.25
873.9,416.63
874.1,416.43
874.2,416.34
874.4,416.25
874.5,416.31
874.7,416.45
874.8,416.12
875.0,415.99
875.1,416.27
875.3,416.04
875.4,415.59
875.5,415.96
875.7,416.21
875.8,416.43
876.0,416.64
876.2,416.48
876.3,416.45
876.4,416.25
876.6,416.27
876.7,415.94
876.9,415.22
877.0,415.5
877.2,416.04
877.3,416.22
877.5,416.31
877.6,416.18
877.8,415.87
877.9,415.5
878.1,415.51
878.2,415.4
878.4,415.17
878.5,415.4
878.7,415.48
878.8,415.51
879.0,415.3
879.1,414.95
879.3,415.12
879.4,415.26
879.6,415.15
879.7,415.2
879.9,415.64
880.0,415.59
880.2,415.25
880.3,415.46
880.5,416.03
880.6,415.99
880.8,415.24
880.9,414.78
881.1,415.02
881.2,415.23
881.4,414.92
881.5,414.89
881.7,415.1
881.8,415.3
882.0,415.17
882.1,414.82
882.3,414.34
882.4,414.43
882.6,414.52
882.7,414.55
882.9,414.45
883.0,414.38
883.2,414.7
883.3,414.23
883.5,413.93
883.6,414.71
883.8,414.67
883.9,414.61
884.1,414.21
884.2,413.92
884.4,413.72
884.5,413.81
884.7,414.33
884.8,414.1
885.0,413.57
885.1,413.45
885.3,413.77
885.4,414.13
885.6,414.28
885.7,413.87
885.9,413.4
886.0,413.95
886.2,414.12
886.3,413.75
886.5,413.79
886.6,413.84
886.8,413.79
886.9,413.55
887.1,413.81
887.2,414.14
887.4,413.85
887.5,413.66
887.7,414.01
887.8,414.02
888.0,413.46
888.2,413.2
888.3,412.9
888.5,412.55
888.6,412.93
888.8,413.4
888.9,413.53
889.1,413.55
889.2,413.25
889.4,412.94
889.5,413.08
889.7,412.79
889.8,412.79
890.0,412.89
890.1,412.79
890.3,413.08
890.4,413.24
890.6,413.4
890.8,413.15
890.9,413.06
891.0,413.27
891.2,412.97
891.4,413.19
891.5,413.12
891.7,413.09
891.8,412.81
892.0,412.57
892.1,412.97
892.3,412.96
892.4,412.66
892.6,412.73
892.7,412.74
892.9,412.99
893.0,413.02
893.2,412.74
893.4,412.76
893.5,413.14
893.7,413.07
893.8,412.88
894.0,412.62
894.1,412.53
894.3,412.55
894.4,412.24
894.6,411.82
894.7,411.96
894.9,411.88
895.0,411.56
895.2,411.54
895.4,411.98
895.5,411.95
895.7,411.92
895.8,411.92
896.0,411.82
896.1,411.73
896.3,411.46
896.4,411.67
896.6,412.08
896.8,412.34
896.9,411.83
897.1,411.44
897.2,411.42
897.4,411.41
897.5,411.59
897.7,411.65
