Composition,
Date Added,1990-01-10
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,350
Sample Name,"15415,15"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,C2LS27
Original Sample ID,LS-CMP-027
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
350.0,1086.63
355.0,1066.64
360.0,1050.57
365.0,1041.01
370.0,1027.32
375.0,1021.01
380.0,1014.07
385.0,1006.07
390.0,999.58
395.0,994.55
400.0,989.46
405.0,974.58
410.0,968.06
415.0,971.84
420.0,964.1
425.0,958.8
430.0,955.72
435.0,957.8
440.0,954.05
445.0,956.28
450.0,954.41
455.0,954.24
460.0,951.6
465.0,954.08
470.0,952.9
475.0,952.44
480.0,949.52
485.0,952.73
490.0,952.55
495.0,954.34
500.0,950.75
505.0,953.7
510.0,953.8
515.0,952.47
520.0,954.12
525.0,953.33
530.0,949.49
535.0,948.81
540.0,950.21
545.0,949.61
550.0,952.38
555.0,953.76
560.0,953.7
565.0,954.42
570.0,952.65
575.0,953.14
580.0,955.17
585.0,955.96
590.0,957.14
595.0,956.38
600.0,957.17
605.0,957.32
610.0,960.28
615.0,958.64
620.0,959.05
625.0,959.76
630.0,961.74
635.0,961.03
640.0,961.72
645.0,960.77
650.0,961.81
655.0,962.69
660.0,963.64
665.0,962.65
670.0,963.33
675.0,965.29
680.0,964.64
685.0,964.41
690.0,965.44
695.0,963.67
700.0,963.81
705.0,965.38
710.0,965.56
715.0,965.88
720.0,968.39
725.0,970.49
730.0,971.56
735.0,971.56
740.0,970.52
745.0,973.04
750.0,974.64
755.0,972.54
760.0,972.49
765.0,971.95
770.0,974.65
775.0,972.94
780.0,974.28
785.0,974.45
790.0,976.21
795.0,974.27
800.0,974.03
805.0,975.65
810.0,975.66
815.0,976.96
820.0,975.32
825.0,973.84
830.0,972.13
835.0,972.54
840.0,972.89
845.0,970.53
850.0,970.74
855.0,974.33
860.0,980.3
865.0,974.66
870.0,970.74
875.0,971.43
880.0,974.41
885.0,973.6
890.0,974.83
895.0,973.61
900.0,975.03
905.0,972.67
910.0,975.89
915.0,974.11
920.0,975.46
925.0,975.27
930.0,974.99
935.0,977.37
940.0,975.54
945.0,974.49
950.0,977.71
955.0,977.85
960.0,976.61
965.0,976.17
970.0,977.33
975.0,976.75
980.0,977.95
985.0,977.22
990.0,977.01
995.0,976.56
1000.0,975.66
1005.0,974.75
1010.0,977.11
1015.0,977.54
1020.0,977.19
1025.0,975.28
1030.0,976.1
1035.0,976.59
1040.0,975.74
1045.0,977.53
1050.0,976.99
1055.0,977.54
1060.0,976.12
1065.0,976.82
1070.0,980.71
1075.0,978.65
1080.0,976.97
1085.0,976.06
1090.0,979.51
1095.0,978.84
1100.0,981.48
1105.0,979.99
1110.0,976.91
1115.0,978.15
1120.0,979.83
1125.0,977.6
1130.0,979.64
1135.0,980.31
1140.0,978.23
1145.0,980.63
1150.0,982.45
1155.0,981.31
1160.0,981.67
1165.0,982.97
1170.0,980.66
1175.0,980.1
1180.0,983.37
1185.0,980.3
1190.0,978.54
1195.0,977.15
1200.0,977.77
1205.0,973.84
1210.0,975.71
1215.0,973.96
1220.0,975.88
1225.0,976.99
1230.0,974.74
1235.0,977.69
1240.0,975.91
1245.0,979.15
1250.0,977.33
1255.0,976.22
1260.0,978.59
1265.0,980.95
1270.0,980.45
1275.0,977.31
1280.0,982.06
1285.0,981.51
1290.0,978.75
1295.0,981.39
1300.0,979.76
1305.0,980.68
1310.0,980.57
1315.0,980.01
1320.0,978.54
1325.0,980.51
1330.0,975.16
1335.0,977.34
1340.0,977.96
1345.0,977.75
1350.0,979.04
1355.0,978.89
1360.0,980.65
1365.0,984.51
1370.0,979.82
1375.0,979.26
1380.0,980.62
1385.0,985.45
1390.0,983.04
1395.0,983.42
1400.0,984.55
1405.0,984.51
1410.0,980.0
1415.0,980.39
1420.0,982.13
1425.0,980.63
1430.0,980.48
1435.0,982.29
1440.0,981.95
1445.0,982.04
1450.0,983.9
1455.0,981.98
1460.0,981.45
1465.0,980.09
1470.0,980.2
1475.0,981.32
1480.0,979.99
1485.0,978.33
1490.0,979.2
1495.0,978.41
1500.0,982.57
1505.0,979.34
1510.0,980.69
1515.0,978.6
1520.0,981.69
1525.0,982.32
1530.0,984.01
1535.0,984.86
1540.0,981.28
1545.0,983.33
1550.0,980.64
1555.0,983.29
1560.0,982.84
1565.0,983.63
1570.0,980.5
1575.0,984.32
1580.0,985.95
1585.0,982.41
1590.0,981.61
1595.0,982.8
1600.0,982.4
1605.0,982.1
1610.0,981.51
1615.0,980.03
1620.0,986.23
1625.0,984.03
1630.0,983.11
1635.0,983.3
1640.0,986.2
1645.0,982.61
1650.0,984.5
1655.0,981.78
1660.0,985.53
1665.0,989.8
1670.0,985.66
1675.0,984.98
1680.0,985.42
1685.0,989.27
1690.0,986.49
1695.0,988.97
1700.0,985.46
1705.0,986.51
1710.0,989.17
1715.0,990.28
1720.0,984.03
1725.0,983.37
1730.0,984.39
1735.0,985.29
1740.0,987.92
1745.0,986.49
1750.0,987.24
1755.0,986.73
1760.0,988.35
1765.0,987.58
1770.0,985.8
1775.0,987.9
1780.0,986.49
1785.0,987.2
1790.0,988.93
1795.0,987.16
1800.0,986.69
1805.0,988.79
1810.0,986.72
1815.0,987.16
1820.0,986.69
1825.0,986.83
1830.0,988.5
1835.0,990.94
1840.0,990.44
1845.0,990.76
1850.0,990.64
1855.0,989.15
1860.0,988.52
1865.0,988.97
1870.0,988.87
1875.0,990.9
1880.0,990.79
1885.0,991.36
1890.0,990.09
1895.0,989.95
1900.0,990.1
1905.0,991.04
1910.0,991.88
1915.0,990.91
1920.0,990.81
1925.0,989.75
1930.0,988.82
1935.0,986.74
1940.0,990.7
1945.0,990.08
1950.0,990.25
1955.0,992.32
1960.0,989.83
1965.0,991.33
1970.0,989.75
1975.0,989.16
1980.0,991.04
1985.0,990.62
1990.0,991.61
1995.0,990.19
2000.0,990.15
2005.0,991.58
2010.0,991.88
2015.0,988.9
2020.0,989.62
2025.0,989.81
2030.0,988.33
2035.0,990.16
2040.0,990.19
2045.0,990.09
2050.0,989.05
2055.0,990.77
2060.0,989.31
2065.0,987.83
2070.0,989.71
2075.0,990.11
2080.0,990.18
2085.0,988.57
2090.0,989.71
2095.0,992.27
2100.0,991.46
2105.0,990.72
2110.0,990.05
2115.0,988.26
2120.0,989.55
2125.0,987.33
2130.0,986.06
2135.0,986.3
2140.0,988.63
2145.0,990.04
2150.0,988.59
2155.0,987.95
2160.0,985.67
2165.0,984.82
2170.0,986.48
2175.0,986.79
2180.0,987.11
2185.0,989.64
2190.0,992.89
2195.0,998.53
2200.0,1000.79
2205.0,1001.18
2210.0,1001.41
2215.0,999.19
2220.0,998.18
2225.0,995.14
2230.0,996.39
2235.0,996.43
2240.0,994.18
2245.0,991.72
2250.0,993.6
2255.0,991.21
2260.0,989.41
2265.0,984.66
2270.0,978.17
2275.0,978.9
2280.0,977.98
2285.0,975.47
2290.0,975.88
2295.0,973.87
2300.0,970.63
2305.0,967.14
2310.0,966.91
2315.0,970.91
2320.0,972.15
2325.0,975.68
2330.0,974.31
2335.0,974.46
2340.0,972.04
2345.0,970.18
2350.0,969.79
2355.0,970.32
2360.0,975.01
2365.0,974.74
2370.0,975.2
2375.0,978.01
2380.0,976.71
2385.0,972.74
2390.0,973.61
2395.0,971.66
2400.0,972.62
2405.0,973.13
2410.0,973.71
2415.0,972.98
2420.0,973.49
2425.0,977.68
2430.0,976.77
2435.0,976.16
2440.0,975.41
2445.0,976.29
2450.0,978.08
2455.0,979.33
2460.0,978.68
2465.0,975.86
2470.0,975.72
2475.0,980.74
2480.0,981.83
2485.0,979.53
2490.0,978.44
2495.0,980.36
2500.0,984.49
2505.0,983.29
2510.0,984.39
2515.0,983.5
2520.0,980.73
2525.0,981.17
2530.0,981.51
2535.0,983.42
2540.0,984.92
2545.0,985.8
2550.0,986.27
2555.0,983.77
2560.0,985.05
2565.0,992.61
2570.0,987.59
2575.0,992.18
