Composition,
Date Added,1993-06-25
Formula,
Grain Size Description,<45.0um
Grain Size,20.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,"64801,124 20-45 um"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Sediment
Sample Description,
Sample ID,CBLS63
Original Sample ID,LS-CMP-063-B
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,58.33
305.0,55.38
310.0,61.21
315.0,62.52
320.0,60.42
325.0,64.11
330.0,64.45
335.0,65.84
340.0,67.16
345.0,67.59
350.0,70.21
355.0,71.02
360.0,71.79
365.0,73.2
370.0,74.9
375.0,76.3
380.0,77.01
385.0,78.43
390.0,79.73
395.0,81.1
400.0,83.05
405.0,83.68
410.0,84.31
415.0,85.74
420.0,86.96
425.0,87.87
430.0,89.82
435.0,91.27
440.0,91.99
445.0,93.35
450.0,94.16
455.0,95.04
460.0,96.09
465.0,96.7
470.0,98.11
475.0,98.86
480.0,99.76
485.0,100.74
490.0,101.73
495.0,102.54
500.0,103.5
505.0,104.05
510.0,105.19
515.0,106.42
520.0,107.57
525.0,108.12
530.0,109.16
535.0,109.77
540.0,110.82
545.0,111.65
550.0,112.55
555.0,113.47
560.0,114.44
565.0,114.86
570.0,115.83
575.0,116.44
580.0,117.33
585.0,117.84
590.0,118.86
595.0,119.36
600.0,120.06
605.0,120.76
610.0,121.53
615.0,122.36
620.0,123.45
625.0,124.18
630.0,125.28
635.0,125.63
640.0,126.07
645.0,127.13
650.0,127.21
655.0,127.81
660.0,128.74
665.0,129.36
670.0,129.7
675.0,131.09
680.0,131.55
685.0,132.13
690.0,132.63
695.0,133.49
700.0,133.98
705.0,134.74
710.0,135.72
715.0,135.85
720.0,136.81
725.0,137.29
730.0,137.81
735.0,138.58
740.0,138.74
745.0,139.69
750.0,140.22
755.0,140.74
760.0,141.18
765.0,141.48
770.0,141.67
775.0,142.36
780.0,142.89
785.0,143.28
790.0,143.01
795.0,143.39
800.0,142.74
805.0,143.47
810.0,142.9
815.0,143.59
820.0,144.73
825.0,143.74
830.0,143.73
835.0,143.72
840.0,144.18
845.0,143.91
850.0,143.96
855.0,144.67
860.0,145.23
865.0,144.38
870.0,144.87
875.0,143.61
880.0,143.34
885.0,143.55
890.0,144.07
895.0,143.93
900.0,143.86
905.0,143.92
910.0,143.57
915.0,143.82
920.0,144.08
925.0,143.85
930.0,144.39
935.0,144.77
940.0,145.05
945.0,145.26
950.0,145.72
955.0,146.31
960.0,146.83
965.0,147.28
970.0,148.11
975.0,149.01
980.0,149.72
985.0,149.79
990.0,150.66
995.0,150.81
