Composition,
Date Added,1996-09-13
Formula,
Grain Size Description,<125.0um
Grain Size,0.0 - 125.0
Locality,
Minimum Wavelength,300
Sample Name,"76015,211"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,"Glass produced by fusing 76015,183 on Mo strips in Ar atmosphere.   "
Sample ID,CHLS28
Original Sample ID,LS-CMP-028-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,87.87
305.0,95.99
310.0,99.61
315.0,106.2
320.0,113.68
325.0,119.88
330.0,126.9
335.0,134.5
340.0,140.93
345.0,147.52
350.0,154.03
355.0,160.32
360.0,166.41
365.0,172.56
370.0,179.1
375.0,185.04
380.0,191.03
385.0,196.62
390.0,202.24
395.0,208.63
400.0,214.81
405.0,220.6
410.0,227.11
415.0,232.93
420.0,238.32
425.0,244.97
430.0,251.12
435.0,256.0
440.0,262.7
445.0,267.87
450.0,275.28
455.0,281.92
460.0,287.86
465.0,294.24
470.0,300.68
475.0,307.57
480.0,312.95
485.0,320.02
490.0,325.93
495.0,332.01
500.0,338.3
505.0,344.67
510.0,349.45
515.0,354.24
520.0,358.97
525.0,364.44
530.0,369.07
535.0,373.91
540.0,378.85
545.0,382.9
550.0,388.11
555.0,391.63
560.0,395.23
565.0,397.75
570.0,401.68
575.0,404.02
580.0,405.86
585.0,408.57
590.0,409.89
595.0,411.38
600.0,412.82
605.0,413.32
610.0,413.35
615.0,413.67
620.0,413.29
625.0,413.43
630.0,412.45
635.0,410.7
640.0,410.6
645.0,408.31
650.0,407.32
655.0,405.43
660.0,403.53
665.0,401.91
670.0,400.12
675.0,398.67
680.0,395.87
685.0,394.58
690.0,391.62
695.0,389.04
700.0,386.21
705.0,383.63
710.0,381.05
715.0,379.38
720.0,376.24
725.0,373.7
730.0,367.97
735.0,365.72
740.0,362.87
745.0,359.43
750.0,356.93
755.0,354.03
760.0,349.8
765.0,347.4
770.0,344.18
775.0,341.33
780.0,339.05
785.0,335.93
790.0,332.9
795.0,329.85
800.0,326.01
805.0,322.66
810.0,320.26
815.0,317.69
820.0,314.94
825.0,312.27
830.0,309.54
835.0,306.54
840.0,304.42
845.0,301.44
850.0,298.71
855.0,297.05
860.0,294.62
865.0,292.63
870.0,290.33
875.0,288.54
