Composition,
Date Added,1988-09-08
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,340
Sample Name,"72415,58"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,Apollo 17 Metadunite Cataclastite #72415
References,"Edward W. Wolfe et al, Geol. Invest. T-L Valley, USGS, 1981"
Resolution,5.0
Material Class,Rock
Sample Description,Thin section run in transmission mode in search for   2 micron spinel band
Sample ID,CJLS13
Original Sample ID,LS-CMP-013
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
340.0,379.84
345.0,416.36
350.0,447.38
355.0,462.47
360.0,479.15
365.0,493.37
370.0,505.35
375.0,516.96
380.0,523.79
385.0,532.82
390.0,543.77
395.0,548.41
400.0,554.81
405.0,564.02
410.0,575.45
415.0,584.61
420.0,587.9
425.0,594.06
430.0,599.59
435.0,603.11
440.0,606.12
445.0,608.89
450.0,608.05
455.0,610.93
460.0,614.49
465.0,618.82
470.0,621.22
475.0,624.45
480.0,629.85
485.0,632.24
490.0,633.03
495.0,636.03
500.0,640.53
505.0,644.56
510.0,648.14
515.0,649.26
520.0,652.29
525.0,655.36
530.0,655.79
535.0,657.74
540.0,658.67
545.0,660.71
550.0,662.17
555.0,663.03
560.0,664.08
565.0,663.62
570.0,665.94
575.0,665.98
580.0,667.62
585.0,668.28
590.0,669.14
595.0,669.73
600.0,672.64
605.0,674.58
610.0,675.3
615.0,677.14
620.0,677.81
625.0,678.61
630.0,680.55
635.0,680.34
640.0,682.27
645.0,684.88
650.0,684.24
655.0,685.9
660.0,686.89
665.0,687.18
670.0,689.56
675.0,689.41
680.0,690.26
685.0,688.95
690.0,690.99
695.0,692.64
700.0,691.74
705.0,691.43
710.0,691.36
715.0,690.7
720.0,690.4
725.0,688.83
730.0,688.88
735.0,686.27
740.0,685.55
745.0,684.88
750.0,684.78
755.0,681.84
760.0,680.56
765.0,679.61
770.0,677.5
775.0,675.35
780.0,672.5
785.0,669.01
790.0,667.96
795.0,666.48
800.0,664.39
805.0,662.95
810.0,661.16
815.0,657.72
820.0,658.24
825.0,651.62
830.0,650.55
835.0,651.29
840.0,648.93
845.0,649.33
850.0,648.53
855.0,650.66
860.0,651.91
865.0,644.44
870.0,645.69
875.0,645.22
880.0,644.62
885.0,641.98
890.0,637.94
895.0,639.26
900.0,639.61
905.0,636.65
910.0,635.06
915.0,638.09
920.0,635.34
925.0,634.68
930.0,631.95
935.0,628.71
940.0,627.27
945.0,624.95
950.0,621.45
955.0,616.99
960.0,611.35
965.0,609.98
970.0,604.78
975.0,600.32
980.0,598.98
985.0,596.64
990.0,588.54
995.0,587.3
1000.0,584.66
1005.0,582.79
1010.0,579.57
1015.0,575.97
1020.0,574.5
1025.0,570.47
1030.0,571.42
1035.0,567.9
1040.0,567.26
1045.0,563.68
1050.0,567.42
1055.0,566.99
1060.0,566.07
1065.0,565.51
1070.0,567.13
1075.0,568.81
1080.0,574.16
1085.0,576.98
1090.0,578.38
1095.0,582.6
1100.0,585.58
1105.0,589.47
1110.0,592.84
1115.0,598.4
1120.0,599.94
1125.0,603.43
1130.0,607.16
1135.0,609.62
1140.0,614.34
1145.0,618.58
1150.0,621.21
1155.0,622.03
1160.0,624.47
1165.0,625.76
1170.0,627.55
1175.0,630.01
1180.0,633.86
1185.0,634.95
1190.0,634.74
1195.0,636.16
1200.0,639.08
1205.0,642.31
1210.0,646.47
1215.0,649.28
1220.0,651.38
1225.0,651.78
1230.0,653.12
1235.0,654.91
1240.0,655.48
1245.0,657.57
1250.0,660.48
1255.0,661.13
1260.0,662.06
1265.0,665.01
1270.0,667.09
1275.0,668.15
1280.0,672.36
1285.0,672.1
1290.0,675.48
1295.0,676.86
1300.0,680.33
1305.0,684.5
1310.0,683.19
1315.0,684.99
1320.0,688.0
1325.0,690.49
1330.0,693.0
1335.0,694.67
1340.0,699.39
1345.0,702.52
1350.0,703.5
1355.0,704.26
1360.0,710.94
1365.0,711.21
1370.0,714.05
1375.0,717.17
1380.0,720.46
1385.0,722.73
1390.0,724.92
1395.0,725.39
1400.0,726.97
1405.0,731.97
1410.0,730.62
1415.0,733.24
1420.0,734.02
1425.0,735.83
1430.0,738.47
1435.0,739.77
1440.0,742.19
1445.0,744.08
1450.0,746.36
1455.0,751.39
1460.0,747.77
1465.0,751.63
1470.0,755.26
1475.0,757.93
1480.0,758.08
1485.0,759.43
1490.0,762.93
1495.0,765.03
1500.0,767.68
1505.0,768.84
1510.0,767.13
1515.0,769.38
1520.0,773.93
1525.0,773.52
1530.0,775.04
1535.0,776.1
1540.0,775.21
1545.0,774.05
1550.0,775.07
1555.0,778.94
1560.0,777.6
1565.0,780.74
1570.0,783.5
1575.0,779.44
1580.0,780.13
1585.0,779.77
1590.0,784.11
1595.0,780.25
1600.0,783.16
1605.0,783.52
1610.0,784.23
1615.0,784.71
1620.0,787.0
1625.0,781.42
1630.0,783.26
1635.0,791.12
1640.0,786.64
1645.0,791.19
1650.0,789.14
1655.0,792.08
1660.0,785.87
1665.0,783.55
1670.0,783.89
1675.0,777.57
1680.0,782.07
1685.0,777.28
1690.0,776.21
1695.0,781.17
1700.0,783.08
1705.0,783.15
1710.0,784.62
1715.0,779.87
1720.0,782.03
1725.0,778.32
1730.0,779.88
1735.0,781.95
1740.0,783.85
1745.0,782.45
1750.0,784.9
1755.0,785.36
1760.0,786.28
1765.0,784.46
1770.0,781.3
1775.0,780.95
1780.0,781.66
1785.0,781.5
1790.0,783.46
1795.0,785.13
1800.0,784.2
1805.0,783.7
1810.0,783.79
1815.0,784.63
1820.0,785.5
1825.0,784.2
1830.0,787.15
1835.0,787.88
1840.0,788.53
1845.0,785.47
1850.0,787.99
1855.0,789.97
1860.0,788.66
1865.0,789.09
1870.0,788.55
1875.0,787.8
1880.0,786.59
1885.0,788.02
1890.0,785.92
1895.0,784.8
1900.0,781.63
1905.0,780.09
1910.0,779.1
1915.0,781.44
1920.0,783.99
1925.0,785.1
1930.0,785.72
1935.0,784.06
1940.0,783.56
1945.0,785.38
1950.0,787.26
1955.0,785.18
1960.0,786.61
1965.0,788.28
1970.0,791.54
