Composition,
Date Added,1990-11-27
Formula,
Grain Size Description,<1000.0um
Grain Size,0.0 - 1000.0
Locality,
Minimum Wavelength,350
Sample Name,"14259,15"
Maximum Wavelength,2500
Database of Origin,ReLab
Other Information,Apollo 14 Soil  NASA #14259
References,"RV Morris et al, Handbook fo Lunar Soils, 1983"
Resolution,10.0
Material Class,Sediment
Sample Description,"Apollo 14 Surface Soil, NASA #14259   "
Sample ID,CRLS33
Original Sample ID,LS-CMP-033
Viewing Geometry,20.0° / 40.0°
Wavelength,Response
350.0,48.45
360.0,50.29
370.0,49.82
380.0,53.34
390.0,55.27
400.0,57.88
410.0,60.19
420.0,62.39
430.0,64.22
440.0,66.51
450.0,68.59
460.0,70.42
470.0,72.97
480.0,75.09
490.0,77.41
500.0,79.72
510.0,81.21
520.0,83.38
530.0,85.58
540.0,87.24
550.0,89.39
560.0,91.36
570.0,93.47
580.0,95.05
590.0,96.71
600.0,98.33
610.0,100.28
620.0,101.77
630.0,103.03
640.0,104.91
650.0,106.47
660.0,107.86
670.0,109.47
680.0,111.2
690.0,112.73
700.0,114.28
710.0,115.47
720.0,117.33
730.0,118.7
740.0,119.81
750.0,121.47
760.0,123.19
770.0,124.78
780.0,125.76
790.0,126.58
800.0,128.06
810.0,128.38
820.0,129.5
830.0,130.09
840.0,131.44
850.0,131.26
860.0,131.38
870.0,131.38
880.0,130.32
890.0,131.39
900.0,132.49
910.0,132.17
920.0,133.77
930.0,133.49
940.0,134.51
950.0,134.81
960.0,135.98
970.0,137.65
980.0,139.01
990.0,140.63
1000.0,141.73
1010.0,143.31
1020.0,144.77
1030.0,146.12
1040.0,147.98
1050.0,149.49
1060.0,151.54
1070.0,152.68
1080.0,154.07
1090.0,155.43
1100.0,156.74
1110.0,158.03
1120.0,159.17
1130.0,160.15
1140.0,161.75
1150.0,162.96
1160.0,164.13
1170.0,165.78
1180.0,166.45
1190.0,167.69
1200.0,168.18
1210.0,169.42
1220.0,169.71
1230.0,171.12
1240.0,172.15
1250.0,173.82
1260.0,175.48
1270.0,176.04
1280.0,177.41
1290.0,178.54
1300.0,179.8
1310.0,180.67
1320.0,182.03
1330.0,183.41
1340.0,184.22
1350.0,183.77
1360.0,182.4
1370.0,185.13
1380.0,184.58
1390.0,188.36
1400.0,189.13
1410.0,191.0
1420.0,192.77
1430.0,193.86
1440.0,195.51
1450.0,197.11
1460.0,197.67
1470.0,199.17
1480.0,199.92
1490.0,201.11
1500.0,202.28
1510.0,202.71
1520.0,203.95
1530.0,204.04
1540.0,205.5
1550.0,206.29
1560.0,207.27
1570.0,207.86
1580.0,208.7
1590.0,210.21
1600.0,210.28
1610.0,210.76
1620.0,211.51
1630.0,211.82
1640.0,212.53
1650.0,213.53
1660.0,213.67
1670.0,215.61
1680.0,215.41
1690.0,216.47
1700.0,217.25
1710.0,218.34
1720.0,219.05
1730.0,219.03
1740.0,219.21
1750.0,219.45
1760.0,220.03
1770.0,220.71
1780.0,221.11
1790.0,221.43
1800.0,221.87
1810.0,221.7
1820.0,222.63
1830.0,222.9
1840.0,223.07
1850.0,223.76
1860.0,223.82
1870.0,223.75
1880.0,225.4
1890.0,225.89
1900.0,225.72
1910.0,226.41
1920.0,227.61
1930.0,228.43
1940.0,229.17
1950.0,230.01
1960.0,230.59
1970.0,231.58
1980.0,232.6
1990.0,233.07
2000.0,233.79
2010.0,234.59
2020.0,235.58
2030.0,236.07
2040.0,237.42
2050.0,237.76
2060.0,238.64
2070.0,239.0
2080.0,240.45
2090.0,241.19
2100.0,242.32
2110.0,242.93
2120.0,244.32
2130.0,245.08
2140.0,245.57
2150.0,245.68
2160.0,246.69
2170.0,247.6
2180.0,248.57
2190.0,249.51
2200.0,250.6
2210.0,251.93
2220.0,252.78
2230.0,254.14
2240.0,255.25
2250.0,256.48
2260.0,257.5
2270.0,258.42
2280.0,260.03
2290.0,260.66
2300.0,262.14
2310.0,263.0
2320.0,263.47
2330.0,265.14
2340.0,265.58
2350.0,266.58
2360.0,266.3
2370.0,267.33
2380.0,268.21
2390.0,269.15
2400.0,269.68
2410.0,270.68
2420.0,271.64
2430.0,272.24
2440.0,273.47
2450.0,273.75
2460.0,274.86
2470.0,275.66
2480.0,276.58
2490.0,277.97
2500.0,279.04
