Composition,
Date Added,1987-04-21
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,350
Sample Name,"60019,215 Clast B "
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,"Heavily shocked feldspathic rock fragment, w/ fine-grained plag   and mosaicized pyx. Parent mat'l is breccia LS-8-MR."
Sample ID,S5LS08
Original Sample ID,LS-CMP-008-B
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
350.0,262.85
355.0,264.19
360.0,265.74
365.0,267.42
370.0,269.11
375.0,270.94
380.0,272.81
385.0,274.73
390.0,276.55
395.0,278.23
400.0,279.72
405.0,281.1
410.0,282.06
415.0,282.96
420.0,283.67
425.0,284.1
430.0,284.32
435.0,284.55
440.0,284.59
445.0,284.59
450.0,284.53
455.0,284.36
460.0,284.21
465.0,283.84
470.0,283.54
475.0,283.11
480.0,282.6
485.0,282.11
490.0,281.75
495.0,281.43
500.0,281.01
505.0,280.58
510.0,280.18
515.0,279.76
520.0,279.3
525.0,278.85
530.0,278.45
535.0,278.1
540.0,277.81
545.0,277.57
550.0,277.43
555.0,277.14
560.0,276.98
565.0,276.84
570.0,276.74
575.0,276.72
580.0,276.76
585.0,276.86
590.0,277.07
595.0,277.33
600.0,277.53
605.0,277.72
610.0,277.97
615.0,278.17
620.0,278.55
625.0,278.91
630.0,279.39
635.0,279.91
640.0,280.35
645.0,280.8
650.0,281.34
655.0,281.85
660.0,282.43
665.0,283.03
670.0,283.65
675.0,284.38
680.0,285.13
685.0,285.85
690.0,286.61
695.0,287.35
700.0,288.26
705.0,289.19
710.0,290.13
715.0,291.06
720.0,292.1
725.0,293.02
730.0,294.0
735.0,295.18
740.0,296.24
745.0,297.31
750.0,298.31
755.0,299.49
760.0,300.57
765.0,301.54
770.0,302.54
775.0,303.58
780.0,304.94
785.0,306.06
790.0,307.31
795.0,308.42
800.0,309.45
805.0,310.42
810.0,311.45
815.0,312.61
820.0,313.38
825.0,314.34
830.0,315.3
835.0,316.07
840.0,316.94
845.0,317.3
850.0,317.76
855.0,318.08
860.0,318.43
865.0,318.65
870.0,318.81
875.0,318.73
880.0,318.57
885.0,318.52
890.0,318.19
895.0,317.7
900.0,317.24
905.0,316.62
910.0,316.02
915.0,315.1
920.0,314.14
925.0,313.19
930.0,312.21
935.0,311.22
940.0,310.17
945.0,308.97
950.0,307.57
955.0,306.35
960.0,305.02
965.0,303.7
970.0,302.33
975.0,300.94
980.0,299.79
985.0,298.58
990.0,297.24
995.0,296.06
1000.0,294.82
1005.0,293.66
1010.0,292.67
1015.0,291.66
1020.0,290.59
1025.0,289.71
1030.0,288.95
1035.0,288.14
1040.0,287.56
1045.0,287.07
1050.0,286.74
1055.0,286.41
1060.0,286.11
1065.0,285.97
1070.0,285.88
1075.0,285.76
1080.0,285.82
1085.0,285.94
1090.0,286.08
1095.0,286.21
1100.0,286.34
1105.0,286.39
1110.0,286.49
1115.0,286.41
1120.0,286.29
1125.0,286.15
1130.0,285.97
1135.0,285.69
1140.0,285.62
1145.0,285.53
1150.0,285.29
1155.0,284.89
1160.0,284.21
1165.0,283.61
1170.0,283.02
1175.0,282.26
1180.0,281.88
1185.0,281.5
1190.0,280.94
1195.0,280.38
1200.0,279.81
1205.0,279.08
1210.0,278.21
1215.0,277.54
1220.0,276.93
1225.0,276.55
1230.0,276.13
1235.0,275.6
1240.0,275.14
1245.0,274.47
1250.0,273.92
1255.0,273.5
1260.0,273.0
1265.0,272.66
1270.0,272.35
1275.0,272.25
1280.0,272.08
1285.0,271.98
1290.0,271.81
1295.0,271.74
1300.0,271.68
1305.0,271.65
1310.0,271.57
1315.0,271.58
1320.0,271.51
1325.0,271.7
1330.0,271.69
1335.0,271.61
1340.0,271.54
1345.0,271.41
1350.0,271.17
1355.0,271.08
1360.0,270.84
1365.0,270.59
1370.0,270.32
1375.0,270.16
1380.0,269.88
1385.0,269.64
1390.0,269.25
1395.0,268.97
1400.0,268.67
1405.0,268.29
1410.0,267.88
1415.0,267.55
1420.0,267.15
1425.0,266.88
1430.0,266.68
1435.0,266.47
1440.0,266.26
1445.0,266.05
1450.0,265.96
1455.0,265.75
1460.0,265.72
1465.0,265.63
1470.0,265.4
1475.0,265.31
1480.0,265.18
1485.0,264.98
1490.0,264.83
1495.0,264.79
1500.0,264.77
1505.0,264.81
1510.0,264.79
1515.0,264.77
1520.0,264.71
1525.0,264.5
1530.0,264.51
1535.0,264.72
1540.0,264.69
1545.0,264.97
1550.0,265.17
1555.0,265.3
1560.0,265.33
1565.0,265.18
1570.0,265.05
1575.0,265.04
1580.0,264.76
1585.0,264.49
1590.0,264.33
1595.0,264.09
1600.0,263.76
1605.0,263.58
1610.0,263.1
1615.0,262.75
1620.0,262.41
1625.0,261.99
1630.0,261.83
1635.0,261.47
1640.0,261.06
1645.0,260.9
1650.0,260.73
1655.0,260.5
1660.0,260.23
1665.0,259.98
1670.0,259.84
1675.0,259.71
1680.0,259.46
1685.0,259.2
1690.0,258.9
1695.0,258.51
1700.0,258.28
1705.0,258.14
1710.0,257.9
1715.0,257.7
1720.0,257.52
1725.0,257.22
1730.0,256.93
1735.0,256.63
1740.0,256.44
1745.0,256.36
1750.0,256.25
1755.0,256.25
1760.0,256.18
1765.0,256.1
1770.0,255.91
1775.0,255.73
1780.0,255.63
1785.0,255.39
1790.0,255.21
1795.0,255.08
1800.0,254.88
1805.0,254.63
1810.0,254.37
1815.0,254.23
1820.0,254.01
1825.0,253.81
1830.0,253.49
1835.0,253.35
1840.0,253.09
1845.0,253.01
1850.0,252.98
1855.0,252.85
1860.0,252.64
1865.0,252.42
1870.0,252.1
1875.0,251.72
1880.0,251.34
1885.0,251.05
1890.0,250.71
1895.0,250.42
1900.0,249.92
1905.0,249.48
1910.0,248.86
1915.0,248.14
1920.0,247.56
1925.0,247.02
1930.0,246.55
1935.0,246.21
1940.0,245.83
1945.0,245.39
1950.0,244.83
1955.0,244.32
1960.0,243.79
1965.0,243.38
1970.0,243.05
1975.0,242.62
1980.0,242.35
1985.0,242.06
1990.0,241.75
1995.0,241.43
2000.0,241.0
2005.0,240.62
2010.0,240.2
2015.0,239.83
2020.0,239.47
2025.0,239.24
2030.0,238.96
2035.0,238.62
2040.0,238.33
2045.0,238.08
2050.0,237.83
2055.0,237.55
2060.0,237.18
2065.0,236.94
2070.0,236.73
2075.0,236.6
2080.0,236.49
2085.0,236.26
2090.0,235.91
2095.0,235.58
2100.0,235.33
2105.0,235.11
2110.0,234.72
2115.0,234.33
2120.0,234.02
2125.0,233.76
2130.0,233.41
2135.0,232.99
2140.0,232.56
2145.0,232.16
2150.0,231.82
2155.0,231.46
2160.0,231.12
2165.0,230.77
2170.0,230.22
2175.0,229.77
2180.0,229.32
2185.0,228.9
2190.0,228.49
2195.0,228.02
2200.0,227.62
2205.0,227.23
2210.0,226.84
2215.0,226.44
2220.0,226.02
2225.0,225.62
2230.0,225.19
2235.0,224.98
2240.0,224.82
2245.0,224.66
2250.0,224.53
2255.0,224.42
2260.0,224.43
2265.0,224.3
2270.0,224.08
2275.0,223.78
2280.0,223.54
2285.0,223.39
2290.0,223.32
2295.0,223.26
2300.0,223.13
2305.0,222.92
2310.0,222.77
2315.0,222.59
2320.0,222.3
2325.0,221.89
2330.0,221.65
2335.0,221.51
2340.0,221.46
2345.0,221.42
2350.0,221.29
2355.0,221.06
2360.0,220.86
2365.0,220.65
2370.0,220.5
2375.0,220.34
2380.0,220.19
2385.0,220.13
2390.0,220.17
2395.0,220.16
2400.0,220.03
2405.0,219.88
2410.0,219.67
2415.0,219.55
2420.0,219.4
2425.0,219.22
2430.0,219.11
2435.0,219.05
2440.0,218.93
2445.0,218.73
2450.0,218.57
2455.0,218.32
2460.0,218.06
2465.0,218.01
2470.0,218.03
2475.0,218.1
2480.0,218.17
2485.0,218.34
2490.0,218.45
2495.0,218.48
2500.0,218.41
2505.0,218.3
2510.0,218.32
2515.0,218.4
2520.0,218.62
2525.0,218.96
2530.0,218.98
2535.0,218.89
2540.0,218.85
2545.0,218.8
2550.0,218.62
2555.0,218.44
2560.0,218.33
2565.0,218.11
2570.0,218.38
2575.0,218.55
2580.0,218.65
2585.0,218.66
2590.0,218.61
2595.0,218.77
2600.0,218.99
