Composition,
Date Added,1993-04-14
Formula,
Grain Size Description,<45.0um
Grain Size,10.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,"24143,25"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,CBLU04
Original Sample ID,LU-CMP-004-B
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,43.03
305.0,44.01
310.0,44.65
315.0,45.38
320.0,45.07
325.0,46.07
330.0,46.79
335.0,47.72
340.0,48.8
345.0,50.03
350.0,51.34
355.0,52.69
360.0,54.11
365.0,55.96
370.0,57.58
375.0,59.31
380.0,61.04
385.0,62.54
390.0,63.89
395.0,65.21
400.0,66.27
405.0,67.53
410.0,69.35
415.0,70.3
420.0,71.25
425.0,72.24
430.0,72.91
435.0,74.19
440.0,75.31
445.0,76.08
450.0,76.69
455.0,77.44
460.0,78.59
465.0,79.5
470.0,80.19
475.0,80.98
480.0,81.71
485.0,82.47
490.0,83.28
495.0,84.21
500.0,85.04
505.0,85.35
510.0,85.75
515.0,87.08
520.0,88.38
525.0,89.13
530.0,89.91
535.0,90.66
540.0,91.3
545.0,91.77
550.0,92.66
555.0,93.33
560.0,94.11
565.0,94.75
570.0,95.42
575.0,96.04
580.0,96.76
585.0,97.19
590.0,97.88
595.0,98.15
600.0,98.64
605.0,99.42
610.0,99.86
615.0,100.31
620.0,101.02
625.0,101.52
630.0,101.86
635.0,102.49
640.0,103.04
645.0,103.41
650.0,104.05
655.0,104.51
660.0,104.92
665.0,105.35
670.0,105.98
675.0,106.58
680.0,107.06
685.0,107.24
690.0,107.61
695.0,108.22
700.0,108.87
705.0,109.25
710.0,109.36
715.0,110.0
720.0,111.05
725.0,110.79
730.0,111.61
735.0,111.75
740.0,111.86
745.0,112.41
750.0,111.76
755.0,112.52
760.0,112.72
765.0,113.05
770.0,113.16
775.0,113.3
780.0,112.97
785.0,112.63
790.0,112.5
795.0,112.27
800.0,111.8
805.0,111.38
810.0,110.53
815.0,109.55
820.0,108.81
825.0,107.96
830.0,107.01
835.0,106.24
840.0,104.97
845.0,104.03
850.0,102.52
855.0,101.89
860.0,100.85
865.0,99.79
870.0,98.49
875.0,97.49
880.0,96.7
885.0,95.79
890.0,95.64
895.0,94.21
900.0,93.36
905.0,92.25
910.0,91.66
915.0,91.07
920.0,90.39
925.0,89.6
930.0,89.29
935.0,88.74
940.0,88.15
945.0,87.73
950.0,87.31
955.0,87.3
960.0,86.97
965.0,86.66
970.0,86.15
975.0,86.31
980.0,86.1
985.0,86.14
990.0,86.27
995.0,86.27
1000.0,86.72
1005.0,87.14
1010.0,87.71
1015.0,88.27
1020.0,88.72
1025.0,89.18
1030.0,89.71
1035.0,90.32
1040.0,91.21
1045.0,91.85
1050.0,92.65
1055.0,93.42
1060.0,94.36
1065.0,95.23
1070.0,96.57
1075.0,97.23
1080.0,98.71
1085.0,99.65
1090.0,101.13
1095.0,102.13
1100.0,103.46
1105.0,104.81
1110.0,106.14
1115.0,107.24
1120.0,108.49
1125.0,109.4
1130.0,110.38
1135.0,111.58
1140.0,112.39
1145.0,113.31
1150.0,114.12
1155.0,114.88
1160.0,115.61
1165.0,116.28
1170.0,116.97
1175.0,117.56
1180.0,117.91
1185.0,118.48
1190.0,118.83
1195.0,119.55
1200.0,119.87
1205.0,120.15
1210.0,120.29
1215.0,121.33
1220.0,121.25
1225.0,121.09
1230.0,121.57
1235.0,122.16
1240.0,122.56
1245.0,122.96
1250.0,123.16
1255.0,123.55
1260.0,123.66
1265.0,124.18
1270.0,124.74
1275.0,124.78
