Composition,
Date Added,1989-12-12
Formula,
Grain Size Description,<500.0um
Grain Size,250.0 - 500.0
Locality,
Minimum Wavelength,300
Sample Name,Mundrabilla troilite
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,Troilite from Mundrabilla Iron particle size separates.
Sample ID,CFMB06
Original Sample ID,MB-CMP-006-P6
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,46.99
305.0,46.95
310.0,47.49
315.0,46.63
320.0,47.27
325.0,48.12
330.0,48.98
335.0,49.45
340.0,49.76
345.0,50.33
350.0,50.38
355.0,50.67
360.0,50.63
365.0,51.51
370.0,51.6
375.0,51.53
380.0,51.59
385.0,51.88
390.0,52.5
395.0,52.93
400.0,53.21
405.0,52.43
410.0,53.71
415.0,54.09
420.0,54.43
425.0,54.89
430.0,55.4
435.0,55.8
440.0,56.1
445.0,56.64
450.0,56.77
455.0,57.58
460.0,57.76
465.0,58.12
470.0,58.63
475.0,58.93
480.0,59.5
485.0,59.96
490.0,60.33
495.0,60.72
500.0,61.46
505.0,62.01
510.0,62.45
515.0,63.02
520.0,63.48
525.0,64.21
530.0,64.97
535.0,65.46
540.0,65.94
545.0,66.79
550.0,67.21
555.0,67.5
560.0,67.75
565.0,68.21
570.0,68.47
575.0,68.67
580.0,69.17
585.0,69.4
590.0,69.73
595.0,70.14
600.0,70.38
605.0,70.82
610.0,71.35
615.0,71.98
620.0,72.17
625.0,72.82
630.0,72.94
635.0,73.4
640.0,73.62
645.0,73.8
650.0,73.96
655.0,74.31
660.0,74.38
665.0,74.58
670.0,74.65
675.0,74.78
680.0,74.99
685.0,75.09
690.0,75.3
695.0,75.4
700.0,75.53
705.0,75.71
710.0,75.71
715.0,75.77
720.0,76.02
725.0,76.18
730.0,76.42
735.0,76.47
740.0,76.44
745.0,76.66
750.0,76.91
755.0,77.08
760.0,77.33
765.0,77.34
770.0,77.39
775.0,77.58
780.0,77.59
785.0,77.7
790.0,78.01
795.0,77.91
800.0,78.02
805.0,78.04
810.0,78.23
815.0,78.42
820.0,78.16
825.0,78.08
830.0,78.15
835.0,78.84
840.0,78.43
845.0,78.93
850.0,79.64
855.0,78.71
860.0,78.71
865.0,78.9
870.0,78.83
875.0,80.0
880.0,79.26
885.0,80.63
890.0,79.73
895.0,80.72
900.0,80.64
905.0,80.45
910.0,80.77
915.0,80.37
920.0,81.14
925.0,81.01
930.0,80.95
935.0,81.2
940.0,81.59
945.0,81.83
950.0,81.59
955.0,81.66
960.0,81.99
965.0,82.03
970.0,82.03
975.0,82.48
980.0,82.15
985.0,82.16
990.0,82.94
995.0,82.88
1000.0,82.57
1005.0,82.82
1010.0,82.92
1015.0,82.94
1020.0,83.2
1025.0,83.19
1030.0,83.63
1035.0,83.53
1040.0,84.09
1045.0,83.61
1050.0,83.87
1055.0,84.11
1060.0,83.82
1065.0,83.57
1070.0,84.01
1075.0,83.99
1080.0,84.09
1085.0,84.36
1090.0,84.5
1095.0,84.21
1100.0,85.01
1105.0,85.21
1110.0,85.16
1115.0,84.99
1120.0,85.26
1125.0,85.09
1130.0,85.68
1135.0,85.68
1140.0,85.85
1145.0,85.69
1150.0,86.18
1155.0,85.95
1160.0,86.4
1165.0,86.38
1170.0,86.35
1175.0,86.56
1180.0,86.51
1185.0,86.82
1190.0,86.86
1195.0,87.11
1200.0,86.95
1205.0,87.06
1210.0,87.01
1215.0,87.15
1220.0,87.37
1225.0,87.23
1230.0,87.55
1235.0,87.47
1240.0,87.82
1245.0,88.28
1250.0,88.66
1255.0,88.64
1260.0,88.84
1265.0,88.94
1270.0,89.15
1275.0,89.32
1280.0,89.23
1285.0,89.59
1290.0,89.7
1295.0,90.02
1300.0,89.86
1305.0,90.12
1310.0,90.14
1315.0,90.83
1320.0,90.61
1325.0,90.8
1330.0,91.05
1335.0,91.54
1340.0,91.42
1345.0,91.73
1350.0,91.35
1355.0,91.6
1360.0,91.42
1365.0,91.46
1370.0,91.76
1375.0,92.04
1380.0,91.62
1385.0,91.94
1390.0,92.51
1395.0,92.41
1400.0,92.42
1405.0,92.77
1410.0,92.75
1415.0,92.63
1420.0,92.94
1425.0,93.23
1430.0,93.37
1435.0,93.19
1440.0,93.41
1445.0,93.52
1450.0,93.82
1455.0,94.02
1460.0,94.22
1465.0,93.78
1470.0,93.81
1475.0,93.77
1480.0,94.13
1485.0,94.16
1490.0,94.45
1495.0,94.28
1500.0,94.69
1505.0,94.42
1510.0,94.67
1515.0,94.66
1520.0,94.41
1525.0,95.04
1530.0,94.86
1535.0,95.0
1540.0,95.34
1545.0,95.26
1550.0,95.5
1555.0,96.03
1560.0,95.77
1565.0,95.89
1570.0,96.06
1575.0,96.27
1580.0,96.47
1585.0,95.97
1590.0,96.39
1595.0,96.39
1600.0,97.17
1605.0,97.95
1610.0,97.19
1615.0,97.34
1620.0,97.34
1625.0,97.5
1630.0,97.81
1635.0,97.74
1640.0,97.41
1645.0,98.1
1650.0,97.87
1655.0,97.97
1660.0,98.07
1665.0,97.97
1670.0,97.92
1675.0,98.34
1680.0,98.6
1685.0,98.42
1690.0,98.7
1695.0,98.58
1700.0,99.15
1705.0,98.48
1710.0,98.74
1715.0,99.04
1720.0,99.29
1725.0,99.16
1730.0,99.36
1735.0,99.03
1740.0,99.32
1745.0,99.54
1750.0,99.74
1755.0,99.5
1760.0,99.61
1765.0,99.62
1770.0,99.63
1775.0,99.55
1780.0,99.8
1785.0,99.63
1790.0,99.97
1795.0,100.02
1800.0,99.88
1805.0,100.16
