Composition,
Date Added,1991-03-14
Formula,
Grain Size Description,<250.0um
Grain Size,25.0 - 250.0
Locality,
Minimum Wavelength,750
Sample Name,Jackalsfontein light
Maximum Wavelength,25920
Database of Origin,ReLab
Other Information,
References,
Resolution,11.0
Material Class,Rock
Sample Description,"BM1908,43, Dark fraction (D)  Thin section P. 4565, BM1908,431. At Brit. Mus. of Nat. History."
Sample ID,NDMB12
Original Sample ID,MB-CMP-012-D
Viewing Geometry,
Wavelength,Response
750.0,118.99
750.1,119.06
750.2,119.12
750.3,119.08
750.4,119.04
750.5,119.04
750.7,119.11
750.8,119.15
750.9,119.13
751.0,119.14
751.1,119.12
751.2,119.07
751.3,119.1
751.4,119.09
751.5,119.11
751.6,119.13
751.7,119.17
751.9,119.14
752.0,119.09
752.1,119.13
752.2,119.07
752.3,119.04
752.4,119.13
752.5,119.18
752.6,119.15
752.7,119.14
752.8,119.13
752.9,119.23
753.1,119.35
753.2,119.3
753.3,119.32
753.4,119.33
753.5,119.28
753.6,119.17
753.7,119.3
753.8,119.3
753.9,119.26
754.0,119.33
754.1,119.34
754.3,119.32
754.4,119.23
754.5,119.24
754.6,119.25
754.7,119.24
754.8,119.27
754.9,119.31
755.0,119.32
755.1,119.23
755.2,119.23
755.4,119.26
755.5,119.3
755.6,119.42
755.7,119.41
755.8,119.47
755.9,119.45
756.0,119.39
756.1,119.28
756.2,119.35
756.3,119.5
756.5,119.5
756.6,119.46
756.7,119.49
756.8,119.55
756.9,119.51
757.0,119.47
757.1,119.42
757.2,119.46
757.3,119.54
757.5,119.53
757.6,119.5
757.7,119.61
757.8,119.61
757.9,119.56
758.0,119.62
758.1,119.6
758.2,119.49
758.3,119.45
758.5,119.43
758.6,119.48
758.7,119.62
758.8,119.67
758.9,119.59
759.0,119.55
759.1,119.59
759.2,119.58
759.3,119.59
759.5,119.63
759.6,119.53
759.7,119.46
759.8,119.5
759.9,119.55
760.0,119.61
760.1,119.58
760.2,119.63
760.3,119.6
760.5,119.55
760.6,119.59
760.7,119.72
760.8,119.75
760.9,119.6
761.0,119.57
761.1,119.69
761.2,119.7
761.3,119.63
761.5,119.72
761.6,119.78
761.7,119.81
761.8,119.77
761.9,119.71
762.0,119.64
762.1,119.71
762.2,119.77
762.4,119.69
762.5,119.67
762.6,119.71
762.7,119.76
762.8,119.77
762.9,119.78
763.0,119.83
763.1,119.83
763.3,119.79
763.4,119.71
763.5,119.73
763.6,119.77
763.7,119.84
763.8,119.88
763.9,119.79
764.0,119.79
764.2,119.87
764.3,119.81
764.4,119.8
764.5,119.87
764.6,119.91
764.7,119.9
764.8,119.87
764.9,119.8
765.1,119.81
765.2,119.9
765.3,119.91
765.4,119.93
765.5,119.9
765.6,119.96
765.7,119.92
765.8,119.8
766.0,119.92
766.1,120.0
766.2,119.91
766.3,119.88
766.4,119.89
766.5,119.86
766.6,119.86
766.8,119.84
766.9,119.88
767.0,119.91
767.1,120.01
767.2,120.01
767.3,119.98
767.4,120.0
767.5,119.9
767.7,119.87
767.8,119.93
767.9,119.96
768.0,119.94
768.1,119.98
768.2,120.0
768.3,119.96
768.5,119.91
768.6,119.98
768.7,120.06
768.8,119.97
768.9,120.02
769.0,120.1
769.1,120.05
769.3,120.11
769.4,120.11
769.5,120.06
769.6,120.0
769.7,120.03
769.8,120.05
769.9,120.08
770.1,120.12
770.2,120.08
770.3,120.05
770.4,120.05
770.5,119.97
770.6,119.96
770.7,120.05
770.9,120.04
771.0,120.04
771.1,120.11
771.2,120.05
771.3,120.09
771.4,120.17
771.5,120.05
771.7,120.06
771.8,120.09
771.9,120.07
772.0,120.1
772.1,120.05
772.2,120.08
772.3,120.2
772.5,120.24
772.6,120.13
772.7,120.12
772.8,120.13
772.9,120.1
773.0,120.12
773.2,120.08
773.3,120.08
773.4,120.08
773.5,120.08
773.6,120.17
773.7,120.09
773.8,120.07
774.0,120.09
774.1,120.1
774.2,120.14
774.3,120.15
774.4,120.11
774.5,120.14
774.7,120.21
774.8,120.18
774.9,120.19
775.0,120.25
775.1,120.21
775.2,120.21
775.4,120.25
775.5,120.18
775.6,120.16
775.7,120.17
775.8,120.15
775.9,120.11
776.0,120.12
776.2,120.17
776.3,120.19
776.4,120.2
776.5,120.21
776.6,120.29
776.7,120.25
776.9,120.25
777.0,120.26
777.1,120.16
777.2,120.1
777.3,120.13
777.4,120.29
777.6,120.36
777.7,120.32
777.8,120.26
777.9,120.24
778.0,120.25
778.1,120.27
778.3,120.27
778.4,120.31
778.5,120.29
778.6,120.24
778.7,120.29
778.8,120.37
779.0,120.37
779.1,120.31
779.2,120.33
779.3,120.26
779.4,120.26
779.5,120.31
779.7,120.22
779.8,120.24
779.9,120.31
780.0,120.29
780.1,120.27
780.3,120.23
780.4,120.25
780.5,120.32
780.6,120.37
780.7,120.28
780.8,120.24
781.0,120.25
781.1,120.21
781.2,120.28
781.3,120.33
781.4,120.31
781.5,120.36
781.7,120.46
781.8,120.44
781.9,120.46
782.0,120.39
782.1,120.4
782.3,120.44
782.4,120.38
782.5,120.35
782.6,120.3
782.7,120.29
782.8,120.35
783.0,120.37
783.1,120.36
783.2,120.32
783.3,120.3
783.4,120.26
783.6,120.36
783.7,120.36
783.8,120.37
783.9,120.4
784.0,120.38
784.1,120.39
784.3,120.39
784.4,120.41
784.5,120.43
784.6,120.42
784.7,120.47
784.9,120.45
785.0,120.43
785.1,120.44
785.2,120.42
785.3,120.41
785.5,120.43
785.6,120.44
785.7,120.45
785.8,120.39
785.9,120.34
786.0,120.4
786.2,120.41
786.3,120.44
786.4,120.47
786.5,120.43
786.6,120.45
786.8,120.46
786.9,120.43
787.0,120.47
787.1,120.45
787.2,120.41
787.4,120.38
787.5,120.43
787.6,120.5
787.7,120.57
787.8,120.52
788.0,120.47
788.1,120.45
788.2,120.44
788.3,120.49
788.4,120.46
788.6,120.42
788.7,120.47
788.8,120.55
788.9,120.53
789.0,120.52
789.2,120.54
789.3,120.46
789.4,120.49
789.5,120.51
789.6,120.46
789.8,120.46
789.9,120.47
790.0,120.47
790.1,120.5
790.2,120.54
790.4,120.49
790.5,120.47
790.6,120.48
790.7,120.47
790.8,120.52
791.0,120.53
791.1,120.53
791.2,120.57
791.3,120.59
791.4,120.49
791.6,120.52
791.7,120.62
791.8,120.59
791.9,120.55
792.1,120.57
792.2,120.59
792.3,120.56
792.4,120.55
792.5,120.55
792.7,120.54
792.8,120.51
792.9,120.55
793.0,120.58
793.1,120.6
793.3,120.57
793.4,120.59
793.5,120.55
793.6,120.51
793.7,120.59
793.9,120.64
794.0,120.67
794.1,120.68
794.2,120.65
794.4,120.57
794.5,120.55
794.6,120.53
794.7,120.55
794.8,120.63
795.0,120.67
795.1,120.61
795.2,120.52
795.3,120.51
795.5,120.52
795.6,120.53
795.7,120.53
795.8,120.49
795.9,120.5
796.1,120.56
796.2,120.54
796.3,120.52
796.4,120.64
796.6,120.61
796.7,120.53
796.8,120.52
796.9,120.48
797.0,120.59
797.2,120.63
797.3,120.61
797.4,120.64
797.5,120.67
797.7,120.67
797.8,120.6
797.9,120.57
798.0,120.6
798.1,120.63
798.3,120.57
798.4,120.52
798.5,120.57
798.6,120.58
798.8,120.52
798.9,120.55
799.0,120.6
799.1,120.57
799.3,120.5
799.4,120.52
799.5,120.61
799.6,120.67
799.7,120.66
799.9,120.61
800.0,120.62
800.1,120.62
800.2,120.54
800.4,120.55
800.5,120.55
800.6,120.52
800.7,120.55
800.9,120.63
801.0,120.63
801.1,120.54
801.2,120.57
801.4,120.6
801.5,120.61
801.6,120.56
801.7,120.52
801.9,120.57
802.0,120.6
802.1,120.7
802.2,120.7
802.3,120.65
802.5,120.66
802.6,120.68
802.7,120.66
802.8,120.65
803.0,120.61
803.1,120.62
803.2,120.67
803.3,120.69
803.5,120.61
803.6,120.55
803.7,120.55
803.8,120.59
804.0,120.61
804.1,120.6
804.2,120.66
804.3,120.6
804.5,120.6
804.6,120.58
804.7,120.56
804.8,120.63
805.0,120.65
805.1,120.61
805.2,120.61
805.3,120.66
805.5,120.65
805.6,120.62
805.7,120.59
805.8,120.6
806.0,120.65
806.1,120.68
806.2,120.61
806.3,120.63
806.5,120.66
806.6,120.63
806.7,120.76
806.8,120.84
807.0,120.74
807.1,120.6
807.2,120.59
807.3,120.6
807.5,120.62
807.6,120.68
807.7,120.62
807.8,120.57
808.0,120.57
808.1,120.57
808.2,120.57
808.4,120.55
808.5,120.59
808.6,120.59
808.7,120.6
