Composition,
Date Added,2013-02-19
Formula,
Grain Size Description,<75.0um
Grain Size,45.0 - 75.0
Locality,
Minimum Wavelength,800
Sample Name,Plag85-BambleOpx15
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,85 wt% PL-CMP-147-C + 15 wt% PE-CMP-026-C on 9 mm dish w/o tapping
Sample ID,BIR1MX081C
Original Sample ID,MX-CMP-081-C
Viewing Geometry,
Wavelength,Response
799.9,320.15
800.0,319.95
800.2,319.24
800.3,319.41
800.4,320.07
800.5,320.35
800.7,320.33
800.8,319.88
800.9,320.09
801.0,319.87
801.2,318.88
801.3,318.95
801.4,318.55
801.5,317.83
801.6,318.54
801.8,318.35
801.9,318.15
802.0,318.57
802.1,318.74
802.3,317.86
802.4,317.69
802.5,318.19
802.6,317.26
802.8,317.29
802.9,317.76
803.0,317.02
803.1,317.19
803.3,317.48
803.4,317.03
803.5,316.61
803.6,316.78
803.8,317.04
803.9,317.42
804.0,317.53
804.1,317.19
804.3,316.37
804.4,316.18
804.5,315.93
804.6,315.69
804.8,315.51
804.9,315.25
805.0,316.39
805.1,317.11
805.3,315.86
805.4,314.45
805.5,314.75
805.6,315.01
805.8,314.86
805.9,314.81
806.0,313.84
806.1,313.59
806.3,313.47
806.4,313.24
806.5,313.48
806.6,313.43
806.8,313.1
806.9,313.37
807.0,314.33
807.1,314.53
807.3,313.59
807.4,312.97
807.5,313.2
807.6,313.9
807.8,313.61
807.9,313.09
808.0,312.36
808.1,311.51
808.3,311.87
808.4,312.2
808.5,311.83
808.6,310.98
808.8,310.96
808.9,310.96
809.0,310.89
809.2,310.12
809.3,310.11
809.4,310.26
809.5,309.7
809.7,309.28
809.8,309.08
809.9,309.98
810.0,310.29
810.2,310.08
810.3,309.07
810.4,309.14
810.5,310.27
810.7,310.44
810.8,309.48
810.9,309.93
811.0,309.55
811.2,308.29
811.3,308.66
811.4,307.99
811.5,307.43
811.7,307.53
811.8,307.76
811.9,307.74
812.1,307.11
812.2,307.01
812.3,307.97
812.4,307.94
812.6,307.21
812.7,307.17
812.8,307.22
813.0,306.53
813.1,305.63
813.2,306.18
813.3,306.45
813.5,306.58
813.6,306.44
813.7,305.97
813.8,305.59
814.0,304.67
814.1,304.23
814.2,305.56
814.4,305.4
814.5,304.05
814.6,304.44
814.7,305.6
814.9,305.16
815.0,305.04
815.1,304.94
815.3,304.92
815.4,305.03
815.5,304.33
815.6,303.16
815.8,302.99
815.9,303.85
816.0,304.39
816.2,304.38
816.3,304.27
816.4,303.66
816.5,303.29
816.7,304.2
816.8,304.65
816.9,303.7
817.0,302.78
817.2,302.15
817.3,302.83
817.4,303.49
817.6,302.37
817.7,302.67
817.8,302.18
818.0,301.37
818.1,301.72
818.2,302.34
818.3,301.7
818.5,300.45
818.6,300.47
818.7,300.48
818.9,300.6
819.0,301.26
819.1,301.34
819.3,301.29
819.4,300.8
819.5,300.12
819.6,300.31
819.8,300.8
819.9,300.55
820.0,300.28
820.2,300.19
820.3,299.59
820.4,298.47
820.5,298.53
820.7,299.13
820.8,298.64
820.9,297.65
821.1,298.57
821.2,299.81
821.3,299.78
821.5,299.22
821.6,298.78
821.7,297.94
821.8,297.45
822.0,297.59
822.1,298.62
822.2,298.86
822.4,298.49
822.5,297.79
822.6,297.3
822.8,296.99
822.9,297.16
823.0,298.65
823.2,298.42
823.3,297.65
823.4,296.74
823.5,295.79
823.7,295.68
823.8,295.76
823.9,296.25
824.1,296.48
824.2,296.17
824.3,295.63
824.5,295.72
824.6,296.66
824.7,296.23
824.8,295.01
825.0,294.83
825.1,295.73
825.3,295.31
825.4,294.6
825.5,295.13
825.6,295.27
825.8,294.94
825.9,295.21
826.0,294.62
826.2,294.43
826.3,295.21
826.4,295.8
826.6,296.06
826.7,295.81
826.8,294.75
827.0,295.11
827.1,295.87
827.2,295.99
827.3,295.04
827.5,294.66
827.6,295.39
827.8,296.06
827.9,295.93
828.0,295.67
828.2,295.41
828.3,295.19
828.4,295.22
828.5,294.87
828.7,294.99
828.8,294.67
828.9,294.38
829.1,295.34
829.2,295.54
829.3,295.54
829.5,294.47
829.6,293.65
829.7,294.45
829.9,294.87
830.0,294.5
830.1,294.01
830.3,294.36
830.4,294.78
830.5,294.47
830.7,293.45
830.8,293.89
830.9,294.06
831.1,294.26
831.2,293.91
831.3,293.24
831.5,293.68
831.6,293.42
831.7,293.05
