Composition,
Date Added,1989-07-17
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,Neodymium Oxide 
Maximum Wavelength,900
Database of Origin,ReLab
Other Information,
References,
Resolution,1.0
Material Class,Other
Sample Description,
Sample ID,RC3NO01
Original Sample ID,NO-CMP-001
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,509.74
301.0,509.38
302.0,532.75
303.0,554.97
304.0,547.83
305.0,550.23
306.0,543.61
307.0,512.84
308.0,499.67
309.0,510.29
310.0,505.23
311.0,492.33
312.0,513.01
313.0,547.36
314.0,574.5
315.0,582.81
316.0,589.65
317.0,589.64
318.0,590.36
319.0,585.32
320.0,583.09
321.0,583.8
322.0,579.0
323.0,576.45
324.0,579.93
325.0,585.33
326.0,591.14
327.0,587.48
328.0,576.33
329.0,562.5
330.0,543.48
331.0,522.3
332.0,495.27
333.0,473.95
334.0,457.96
335.0,446.4
336.0,432.32
337.0,418.84
338.0,408.32
339.0,403.8
340.0,401.54
341.0,415.39
342.0,448.28
343.0,488.09
344.0,519.81
345.0,539.88
346.0,549.76
347.0,548.3
348.0,531.42
349.0,506.81
350.0,496.54
351.0,487.36
352.0,463.89
353.0,432.81
354.0,406.58
355.0,383.31
356.0,341.33
357.0,297.1
358.0,290.25
359.0,286.2
360.0,274.41
361.0,280.94
362.0,301.22
363.0,315.39
364.0,328.24
365.0,319.77
366.0,290.27
367.0,278.96
368.0,321.24
369.0,381.4
370.0,436.16
371.0,488.46
372.0,513.31
373.0,519.5
374.0,567.83
375.0,618.73
376.0,642.18
377.0,653.22
378.0,656.25
379.0,659.06
380.0,659.32
381.0,661.13
382.0,660.0
383.0,659.24
384.0,659.52
385.0,659.78
386.0,656.13
387.0,652.29
388.0,652.15
389.0,652.08
390.0,652.91
391.0,658.7
392.0,662.74
393.0,665.73
394.0,666.01
395.0,668.55
396.0,670.2
397.0,669.24
398.0,671.39
399.0,673.6
400.0,668.34
401.0,668.91
402.0,669.19
403.0,671.76
404.0,672.2
405.0,673.54
406.0,672.49
407.0,674.78
408.0,674.43
409.0,676.24
410.0,675.82
411.0,678.45
412.0,679.76
413.0,679.8
414.0,680.53
415.0,680.68
416.0,682.23
417.0,680.07
418.0,680.25
419.0,679.74
420.0,677.6
421.0,676.15
422.0,674.49
423.0,667.49
424.0,660.13
425.0,658.02
426.0,663.04
427.0,668.03
428.0,667.53
429.0,656.09
430.0,642.88
431.0,647.81
432.0,653.19
433.0,646.6
434.0,635.7
435.0,624.3
436.0,595.6
437.0,528.43
438.0,490.68
439.0,547.13
440.0,606.81
441.0,618.76
442.0,602.84
443.0,626.95
444.0,668.72
445.0,679.74
446.0,666.73
447.0,649.51
448.0,669.03
449.0,695.26
450.0,701.2
451.0,701.53
452.0,701.91
453.0,700.38
454.0,697.57
455.0,695.24
456.0,691.63
457.0,685.3
458.0,678.57
459.0,668.05
460.0,657.62
461.0,645.87
462.0,632.48
463.0,613.46
464.0,596.0
465.0,583.56
466.0,569.93
467.0,552.42
468.0,537.15
469.0,538.34
470.0,537.72
471.0,528.85
472.0,536.43
473.0,566.82
474.0,596.36
475.0,607.37
476.0,601.17
477.0,582.98
478.0,555.33
479.0,545.06
480.0,546.22
481.0,542.64
482.0,541.69
483.0,536.11
484.0,517.37
485.0,501.43
486.0,506.12
487.0,530.03
488.0,565.22
489.0,620.34
490.0,662.43
491.0,686.66
492.0,698.72
493.0,707.52
494.0,714.48
495.0,718.38
496.0,716.52
497.0,708.65
498.0,700.99
499.0,702.97
500.0,708.92
501.0,707.55
502.0,700.84
503.0,689.64
504.0,675.57
505.0,659.14
506.0,644.32
507.0,628.75
508.0,614.79
509.0,595.64
510.0,570.45
511.0,549.1
512.0,533.51
513.0,523.79
514.0,515.89
515.0,502.22
516.0,485.73
517.0,469.0
518.0,443.65
519.0,409.99
520.0,385.17
521.0,371.75
522.0,375.39
523.0,388.58
524.0,393.43
525.0,403.93
526.0,417.52
527.0,436.07
528.0,458.67
529.0,471.88
530.0,472.28
531.0,471.61
532.0,465.07
533.0,437.25
534.0,378.04
535.0,335.41
536.0,344.8
537.0,345.22
538.0,339.72
539.0,358.6
540.0,375.3
541.0,405.3
542.0,451.38
543.0,503.33
544.0,521.45
545.0,512.31
546.0,527.45
547.0,586.06
548.0,641.44
549.0,660.04
550.0,674.89
551.0,680.94
552.0,669.96
553.0,677.02
554.0,712.58
555.0,750.41
556.0,765.22
557.0,772.37
558.0,776.48
559.0,778.23
560.0,776.53
561.0,773.35
562.0,764.73
563.0,752.09
564.0,738.66
565.0,729.56
566.0,719.16
567.0,702.83
568.0,682.76
569.0,662.48
570.0,641.71
571.0,624.44
572.0,596.57
573.0,552.76
574.0,507.42
575.0,472.66
576.0,457.37
577.0,443.07
578.0,398.79
579.0,367.69
580.0,374.23
581.0,372.31
582.0,353.14
583.0,325.07
584.0,290.41
585.0,292.04
586.0,306.14
587.0,287.61
588.0,261.96
589.0,247.3
590.0,238.67
591.0,250.32
592.0,273.6
593.0,280.99
594.0,267.06
595.0,232.54
596.0,194.02
597.0,181.5
598.0,196.88
599.0,202.88
600.0,179.72
601.0,167.32
602.0,196.63
603.0,247.94
604.0,281.51
605.0,291.78
606.0,293.22
607.0,299.95
608.0,297.67
609.0,275.42
610.0,299.2
611.0,361.98
612.0,394.04
613.0,369.95
614.0,334.94
615.0,376.74
616.0,438.64
617.0,432.08
618.0,371.32
619.0,383.67
620.0,508.08
621.0,603.28
622.0,650.7
623.0,686.31
624.0,727.47
625.0,755.58
626.0,771.33
627.0,775.01
628.0,760.27
629.0,729.72
630.0,726.35
631.0,737.94
632.0,727.45
633.0,719.22
634.0,747.31
635.0,778.72
636.0,779.71
637.0,752.56
638.0,726.86
639.0,712.3
640.0,735.9
641.0,782.69
642.0,804.52
643.0,803.04
644.0,812.28
645.0,830.19
646.0,832.94
647.0,830.77
648.0,834.6
649.0,841.19
650.0,850.36
651.0,861.53
652.0,866.21
653.0,867.47
654.0,869.74
655.0,868.92
656.0,867.01
657.0,864.13
658.0,865.07
659.0,867.2
660.0,868.73
661.0,869.12
662.0,869.12
663.0,868.24
664.0,867.16
665.0,865.57
666.0,863.78
667.0,861.41
668.0,859.33
669.0,853.96
670.0,850.33
671.0,843.33
672.0,834.81
673.0,826.42
674.0,819.1
675.0,814.64
676.0,805.52
677.0,793.25
678.0,781.39
679.0,765.01
680.0,738.95
681.0,706.0
682.0,683.5
683.0,669.82
684.0,656.36
685.0,647.17
686.0,634.82
687.0,626.59
688.0,627.95
689.0,634.95
690.0,627.12
691.0,606.06
692.0,601.42
693.0,619.68
694.0,613.78
695.0,592.98
696.0,614.7
697.0,667.13
698.0,708.63
699.0,727.8
700.0,745.86
701.0,759.41
702.0,754.78
703.0,736.16
704.0,736.2
705.0,764.07
706.0,784.05
707.0,790.9
708.0,800.22
709.0,827.38
710.0,847.06
711.0,854.54
712.0,858.54
713.0,861.16
714.0,857.2
715.0,851.17
716.0,846.24
717.0,850.49
718.0,853.21
719.0,851.93
720.0,845.85
721.0,841.89
722.0,835.65
723.0,825.64
724.0,813.81
725.0,802.5
726.0,789.24
727.0,778.88
728.0,763.64
729.0,746.43
730.0,729.33
731.0,715.28
732.0,702.84
733.0,678.15
734.0,629.38
735.0,568.5
736.0,561.96
737.0,574.28
738.0,552.8
739.0,534.78
740.0,536.21
741.0,527.56
742.0,498.39
743.0,454.35
744.0,410.69
745.0,377.23
746.0,344.9
747.0,311.98
748.0,276.62
749.0,224.7
750.0,194.01
751.0,204.98
752.0,222.52
753.0,221.34
754.0,209.05
755.0,218.46
756.0,253.29
757.0,290.21
758.0,300.88
759.0,296.19
760.0,289.55
761.0,267.31
762.0,248.74
763.0,272.39
764.0,329.98
765.0,371.82
766.0,372.42
767.0,368.51
768.0,397.13
769.0,459.0
770.0,524.06
771.0,566.29
772.0,589.25
773.0,601.37
774.0,602.39
775.0,594.84
776.0,588.93
777.0,593.09
778.0,604.14
779.0,621.59
780.0,628.65
781.0,619.01
782.0,608.62
783.0,609.24
784.0,616.82
785.0,616.25
786.0,606.87
787.0,598.7
788.0,593.31
789.0,574.68
790.0,546.85
791.0,517.52
792.0,499.82
793.0,489.49
794.0,462.65
795.0,410.24
796.0,361.55
797.0,333.25
798.0,316.5
799.0,308.65
800.0,341.32
801.0,381.99
802.0,393.67
803.0,392.0
804.0,379.35
805.0,348.6
806.0,306.77
807.0,267.86
808.0,244.46
809.0,250.11
810.0,276.8
811.0,290.02
812.0,288.8
813.0,282.76
814.0,265.47
815.0,244.28
816.0,233.62
817.0,234.46
818.0,244.51
819.0,259.43
820.0,263.63
821.0,241.58
822.0,204.83
823.0,191.31
824.0,218.12
825.0,251.04
826.0,259.58
827.0,269.92
828.0,304.97
829.0,356.5
830.0,407.24
831.0,450.28
832.0,483.13
833.0,514.24
834.0,545.62
835.0,578.09
836.0,604.44
837.0,619.81
838.0,626.11
839.0,629.1
840.0,632.62
841.0,642.08
842.0,648.03
843.0,649.12
844.0,670.33
845.0,694.55
846.0,700.41
847.0,693.58
848.0,674.69
849.0,659.02
850.0,662.79
851.0,689.8
852.0,719.27
853.0,739.22
854.0,746.45
855.0,743.43
856.0,741.07
857.0,743.84
858.0,748.81
859.0,753.45
860.0,750.47
861.0,743.18
862.0,731.08
863.0,718.86
864.0,702.25
865.0,674.46
866.0,632.43
867.0,588.95
868.0,597.45
869.0,626.14
870.0,588.58
871.0,530.88
872.0,550.59
873.0,605.0
874.0,625.44
875.0,622.79
876.0,612.47
877.0,593.73
878.0,572.72
879.0,553.58
880.0,526.78
881.0,478.48
882.0,422.42
883.0,387.69
884.0,396.06
885.0,420.11
886.0,447.73
887.0,461.35
888.0,451.41
889.0,437.63
890.0,434.39
891.0,443.05
892.0,449.31
893.0,456.92
894.0,452.62
895.0,424.63
896.0,397.3
897.0,370.06
898.0,378.46
899.0,419.29
900.0,452.35
