Composition,
Date Added,1991-08-20
Formula,
Grain Size Description,<150.0um
Grain Size,0.0 - 150.0
Locality,
Minimum Wavelength,900
Sample Name,Act 10
Maximum Wavelength,25920
Database of Origin,ReLab
Other Information,JFM Actinolite #10
References,Brown University
Resolution,12.0
Material Class,Mineral
Sample Description,Pure actinolite from Brown University teaching collection   Large single crystal ground to bulk powder
Sample ID,NAPA42
Original Sample ID,PA-CMP-042
Viewing Geometry,
Wavelength,Response
900.1,469.75
900.3,467.76
900.4,467.59
900.6,468.7
900.8,469.11
900.9,468.71
901.1,470.28
901.2,474.12
901.4,472.84
901.5,468.96
901.7,470.93
901.9,471.89
902.0,466.68
902.2,465.58
902.3,468.93
902.5,469.91
902.6,469.24
902.8,468.06
903.0,467.27
903.1,466.95
903.3,464.79
903.4,466.31
903.6,469.13
903.7,469.09
903.9,467.62
904.1,469.23
904.2,468.7
904.4,465.08
904.5,466.13
904.7,466.5
904.8,465.39
905.0,467.25
905.2,468.15
905.3,468.06
905.5,467.0
905.6,465.48
905.8,463.99
906.0,464.37
906.1,466.37
906.3,467.58
906.4,467.6
906.6,467.21
906.7,465.62
906.9,466.91
907.1,466.93
907.2,465.45
907.4,466.94
907.5,468.21
907.7,463.81
907.9,464.21
908.0,465.7
908.2,465.07
908.3,462.95
908.5,462.55
908.7,464.15
908.8,463.73
909.0,465.78
909.1,468.81
909.3,468.16
909.4,465.05
909.6,463.22
909.8,463.84
909.9,464.97
910.1,463.72
910.2,461.32
910.4,461.65
910.6,464.3
910.7,465.65
910.9,467.0
911.0,467.22
911.2,465.29
911.4,464.44
911.5,465.69
911.7,466.35
911.8,466.16
912.0,467.98
912.2,466.07
912.3,463.25
912.5,463.23
912.7,464.26
912.8,462.62
913.0,461.02
913.1,461.12
913.3,463.2
913.5,465.38
913.6,464.72
913.8,462.63
913.9,462.5
914.1,463.94
914.3,462.25
914.4,459.36
914.6,458.72
914.7,463.0
914.9,464.77
915.1,463.63
915.2,463.05
