Composition,
Date Added,2013-06-13
Formula,
Grain Size Description,<125.0um
Grain Size,45.0 - 125.0
Locality,
Minimum Wavelength,800
Sample Name,"Stillwater anorthosite, Banded Series, 45-125 um"
Maximum Wavelength,25050
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Rock
Sample Description,Bulk anorthosite; Anorthosite from Gabbronorite-Troctolite-Anorthsite series in the Mountain View area. 
Sample ID,BIR1PL146D
Original Sample ID,PL-CMP-146-D
Viewing Geometry,
Wavelength,Response
799.9,327.25
800.0,326.59
800.2,327.96
800.3,328.57
800.4,328.45
800.5,328.08
800.7,326.69
800.8,325.52
800.9,327.14
801.0,328.21
801.2,326.96
801.3,327.3
801.4,327.22
801.5,325.43
801.6,325.24
801.8,326.92
801.9,326.38
802.0,325.42
802.1,325.95
802.3,326.51
802.4,325.98
802.5,325.87
802.6,327.19
802.8,327.28
802.9,326.47
803.0,326.67
803.1,327.33
803.3,327.19
803.4,327.15
803.5,326.29
803.6,324.52
803.8,324.23
803.9,324.78
804.0,325.4
804.1,325.87
804.3,324.98
804.4,325.51
804.5,327.73
804.6,328.18
804.8,326.81
804.9,326.02
805.0,326.76
805.1,327.77
805.3,327.5
805.4,326.11
805.5,325.04
805.6,325.71
805.8,327.02
805.9,326.08
806.0,325.33
806.1,326.4
806.3,326.76
806.4,326.77
806.5,326.27
806.6,326.01
806.8,325.88
806.9,325.35
807.0,325.38
807.1,326.57
807.3,328.17
807.4,327.42
807.5,325.19
807.6,324.22
807.8,325.86
807.9,326.91
808.0,325.44
808.1,324.23
808.3,325.49
808.4,326.87
808.5,327.28
808.6,326.55
808.8,326.65
808.9,327.71
809.0,326.35
809.2,325.39
809.3,325.66
809.4,326.29
809.5,326.31
809.7,325.68
809.8,326.7
809.9,328.07
810.0,327.18
810.2,326.19
810.3,325.86
810.4,326.66
810.5,327.22
810.7,326.27
810.8,324.53
810.9,324.96
811.0,326.04
811.2,325.8
811.3,326.94
811.4,327.21
811.5,326.53
811.7,325.8
811.8,325.37
811.9,325.23
812.1,326.53
812.2,326.93
812.3,326.88
812.4,326.55
812.6,326.76
812.7,328.5
812.8,327.98
813.0,326.63
813.1,326.74
813.2,326.44
813.3,326.47
813.5,326.01
813.6,326.1
813.7,326.9
813.8,327.21
814.0,327.48
814.1,327.5
814.2,326.13
814.4,325.82
814.5,326.86
814.6,326.9
814.7,327.88
814.9,328.03
815.0,326.64
815.1,326.72
815.3,327.52
815.4,327.13
815.5,326.34
815.6,326.68
815.8,326.95
815.9,326.43
816.0,326.59
816.2,327.64
816.3,327.02
816.4,326.31
816.5,327.08
816.7,328.09
816.8,327.65
816.9,326.96
817.0,326.23
817.2,325.46
817.3,325.18
817.4,325.22
817.6,325.86
817.7,325.79
817.8,325.7
818.0,326.01
818.1,327.34
818.2,327.42
818.3,326.43
818.5,325.67
818.6,326.68
818.7,328.19
818.9,327.57
819.0,326.36
819.1,326.31
819.3,325.57
819.4,326.29
819.5,328.02
819.6,327.38
819.8,326.41
819.9,326.4
820.0,326.0
820.2,326.07
820.3,326.31
820.4,326.69
820.5,327.18
820.7,326.92
820.8,326.91
820.9,326.42
821.1,326.47
821.2,327.52
821.3,327.98
821.5,326.94
821.6,327.2
821.7,328.05
821.8,328.34
822.0,327.17
822.1,326.65
822.2,327.44
822.4,327.59
822.5,328.63
822.6,328.95
822.8,328.16
822.9,327.26
823.0,327.63
823.2,328.15
823.3,327.32
823.4,328.16
823.5,328.96
823.7,327.11
823.8,327.02
823.9,327.78
824.1,326.66
824.2,325.64
824.3,327.2
824.5,328.29
824.6,327.87
824.7,328.9
824.8,329.64
825.0,329.46
825.1,329.48
825.3,329.7
825.4,330.06
825.5,330.08
825.6,329.64
825.8,330.36
825.9,330.4
826.0,330.56
826.2,330.4
826.3,330.0
826.4,330.24
826.6,329.94
826.7,330.3
826.8,330.65
827.0,331.29
827.1,332.57
827.2,333.13
827.3,333.25
827.5,332.36
827.6,332.62
827.8,333.25
827.9,333.68
828.0,333.38
828.2,332.91
828.3,333.07
828.4,333.29
828.5,332.21
828.7,331.75
828.8,332.28
828.9,333.23
829.1,333.54
829.2,333.6
829.3,334.13
829.5,334.6
829.6,334.42
829.7,334.95
829.9,335.85
830.0,336.02
830.1,335.08
830.3,333.84
830.4,333.21
830.5,332.46
830.7,332.98
830.8,333.99
830.9,334.05
831.1,333.74
831.2,333.43
831.3,333.76
831.5,333.63
831.6,333.29
831.7,334.11
831.9,334.84
832.0,334.38
832.1,333.08
832.3,332.78
832.4,333.74
832.5,333.99
832.7,334.26
832.8,334.56
832.9,334.84
833.1,335.12
833.2,335.15
833.3,334.59
833.5,334.55
833.6,334.34
833.7,334.37
833.9,335.33
834.0,335.51
834.1,334.7
834.3,335.09
834.4,335.84
834.5,335.54
834.7,335.19
834.8,336.0
835.0,335.85
835.1,334.88
835.2,333.77
835.3,332.55
835.5,332.92
835.6,334.22
835.8,334.27
835.9,333.65
836.0,333.58
836.2,334.14
836.3,334.92
836.4,335.42
836.6,335.04
836.7,334.2
836.8,334.57
837.0,335.74
837.1,336.22
837.2,335.0
837.4,333.62
837.5,334.58
837.6,335.2
837.8,335.27
837.9,335.3
838.0,334.45
838.2,334.19
838.3,333.92
838.5,334.09
838.6,334.67
838.7,334.81
838.9,334.63
839.0,335.21
839.1,335.37
839.3,334.84
839.4,334.51
839.5,334.8
839.7,333.98
839.8,333.49
840.0,334.0
840.1,333.83
840.2,333.85
840.4,334.16
840.5,334.14
840.6,334.14
840.8,334.44
840.9,334.74
841.0,334.65
841.2,333.99
841.3,334.55
841.5,334.36
841.6,333.46
841.7,333.27
841.9,333.77
842.0,333.67
842.1,333.47
842.3,332.93
842.4,334.2
842.5,334.79
842.7,334.09
842.8,334.18
843.0,334.92
843.1,335.31
843.2,334.87
843.4,334.29
843.5,334.6
843.6,335.09
843.8,335.17
843.9,334.72
844.0,334.69
844.2,335.13
844.3,334.81
844.5,334.86
844.6,334.82
844.7,334.72
844.9,334.76
845.0,334.59
845.2,334.36
845.3,334.64
845.4,335.13
845.6,335.72
845.7,335.17
845.8,334.74
846.0,334.1
846.1,333.26
846.3,333.46
846.4,333.89
846.5,334.1
846.7,335.13
846.8,334.81
847.0,334.17
847.1,334.45
847.2,334.65
847.4,334.38
847.5,335.19
847.6,335.55
847.8,334.81
847.9,334.18
848.1,334.52
848.2,334.49
848.3,334.28
848.5,334.06
848.6,334.08
848.8,334.73
848.9,334.89
849.0,334.72
849.2,334.52
849.3,334.0
849.5,333.48
849.6,333.83
849.7,334.69
849.9,335.06
850.0,335.1
850.1,335.61
850.3,336.2
850.4,335.97
850.6,334.56
850.7,334.67
850.8,334.68
851.0,334.06
