Composition,
Date Added,2011-03-02
Formula,
Grain Size Description,<125.0um
Grain Size,45.0 - 125.0
Locality,
Minimum Wavelength,280
Sample Name,"PL16-b, 45-125 (0.28 wt% FeO)"
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,Sintered at 1300 C
Sample ID,BKR1PL136D
Original Sample ID,PL-CMP-136-D
Viewing Geometry,
Wavelength,Response
280.0,428.96
285.0,367.86
290.0,359.7
295.0,370.24
300.0,391.79
305.0,418.15
310.0,444.89
315.0,473.62
320.0,497.74
325.0,522.22
330.0,542.44
335.0,562.71
340.0,578.9
345.0,594.2
350.0,608.14
355.0,619.38
360.0,628.61
365.0,638.94
370.0,644.43
375.0,654.08
380.0,657.78
385.0,664.95
390.0,670.87
395.0,677.08
400.0,680.0
405.0,684.09
410.0,686.79
415.0,690.22
420.0,692.05
425.0,695.71
430.0,698.62
435.0,702.55
440.0,704.31
445.0,707.61
450.0,710.4
455.0,711.6
460.0,715.1
465.0,717.84
470.0,718.69
475.0,721.84
480.0,723.32
485.0,725.93
490.0,726.38
495.0,729.12
500.0,728.67
505.0,731.67
510.0,732.13
515.0,735.35
520.0,736.0
525.0,737.39
530.0,740.99
535.0,741.56
540.0,743.08
545.0,744.18
550.0,745.83
555.0,748.09
560.0,749.78
565.0,751.75
570.0,752.46
575.0,754.99
580.0,755.46
585.0,757.83
590.0,758.32
595.0,760.2
600.0,761.29
605.0,762.46
610.0,764.33
615.0,765.18
620.0,767.5
625.0,766.01
630.0,766.18
635.0,767.1
640.0,768.15
645.0,767.7
650.0,767.08
655.0,768.79
660.0,766.98
665.0,766.89
670.0,765.57
675.0,765.06
680.0,762.95
685.0,763.58
690.0,763.06
695.0,761.13
700.0,762.1
705.0,760.56
710.0,760.1
715.0,759.07
720.0,758.6
725.0,757.61
730.0,756.44
735.0,755.62
740.0,753.86
745.0,753.43
750.0,752.1
755.0,752.02
760.0,749.87
765.0,748.18
770.0,746.86
775.0,745.55
780.0,743.67
785.0,741.09
790.0,739.5
795.0,736.63
800.0,733.85
805.0,733.09
810.0,731.36
815.0,729.99
820.0,727.12
825.0,725.85
830.0,723.51
835.0,721.86
840.0,719.26
845.0,717.06
850.0,715.01
855.0,713.37
860.0,711.01
865.0,709.18
870.0,708.25
875.0,705.16
880.0,703.08
885.0,700.94
890.0,697.49
895.0,697.09
900.0,692.47
900.2,692.38
900.3,691.9
900.5,691.63
900.7,691.84
900.8,691.51
901.0,692.07
901.1,692.04
901.3,691.02
901.4,690.65
901.6,691.12
901.8,691.76
901.9,691.64
902.1,691.72
902.2,690.69
902.4,690.81
902.5,692.75
902.7,692.55
902.8,691.61
903.0,691.23
903.2,690.53
