Composition,
Date Added,2009-08-12
Formula,
Grain Size Description,<25.0um
Grain Size,0.0 - 25.0
Locality,
Minimum Wavelength,280
Sample Name,LC001_L25
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,"Started from CaO 20.61, Al2O3 36.39, SiO2 42.88, FeO 0.13 (An 100), devolatilized at 1000C for 24 hrs, sintered at 1300C for 4 hrs (Cosmochemistry, Student)"
Sample ID,C1PL102
Original Sample ID,PL-CMP-102
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
280.0,576.85
285.0,575.01
290.0,594.36
295.0,623.1
300.0,649.72
305.0,674.51
310.0,696.4
315.0,714.66
320.0,732.03
325.0,749.38
330.0,760.88
335.0,773.67
340.0,786.83
345.0,796.62
350.0,803.44
355.0,814.78
360.0,823.44
365.0,829.91
370.0,835.24
375.0,841.02
380.0,843.15
385.0,847.09
390.0,848.79
395.0,850.99
400.0,854.35
405.0,855.44
410.0,857.0
415.0,859.66
420.0,861.36
425.0,862.57
430.0,865.52
435.0,867.24
440.0,869.01
445.0,870.95
450.0,870.18
455.0,872.46
460.0,873.68
465.0,874.57
470.0,874.54
475.0,875.78
480.0,877.3
485.0,877.91
490.0,878.56
495.0,879.38
500.0,879.09
505.0,879.3
510.0,880.32
515.0,881.31
520.0,880.45
525.0,880.9
530.0,881.71
535.0,881.48
540.0,881.59
545.0,882.09
550.0,881.63
555.0,881.94
560.0,881.94
565.0,882.34
570.0,883.71
575.0,882.89
580.0,882.13
585.0,882.68
590.0,883.2
595.0,883.01
600.0,884.27
605.0,884.9
610.0,885.81
615.0,885.57
620.0,886.61
625.0,886.49
630.0,887.37
635.0,886.75
640.0,887.62
645.0,888.16
650.0,888.54
655.0,887.88
660.0,889.07
665.0,888.71
670.0,889.29
675.0,889.54
680.0,888.47
685.0,889.65
690.0,889.41
695.0,889.02
700.0,889.2
705.0,888.21
710.0,889.07
715.0,887.68
720.0,886.83
725.0,886.11
730.0,886.21
735.0,885.49
740.0,885.58
745.0,883.33
750.0,883.42
755.0,881.67
760.0,882.72
765.0,880.9
770.0,880.48
775.0,878.9
780.0,877.47
785.0,875.9
790.0,875.44
795.0,873.02
800.0,872.86
805.0,871.54
810.0,870.51
815.0,869.03
820.0,867.14
825.0,866.0
830.0,864.45
835.0,863.07
840.0,861.22
845.0,860.37
850.0,859.21
855.0,857.2
860.0,856.35
865.0,855.75
870.0,855.13
875.0,854.26
880.0,853.95
885.0,854.04
890.0,853.77
895.0,853.89
900.0,854.21
905.0,855.2
910.0,854.13
915.0,857.43
920.0,859.6
925.0,861.02
930.0,862.44
935.0,863.22
940.0,862.16
945.0,863.69
950.0,866.29
955.0,867.46
960.0,867.79
965.0,869.26
970.0,869.81
975.0,872.68
980.0,873.69
985.0,874.8
990.0,875.78
995.0,876.03
1000.0,876.06
1005.0,876.95
1010.0,877.36
1015.0,878.72
1020.0,879.7
1025.0,879.64
1030.0,879.11
1035.0,880.22
1040.0,880.45
1045.0,881.2
1050.0,880.53
1055.0,881.61
1060.0,880.65
1065.0,882.05
1070.0,882.18
1075.0,882.45
1080.0,881.83
1085.0,882.11
1090.0,883.08
1095.0,882.01
1100.0,882.38
1105.0,881.49
1110.0,882.78
1115.0,884.46
1120.0,883.14
1125.0,883.44
1130.0,881.35
1135.0,882.75
1140.0,883.39
1145.0,883.18
1150.0,883.98
1155.0,883.8
1160.0,882.96
1165.0,883.56
1170.0,885.4
1175.0,883.82
1180.0,883.57
1185.0,883.59
1190.0,883.62
1195.0,883.76
1200.0,883.96
1205.0,883.74
1210.0,883.73
1215.0,883.47
1220.0,883.81
1225.0,884.14
1230.0,884.07
1235.0,884.6
1240.0,882.57
1245.0,884.29
1250.0,883.47
1255.0,883.65
1260.0,882.96
1265.0,882.23
1270.0,881.23
1275.0,882.02
1280.0,879.95
1285.0,878.37
1290.0,878.32
1295.0,880.56
1300.0,879.05
1305.0,878.42
1310.0,878.61
1315.0,876.59
1320.0,876.21
1325.0,876.27
1330.0,876.0
1335.0,875.44
1340.0,874.74
1345.0,872.58
1350.0,870.39
1355.0,868.2
1360.0,866.63
1365.0,865.79
1370.0,865.9
1375.0,865.24
1380.0,865.61
1385.0,865.96
1390.0,865.01
1395.0,863.89
1400.0,862.7
1405.0,861.85
1410.0,861.35
1415.0,861.44
1420.0,859.87
1425.0,861.12
1430.0,861.53
1435.0,860.3
1440.0,860.49
1445.0,861.28
1450.0,859.85
1455.0,860.04
1460.0,858.96
1465.0,858.39
1470.0,857.33
1475.0,857.71
1480.0,856.98
1485.0,857.93
1490.0,856.47
1495.0,856.77
1500.0,855.31
1505.0,856.52
1510.0,854.82
1515.0,855.76
1520.0,854.11
1525.0,854.93
1530.0,853.81
1535.0,853.53
1540.0,851.56
1545.0,851.73
1550.0,850.12
1555.0,850.58
1560.0,850.1
1565.0,848.89
1570.0,848.9
1575.0,847.96
1580.0,848.31
1585.0,847.08
1590.0,847.66
1595.0,846.22
1600.0,845.11
1605.0,845.13
1610.0,845.15
1615.0,844.01
1620.0,844.24
1625.0,843.23
1630.0,842.76
1635.0,842.18
1640.0,841.25
1645.0,840.57
1650.0,839.67
1655.0,840.41
1660.0,841.15
1665.0,840.12
1670.0,840.11
1675.0,840.42
1680.0,840.77
1685.0,839.67
1690.0,839.65
1695.0,838.56
1700.0,839.39
1705.0,840.68
1710.0,840.87
1715.0,840.13
1720.0,838.76
1725.0,838.68
1730.0,837.64
1735.0,836.12
1740.0,836.96
1745.0,836.05
1750.0,835.6
1755.0,835.33
1760.0,834.71
1765.0,833.39
1770.0,834.26
1775.0,833.47
1780.0,833.06
1785.0,835.01
1790.0,833.72
1795.0,832.45
1800.0,832.13
1805.0,832.34
1810.0,832.11
1815.0,832.06
1820.0,830.92
1825.0,831.13
1830.0,830.5
1835.0,830.53
1840.0,829.73
1845.0,829.49
1850.0,828.82
1855.0,828.94
1860.0,828.52
1865.0,827.97
1870.0,827.61
1875.0,826.97
1880.0,826.18
1885.0,825.46
1890.0,825.17
1895.0,824.51
1900.0,824.54
1905.0,824.09
1910.0,823.89
1915.0,823.84
1920.0,823.79
1925.0,823.76
1930.0,822.03
1935.0,823.88
1940.0,823.51
1945.0,823.44
1950.0,822.73
1955.0,821.58
1960.0,820.55
1965.0,823.31
1970.0,823.47
1975.0,823.46
1980.0,823.95
1985.0,824.86
1990.0,824.44
1995.0,824.7
2000.0,824.5
2005.0,825.94
2010.0,826.53
2015.0,826.75
2020.0,827.73
2025.0,828.22
2030.0,826.93
2035.0,827.69
2040.0,827.52
2045.0,828.42
2050.0,827.49
2055.0,829.48
2060.0,828.86
2065.0,828.43
2070.0,829.11
2075.0,829.84
2080.0,830.15
2085.0,829.96
2090.0,829.7
2095.0,830.34
2100.0,830.72
2105.0,831.33
2110.0,831.92
2115.0,830.92
2120.0,831.26
2125.0,831.37
2130.0,831.02
2135.0,832.73
2140.0,830.51
2145.0,832.19
2150.0,832.17
2155.0,832.05
2160.0,832.82
2165.0,831.97
2170.0,834.51
2175.0,832.7
2180.0,833.61
2185.0,833.77
2190.0,834.46
2195.0,835.82
2200.0,835.05
2205.0,834.69
2210.0,835.05
2215.0,835.55
2220.0,835.11
2225.0,834.5
2230.0,833.43
2235.0,836.29
2240.0,834.46
2245.0,834.04
2250.0,833.27
2255.0,835.52
2260.0,837.53
2265.0,836.91
2270.0,834.87
2275.0,836.48
2280.0,836.12
2285.0,836.24
2290.0,836.55
2295.0,836.18
2300.0,836.01
2305.0,836.15
2310.0,837.75
2315.0,837.09
2320.0,835.88
2325.0,836.89
2330.0,837.92
2335.0,836.52
2340.0,836.99
2345.0,836.61
2350.0,836.77
2355.0,835.39
2360.0,836.96
2365.0,836.27
2370.0,836.5
2375.0,837.55
2380.0,836.24
2385.0,839.08
2390.0,835.26
2395.0,837.75
2400.0,835.67
2405.0,837.03
2410.0,837.37
2415.0,834.84
2420.0,836.2
2425.0,835.49
2430.0,835.13
2435.0,834.47
2440.0,834.12
2445.0,834.37
2450.0,834.43
2455.0,832.32
2460.0,832.16
2465.0,830.9
2470.0,830.2
2475.0,829.08
2480.0,833.49
2485.0,830.02
2490.0,829.85
2495.0,830.19
2500.0,827.77
2505.0,826.48
2510.0,827.2
2515.0,826.7
2520.0,827.2
2525.0,826.41
2530.0,827.39
2535.0,827.25
2540.0,827.05
2545.0,826.69
2550.0,829.36
2555.0,826.69
2560.0,826.92
2565.0,824.98
2570.0,825.86
2575.0,821.68
2580.0,823.02
2585.0,819.11
2590.0,822.08
2595.0,820.76
2600.0,821.91
