Composition,
Date Added,2011-03-01
Formula,
Grain Size Description,<125.0um
Grain Size,45.0 - 125.0
Locality,
Minimum Wavelength,280
Sample Name,"PL13-b, 45-125 (0.08 wt% FeO)"
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,Sintered at 1300 C
Sample ID,C2PL134D
Original Sample ID,PL-CMP-134-D
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
280.0,600.28
285.0,558.89
290.0,555.09
295.0,561.7
300.0,573.88
305.0,586.54
310.0,600.83
315.0,614.08
320.0,625.61
325.0,635.85
330.0,643.77
335.0,652.34
340.0,658.18
345.0,666.04
350.0,674.66
355.0,677.96
360.0,687.14
365.0,689.32
370.0,693.59
375.0,694.46
380.0,697.97
385.0,699.37
390.0,701.38
395.0,701.92
400.0,704.62
405.0,705.37
410.0,707.31
415.0,708.27
420.0,710.13
425.0,711.52
430.0,713.4
435.0,714.87
440.0,716.2
445.0,716.86
450.0,718.18
455.0,719.12
460.0,720.45
465.0,721.87
470.0,723.53
475.0,724.54
480.0,725.85
485.0,726.9
490.0,728.32
495.0,729.05
500.0,730.43
505.0,730.73
510.0,731.32
515.0,732.97
520.0,734.95
525.0,735.88
530.0,736.98
535.0,738.32
540.0,739.98
545.0,741.14
550.0,742.54
555.0,743.26
560.0,745.35
565.0,746.42
570.0,748.41
575.0,749.55
580.0,749.99
585.0,751.85
590.0,753.11
595.0,755.45
600.0,756.16
605.0,758.1
610.0,758.68
615.0,760.27
620.0,760.96
625.0,763.02
630.0,763.34
635.0,765.36
640.0,765.68
645.0,766.72
650.0,766.49
655.0,767.81
660.0,768.05
665.0,769.34
670.0,768.77
675.0,768.57
680.0,768.49
685.0,768.91
690.0,768.63
695.0,769.16
700.0,768.08
705.0,769.92
710.0,768.86
715.0,770.17
720.0,769.43
725.0,769.51
730.0,769.5
735.0,769.62
740.0,768.68
745.0,769.65
750.0,768.39
755.0,769.37
760.0,768.59
765.0,769.36
770.0,768.03
775.0,769.06
780.0,767.86
785.0,767.98
790.0,767.35
795.0,767.48
800.0,766.08
805.0,765.3
810.0,764.38
815.0,764.61
820.0,764.26
825.0,764.13
830.0,762.93
835.0,762.87
840.0,762.59
845.0,761.52
850.0,761.23
855.0,760.66
860.0,760.95
865.0,759.19
870.0,758.97
875.0,757.86
880.0,757.91
885.0,756.48
890.0,755.87
895.0,755.22
900.0,754.65
905.0,754.14
910.0,753.63
915.0,752.43
920.0,752.0
925.0,750.99
930.0,749.78
935.0,748.71
940.0,748.43
945.0,746.76
950.0,747.23
955.0,743.65
960.0,745.0
965.0,743.15
970.0,742.97
975.0,742.61
980.0,741.14
985.0,737.9
990.0,738.39
995.0,736.9
1000.0,734.92
1005.0,733.54
1010.0,733.36
1015.0,730.77
1020.0,732.27
1025.0,730.47
1030.0,730.69
1035.0,729.8
1040.0,730.06
1045.0,729.16
1050.0,727.41
1055.0,728.23
1060.0,726.57
1065.0,726.03
1070.0,725.4
1075.0,724.75
1080.0,724.19
1085.0,723.4
1090.0,722.94
1095.0,722.24
1100.0,722.07
1105.0,721.61
1110.0,721.37
1115.0,720.78
1120.0,720.72
1125.0,720.03
1130.0,719.7
1135.0,719.06
1140.0,718.63
1145.0,718.08
1150.0,717.96
1155.0,717.35
1160.0,717.32
1165.0,716.96
1170.0,716.83
1175.0,716.14
1180.0,716.28
1185.0,715.91
1190.0,716.0
1195.0,715.77
1200.0,715.89
1205.0,715.41
1210.0,715.37
1215.0,715.03
1220.0,715.34
1225.0,714.52
1230.0,716.26
1235.0,715.23
1240.0,716.23
1245.0,715.58
1250.0,715.39
1255.0,715.01
1260.0,715.64
1265.0,714.83
1270.0,715.07
1275.0,714.98
1280.0,714.98
1285.0,715.83
1290.0,715.35
1295.0,716.75
1300.0,715.34
1305.0,715.85
1310.0,716.14
1315.0,715.05
1320.0,716.82
1325.0,716.81
1330.0,716.93
1335.0,717.51
1340.0,717.92
1345.0,717.87
1350.0,717.17
1355.0,717.09
1360.0,716.93
1365.0,716.92
1370.0,716.87
1375.0,717.58
1380.0,717.95
1385.0,718.78
1390.0,719.2
1395.0,719.44
1400.0,719.19
1405.0,719.46
1410.0,720.53
1415.0,721.16
1420.0,722.45
1425.0,721.82
1430.0,722.97
1435.0,724.06
1440.0,724.07
1445.0,724.32
1450.0,724.13
1455.0,725.49
1460.0,726.19
1465.0,726.0
1470.0,726.5
1475.0,727.15
1480.0,727.45
1485.0,728.03
1490.0,729.22
1495.0,729.51
1500.0,729.73
1505.0,730.04
1510.0,730.68
1515.0,730.81
1520.0,731.31
1525.0,732.08
1530.0,732.67
1535.0,733.89
1540.0,734.62
1545.0,734.89
1550.0,734.98
1555.0,735.61
1560.0,735.42
1565.0,737.08
1570.0,736.9
1575.0,737.09
1580.0,737.58
1585.0,738.52
1590.0,738.72
1595.0,738.99
1600.0,740.04
1605.0,738.74
1610.0,741.08
1615.0,741.45
1620.0,741.66
1625.0,741.17
1630.0,740.99
1635.0,741.38
1640.0,741.63
1645.0,742.86
1650.0,743.48
1655.0,742.59
1660.0,743.88
1665.0,743.51
1670.0,744.33
1675.0,744.49
1680.0,744.62
1685.0,744.55
1690.0,744.78
1695.0,744.8
1700.0,745.46
1705.0,745.37
1710.0,744.51
1715.0,744.68
1720.0,745.13
1725.0,744.58
1730.0,745.01
1735.0,744.49
1740.0,744.38
1745.0,744.65
1750.0,744.84
1755.0,744.46
1760.0,744.9
1765.0,743.63
1770.0,744.73
1775.0,744.53
1780.0,743.27
1785.0,743.31
1790.0,743.18
1795.0,742.12
1800.0,742.49
1805.0,742.19
1810.0,742.28
1815.0,741.24
1820.0,741.17
1825.0,740.55
1830.0,740.19
1835.0,739.96
1840.0,739.48
1845.0,739.43
1850.0,739.63
1855.0,739.25
1860.0,738.82
1865.0,739.03
1870.0,738.55
1875.0,737.78
1880.0,736.81
1885.0,736.05
1890.0,734.54
1895.0,733.79
1900.0,733.38
1905.0,733.08
1910.0,732.89
1915.0,733.06
1920.0,733.02
1925.0,733.45
1930.0,730.84
1935.0,731.94
1940.0,731.2
1945.0,731.71
1950.0,730.12
1955.0,728.46
1960.0,728.46
1965.0,729.57
1970.0,728.21
1975.0,728.63
1980.0,728.89
1985.0,728.39
1990.0,728.66
1995.0,727.36
2000.0,726.68
2005.0,727.55
2010.0,727.91
2015.0,726.8
2020.0,727.3
2025.0,726.9
2030.0,726.26
2035.0,726.37
2040.0,726.26
2045.0,725.64
2050.0,724.8
2055.0,725.06
2060.0,724.28
2065.0,724.87
2070.0,724.18
2075.0,724.95
2080.0,724.51
2085.0,723.56
2090.0,724.06
2095.0,723.57
2100.0,723.69
2105.0,723.39
2110.0,724.23
2115.0,724.85
2120.0,723.34
2125.0,724.15
2130.0,723.61
2135.0,723.63
2140.0,722.66
2145.0,723.37
2150.0,722.51
2155.0,722.33
2160.0,723.75
2165.0,722.58
2170.0,722.79
2175.0,722.45
2180.0,722.98
2185.0,723.34
2190.0,724.34
2195.0,724.75
2200.0,723.97
2205.0,724.79
2210.0,724.34
2215.0,724.97
2220.0,724.96
2225.0,724.59
2230.0,723.51
2235.0,725.65
2240.0,725.18
2245.0,725.65
2250.0,725.21
2255.0,725.83
2260.0,725.91
2265.0,725.71
