Composition,
Date Added,1994-05-05
Formula,
Grain Size Description,<250.0um
Grain Size,100.0 - 250.0
Locality,
Minimum Wavelength,300
Sample Name,Pyroxene-1 shocked medium fraction                
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,"Unshocked (A)250-500, (B)100-250, (C)56-100 micron.   Shocked 470 kbars (D)Coarse, (E)Medium, (F)Fine grains. "
Sample ID,CBRS77
Original Sample ID,RS-CMP-077-E
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,33.63
305.0,34.87
310.0,34.28
315.0,35.37
320.0,35.09
325.0,36.11
330.0,36.42
335.0,36.32
340.0,35.95
345.0,36.65
350.0,36.59
355.0,36.57
360.0,36.49
365.0,37.0
370.0,36.86
375.0,37.06
380.0,37.24
385.0,37.38
390.0,37.56
395.0,38.11
400.0,38.54
405.0,38.63
410.0,38.89
415.0,39.22
420.0,39.48
425.0,39.88
430.0,40.09
435.0,40.37
440.0,40.61
445.0,40.82
450.0,40.72
455.0,41.01
460.0,41.2
465.0,41.65
470.0,42.07
475.0,42.48
480.0,43.27
485.0,43.79
490.0,44.04
495.0,43.99
500.0,44.27
505.0,45.39
510.0,46.15
515.0,47.0
520.0,47.52
525.0,48.04
530.0,48.72
535.0,49.48
540.0,50.26
545.0,50.93
550.0,51.6
555.0,51.91
560.0,52.43
565.0,52.6
570.0,52.81
575.0,52.88
580.0,53.04
585.0,53.17
590.0,53.22
595.0,53.36
600.0,53.34
605.0,53.3
610.0,53.28
615.0,53.32
620.0,53.35
625.0,53.55
630.0,53.88
635.0,54.28
640.0,54.72
645.0,55.0
650.0,55.22
655.0,55.5
660.0,55.64
665.0,55.59
670.0,55.45
675.0,55.22
680.0,55.18
685.0,55.04
690.0,54.89
695.0,54.52
700.0,54.32
705.0,54.04
710.0,53.69
715.0,53.43
720.0,52.99
725.0,52.76
730.0,52.49
735.0,52.15
740.0,51.84
745.0,51.56
750.0,51.05
755.0,50.57
760.0,50.53
765.0,50.06
770.0,49.91
775.0,49.15
780.0,49.04
785.0,48.99
790.0,48.25
795.0,47.9
800.0,47.26
805.0,47.41
810.0,46.71
815.0,45.84
820.0,45.3
825.0,46.04
830.0,45.02
835.0,44.7
840.0,44.3
845.0,44.18
850.0,43.26
855.0,43.34
860.0,42.96
865.0,43.11
870.0,41.91
875.0,42.3
880.0,41.56
885.0,41.32
890.0,40.93
895.0,40.69
900.0,40.66
905.0,40.29
910.0,40.34
915.0,39.75
920.0,39.77
925.0,39.69
930.0,39.36
935.0,39.55
940.0,39.44
945.0,39.28
950.0,39.15
955.0,39.13
960.0,39.09
965.0,38.95
970.0,38.84
975.0,38.88
980.0,38.72
985.0,38.51
990.0,38.59
995.0,38.59
1000.0,38.42
1005.0,38.41
1010.0,38.34
1015.0,38.2
1020.0,38.2
1025.0,38.2
1030.0,38.19
1035.0,38.18
1040.0,38.07
1045.0,38.17
1050.0,38.18
1055.0,38.03
1060.0,37.91
1065.0,37.88
1070.0,37.87
1075.0,37.93
1080.0,37.66
1085.0,37.61
1090.0,37.58
1095.0,37.68
1100.0,37.65
1105.0,37.95
