Composition,
Date Added,1986-08-07
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,350
Sample Name,Russ Soil #2 light separate
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Rock
Sample Description,
Sample ID,SRS21B
Original Sample ID,RS-CMP-021-B
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
350.0,236.38
360.0,247.76
370.0,254.68
380.0,260.77
390.0,267.48
400.0,274.45
410.0,280.02
420.0,284.99
430.0,289.43
440.0,292.7
450.0,296.43
460.0,300.23
470.0,304.15
480.0,307.49
490.0,310.92
500.0,315.68
510.0,318.88
520.0,323.94
530.0,327.41
540.0,331.44
550.0,335.51
560.0,341.14
570.0,347.73
580.0,354.01
590.0,359.9
600.0,365.4
610.0,369.69
620.0,373.46
630.0,375.74
640.0,378.47
650.0,380.88
660.0,383.39
670.0,385.87
680.0,388.01
690.0,390.7
700.0,392.75
710.0,394.91
720.0,396.55
730.0,398.45
740.0,399.87
750.0,400.7
760.0,401.27
770.0,401.4
780.0,400.79
790.0,400.88
800.0,400.75
810.0,400.29
820.0,397.56
830.0,395.26
840.0,393.98
850.0,392.49
860.0,391.46
870.0,389.51
880.0,387.76
890.0,384.97
900.0,383.8
910.0,383.29
920.0,383.03
930.0,382.25
940.0,382.1
950.0,382.99
960.0,383.29
970.0,384.78
980.0,385.33
990.0,387.13
1000.0,388.77
1010.0,391.08
1020.0,393.45
1030.0,395.3
1040.0,397.0
1050.0,398.96
1060.0,400.91
1070.0,402.43
1080.0,404.2
1090.0,405.91
1100.0,407.26
1110.0,408.37
1120.0,409.59
1130.0,410.52
1140.0,411.38
1150.0,412.02
1160.0,412.49
1170.0,413.32
1180.0,413.98
1190.0,414.88
1200.0,415.52
1210.0,416.26
1220.0,416.25
1230.0,416.57
1240.0,416.73
1250.0,417.26
1260.0,417.58
1270.0,418.82
1280.0,419.72
1290.0,420.24
1300.0,420.82
1310.0,421.99
1320.0,422.54
1330.0,423.22
1340.0,423.87
1350.0,424.32
1360.0,424.14
1370.0,424.06
1380.0,424.17
1390.0,424.26
1400.0,424.63
1410.0,425.26
1420.0,426.33
1430.0,427.05
1440.0,428.02
1450.0,428.72
1460.0,429.03
1470.0,429.13
1480.0,429.75
1490.0,430.2
1500.0,430.68
1510.0,431.05
1520.0,431.29
1530.0,431.16
1540.0,431.04
1550.0,430.75
1560.0,430.36
1570.0,429.47
1580.0,429.13
1590.0,429.28
1600.0,429.49
1610.0,429.36
1620.0,429.27
1630.0,429.45
1640.0,429.79
1650.0,430.01
1660.0,429.8
1670.0,429.78
1680.0,430.03
1690.0,430.06
1700.0,429.82
1710.0,429.59
1720.0,429.32
1730.0,429.31
1740.0,428.91
1750.0,428.54
1760.0,428.62
1770.0,428.39
1780.0,428.59
1790.0,428.5
1800.0,428.45
1810.0,429.11
1820.0,429.5
1830.0,429.84
1840.0,430.9
1850.0,431.5
1860.0,431.68
1870.0,431.58
1880.0,431.4
1890.0,431.36
1900.0,431.62
1910.0,431.29
1920.0,430.71
1930.0,430.46
1940.0,430.69
1950.0,430.89
1960.0,431.04
1970.0,431.4
1980.0,431.53
1990.0,432.09
2000.0,432.87
2010.0,434.02
2020.0,434.99
2030.0,435.92
2040.0,436.92
2050.0,437.8
2060.0,438.81
2070.0,439.68
2080.0,440.24
2090.0,440.89
2100.0,441.28
2110.0,441.99
2120.0,442.49
2130.0,443.66
2140.0,444.12
2150.0,444.3
2160.0,444.59
2170.0,444.82
2180.0,445.22
2190.0,445.41
2200.0,445.62
2210.0,445.9
2220.0,445.89
2230.0,446.41
2240.0,446.83
2250.0,447.35
2260.0,448.08
2270.0,448.85
2280.0,450.13
2290.0,450.88
2300.0,451.78
2310.0,452.41
2320.0,453.86
2330.0,455.2
2340.0,456.13
2350.0,456.76
2360.0,457.61
2370.0,457.45
2380.0,457.55
2390.0,457.93
2400.0,458.35
2410.0,458.81
2420.0,458.42
2430.0,458.12
2440.0,458.12
2450.0,458.47
2460.0,458.59
2470.0,458.61
2480.0,458.41
2490.0,457.57
2500.0,456.82
2510.0,455.71
2520.0,453.99
2530.0,452.45
2540.0,450.25
2550.0,448.25
2560.0,446.03
2570.0,443.69
2580.0,441.94
2590.0,440.37
2600.0,438.93
