Composition,
Date Added,1986-06-07
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,350
Sample Name,Asbestos
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Mineral
Sample Description,Fibrous serpentine (chrysotile)   
Sample ID,C1SM58
Original Sample ID,SM-CMP-058
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
350.0,308.06
360.0,332.46
370.0,346.57
380.0,357.44
390.0,370.88
400.0,387.98
410.0,392.31
420.0,396.22
430.0,400.03
440.0,404.6
450.0,414.69
460.0,422.32
470.0,444.15
480.0,461.32
490.0,471.71
500.0,479.01
510.0,486.21
520.0,491.1
530.0,494.99
540.0,498.9
550.0,502.53
560.0,504.64
570.0,507.65
580.0,509.65
590.0,511.13
600.0,514.1
610.0,514.69
620.0,515.08
630.0,513.25
640.0,513.87
650.0,514.46
660.0,515.2
670.0,515.58
680.0,516.48
690.0,517.86
700.0,519.63
710.0,520.82
720.0,522.4
730.0,523.36
740.0,525.07
750.0,526.52
760.0,527.37
770.0,530.45
780.0,533.97
790.0,535.82
800.0,537.04
810.0,540.69
820.0,542.34
830.0,542.28
840.0,543.02
850.0,543.53
860.0,539.47
870.0,541.81
880.0,543.35
890.0,542.68
900.0,540.53
910.0,541.79
920.0,541.83
930.0,541.66
940.0,541.8
950.0,541.35
960.0,543.91
970.0,546.2
980.0,546.05
990.0,547.77
1000.0,546.78
1010.0,548.86
1020.0,546.22
1030.0,549.22
1040.0,548.68
1050.0,549.97
1060.0,549.77
1070.0,549.73
1080.0,549.95
1090.0,549.6
1100.0,550.7
1110.0,551.54
1120.0,550.91
1130.0,550.06
1140.0,550.82
1150.0,553.45
1160.0,551.89
1170.0,553.32
1180.0,552.0
1190.0,555.81
1200.0,556.35
1210.0,558.73
1220.0,559.1
1230.0,559.5
1240.0,563.15
1250.0,563.11
1260.0,560.8
1270.0,560.79
1280.0,562.6
1290.0,564.98
1300.0,565.06
1310.0,567.64
1320.0,569.36
1330.0,570.68
1340.0,573.79
1350.0,569.08
1360.0,555.27
1370.0,565.04
1380.0,525.22
1390.0,451.53
1400.0,511.46
1410.0,544.04
1420.0,556.27
1430.0,557.84
1440.0,559.78
1450.0,561.49
1460.0,565.98
1470.0,567.59
1480.0,568.07
1490.0,569.02
1500.0,568.57
1510.0,570.77
1520.0,572.49
1530.0,574.71
1540.0,575.38
1550.0,575.28
1560.0,577.53
1570.0,577.86
1580.0,578.0
1590.0,578.13
1600.0,580.5
1610.0,585.37
1620.0,581.2
1630.0,582.02
1640.0,581.19
1650.0,581.68
1660.0,579.93
1670.0,584.04
1680.0,585.67
1690.0,583.53
1700.0,580.9
1710.0,582.76
1720.0,583.99
1730.0,580.43
1740.0,576.71
1750.0,577.0
1760.0,577.9
1770.0,579.41
1780.0,576.62
1790.0,576.74
1800.0,574.59
1810.0,578.93
1820.0,579.5
1830.0,582.27
1840.0,578.98
1850.0,577.73
1860.0,578.79
1870.0,577.44
1880.0,575.29
1890.0,565.36
1900.0,548.38
1910.0,534.02
1920.0,524.77
1930.0,518.19
1940.0,518.5
1950.0,514.85
1960.0,509.62
1970.0,509.82
1980.0,511.74
1990.0,512.38
2000.0,527.45
2010.0,531.45
2020.0,535.49
2030.0,538.17
2040.0,541.77
2050.0,543.42
2060.0,546.7
2070.0,548.58
2080.0,542.03
2090.0,534.8
2100.0,530.62
2110.0,536.89
2120.0,532.34
2130.0,536.17
2140.0,545.29
2150.0,548.96
2160.0,550.57
2170.0,559.07
2180.0,553.92
2190.0,553.15
2200.0,558.22
2210.0,555.24
2220.0,551.01
2230.0,536.04
2240.0,519.31
2250.0,507.7
2260.0,492.13
2270.0,473.78
2280.0,470.57
2290.0,459.9
2300.0,442.01
2310.0,419.01
2320.0,376.48
2330.0,377.47
2340.0,387.62
2350.0,447.39
2360.0,468.5
2370.0,456.72
2380.0,444.16
2390.0,444.24
2400.0,437.11
2410.0,439.29
2420.0,431.18
2430.0,426.5
2440.0,426.27
2450.0,424.22
2460.0,428.3
2470.0,420.4
2480.0,412.46
2490.0,403.12
2500.0,391.35
2510.0,388.03
2520.0,392.16
2530.0,393.51
2540.0,406.64
2550.0,407.22
2560.0,395.91
2570.0,411.3
2580.0,418.19
2590.0,436.65
2600.0,445.89
