Composition,
Date Added,1997-03-12
Formula,
Grain Size Description,<125.0um
Grain Size,75.0 - 125.0
Locality,
Minimum Wavelength,1800
Sample Name,Hawaii olivine
Maximum Wavelength,25920
Database of Origin,ReLab
Other Information,
References,
Resolution,9.0
Material Class,Mineral
Sample Description,
Sample ID,0397M006S
Original Sample ID,ZB-CMP-011-D
Viewing Geometry,
Wavelength,Response
1800.0,343.44
1800.7,342.46
1801.3,342.41
1801.9,343.77
1802.6,344.67
1803.2,345.73
1803.8,347.36
1804.4,347.66
1805.1,348.56
1805.7,348.51
1806.3,346.76
1806.9,347.05
1807.6,348.64
1808.2,349.58
1808.8,351.07
1809.5,351.97
1810.1,352.78
1810.7,351.3
1811.4,349.6
1812.0,350.83
1812.6,352.27
1813.3,351.86
1813.9,353.37
1814.5,355.2
1815.2,354.74
1815.8,351.72
1816.4,352.17
1817.1,354.77
1817.7,356.75
1818.4,357.13
1819.0,356.81
1819.6,358.44
1820.3,353.35
1820.9,346.07
1821.6,350.6
1822.2,353.81
1822.8,356.55
1823.5,360.69
1824.1,362.88
1824.8,363.82
1825.4,364.5
1826.0,356.8
1826.7,346.37
1827.3,354.9
1828.0,364.32
1828.6,361.46
1829.3,359.32
1829.9,360.53
1830.6,360.54
1831.2,356.7
1831.8,357.33
1832.5,362.98
1833.1,364.78
1833.8,368.81
1834.4,369.41
1835.1,363.07
1835.7,359.05
1836.4,354.28
1837.0,355.07
1837.7,358.06
1838.3,356.64
1839.0,367.23
1839.7,365.88
1840.3,356.09
1841.0,363.21
1841.6,365.03
1842.3,353.65
1842.9,361.31
1843.6,374.01
1844.2,378.22
1844.9,378.72
1845.5,379.2
1846.2,378.2
1846.9,367.31
1847.5,353.78
1848.2,357.12
1848.8,362.24
1849.5,373.62
1850.2,379.48
1850.8,379.91
1851.5,382.75
1852.1,386.07
1852.8,381.82
1853.5,373.35
1854.1,363.81
1854.8,369.34
1855.5,383.66
1856.1,385.67
1856.8,375.78
1857.4,374.77
1858.1,385.94
1858.8,389.5
1859.4,382.3
1860.1,368.32
1860.8,372.99
1861.4,383.85
1862.1,391.0
1862.8,392.3
1863.5,391.99
1864.1,389.47
1864.8,387.58
1865.5,391.51
1866.1,395.86
1866.8,395.97
1867.5,387.21
1868.2,373.01
1868.8,379.06
1869.5,389.08
1870.2,387.08
1870.9,375.5
1871.5,365.68
1872.2,382.35
1872.9,383.68
1873.6,369.74
1874.2,379.01
1874.9,393.73
1875.6,394.31
