Composition,
Date Added,2019-07-09
Formula,
Grain Size Description,<6000.0um
Grain Size,(1.0 - 6000.0)
Locality,Exolith Lab
Minimum Wavelength,1428
Sample Name,CI_control_no_cycling
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,"SO3: 4.9 wt%, CI Simulant"
References,Exolith Lab - Center for Lunar and Asteroid Surface Science
Resolution,4.0
Material class,Mixture
Sample Description,Ivuna-like asteroid simulant
Sample ID,BMR1CS009
Original Sample ID,CS-DTB-009
Viewing Geometry,Unknown
Wavelength,Response
1428.42,0.098329
1428.82,0.098125
1429.21,0.098031
1429.6,0.097593
1430.0,0.097727
1430.39,0.097991
1430.79,0.09803
1431.18,0.097775
1431.58,0.097563
1431.97,0.097775
1432.37,0.097864
1432.77,0.098143
1433.16,0.097901
1433.56,0.097559
1433.95,0.097564
1434.35,0.097692
1434.75,0.097517
1435.14,0.097535
1435.54,0.097973
1435.94,0.097873
1436.34,0.097729
1436.74,0.097749
1437.13,0.097631
1437.53,0.097661
1437.93,0.097361
1438.33,0.097018
1438.73,0.097341
1439.13,0.097571
1439.53,0.097719
1439.93,0.097927
1440.33,0.097809
1440.73,0.097254
1441.13,0.096996
1441.53,0.097
1441.93,0.096987
1442.33,0.097239
1442.73,0.097486
1443.13,0.097622
1443.54,0.097771
1443.94,0.097429
1444.34,0.097153
1444.74,0.097485
1445.15,0.09753
1445.55,0.097281
1445.95,0.09726
1446.35,0.097235
1446.76,0.097327
1447.16,0.097582
1447.57,0.097493
1447.97,0.09753
1448.37,0.097402
1448.78,0.097128
1449.18,0.097198
1449.59,0.097144
1449.99,0.097083
1450.4,0.09703
1450.81,0.096988
1451.21,0.097442
1451.62,0.097344
1452.03,0.097079
1452.43,0.097162
1452.84,0.097084
1453.25,0.09685
1453.65,0.096809
1454.06,0.096904
1454.47,0.096997
1454.88,0.097094
1455.29,0.096925
1455.69,0.096919
1456.1,0.09715
1456.51,0.097201
1456.92,0.097171
1457.33,0.097029
1457.74,0.09684
1458.15,0.097203
1458.56,0.097377
1458.97,0.097028
1459.38,0.096764
1459.79,0.096902
1460.2,0.097039
1460.62,0.096964
1461.03,0.096777
1461.44,0.096802
1461.85,0.096785
1462.26,0.097029
1462.68,0.097005
1463.09,0.096821
1463.5,0.096963
1463.91,0.096867
1464.33,0.096587
1464.74,0.096608
1465.16,0.096864
1465.57,0.09691
1465.98,0.096929
1466.4,0.097084
1466.81,0.09725
1467.23,0.097042
1467.64,0.097109
1468.06,0.097084
1468.48,0.097031
1468.89,0.097282
1469.31,0.097128
1469.72,0.096813
1470.14,0.096875
1470.56,0.097274
1470.97,0.097249
1471.39,0.097198
1471.81,0.09704
1472.23,0.097101
1472.65,0.097247
1473.06,0.096894
1473.48,0.096857
1473.9,0.097205
1474.32,0.097043
1474.74,0.096892
1475.16,0.097145
1475.58,0.097538
1476.0,0.097339
1476.42,0.096977
1476.84,0.096965
1477.26,0.096963
1477.68,0.097031
1478.1,0.097332
1478.53,0.097207
1478.95,0.097171
1479.37,0.097124
1479.79,0.097044
1480.21,0.097
1480.64,0.097072
1481.06,0.097195
1481.48,0.097175
1481.91,0.097154
1482.33,0.097187
1482.75,0.097162
1483.18,0.097194
1483.6,0.097248
1484.03,0.097235
1484.45,0.097108
1484.88,0.096987
1485.3,0.096956
1485.73,0.097409
1486.15,0.09772
1486.58,0.097602
1487.01,0.097516
1487.43,0.097372
1487.86,0.097226
1488.29,0.097323
1488.71,0.097537
1489.14,0.097553
1489.57,0.097483
1490.0,0.097535
1490.43,0.097588
1490.85,0.097512
1491.28,0.097548
1491.71,0.097445
1492.14,0.09718
1492.57,0.097256
1493.0,0.097403
1493.43,0.097409
1493.86,0.097491
1494.29,0.097515
1494.72,0.097251
1495.15,0.097198
1495.58,0.097419
1496.02,0.097444
1496.45,0.097405
1496.88,0.097396
1497.31,0.097373
1497.75,0.097362
1498.18,0.097456
1498.61,0.097444
1499.04,0.097774
1499.48,0.09773
1499.91,0.097312
1500.35,0.097181
1500.78,0.097375
1501.21,0.097472
1501.65,0.097478
1502.08,0.097615
1502.52,0.097786
1502.95,0.097669
1503.39,0.097569
1503.83,0.097735
1504.26,0.097775
1504.7,0.09756
1505.14,0.097521
1505.57,0.097743
1506.01,0.098008
1506.45,0.097869
1506.89,0.097616
1507.32,0.09776
1507.76,0.097501
1508.2,0.097116
1508.64,0.097359
1509.08,0.097563
1509.52,0.097647
1509.96,0.097746
1510.4,0.097979
1510.84,0.097981
1511.28,0.098005
1511.72,0.09804
1512.16,0.097739
1512.6,0.097711
1513.04,0.09795
1513.48,0.097848
1513.93,0.097853
1514.37,0.097949
1514.81,0.097934
1515.25,0.097862
1515.7,0.097644
1516.14,0.097614
1516.58,0.097752
1517.03,0.097893
1517.47,0.097855
1517.92,0.097832
1518.36,0.097836
1518.8,0.098063
1519.25,0.098188
1519.69,0.09797
1520.14,0.097783
1520.59,0.098019
1521.03,0.098001
1521.48,0.097861
1521.93,0.098013
1522.37,0.098085
1522.82,0.097833
1523.27,0.097901
1523.71,0.09826
1524.16,0.098541
1524.61,0.098368
1525.06,0.098112
1525.51,0.097956
1525.96,0.097772
1526.41,0.097839
1526.86,0.098036
1527.31,0.098054
1527.76,0.09796
1528.21,0.097798
1528.66,0.097626
1529.11,0.09779
1529.56,0.09795
1530.01,0.097944
1530.46,0.097873
1530.91,0.097932
1531.37,0.098125
1531.82,0.098209
1532.27,0.097997
1532.72,0.097874
1533.18,0.098091
1533.63,0.098197
1534.08,0.098156
1534.54,0.098081
1534.99,0.098064
1535.45,0.098223
1535.9,0.098091
1536.36,0.098008
1536.81,0.09828
1537.27,0.098396
1537.72,0.098335
1538.18,0.098139
1538.64,0.097975
1539.09,0.097958
1539.55,0.09816
1540.01,0.09834
1540.46,0.098186
1540.92,0.098108
1541.38,0.098161
1541.84,0.098341
1542.3,0.098361
1542.76,0.098519
1543.22,0.098475
1543.68,0.098279
1544.14,0.098304
1544.6,0.098397
1545.06,0.098403
1545.52,0.098309
1545.98,0.098398
1546.44,0.098309
1546.9,0.098089
1547.36,0.098192
1547.82,0.098142
1548.29,0.098021
1548.75,0.098262
1549.21,0.098487
1549.67,0.098413
1550.14,0.098408
1550.6,0.09859
1551.06,0.098392
1551.53,0.098146
1551.99,0.098208
1552.46,0.098323
1552.92,0.098296
1553.39,0.098532
1553.85,0.098624
1554.32,0.098528
1554.79,0.098439
1555.25,0.098321
1555.72,0.098353
1556.19,0.098424
1556.65,0.098342
1557.12,0.098274
1557.59,0.098275
1558.06,0.098322
1558.52,0.098311
1558.99,0.098313
1559.46,0.098283
1559.93,0.098415
1560.4,0.098457
1560.87,0.09847
1561.34,0.098235
1561.81,0.098256
1562.28,0.098507
1562.75,0.098453
1563.22,0.098312
1563.69,0.098304
1564.17,0.098295
1564.64,0.098278
1565.11,0.098273
1565.58,0.098495
1566.06,0.098757
1566.53,0.098699
1567.0,0.098533
1567.48,0.09846
1567.95,0.098387
1568.42,0.098401
1568.9,0.098406
1569.37,0.098487
1569.85,0.098501
1570.32,0.098472
1570.8,0.098585
1571.28,0.098665
1571.75,0.098734
1572.23,0.098694
1572.71,0.09852
1573.18,0.098274
1573.66,0.098369
1574.14,0.098412
1574.62,0.098362
1575.1,0.098409
1575.57,0.098362
1576.05,0.098557
1576.53,0.098714
1577.01,0.09868
1577.49,0.098661
1577.97,0.098658
1578.45,0.09855
1578.93,0.098543
1579.41,0.098739
1579.89,0.098748
1580.38,0.09862
1580.86,0.098552
1581.34,0.098555
1581.82,0.098458
1582.31,0.098386
1582.79,0.098469
1583.27,0.098574
1583.76,0.098518
1584.24,0.098372
1584.72,0.098545
1585.21,0.098746
1585.69,0.098727
1586.18,0.098735
1586.66,0.098666
1587.15,0.098598
1587.64,0.09866
1588.12,0.098744
1588.61,0.098731
1589.09,0.098769
1589.58,0.098803
1590.07,0.098631
1590.56,0.098711
1591.05,0.098781
1591.53,0.09873
1592.02,0.098629
1592.51,0.098606
1593.0,0.098536
1593.49,0.098439
1593.98,0.098455
1594.47,0.0984
1594.96,0.098567
1595.45,0.098537
1595.94,0.098457
1596.43,0.098458
1596.93,0.098446
1597.42,0.098367
1597.91,0.098472
1598.4,0.098706
1598.9,0.098756
1599.39,0.098615
1599.88,0.098562
1600.38,0.098532
1600.87,0.098519
1601.36,0.09855
1601.86,0.098546
1602.35,0.098598
1602.85,0.098727
1603.35,0.098614
1603.84,0.098672
1604.34,0.098835
1604.83,0.098758
1605.33,0.098827
1605.83,0.098735
1606.33,0.098592
1606.82,0.098648
1607.32,0.098661
1607.82,0.098808
1608.32,0.098827
1608.82,0.098771
1609.32,0.098913
1609.82,0.098808
1610.32,0.098666
1610.82,0.098625
1611.32,0.098562
1611.82,0.098548
1612.32,0.098638
1612.82,0.098705
1613.32,0.098713
1613.83,0.098719
1614.33,0.098782
1614.83,0.098762
1615.33,0.098818
1615.84,0.098638
1616.34,0.098483
1616.85,0.098627
1617.35,0.09871
1617.85,0.098612
1618.36,0.098592
1618.86,0.09866
1619.37,0.098775
1619.88,0.098775
1620.38,0.098811
1620.89,0.098969
1621.4,0.098948
1621.9,0.098865
1622.41,0.098935
1622.92,0.099024
1623.43,0.098883
1623.94,0.098812
1624.44,0.098869
1624.95,0.098881
1625.46,0.098961
1625.97,0.098939
1626.48,0.098977
1626.99,0.098961
1627.5,0.098961
1628.01,0.098912
1628.53,0.098831
1629.04,0.098879
1629.55,0.098912
1630.06,0.098891
1630.57,0.098915
1631.09,0.098899
1631.6,0.098907
1632.11,0.098961
1632.63,0.099048
1633.14,0.099139
1633.66,0.098999
1634.17,0.098958
1634.69,0.09904
1635.2,0.099082
1635.72,0.099015
1636.24,0.098806
1636.75,0.098873
1637.27,0.098872
1637.79,0.098943
1638.3,0.099033
1638.82,0.099088
1639.34,0.098993
1639.86,0.099032
1640.38,0.098987
1640.9,0.098836
1641.42,0.098872
1641.93,0.099151
1642.46,0.099295
1642.98,0.099305
1643.5,0.09919
1644.02,0.09903
1644.54,0.099011
1645.06,0.099087
1645.58,0.099146
1646.11,0.09893
1646.63,0.098975
1647.15,0.099271
1647.67,0.099269
1648.2,0.099231
1648.72,0.09914
1649.25,0.099152
1649.77,0.099215
1650.3,0.099213
1650.82,0.099269
1651.35,0.099364
1651.87,0.099338
1652.4,0.099351
1652.93,0.099418
1653.45,0.099402
1653.98,0.099512
1654.51,0.099516
1655.04,0.099464
1655.57,0.099348
1656.1,0.099202
1656.62,0.09918
1657.15,0.099261
1657.68,0.099319
1658.21,0.099296
1658.74,0.099297
1659.28,0.099259
1659.81,0.09923
1660.34,0.099185
1660.87,0.099151
1661.4,0.099198
1661.93,0.099257
1662.47,0.099357
1663.0,0.099491
1663.53,0.099415
1664.07,0.09935
1664.6,0.099392
1665.14,0.099432
1665.67,0.099538
1666.21,0.099659
1666.74,0.099569
1667.28,0.099457
1667.82,0.099497
1668.35,0.099418
1668.89,0.09935
1669.43,0.099488
1669.96,0.09953
1670.5,0.099368
1671.04,0.099352
1671.58,0.099527
1672.12,0.099533
1672.66,0.099503
1673.2,0.099566
1673.74,0.099482
1674.28,0.099495
1674.82,0.099446
1675.36,0.099528
1675.9,0.099513
1676.44,0.099446
1676.99,0.099585
1677.53,0.099595
1678.07,0.09956
1678.61,0.09961
