Composition,
Date Added,2004-06-28
Formula,
Grain Size Description,<75.0um
Grain Size,0.0 - 75.0
Locality,
Minimum Wavelength,300
Sample Name,DAV92300
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Rock
Sample Description,
Sample ID,C1PH53
Original Sample ID,PH-D2M-053
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,57.86
305.0,60.98
310.0,62.14
315.0,65.95
320.0,69.9
325.0,73.98
330.0,76.69
335.0,80.77
340.0,84.32
345.0,88.21
350.0,91.98
355.0,95.2
360.0,99.13
365.0,102.82
370.0,106.1
375.0,108.15
380.0,110.48
385.0,112.49
390.0,114.4
395.0,116.48
400.0,117.15
405.0,118.28
410.0,119.93
415.0,121.1
420.0,122.02
425.0,123.11
430.0,123.9
435.0,124.61
440.0,125.01
445.0,125.16
450.0,125.21
455.0,125.45
460.0,125.9
465.0,126.37
470.0,126.74
475.0,127.2
480.0,127.79
485.0,127.94
490.0,128.27
495.0,128.44
500.0,128.96
505.0,129.22
510.0,129.76
515.0,130.0
520.0,130.32
525.0,130.44
530.0,130.78
535.0,131.0
540.0,131.31
545.0,131.56
550.0,131.75
555.0,131.78
560.0,131.94
565.0,131.9
570.0,132.0
575.0,132.05
580.0,132.08
585.0,132.1
590.0,132.12
595.0,132.16
600.0,132.24
605.0,132.29
610.0,132.53
615.0,132.44
620.0,132.69
625.0,132.76
630.0,132.93
635.0,132.89
640.0,133.05
645.0,133.24
650.0,133.31
655.0,133.41
660.0,133.5
665.0,133.5
670.0,133.57
675.0,133.69
680.0,133.66
685.0,133.8
690.0,133.82
695.0,133.74
700.0,133.86
705.0,133.91
710.0,133.87
715.0,133.82
720.0,133.79
725.0,133.64
730.0,133.67
735.0,133.56
740.0,133.64
745.0,133.57
750.0,133.44
755.0,133.32
760.0,133.21
765.0,133.07
770.0,132.9
775.0,132.73
780.0,132.51
785.0,132.37
790.0,132.18
795.0,131.92
800.0,131.68
805.0,131.6
810.0,131.23
815.0,131.08
820.0,130.66
825.0,130.32
830.0,130.07
835.0,129.86
840.0,129.56
845.0,129.19
850.0,129.02
855.0,128.6
860.0,128.28
865.0,127.92
870.0,127.6
875.0,127.29
880.0,127.02
885.0,126.73
890.0,126.43
895.0,126.24
900.0,125.86
905.0,125.59
910.0,125.29
915.0,125.05
920.0,124.71
925.0,124.51
930.0,124.12
935.0,123.77
940.0,123.4
945.0,123.01
950.0,122.44
955.0,121.95
960.0,121.5
965.0,121.06
970.0,120.6
975.0,120.29
980.0,119.9
985.0,119.45
990.0,118.93
995.0,118.47
1000.0,117.9
1005.0,117.51
1010.0,117.08
1015.0,116.72
1020.0,116.3
1025.0,115.98
1030.0,115.7
1035.0,115.46
1040.0,115.23
1045.0,115.05
1050.0,114.95
1055.0,114.81
1060.0,114.73
1065.0,114.69
1070.0,114.58
1075.0,114.56
1080.0,114.58
1085.0,114.66
1090.0,114.74
1095.0,114.99
1100.0,115.15
1105.0,115.41
1110.0,115.7
1115.0,116.02
1120.0,116.31
1125.0,116.61
1130.0,116.9
1135.0,117.12
1140.0,117.33
1145.0,117.51
1150.0,117.76
1155.0,117.94
1160.0,118.03
1165.0,118.22
1170.0,118.45
1175.0,118.57
1180.0,118.65
1185.0,118.86
1190.0,118.93
1195.0,118.98
1200.0,119.06
1205.0,119.17
1210.0,119.24
1215.0,119.39
1220.0,119.5
1225.0,119.55
1230.0,119.57
1235.0,119.62
1240.0,119.57
1245.0,119.58
1250.0,119.64
1255.0,119.76
1260.0,119.84
1265.0,119.98
1270.0,120.06
1275.0,120.16
1280.0,120.12
1285.0,120.26
1290.0,120.41
1295.0,120.58
1300.0,120.74
1305.0,120.9
1310.0,121.02
1315.0,121.13
1320.0,121.29
1325.0,121.46
1330.0,121.68
1335.0,121.97
1340.0,122.26
1345.0,122.4
1350.0,122.49
1355.0,122.68
1360.0,122.81
1365.0,122.93
1370.0,123.1
1375.0,123.31
1380.0,123.58
1385.0,123.77
1390.0,123.98
1395.0,124.22
1400.0,124.39
1405.0,124.58
1410.0,124.81
1415.0,125.03
1420.0,125.2
1425.0,125.41
1430.0,125.56
1435.0,125.73
1440.0,125.95
1445.0,126.08
1450.0,126.25
1455.0,126.37
1460.0,126.58
1465.0,126.7
1470.0,126.94
1475.0,127.1
1480.0,127.36
1485.0,127.5
1490.0,127.61
1495.0,127.7
1500.0,127.87
1505.0,128.0
1510.0,128.13
1515.0,128.35
1520.0,128.4
1525.0,128.47
1530.0,128.55
1535.0,128.71
1540.0,128.73
1545.0,128.86
1550.0,128.96
1555.0,129.0
1560.0,128.96
1565.0,129.05
1570.0,129.13
1575.0,129.18
1580.0,129.29
1585.0,129.42
1590.0,129.47
1595.0,129.55
1600.0,129.6
1605.0,129.59
1610.0,129.67
1615.0,129.74
1620.0,129.79
1625.0,129.83
1630.0,129.93
1635.0,129.83
1640.0,129.92
1645.0,129.96
1650.0,129.88
1655.0,129.97
1660.0,130.08
1665.0,130.14
1670.0,130.16
1675.0,130.34
1680.0,130.37
1685.0,130.37
1690.0,130.37
1695.0,130.5
1700.0,130.55
1705.0,130.49
1710.0,130.52
1715.0,130.53
1720.0,130.56
1725.0,130.62
1730.0,130.65
1735.0,130.61
1740.0,130.56
1745.0,130.49
1750.0,130.61
1755.0,130.59
1760.0,130.62
1765.0,130.72
1770.0,130.65
1775.0,130.63
1780.0,130.58
1785.0,130.57
1790.0,130.59
1795.0,130.6
1800.0,130.58
1805.0,130.62
1810.0,130.58
1815.0,130.55
1820.0,130.55
1825.0,130.56
1830.0,130.63
1835.0,130.71
1840.0,130.75
1845.0,130.84
1850.0,130.88
1855.0,130.87
1860.0,130.78
1865.0,130.71
1870.0,130.69
1875.0,130.62
1880.0,130.61
1885.0,130.58
1890.0,130.56
1895.0,130.61
1900.0,130.66
1905.0,130.58
1910.0,130.55
1915.0,130.63
1920.0,130.51
1925.0,130.5
1930.0,130.41
1935.0,130.45
1940.0,130.43
1945.0,130.29
1950.0,130.25
1955.0,130.24
1960.0,130.29
1965.0,130.21
1970.0,130.25
1975.0,130.18
1980.0,130.3
1985.0,130.16
1990.0,130.2
1995.0,130.27
2000.0,130.37
2005.0,130.35
2010.0,130.41
2015.0,130.39
2020.0,130.43
2025.0,130.35
2030.0,130.41
2035.0,130.47
2040.0,130.54
2045.0,130.56
2050.0,130.58
2055.0,130.49
2060.0,130.47
2065.0,130.47
2070.0,130.47
2075.0,130.61
2080.0,130.72
2085.0,130.75
2090.0,130.71
2095.0,130.83
2100.0,130.76
2105.0,130.85
2110.0,130.91
2115.0,131.03
2120.0,130.96
2125.0,131.07
2130.0,130.98
2135.0,131.0
2140.0,130.95
2145.0,130.95
2150.0,130.85
2155.0,130.92
2160.0,130.9
2165.0,130.96
2170.0,130.97
2175.0,131.06
2180.0,131.06
2185.0,131.1
2190.0,131.16
2195.0,131.21
2200.0,131.27
2205.0,131.28
2210.0,131.39
2215.0,131.43
2220.0,131.58
2225.0,131.63
2230.0,131.75
2235.0,131.76
2240.0,131.78
2245.0,131.73
2250.0,131.71
2255.0,131.74
2260.0,131.66
2265.0,131.64
2270.0,131.62
2275.0,131.7
2280.0,131.66
2285.0,131.84
2290.0,131.95
2295.0,132.01
2300.0,132.0
2305.0,132.14
2310.0,132.14
2315.0,132.14
2320.0,132.08
2325.0,132.05
2330.0,131.91
2335.0,131.92
2340.0,131.85
2345.0,131.92
2350.0,131.81
2355.0,131.81
2360.0,131.59
2365.0,131.45
2370.0,131.31
2375.0,131.35
2380.0,131.36
2385.0,131.5
2390.0,131.72
2395.0,131.81
2400.0,131.85
2405.0,131.78
2410.0,131.78
2415.0,131.66
2420.0,131.75
2425.0,131.71
2430.0,131.78
2435.0,131.78
2440.0,131.73
2445.0,131.63
2450.0,131.66
2455.0,131.61
2460.0,131.59
2465.0,131.58
2470.0,131.53
2475.0,131.46
2480.0,131.52
2485.0,131.43
2490.0,131.46
2495.0,131.45
2500.0,131.58
2505.0,131.48
2510.0,131.58
2515.0,131.5
2520.0,131.5
2525.0,131.3
2530.0,131.3
2535.0,131.09
2540.0,131.08
2545.0,131.17
2550.0,130.95
2555.0,130.87
2560.0,131.04
2565.0,131.06
2570.0,131.15
2575.0,131.2
2580.0,131.56
2585.0,131.47
2590.0,131.86
2595.0,132.16
2600.0,132.45
