Composition,
Date Added,2005-06-01
Formula,
Grain Size Description,<125.0um
Grain Size,Whole Object
Locality,Northwest Africa
Minimum Wavelength,1667
Sample Name,NWA2737 whole rock 45-125 um
Maximum Wavelength,49859
Database of Origin,RELAB
Other Information,Chassignite
References,
Resolution,4.0
Material class,Meteorites
Sample Description,
Sample ID,BIR1DD068
Original Sample ID,DD-AHT-068
Viewing Geometry,Unknown
Wavelength,Response
1666.7,0.04852
1667.3,0.04837
1667.8,0.04848
1668.3,0.04861
1668.9,0.04872
1669.4,0.04863
1670.0,0.04868
1670.5,0.04882
1671.0,0.04889
1671.6,0.04881
1672.1,0.04873
1672.7,0.04875
1673.2,0.04876
1673.7,0.04868
1674.3,0.04884
1674.8,0.04897
1675.4,0.04892
1675.9,0.04889
1676.4,0.049
1677.0,0.04911
1677.5,0.04908
1678.1,0.04898
1678.6,0.04901
1679.2,0.0491
1679.7,0.04899
1680.3,0.04891
1680.8,0.04895
1681.3,0.04912
1681.9,0.04917
1682.4,0.04911
1683.0,0.04906
1683.5,0.04919
1684.1,0.04938
1684.6,0.04936
1685.2,0.04923
1685.7,0.04927
1686.3,0.04938
1686.8,0.04935
1687.3,0.04929
1687.9,0.04923
1688.4,0.04929
1689.0,0.04932
1689.6,0.04931
1690.1,0.04931
1690.7,0.04932
1691.2,0.04943
1691.8,0.04945
1692.3,0.04935
1692.9,0.04957
1693.4,0.04976
1694.0,0.04969
1694.5,0.04959
1695.1,0.04957
1695.6,0.04961
1696.2,0.04953
1696.7,0.04945
1697.3,0.0495
1697.8,0.04975
1698.4,0.04983
1699.0,0.0497
1699.5,0.04971
1700.1,0.04975
1700.6,0.04976
1701.2,0.04974
1701.8,0.04967
1702.3,0.04968
1702.9,0.04979
1703.4,0.04979
1704.0,0.04986
1704.6,0.04998
1705.1,0.05
1705.7,0.04998
1706.2,0.04991
1706.8,0.05
1707.4,0.05023
1707.9,0.05023
1708.5,0.05005
1709.1,0.05009
1709.6,0.05011
1710.2,0.0501
1710.7,0.05023
1711.3,0.05037
1711.9,0.05036
1712.4,0.05035
1713.0,0.05036
1713.6,0.05034
1714.1,0.05016
1714.7,0.05023
1715.3,0.05037
1715.8,0.05036
1716.4,0.05034
1717.0,0.05031
1717.5,0.05025
1718.1,0.0503
1718.7,0.05039
1719.3,0.05038
1719.8,0.05031
1720.4,0.05036
1721.0,0.05039
1721.5,0.05053
1722.1,0.05075
1722.7,0.05068
1723.3,0.05055
1723.8,0.05055
1724.4,0.05062
1725.0,0.05065
1725.5,0.05071
1726.1,0.05077
1726.7,0.05081
1727.3,0.05088
1727.8,0.0509
1728.4,0.05088
1729.0,0.05086
1729.6,0.05082
1730.2,0.05076
1730.7,0.0507
1731.3,0.05082
1731.9,0.05099
1732.5,0.05095
1733.0,0.05087
1733.6,0.05095
1734.2,0.05099
1734.8,0.05111
1735.4,0.0511
1735.9,0.05102
1736.5,0.05096
1737.1,0.05108
1737.7,0.05122
1738.3,0.05121
1738.8,0.05119
1739.4,0.05116
1740.0,0.05117
1740.6,0.05127
1741.2,0.05136
1741.8,0.05127
1742.4,0.0513
1742.9,0.05137
1743.5,0.0513
1744.1,0.05132
1744.7,0.05138
1745.3,0.05139
1745.9,0.05146
1746.5,0.0515
1747.1,0.05144
1747.6,0.05152
1748.2,0.05153
1748.8,0.05157
1749.4,0.05167
1750.0,0.05166
1750.6,0.05159
1751.2,0.05166
1751.8,0.05175
1752.4,0.05172
1753.0,0.05169
1753.6,0.05183
1754.2,0.05186
1754.7,0.05172
1755.3,0.05177
1755.9,0.05182
1756.5,0.05178
1757.1,0.05184
1757.7,0.05198
1758.3,0.052
1758.9,0.05194
1759.5,0.05184
1760.1,0.05187
1760.7,0.05188
1761.3,0.05192
1761.9,0.052
1762.5,0.05205
1763.1,0.05209
1763.7,0.05205
1764.3,0.05215
1764.9,0.05222
1765.5,0.0522
1766.1,0.05217
1766.7,0.05211
1767.3,0.05205
1767.9,0.05226
1768.5,0.0524
1769.1,0.05236
1769.7,0.05231
1770.3,0.0523
1770.9,0.05236
1771.5,0.05244
1772.1,0.0525
1772.7,0.05244
1773.3,0.05245
1773.9,0.05246
1774.6,0.05243
1775.2,0.05243
1775.8,0.0525
1776.4,0.05251
1777.0,0.05256
1777.6,0.05255
1778.2,0.05268
1778.8,0.05269
1779.4,0.05266
1780.0,0.05265
1780.7,0.05267
1781.3,0.05268
1781.9,0.05272
1782.5,0.05277
1783.1,0.05276
1783.7,0.0528
1784.3,0.05289
1784.9,0.05292
1785.6,0.05292
1786.2,0.05299
1786.8,0.05295
1787.4,0.0529
1788.0,0.05292
1788.6,0.05302
1789.3,0.05307
1789.9,0.05316
1790.5,0.05329
1791.1,0.05331
1791.7,0.05331
1792.3,0.05336
1793.0,0.05333
1793.6,0.05332
1794.2,0.05333
1794.8,0.05327
1795.4,0.05331
1796.1,0.05337
1796.7,0.05331
1797.3,0.05331
1797.9,0.05341
1798.6,0.05357
1799.2,0.0536
1799.8,0.0535
1800.4,0.0535
1801.1,0.05357
1801.7,0.0536
1802.3,0.05358
1802.9,0.05358
1803.6,0.05369
1804.2,0.05383
1804.8,0.05381
1805.5,0.05376
1806.1,0.05376
1806.7,0.05375
1807.3,0.05375
1808.0,0.05379
1808.6,0.05383
1809.2,0.05388
1809.9,0.05386
1810.5,0.05389
1811.1,0.05401
1811.8,0.05402
1812.4,0.054
1813.0,0.05408
1813.7,0.05416
1814.3,0.0541
1814.9,0.05409
1815.6,0.0542
1816.2,0.05414
1816.8,0.0541
1817.5,0.05414
1818.1,0.05418
1818.8,0.05413
1819.4,0.05418
1820.0,0.05436
1820.7,0.05441
1821.3,0.05437
1821.9,0.05439
1822.6,0.05436
1823.2,0.05432
1823.9,0.05434
1824.5,0.05439
1825.2,0.05447
1825.8,0.05448
