Composition,
Date Added,2005-02-24
Formula,
Grain Size Description,<45.0um
Grain Size,"(0.0, 45.0)"
Locality,"Elephant Moraine, Antarctica"
Minimum Wavelength,300
Sample Name,"EETA79001,596 lith-A pyroxene <45 um"
Maximum Wavelength,49859
Database of Origin,RELAB
Other Information,Pyroxene
References,
Resolution,4.0
Material class,Meteorites
Sample Description,
Sample ID,BKR1DD057
Original Sample ID,DD-MDD-057
Viewing Geometry,unknown
Wavelength,Response
300.0,0.05824
305.0,0.05896
310.0,0.05994
315.0,0.06267
320.0,0.0673
325.0,0.07054
330.0,0.07662
335.0,0.08348
340.0,0.08988
345.0,0.09835
350.0,0.10702
355.0,0.11659
360.0,0.12826
365.0,0.13987
370.0,0.15162
375.0,0.16358
380.0,0.17471
385.0,0.18579
390.0,0.19603
395.0,0.20681
400.0,0.21622
405.0,0.22354
410.0,0.2332
415.0,0.24251
420.0,0.2501
425.0,0.25605
430.0,0.26221
435.0,0.27107
440.0,0.27671
445.0,0.28039
450.0,0.2831
455.0,0.28627
460.0,0.29199
465.0,0.29681
470.0,0.30181
475.0,0.30864
480.0,0.31434
485.0,0.31875
490.0,0.32412
495.0,0.33159
500.0,0.33752
505.0,0.33628
510.0,0.34762
515.0,0.35742
520.0,0.36451
525.0,0.36883
530.0,0.37353
535.0,0.37948
540.0,0.38227
545.0,0.38468
550.0,0.38805
555.0,0.39458
560.0,0.39918
565.0,0.40238
570.0,0.40535
575.0,0.40508
580.0,0.4068
585.0,0.40852
590.0,0.41006
595.0,0.41141
600.0,0.41226
605.0,0.41351
610.0,0.41393
615.0,0.41414
620.0,0.41507
625.0,0.41593
630.0,0.4169
635.0,0.41818
640.0,0.41935
645.0,0.42157
650.0,0.42272
655.0,0.4239
660.0,0.42475
665.0,0.42736
670.0,0.42844
675.0,0.43126
680.0,0.43304
685.0,0.43471
690.0,0.43473
695.0,0.43601
700.0,0.43617
705.0,0.43532
710.0,0.43536
715.0,0.43651
720.0,0.43627
725.0,0.43702
730.0,0.43496
735.0,0.43369
740.0,0.43148
745.0,0.42785
750.0,0.42474
755.0,0.42201
760.0,0.4176
765.0,0.4128
770.0,0.40704
775.0,0.39841
780.0,0.39091
785.0,0.38406
790.0,0.37612
795.0,0.36692
800.0,0.35788
805.0,0.3463
810.0,0.33606
815.0,0.32643
820.0,0.31549
825.0,0.30499
830.0,0.29499
835.0,0.28565
840.0,0.27571
845.0,0.26713
850.0,0.25795
855.0,0.2496
860.0,0.2418
865.0,0.23416
870.0,0.22768
875.0,0.22127
880.0,0.21518
885.0,0.20915
890.0,0.20414
895.0,0.20017
900.0,0.19649
905.0,0.19248
910.0,0.18966
915.0,0.18779
920.0,0.18477
925.0,0.18373
930.0,0.18239
935.0,0.18177
940.0,0.18035
945.0,0.1804
950.0,0.18015
955.0,0.18114
960.0,0.18209
965.0,0.18421
970.0,0.18545
975.0,0.18617
980.0,0.18842
985.0,0.19027
990.0,0.19274
995.0,0.19633
1000.0,0.19901
1005.0,0.20312
1010.0,0.20696
1015.0,0.20973
1020.0,0.21446
1025.0,0.21862
1030.0,0.22339
1035.0,0.2287
1040.0,0.23307
1045.0,0.23784
1050.0,0.24252
1055.0,0.24737
1060.0,0.25354
1065.0,0.25891
1070.0,0.26418
1075.0,0.26964
1080.0,0.27462
1085.0,0.28004
1090.0,0.28588
1095.0,0.29149
1100.0,0.29678
1105.0,0.30223
1110.0,0.30738
1115.0,0.31233
