Composition,
Date Added,2005-08-03
Formula,
Grain Size Description,<45.0um
Grain Size,(0.0 - 45.0)
Locality,Synthetic 
Minimum Wavelength,1667
Sample Name,"Wo 10 En 63 Fs 27 (EFW13-4, 100% cpx) < 45 um"
Maximum Wavelength,49859
Database of Origin,RELAB
Other Information,Pyroxene Clinopyroxene
References,
Resolution,4.0
Material class,Synthetic
Sample Description,PGG.  From Turnock.
Sample ID,BIR1DL010A
Original Sample ID,DL-CMP-010-A
Viewing Geometry,Unknown
Wavelength,Response
1666.7,0.23286
1667.3,0.23272
1667.8,0.23267
1668.3,0.23251
1668.9,0.23237
1669.4,0.23223
1670.0,0.23192
1670.5,0.23179
1671.0,0.23175
1671.6,0.23169
1672.1,0.23152
1672.7,0.23118
1673.2,0.23109
1673.7,0.23104
1674.3,0.23064
1674.8,0.23041
1675.4,0.23028
1675.9,0.23019
1676.4,0.23007
1677.0,0.22998
1677.5,0.22986
1678.1,0.22965
1678.6,0.22942
1679.2,0.22939
1679.7,0.2292
1680.3,0.22897
1680.8,0.22883
1681.3,0.22863
1681.9,0.22856
1682.4,0.22835
1683.0,0.22811
1683.5,0.22811
1684.1,0.22801
1684.6,0.22773
1685.2,0.22755
1685.7,0.2275
1686.3,0.22728
1686.8,0.22707
1687.3,0.2269
1687.9,0.22674
1688.4,0.22666
1689.0,0.22648
1689.6,0.22634
1690.1,0.22616
1690.7,0.22603
1691.2,0.22591
1691.8,0.22568
1692.3,0.22551
1692.9,0.2253
1693.4,0.22529
1694.0,0.22532
1694.5,0.22513
1695.1,0.22489
1695.6,0.22479
1696.2,0.22454
1696.7,0.22427
1697.3,0.22409
1697.8,0.22405
1698.4,0.22394
1699.0,0.22369
1699.5,0.22351
1700.1,0.22341
1700.6,0.22319
1701.2,0.22308
1701.8,0.22294
1702.3,0.22285
1702.9,0.22261
1703.4,0.2225
1704.0,0.22234
1704.6,0.22219
1705.1,0.22203
1705.7,0.22186
1706.2,0.22171
1706.8,0.2215
1707.4,0.22119
1707.9,0.2211
1708.5,0.22102
1709.1,0.22098
1709.6,0.22087
1710.2,0.22071
1710.7,0.2205
1711.3,0.22039
1711.9,0.22014
1712.4,0.22005
1713.0,0.21999
1713.6,0.21988
1714.1,0.21989
1714.7,0.21973
1715.3,0.21943
1715.8,0.21929
1716.4,0.21918
1717.0,0.219
1717.5,0.2188
1718.1,0.21863
1718.7,0.2185
1719.3,0.21837
1719.8,0.21838
1720.4,0.21833
1721.0,0.21809
1721.5,0.2179
1722.1,0.21769
1722.7,0.21755
1723.3,0.21739
1723.8,0.21719
1724.4,0.21708
1725.0,0.2169
1725.5,0.21662
1726.1,0.21652
1726.7,0.21656
1727.3,0.21659
1727.8,0.21645
1728.4,0.21623
1729.0,0.21598
1729.6,0.21591
1730.2,0.21578
1730.7,0.21568
1731.3,0.21556
1731.9,0.21528
1732.5,0.21512
1733.0,0.21499
1733.6,0.21486
1734.2,0.21473
1734.8,0.21451
1735.4,0.21439
1735.9,0.21419
1736.5,0.21405
1737.1,0.21398
1737.7,0.21388
1738.3,0.21375
1738.8,0.2136
1739.4,0.21344
1740.0,0.21337
