Composition,
Date Added,2005-04-12
Formula,
Grain Size Description,<45.0um
Grain Size,"(0.0, 45.0)"
Locality,Synthetic 
Minimum Wavelength,300
Sample Name,"Wo 50 En 15 Fs 35 (D3H7-25, 100% pyx) <45 um"
Maximum Wavelength,49859
Database of Origin,RELAB
Other Information,Pyroxene Clinopyroxene
References,
Resolution,4.0
Material class,Synthetic
Sample Description,PGG from Turnock
Sample ID,BKR1DL037A
Original Sample ID,DL-CMP-037-A
Viewing Geometry,unknown
Wavelength,Response
300.0,0.04434
305.0,0.04572
310.0,0.04724
315.0,0.04498
320.0,0.04882
325.0,0.0524
330.0,0.05675
335.0,0.06051
340.0,0.0642
345.0,0.067
350.0,0.07052
355.0,0.07452
360.0,0.07919
365.0,0.08352
370.0,0.08975
375.0,0.09589
380.0,0.10331
385.0,0.11138
390.0,0.12142
395.0,0.12977
400.0,0.13824
405.0,0.14741
410.0,0.15466
415.0,0.16059
420.0,0.16541
425.0,0.16837
430.0,0.16974
435.0,0.16934
440.0,0.1682
445.0,0.16659
450.0,0.16512
455.0,0.16512
460.0,0.16727
465.0,0.17101
470.0,0.17534
475.0,0.1792
480.0,0.18227
485.0,0.18498
490.0,0.18854
495.0,0.1934
500.0,0.19852
505.0,0.20342
510.0,0.20659
515.0,0.2164
520.0,0.22512
525.0,0.23307
530.0,0.24007
535.0,0.24695
540.0,0.25221
545.0,0.25636
550.0,0.25929
555.0,0.26379
560.0,0.2679
565.0,0.27152
570.0,0.27412
575.0,0.27646
580.0,0.27856
585.0,0.27975
590.0,0.28106
595.0,0.28181
600.0,0.28258
605.0,0.28274
610.0,0.28338
615.0,0.28351
620.0,0.28334
625.0,0.28308
630.0,0.28344
635.0,0.28335
640.0,0.28271
645.0,0.28252
650.0,0.28285
655.0,0.28246
660.0,0.28195
665.0,0.28164
670.0,0.28152
675.0,0.28127
680.0,0.2808
685.0,0.2804
690.0,0.2804
695.0,0.28008
700.0,0.27968
705.0,0.27947
710.0,0.27922
715.0,0.27844
720.0,0.27819
725.0,0.2775
730.0,0.27684
735.0,0.27634
740.0,0.27577
745.0,0.27533
750.0,0.27451
755.0,0.27375
760.0,0.27334
765.0,0.27295
770.0,0.27187
775.0,0.27166
780.0,0.27107
785.0,0.2705
790.0,0.27035
795.0,0.26997
800.0,0.26947
805.0,0.26964
810.0,0.26957
815.0,0.26906
820.0,0.26937
825.0,0.26788
830.0,0.26785
835.0,0.26651
840.0,0.26563
845.0,0.2638
850.0,0.26292
855.0,0.26148
860.0,0.25883
865.0,0.25853
870.0,0.25539
875.0,0.25366
880.0,0.25126
885.0,0.24859
890.0,0.24554
895.0,0.24398
900.0,0.24075
905.0,0.23742
910.0,0.23542
915.0,0.23343
920.0,0.22996
925.0,0.22712
930.0,0.22371
935.0,0.22156
940.0,0.21873
945.0,0.21578
950.0,0.21358
955.0,0.21127
960.0,0.20873
965.0,0.20651
970.0,0.20354
975.0,0.20144
980.0,0.19849
985.0,0.19672
990.0,0.19414
995.0,0.19183
1000.0,0.18927
1005.0,0.18744
1010.0,0.1853
1015.0,0.18312
1020.0,0.18141
1025.0,0.17988
1030.0,0.17806
1035.0,0.1763
1040.0,0.176
1045.0,0.17515
1050.0,0.17487
1055.0,0.17451
1060.0,0.17479
1065.0,0.17525
1070.0,0.1763
1075.0,0.17753
1080.0,0.17967
1085.0,0.18162
1090.0,0.18433
1095.0,0.1871
1100.0,0.19004
1105.0,0.19332
1110.0,0.19667
1115.0,0.20041
1120.0,0.20374
1125.0,0.20673
1130.0,0.21037
1135.0,0.21319
1140.0,0.21659
1145.0,0.21898
1150.0,0.22109
1155.0,0.22418
1160.0,0.22618
1165.0,0.22889
1170.0,0.23111
1175.0,0.23366
1180.0,0.23532
1185.0,0.23773
1190.0,0.23985
1195.0,0.24203
1200.0,0.24503
1205.0,0.24714
1210.0,0.24956
1215.0,0.25181
1220.0,0.25407
1225.0,0.25649
1230.0,0.25874
1235.0,0.26121
1240.0,0.26353
1245.0,0.26599
1250.0,0.26883
1255.0,0.27228
1260.0,0.2749
1265.0,0.27748
1270.0,0.28034
1275.0,0.28289
1280.0,0.28549
1285.0,0.28888
1290.0,0.29121
1295.0,0.29447
1300.0,0.29702
1305.0,0.30003
1310.0,0.30276
1315.0,0.30562
1320.0,0.3082
1325.0,0.31177
1330.0,0.31389
1335.0,0.31636
1340.0,0.31938
1345.0,0.32185
1350.0,0.32411
1355.0,0.32643
1360.0,0.32895
1365.0,0.33149
1370.0,0.33354
1375.0,0.33591
1380.0,0.3382
1385.0,0.34012
1390.0,0.34245
1395.0,0.34477
1400.0,0.34581
1405.0,0.34878
1410.0,0.35148
1415.0,0.35244
1420.0,0.35416
1425.0,0.35593
1430.0,0.35802
1435.0,0.35908
1440.0,0.3608
1445.0,0.36185
1450.0,0.36341
1455.0,0.36466
1460.0,0.36599
1465.0,0.36746
1470.0,0.36843
1475.0,0.36933
1480.0,0.37045
1485.0,0.36996
1490.0,0.37266
1495.0,0.37345
1500.0,0.37454
1505.0,0.37496
1510.0,0.37613
1515.0,0.37653
1520.0,0.37723
1525.0,0.37805
1530.0,0.37873
1535.0,0.37946
1540.0,0.38027
1545.0,0.38
1550.0,0.38101
1555.0,0.38158
