Composition,
Date Added,2005-07-28
Formula,
Grain Size Description,<45.0um
Grain Size,(0.0 - 45.0)
Locality,Synthetic 
Minimum Wavelength,300
Sample Name,Wo 10 En 13.5 Fs 76.5 (Wo 10 X=85) <45 um
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Pyroxene Orthopyroxene
References,
Resolution,5.0
Material class,Synthetic
Sample Description,PGG from Don Lindsley
Sample ID,C1DL49A
Original Sample ID,DL-CMP-049-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.05346
305.0,0.04406
310.0,0.03728
315.0,0.03776
320.0,0.03685
325.0,0.03507
330.0,0.03623
335.0,0.03718
340.0,0.03985
345.0,0.04098
350.0,0.04443
355.0,0.04856
360.0,0.05474
365.0,0.06309
370.0,0.07396
375.0,0.08806
380.0,0.10366
385.0,0.11985
390.0,0.13609
395.0,0.15089
400.0,0.16697
405.0,0.18365
410.0,0.19603
415.0,0.20684
420.0,0.21641
425.0,0.22124
430.0,0.22143
435.0,0.2219
440.0,0.22582
445.0,0.23108
450.0,0.2359
455.0,0.2396
460.0,0.24622
465.0,0.24891
470.0,0.24865
475.0,0.24995
480.0,0.25088
485.0,0.25555
490.0,0.26347
495.0,0.2763
500.0,0.27983
505.0,0.26199
510.0,0.24847
515.0,0.27468
520.0,0.30433
525.0,0.31978
530.0,0.32916
535.0,0.33489
540.0,0.33505
545.0,0.32916
550.0,0.3236
555.0,0.3304
560.0,0.34742
565.0,0.36194
570.0,0.3723
575.0,0.37921
580.0,0.38482
585.0,0.3887
590.0,0.39177
595.0,0.39436
600.0,0.39565
605.0,0.39655
610.0,0.39817
615.0,0.39879
620.0,0.39961
625.0,0.40005
630.0,0.3999
635.0,0.4001
640.0,0.39906
645.0,0.39857
650.0,0.39782
655.0,0.39634
660.0,0.39477
665.0,0.39199
670.0,0.39153
675.0,0.38917
680.0,0.38827
685.0,0.38672
690.0,0.38474
695.0,0.38259
700.0,0.38075
705.0,0.37861
710.0,0.37626
715.0,0.37465
720.0,0.37241
725.0,0.36973
730.0,0.36737
735.0,0.36488
740.0,0.36164
745.0,0.35861
750.0,0.35475
755.0,0.35172
760.0,0.34718
765.0,0.34243
770.0,0.3378
775.0,0.33289
780.0,0.32623
785.0,0.31864
790.0,0.31139
795.0,0.30391
800.0,0.29576
805.0,0.28469
810.0,0.27416
815.0,0.26255
820.0,0.25077
825.0,0.23881
830.0,0.22668
835.0,0.2145
840.0,0.20283
845.0,0.19107
850.0,0.17961
855.0,0.16832
860.0,0.15882
865.0,0.14888
870.0,0.13922
875.0,0.13113
880.0,0.12295
885.0,0.11608
890.0,0.10936
895.0,0.10388
900.0,0.09871
905.0,0.09418
910.0,0.08975
915.0,0.08585
920.0,0.08276
925.0,0.07993
930.0,0.07773
935.0,0.07524
940.0,0.07382
945.0,0.07214
950.0,0.07116
955.0,0.07049
960.0,0.06976
965.0,0.06915
970.0,0.06932
975.0,0.06933
980.0,0.07004
985.0,0.07054
990.0,0.07133
995.0,0.07246
1000.0,0.07401
1005.0,0.07531
1010.0,0.07736
1015.0,0.07923
1020.0,0.08224
1025.0,0.08484
1030.0,0.08813
1035.0,0.09192
1040.0,0.09601
1045.0,0.10034
1050.0,0.10591
1055.0,0.11167
1060.0,0.1181
1065.0,0.12484
1070.0,0.13235
1075.0,0.13984
1080.0,0.14867
1085.0,0.15688
1090.0,0.16602
1095.0,0.17603
1100.0,0.18635
1105.0,0.19571
1110.0,0.20521
1115.0,0.21405
1120.0,0.22292
1125.0,0.23117
1130.0,0.23857
1135.0,0.24578
1140.0,0.25168
1145.0,0.25674
1150.0,0.26172
1155.0,0.26622
1160.0,0.27012
1165.0,0.27323
1170.0,0.27619
1175.0,0.2782
1180.0,0.2807
1185.0,0.28193
1190.0,0.28376
1195.0,0.28565
1200.0,0.2867
1205.0,0.2881
1210.0,0.29057
1215.0,0.29091
1220.0,0.29228
1225.0,0.2943
1230.0,0.29522
1235.0,0.29685
1240.0,0.29872
1245.0,0.30015
1250.0,0.30237
1255.0,0.30415
1260.0,0.30654
1265.0,0.30833
1270.0,0.31127
1275.0,0.31325
1280.0,0.3156
1285.0,0.31846
1290.0,0.32087
1295.0,0.32438
1300.0,0.32709
1305.0,0.32949
1310.0,0.33265
1315.0,0.33682
1320.0,0.33982
1325.0,0.34322
1330.0,0.34764
1335.0,0.35086
1340.0,0.35466
1345.0,0.35838
1350.0,0.36196
1355.0,0.36793
1360.0,0.3703
1365.0,0.37417
1370.0,0.37852
1375.0,0.38143
1380.0,0.38539
1385.0,0.39036
1390.0,0.39568
1395.0,0.39956
1400.0,0.40405
1405.0,0.40906
1410.0,0.41324
1415.0,0.41694
1420.0,0.42097
1425.0,0.42397
1430.0,0.42878
1435.0,0.43153
1440.0,0.43657
1445.0,0.44048
1450.0,0.44492
1455.0,0.4479
1460.0,0.45223
1465.0,0.45679
1470.0,0.45945
1475.0,0.46257
1480.0,0.46646
1485.0,0.46852
1490.0,0.47284
1495.0,0.47418
1500.0,0.4785
1505.0,0.47991
1510.0,0.48273
1515.0,0.48544
1520.0,0.48729
1525.0,0.48962
1530.0,0.49072
1535.0,0.4927
1540.0,0.49358
1545.0,0.49373
1550.0,0.49532
1555.0,0.49624
1560.0,0.49509
1565.0,0.49591
1570.0,0.49595
