Composition,
Date Added,2011-07-07
Formula,
Grain Size Description,<75.0um
Grain Size,(0.0 - 75.0)
Locality,"Beacon Valley, Antarctic Dry Valleys"
Minimum Wavelength,800
Sample Name,MS10_BV_05B_ext dolerite exterior alteration rind powder <75 um
Maximum Wavelength,25050
Database of Origin,RELAB
Other Information,Dolerite
References,
Resolution,4.0
Material class,Rock
Sample Description,Investigation of alteration rind formation in the Antarctic Dry Valleys
Sample ID,BIR1DV019EP
Original Sample ID,DV-MBW-019-EP
Viewing Geometry,Unknown
Wavelength,Response
799.9,0.25855
800.0,0.25806
800.2,0.25836
800.3,0.25934
800.4,0.25959
800.5,0.26026
800.7,0.26021
800.8,0.25824
800.9,0.25782
801.0,0.25818
801.2,0.25815
801.3,0.25815
801.4,0.25835
801.5,0.25971
801.6,0.25902
801.8,0.25808
801.9,0.25887
802.0,0.25946
802.1,0.25871
802.3,0.25827
802.4,0.25895
802.5,0.26021
802.6,0.26035
802.8,0.26001
802.9,0.25958
803.0,0.25912
803.1,0.25912
803.3,0.25803
803.4,0.25832
803.5,0.25981
803.6,0.25888
803.8,0.25883
803.9,0.26012
804.0,0.26031
804.1,0.25981
804.3,0.25984
804.4,0.25924
804.5,0.25768
804.6,0.25753
804.8,0.25774
804.9,0.25911
805.0,0.25878
805.1,0.25796
805.3,0.25853
805.4,0.25831
805.5,0.25794
805.6,0.25838
805.8,0.25781
805.9,0.25792
806.0,0.25788
806.1,0.25665
806.3,0.2573
806.4,0.25815
806.5,0.25769
806.6,0.25771
806.8,0.25759
806.9,0.25715
807.0,0.25695
807.1,0.25733
807.3,0.25828
807.4,0.25787
807.5,0.25675
807.6,0.25546
807.8,0.25598
807.9,0.25791
808.0,0.25898
808.1,0.25837
808.3,0.25817
808.4,0.25863
808.5,0.25867
808.6,0.25781
808.8,0.25792
808.9,0.25724
809.0,0.25479
809.2,0.25511
809.3,0.25717
809.4,0.25857
809.5,0.25827
809.7,0.2576
809.8,0.25629
809.9,0.25614
810.0,0.25768
810.2,0.25822
810.3,0.25803
810.4,0.25709
810.5,0.25761
810.7,0.25934
810.8,0.25898
810.9,0.2588
811.0,0.25847
811.2,0.25809
811.3,0.2583
811.4,0.25779
811.5,0.25793
811.7,0.25768
811.8,0.25749
811.9,0.25728
812.1,0.25689
812.2,0.25698
812.3,0.25725
812.4,0.25698
812.6,0.25713
812.7,0.25733
812.8,0.25728
813.0,0.25638
813.1,0.25611
813.2,0.25702
813.3,0.25604
813.5,0.25581
813.6,0.2571
813.7,0.25609
813.8,0.25643
814.0,0.25708
814.1,0.25709
814.2,0.2573
814.4,0.25684
814.5,0.25653
814.6,0.25648
814.7,0.25676
814.9,0.25826
815.0,0.25792
815.1,0.25678
815.3,0.25687
815.4,0.25616
815.5,0.25517
815.6,0.25504
815.8,0.25464
815.9,0.25485
816.0,0.25665
816.2,0.25624
816.3,0.25483
816.4,0.25518
816.5,0.2552
816.7,0.25596
816.8,0.25731
816.9,0.25736
817.0,0.25669
817.2,0.25689
817.3,0.2568
817.4,0.25594
817.6,0.25505
817.7,0.25463
817.8,0.25506
818.0,0.25585
818.1,0.25523
818.2,0.25521
818.3,0.2567
818.5,0.25665
818.6,0.25502
818.7,0.25551
818.9,0.25594
819.0,0.25569
819.1,0.25576
819.3,0.25594
819.4,0.25592
819.5,0.2556
819.6,0.25554
819.8,0.25574
819.9,0.2558
820.0,0.2563
820.2,0.25664
820.3,0.25699
820.4,0.25732
820.5,0.25749
820.7,0.25661
820.8,0.25637
820.9,0.25692
821.1,0.25707
821.2,0.25591
821.3,0.25525
821.5,0.25591
821.6,0.25667
821.7,0.25672
821.8,0.25672
822.0,0.2575
822.1,0.25756
822.2,0.25796
822.4,0.25836
822.5,0.25745
822.6,0.25668
822.8,0.25768
822.9,0.25977
823.0,0.26058
823.2,0.25958
823.3,0.25765
823.4,0.25637
823.5,0.25714
823.7,0.25737
823.8,0.2575
823.9,0.25799
824.1,0.25777
824.2,0.25783
824.3,0.25901
824.5,0.25883
824.6,0.25807
824.7,0.25899
824.8,0.25994
825.0,0.25888
825.1,0.25845
825.3,0.25844
825.4,0.25918
825.5,0.26007
825.6,0.26068
825.8,0.26135
825.9,0.26109
826.0,0.26043
826.2,0.26013
826.3,0.25975
826.4,0.26013
826.6,0.26058
826.7,0.26052
826.8,0.2602
827.0,0.26088
827.1,0.26115
827.2,0.26107
827.3,0.26146
827.5,0.262
827.6,0.26237
827.8,0.26199
827.9,0.26159
828.0,0.26134
828.2,0.26032
828.3,0.26092
828.4,0.26142
828.5,0.26035
828.7,0.26149
828.8,0.26236
828.9,0.26108
829.1,0.26092
829.2,0.26112
829.3,0.26065
829.5,0.26042
829.6,0.2611
829.7,0.26092
829.9,0.26017
830.0,0.26039
830.1,0.26174
830.3,0.26198
830.4,0.26134
830.5,0.26128
830.7,0.26097
830.8,0.25964
830.9,0.25957
831.1,0.25966
831.2,0.25966
831.3,0.25948
831.5,0.25887
831.6,0.25985
831.7,0.26134
831.9,0.26053
832.0,0.25958
832.1,0.26013
832.3,0.26149
832.4,0.26185
832.5,0.26213
832.7,0.26242
832.8,0.26207
832.9,0.26145
833.1,0.26091
833.2,0.26071
833.3,0.26081
833.5,0.26145
833.6,0.26137
833.7,0.26017
833.9,0.25922
834.0,0.25942
834.1,0.25989
834.3,0.26034
834.4,0.26066
834.5,0.26058
834.7,0.26063
834.8,0.26012
835.0,0.25993
835.1,0.25944
835.2,0.25941
835.3,0.25966
835.5,0.25856
835.6,0.25858
835.8,0.25962
835.9,0.25967
836.0,0.25912
836.2,0.25903
836.3,0.25965
836.4,0.2595
836.6,0.25873
836.7,0.25913
836.8,0.25883
837.0,0.25891
837.1,0.25939
837.2,0.25848
837.4,0.25842
837.5,0.25926
837.6,0.25889
837.8,0.25849
837.9,0.25896
838.0,0.25917
838.2,0.25981
838.3,0.25984
838.5,0.25917
838.6,0.25903
838.7,0.2589
838.9,0.25931
839.0,0.26024
839.1,0.25982
839.3,0.25865
839.4,0.25876
839.5,0.25933
839.7,0.25898
839.8,0.25863
840.0,0.25908
840.1,0.25794
840.2,0.25744
840.4,0.25844
840.5,0.25834
840.6,0.25795
840.8,0.25816
840.9,0.25823
841.0,0.25763
841.2,0.25692
841.3,0.2573
841.5,0.25816
841.6,0.25816
841.7,0.25789
841.9,0.25811
842.0,0.25762
842.1,0.25741
842.3,0.25766
842.4,0.25776
842.5,0.25791
842.7,0.25765
842.8,0.25794
843.0,0.25761
843.1,0.25742
843.2,0.25697
843.4,0.25769
843.5,0.25896
843.6,0.2587
843.8,0.25719
843.9,0.25666
844.0,0.25727
844.2,0.25766
844.3,0.25797
844.5,0.25745
844.6,0.2565
844.7,0.25637
844.9,0.25672
845.0,0.25745
845.2,0.2585
845.3,0.25731
845.4,0.2567
845.6,0.25745
845.7,0.25802
845.8,0.2574
846.0,0.25679
846.1,0.25616
846.3,0.25634
846.4,0.2565
846.5,0.25642
846.7,0.25685
846.8,0.25691
847.0,0.257
847.1,0.25695
847.2,0.25654
847.4,0.25681
847.5,0.25695
847.6,0.25742
847.8,0.25788
847.9,0.25728
848.1,0.25617
848.2,0.2555
848.3,0.25543
848.5,0.25529
848.6,0.25605
848.8,0.2563
848.9,0.25533
849.0,0.25562
849.2,0.2564
849.3,0.25632
849.5,0.25612
849.6,0.25581
849.7,0.25637
849.9,0.25587
850.0,0.2557
850.1,0.25583
850.3,0.25588
850.4,0.25574
850.6,0.25503
850.7,0.25493
850.8,0.25581
851.0,0.25592
851.1,0.25548
851.3,0.25569
851.4,0.2558
851.5,0.25508
851.7,0.25376
851.8,0.25478
852.0,0.25577
852.1,0.25547
852.2,0.25522
852.4,0.25456
852.5,0.25422
852.7,0.25487
852.8,0.25554
852.9,0.25543
853.1,0.25519
853.2,0.25496
853.4,0.25496
853.5,0.25485
853.6,0.25413
853.8,0.25415
853.9,0.25417
854.1,0.25485
854.2,0.25502
854.3,0.25471
854.5,0.25389
854.6,0.25329
854.8,0.25344
854.9,0.25341
855.0,0.25375
