Composition,
Date Added,1995-04-06
Formula,
Grain Size Description,<50.0um
Grain Size,0.0 - 50.0
Locality,
Minimum Wavelength,350
Sample Name,927A 20H-2 70-71
Maximum Wavelength,25920
Database of Origin,ReLab
Other Information,
References,
Resolution,9.0
Material Class,Sediment
Sample Description,
Sample ID,NCNF10
Original Sample ID,NF-DWM-010
Viewing Geometry,
Wavelength,Response
350.0,213.09
360.0,222.85
370.0,232.95
380.0,251.9
390.0,273.79
400.0,293.74
410.0,314.58
420.0,331.63
430.0,352.19
440.0,374.84
450.0,393.09
460.0,405.86
470.0,414.85
480.0,424.45
490.0,436.83
500.0,452.88
510.0,470.61
520.0,485.95
530.0,503.42
540.0,522.31
550.0,543.88
560.0,566.13
570.0,588.78
580.0,605.04
590.0,617.45
600.0,625.96
610.0,630.15
620.0,632.95
630.0,633.47
640.0,634.88
650.0,636.36
660.0,638.6
670.0,640.26
680.0,642.37
690.0,644.45
700.0,646.53
710.0,648.61
720.0,650.69
730.0,653.14
740.0,655.17
750.0,657.91
760.0,659.25
770.0,659.98
780.0,662.63
790.0,663.68
800.0,666.18
810.0,666.62
820.0,668.4
830.0,669.52
840.0,669.23
850.0,668.92
860.0,669.53
870.0,667.97
880.0,667.5
890.0,667.51
900.0,667.42
910.0,667.33
920.0,667.16
930.0,668.1
940.0,668.33
950.0,669.26
960.0,670.06
970.0,671.84
980.0,673.08
990.0,674.03
1000.0,674.69
1010.0,674.45
1020.0,675.33
1030.0,675.82
1040.0,676.28
1050.0,676.49
1060.0,677.24
1070.0,677.26
1080.0,677.28
1090.0,678.08
1100.0,678.6
1110.0,678.92
1120.0,679.9
1130.0,680.38
1140.0,680.83
1150.0,681.85
1160.0,683.45
1170.0,685.12
1180.0,686.12
1190.0,687.06
1200.0,689.22
1210.0,690.92
1220.0,692.58
1230.0,694.73
1240.0,695.37
1250.0,696.46
1260.0,697.62
1270.0,699.25
1280.0,700.52
1290.0,701.36
1300.0,702.24
1310.0,703.57
1320.0,704.54
1330.0,705.98
1340.0,707.42
1350.0,707.67
1360.0,707.16
