Composition,
Date Added,2003-12-03
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,CRB117 <45 um
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,
Sample ID,CACB17
Original Sample ID,CB-EAC-017-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,594.39
305.0,609.89
310.0,600.38
315.0,612.98
320.0,618.11
325.0,628.43
330.0,638.84
335.0,653.24
340.0,668.35
345.0,684.74
350.0,702.04
355.0,720.75
360.0,738.66
365.0,746.85
370.0,767.92
375.0,781.19
380.0,792.59
385.0,803.39
390.0,810.35
395.0,818.35
400.0,820.01
405.0,824.64
410.0,826.77
415.0,831.22
420.0,833.04
425.0,836.29
430.0,838.6
435.0,843.04
440.0,845.42
445.0,847.18
450.0,849.78
455.0,852.61
460.0,853.59
465.0,856.14
470.0,856.67
475.0,858.67
480.0,859.62
485.0,862.46
490.0,863.59
495.0,865.7
500.0,867.11
505.0,868.95
510.0,870.05
515.0,872.47
520.0,873.97
525.0,875.81
530.0,877.03
535.0,879.66
540.0,881.05
545.0,882.04
550.0,883.33
555.0,885.42
560.0,886.09
565.0,888.3
570.0,888.49
575.0,888.66
580.0,890.13
585.0,891.04
590.0,890.92
595.0,891.71
600.0,892.09
605.0,892.18
610.0,892.13
615.0,892.98
620.0,892.78
625.0,893.86
630.0,894.4
635.0,894.5
640.0,894.76
645.0,894.86
650.0,895.58
655.0,895.57
660.0,895.56
665.0,896.13
670.0,895.9
675.0,896.62
680.0,896.4
685.0,896.37
690.0,895.89
695.0,896.89
700.0,897.27
705.0,897.32
710.0,897.03
715.0,897.64
720.0,897.69
725.0,897.86
730.0,898.11
735.0,898.06
740.0,898.74
745.0,898.44
750.0,899.4
755.0,899.26
760.0,899.18
765.0,898.69
770.0,899.54
775.0,898.65
780.0,899.17
785.0,899.05
790.0,898.79
795.0,898.53
800.0,898.29
805.0,898.45
810.0,898.42
815.0,898.63
820.0,898.02
825.0,897.3
830.0,897.09
835.0,896.57
840.0,896.29
845.0,895.22
850.0,895.64
855.0,894.32
860.0,893.78
865.0,892.98
870.0,893.52
875.0,891.54
