Composition,
Date Added,1999-02-26
Formula,
Grain Size Description,<90.0um
Grain Size,45.0 - 90.0
Locality,
Minimum Wavelength,300
Sample Name,CRB214 45-90 um
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,Stan Mertzman-Franklin and Marshall College
Resolution,5.0
Material Class,Mineral
Sample Description,
Sample ID,CBCB34
Original Sample ID,CB-EAC-034-B
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,640.07
305.0,639.32
310.0,644.35
315.0,650.82
320.0,657.27
325.0,664.54
330.0,669.43
335.0,674.77
340.0,681.37
345.0,685.66
350.0,691.97
355.0,697.56
360.0,703.41
365.0,709.75
370.0,715.59
375.0,722.01
380.0,728.42
385.0,734.42
390.0,739.54
395.0,745.35
400.0,750.09
405.0,756.04
410.0,754.04
415.0,761.04
420.0,764.03
425.0,770.06
430.0,774.07
435.0,781.08
440.0,783.4
445.0,789.36
450.0,792.26
455.0,797.48
460.0,797.34
465.0,803.37
470.0,804.75
475.0,809.22
480.0,810.98
485.0,813.86
490.0,815.92
495.0,819.76
500.0,822.28
505.0,825.36
510.0,827.42
515.0,829.9
520.0,832.28
525.0,834.87
530.0,836.7
535.0,839.41
540.0,840.71
545.0,842.99
550.0,845.35
555.0,847.7
560.0,848.48
565.0,850.62
570.0,852.69
575.0,853.56
580.0,855.57
585.0,857.01
590.0,858.48
595.0,859.28
600.0,860.03
605.0,860.61
610.0,861.08
615.0,862.49
620.0,862.08
625.0,864.55
630.0,865.24
635.0,865.0
640.0,866.23
645.0,866.59
650.0,866.16
655.0,866.22
660.0,867.36
665.0,867.4
670.0,868.13
675.0,867.64
680.0,869.5
685.0,869.25
690.0,869.96
695.0,870.18
700.0,869.79
705.0,870.39
710.0,869.14
715.0,871.17
720.0,869.51
725.0,870.46
730.0,869.69
735.0,870.6
740.0,871.79
745.0,872.55
750.0,873.25
755.0,872.74
760.0,872.77
765.0,870.18
770.0,872.17
775.0,870.16
780.0,872.34
785.0,871.38
790.0,874.17
795.0,872.39
800.0,873.88
805.0,874.31
810.0,873.63
815.0,874.41
820.0,873.24
825.0,872.84
830.0,873.41
835.0,873.64
840.0,872.64
845.0,875.15
850.0,874.72
855.0,874.83
860.0,874.55
865.0,874.64
870.0,873.76
875.0,875.5
880.0,873.03
885.0,874.32
890.0,872.19
895.0,873.37
900.0,873.37
905.0,874.06
910.0,873.26
915.0,875.02
920.0,873.72
925.0,874.63
930.0,873.75
935.0,873.91
940.0,872.71
945.0,873.03
950.0,872.7
955.0,872.3
960.0,872.4
965.0,870.15
970.0,869.43
975.0,867.0
980.0,865.25
985.0,863.37
990.0,862.4
995.0,860.88
1000.0,859.01
1005.0,858.74
1010.0,858.69
1015.0,857.58
1020.0,859.24
1025.0,858.77
1030.0,860.06
1035.0,861.08
1040.0,861.74
1045.0,862.9
1050.0,863.93
1055.0,864.35
1060.0,864.63
1065.0,866.09
1070.0,864.78
1075.0,865.37
1080.0,864.18
1085.0,865.87
1090.0,865.14
1095.0,864.75
1100.0,864.71
1105.0,865.02
1110.0,863.21
1115.0,864.12
1120.0,862.96
1125.0,861.2
1130.0,859.41
1135.0,860.48
1140.0,857.24
1145.0,854.28
1150.0,851.16
1155.0,847.51
1160.0,844.46
1165.0,836.72
1170.0,829.31
1175.0,823.11
1180.0,817.8
1185.0,814.17
1190.0,810.1
1195.0,806.84
1200.0,803.51
1205.0,801.25
1210.0,801.53
1215.0,799.82
1220.0,797.89
1225.0,798.63
1230.0,796.16
1235.0,795.5
1240.0,794.68
1245.0,797.51
1250.0,799.11
1255.0,798.6
1260.0,800.15
1265.0,801.37
1270.0,802.36
1275.0,802.5
1280.0,801.23
1285.0,800.66
1290.0,797.49
1295.0,797.35
1300.0,794.56
1305.0,791.67
1310.0,788.72
1315.0,786.45
1320.0,781.8
1325.0,776.52
1330.0,776.84
1335.0,773.26
1340.0,768.09
1345.0,767.03
1350.0,766.49
1355.0,765.4
1360.0,764.63
1365.0,760.27
1370.0,759.78
1375.0,757.73
1380.0,757.98
1385.0,752.66
1390.0,752.14
1395.0,748.76
1400.0,743.07
1405.0,737.72
1410.0,729.36
1415.0,720.6
1420.0,708.41
1425.0,692.63
1430.0,678.25
1435.0,657.93
1440.0,639.0
1445.0,619.66
1450.0,603.4
1455.0,588.91
1460.0,575.57
1465.0,561.69
1470.0,547.28
1475.0,533.95
1480.0,523.11
1485.0,511.66
1490.0,500.43
1495.0,493.85
1500.0,486.31
1505.0,481.72
1510.0,477.97
1515.0,476.13
1520.0,474.08
1525.0,471.64
1530.0,471.47
1535.0,474.76
1540.0,481.95
1545.0,491.68
1550.0,501.21
1555.0,509.21
1560.0,516.06
1565.0,519.67
1570.0,523.93
1575.0,524.68
1580.0,524.77
1585.0,525.43
1590.0,522.05
1595.0,519.63
1600.0,516.89
1605.0,514.03
1610.0,510.93
1615.0,505.36
1620.0,503.22
1625.0,498.78
1630.0,493.29
1635.0,489.33
1640.0,484.28
1645.0,477.83
1650.0,472.92
1655.0,466.61
1660.0,461.22
1665.0,455.74
1670.0,449.65
1675.0,439.8
1680.0,435.28
1685.0,429.4
1690.0,423.78
1695.0,418.88
1700.0,415.8
1705.0,407.66
1710.0,403.67
1715.0,397.41
1720.0,392.44
1725.0,387.13
1730.0,382.67
1735.0,377.26
1740.0,373.05
1745.0,370.47
1750.0,369.52
1755.0,369.1
1760.0,368.46
1765.0,369.26
1770.0,367.98
1775.0,366.55
1780.0,365.94
1785.0,365.9
1790.0,363.79
1795.0,364.37
1800.0,363.52
1805.0,362.79
1810.0,360.4
1815.0,359.67
1820.0,359.31
1825.0,358.19
1830.0,356.56
1835.0,355.94
1840.0,352.65
1845.0,348.88
1850.0,346.06
1855.0,341.39
1860.0,336.48
1865.0,331.94
1870.0,327.28
1875.0,316.09
1880.0,308.08
1885.0,300.63
1890.0,290.35
1895.0,278.19
1900.0,263.87
1905.0,246.57
1910.0,228.7
1915.0,211.35
1920.0,191.75
1925.0,173.19
1930.0,155.05
1935.0,140.92
1940.0,132.42
1945.0,128.9
1950.0,130.89
1955.0,135.22
1960.0,141.84
1965.0,149.8
1970.0,155.82
1975.0,161.2
1980.0,164.05
1985.0,166.4
1990.0,165.05
1995.0,165.82
2000.0,165.79
2005.0,163.15
2010.0,160.85
2015.0,157.49
2020.0,152.61
2025.0,148.12
2030.0,145.26
2035.0,141.61
2040.0,139.58
2045.0,139.19
2050.0,139.45
2055.0,141.7
2060.0,142.51
2065.0,143.95
2070.0,148.06
2075.0,150.0
2080.0,152.47
2085.0,155.19
2090.0,156.83
2095.0,160.2
2100.0,161.72
2105.0,164.41
2110.0,166.55
2115.0,168.47
2120.0,170.28
2125.0,171.56
