Composition,
Date Added,2006-05-03
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,1000
Sample Name,CHY103
Maximum Wavelength,99719
Database of Origin,ReLab
Other Information,"Zr: 30 ppm, Sr: 205 ppm, Cr: 35 ppm"
References,XRRF by Stan Mertzman - Franklin and Marshall College
Resolution,4.0
Material Class,Mineral
Sample Description,Spectral-compositional properties of clays for Mars optical remote sensing
Sample ID,BIR3EA022A
Original Sample ID,EA-EAC-022-A
Viewing Geometry,
Wavelength,Response
1000.0,250.93
1000.2,251.04
1000.4,251.22
1000.6,251.27
1000.8,251.3
1001.0,251.4
1001.2,251.53
1001.4,251.66
1001.6,251.77
1001.8,251.89
1001.9,251.99
1002.1,252.02
1002.3,252.04
1002.5,252.2
1002.7,252.27
1002.9,252.29
1003.1,252.46
1003.3,252.63
1003.5,252.64
1003.7,252.8
1003.9,252.97
1004.1,253.09
1004.3,253.21
1004.5,253.33
1004.7,253.4
1004.9,253.45
1005.0,253.59
1005.3,253.58
1005.4,253.59
1005.6,253.66
1005.8,253.84
1006.0,253.98
1006.2,254.03
1006.4,254.05
1006.6,254.2
1006.8,254.39
1007.0,254.5
1007.2,254.55
1007.4,254.6
1007.6,254.64
1007.8,254.87
1008.0,255.07
1008.2,254.94
1008.4,254.89
1008.6,255.08
1008.8,255.22
1009.0,255.44
1009.2,255.48
1009.4,255.41
1009.5,255.58
1009.8,255.8
1010.0,255.95
1010.1,256.05
1010.3,256.1
1010.5,256.26
1010.7,256.36
1010.9,256.37
1011.1,256.43
1011.3,256.51
1011.5,256.6
1011.7,256.73
1011.9,256.94
1012.1,257.01
1012.3,256.95
1012.5,256.96
1012.7,257.17
1012.9,257.36
1013.1,257.46
1013.3,257.59
1013.5,257.75
1013.7,257.81
1013.9,257.73
1014.1,257.79
1014.3,257.89
1014.5,257.92
1014.7,258.03
1014.9,258.18
1015.1,258.31
1015.3,258.45
1015.5,258.63
1015.7,258.84
1015.9,258.86
1016.1,258.87
1016.3,258.88
1016.5,258.92
1016.7,259.03
1016.9,259.16
1017.1,259.34
1017.3,259.46
1017.5,259.55
1017.7,259.61
1017.9,259.68
1018.1,259.76
1018.3,259.93
1018.5,260.07
1018.7,260.14
1018.9,260.28
1019.1,260.39
1019.3,260.45
1019.5,260.51
1019.7,260.55
1019.9,260.61
1020.1,260.79
1020.3,260.92
1020.5,261.0
1020.7,261.15
1020.9,261.23
1021.1,261.27
1021.3,261.36
1021.5,261.37
1021.7,261.43
1021.9,261.72
1022.1,261.89
1022.3,261.9
1022.5,262.0
1022.7,262.09
1022.9,262.18
1023.1,262.34
1023.3,262.49
1023.5,262.56
1023.7,262.69
1023.9,262.79
1024.1,262.83
1024.3,262.94
1024.5,262.99
1024.7,263.11
1024.9,263.24
1025.1,263.25
1025.3,263.45
1025.5,263.52
1025.7,263.53
1025.9,263.69
1026.1,263.84
1026.3,263.89
1026.5,263.93
1026.8,264.07
1026.9,264.2
1027.2,264.22
1027.4,264.32
1027.6,264.37
1027.8,264.61
1028.0,264.72
1028.2,264.69
1028.4,264.75
1028.6,264.89
1028.8,265.03
1029.0,265.16
1029.2,265.23
1029.4,265.38
1029.6,265.45
1029.8,265.45
1030.0,265.53
1030.2,265.61
1030.4,265.7
1030.6,265.85
1030.8,265.98
1031.0,266.06
1031.2,266.05
1031.4,266.14
1031.7,266.34
1031.8,266.59
1032.1,266.74
1032.3,266.77
1032.5,266.76
1032.7,266.88
1032.9,267.09
1033.1,267.17
1033.3,267.15
1033.5,267.23
1033.7,267.34
1033.9,267.55
1034.1,267.74
1034.3,267.78
1034.5,267.87
1034.7,267.95
1034.9,268.08
1035.2,268.22
1035.4,268.24
1035.6,268.22
1035.8,268.37
1036.0,268.52
1036.2,268.63
1036.4,268.66
1036.6,268.81
1036.8,268.99
1037.0,269.12
1037.2,269.26
1037.4,269.25
1037.6,269.3
1037.8,269.51
1038.1,269.52
1038.3,269.52
1038.5,269.6
1038.7,269.65
1038.9,269.76
1039.1,269.91
1039.3,270.1
1039.5,270.19
1039.7,270.25
1039.9,270.39
1040.1,270.53
1040.3,270.6
1040.6,270.72
1040.8,270.83
1041.0,270.91
1041.2,270.96
1041.4,270.97
1041.6,271.1
1041.8,271.32
1042.0,271.41
1042.2,271.42
1042.4,271.47
1042.6,271.62
1042.8,271.7
1043.1,271.79
1043.3,271.92
1043.5,271.98
1043.7,272.1
1043.9,272.31
1044.1,272.34
1044.3,272.39
1044.5,272.46
1044.8,272.61
1045.0,272.78
1045.2,272.88
1045.4,272.91
1045.6,272.99
1045.8,273.17
1046.0,273.32
1046.2,273.36
1046.4,273.4
1046.6,273.51
1046.9,273.72
1047.1,273.83
1047.3,273.92
1047.5,274.0
1047.7,274.08
1047.9,274.18
1048.1,274.26
1048.3,274.37
1048.6,274.44
1048.8,274.56
1049.0,274.57
1049.2,274.61
1049.4,274.8
1049.6,275.04
1049.8,275.17
1050.0,275.18
1050.3,275.22
1050.5,275.31
1050.7,275.43
1050.9,275.48
1051.1,275.61
1051.3,275.79
1051.5,275.94
1051.7,276.07
1051.9,276.06
1052.2,276.09
1052.4,276.26
1052.6,276.42
1052.8,276.48
1053.0,276.5
1053.2,276.6
1053.4,276.77
1053.7,276.89
1053.9,276.99
1054.1,277.09
1054.3,277.13
1054.5,277.24
1054.7,277.37
1054.9,277.42
1055.2,277.47
1055.4,277.64
1055.6,277.78
1055.8,277.75
1056.0,277.8
1056.2,277.94
1056.4,278.05
1056.7,278.22
1056.9,278.41
1057.1,278.47
1057.3,278.51
1057.5,278.59
1057.8,278.64
1058.0,278.78
1058.2,278.91
1058.4,279.01
1058.6,279.06
1058.8,279.12
1059.0,279.25
1059.3,279.44
1059.5,279.51
1059.7,279.59
1059.9,279.77
1060.1,279.9
1060.3,279.94
1060.6,280.0
1060.8,280.21
1061.0,280.31
1061.2,280.44
1061.4,280.54
1061.7,280.63
1061.9,280.72
1062.1,280.73
1062.3,280.8
1062.5,280.9
1062.7,281.02
1062.9,281.11
1063.2,281.22
1063.4,281.3
1063.6,281.41
1063.8,281.5
1064.0,281.55
1064.3,281.59
1064.5,281.74
1064.7,281.96
1064.9,282.05
1065.1,282.18
1065.3,282.39
1065.6,282.4
1065.8,282.37
1066.0,282.42
1066.2,282.55
1066.4,282.68
1066.7,282.82
1066.9,282.91
1067.1,283.1
1067.3,283.17
1067.6,283.17
1067.8,283.28
1068.0,283.35
1068.2,283.47
1068.4,283.65
1068.7,283.76
1068.9,283.82
1069.1,283.89
1069.3,284.03
1069.5,284.15
1069.8,284.17
1070.0,284.23
1070.2,284.33
1070.4,284.43
1070.6,284.53
1070.8,284.6
1071.1,284.75
1071.3,284.87
1071.5,284.99
1071.7,285.09
1072.0,285.17
1072.2,285.27
1072.4,285.41
1072.6,285.55
1072.8,285.6
1073.1,285.69
1073.3,285.8
1073.5,285.92
1073.7,286.01
1074.0,286.1
1074.2,286.2
1074.4,286.32
1074.6,286.43
1074.8,286.57
1075.1,286.65
1075.3,286.64
1075.5,286.79
1075.7,286.98
1076.0,287.06
1076.2,287.09
1076.4,287.19
1076.6,287.32
1076.9,287.36
1077.1,287.53
1077.3,287.62
1077.5,287.7
1077.8,287.83
1078.0,287.93
1078.2,288.06
1078.4,288.13
1078.7,288.27
1078.9,288.39
1079.1,288.54
1079.3,288.63
1079.6,288.67
1079.8,288.76
1080.0,288.93
1080.2,289.14
1080.4,289.23
1080.7,289.3
1080.9,289.34
1081.1,289.4
1081.3,289.37
1081.6,289.46
1081.8,289.68
1082.0,289.8
1082.3,289.87
1082.5,289.94
1082.7,290.06
1082.9,290.09
1083.2,290.14
1083.4,290.35
1083.6,290.51
1083.8,290.58
1084.1,290.66
1084.3,290.8
1084.5,290.91
1084.8,290.94
1085.0,291.03
1085.2,291.13
1085.4,291.22
1085.7,291.26
1085.9,291.4
1086.1,291.58
1086.3,291.75
1086.6,291.81
1086.8,291.86
1087.0,291.96
1087.3,292.07
1087.5,292.13
1087.7,292.21
1087.9,292.32
1088.2,292.51
1088.4,292.63
1088.6,292.62
1088.8,292.69
1089.1,292.84
1089.3,292.93
1089.5,293.09
1089.8,293.27
1090.0,293.31
1090.2,293.34
1090.4,293.47
1090.7,293.62
1090.9,293.75
1091.1,293.82
1091.4,293.9
1091.6,293.96
1091.8,294.02
1092.1,294.14
1092.3,294.19
1092.5,294.2
1092.8,294.36
1093.0,294.53
1093.2,294.61
1093.4,294.74
1093.7,294.84
1093.9,294.95
1094.1,295.03
1094.4,295.15
1094.6,295.26
1094.8,295.35
1095.1,295.51
1095.3,295.64
1095.5,295.72
1095.8,295.84
1096.0,295.97
1096.2,296.07
1096.4,296.12
1096.7,296.17
1096.9,296.27
1097.1,296.4
1097.4,296.47
1097.6,296.54
1097.8,296.66
1098.1,296.73
1098.3,296.92
1098.5,297.1
1098.8,297.09
1099.0,297.19
1099.2,297.33
1099.5,297.42
1099.7,297.5
1099.9,297.64
1100.2,297.82
1100.4,297.89
1100.6,297.87
1100.9,297.89
1101.1,298.04
1101.3,298.21
1101.6,298.32
1101.8,298.42
1102.0,298.5
1102.3,298.63
1102.5,298.73
1102.7,298.81
1103.0,298.94
1103.2,299.08
1103.4,299.18
1103.7,299.25
1103.9,299.33
1104.2,299.38
1104.4,299.42
1104.6,299.5
1104.9,299.66
1105.1,299.77
1105.3,299.82
1105.6,299.95
1105.8,300.03
1106.0,300.11
1106.3,300.28
1106.5,300.39
1106.7,300.46
1107.0,300.56
1107.2,300.75
1107.4,300.83
1107.7,300.86
1107.9,300.96
1108.2,301.1
1108.4,301.19
1108.6,301.23
1108.9,301.36
1109.1,301.4
1109.3,301.56
1109.6,301.76
1109.8,301.87
1110.1,301.98
1110.3,302.03
1110.5,302.07
1110.8,302.14
1111.0,302.28
1111.3,302.4
1111.5,302.5
1111.7,302.64
1112.0,302.73
1112.2,302.74
1112.4,302.87
1112.7,302.99
1112.9,303.08
1113.2,303.14
1113.4,303.27
1113.6,303.4
1113.9,303.47
1114.1,303.57
1114.3,303.64
1114.6,303.78
1114.8,303.97
1115.1,304.09
1115.3,304.13
1115.6,304.13
1115.8,304.26
1116.0,304.44
1116.3,304.51
1116.5,304.59
1116.8,304.75
1117.0,304.86
1117.2,304.88
1117.5,304.97
1117.7,305.14
1118.0,305.27
1118.2,305.34
1118.4,305.38
1118.7,305.45
1118.9,305.52
1119.2,305.64
1119.4,305.82
1119.7,305.97
1119.9,306.11
1120.1,306.25
1120.4,306.31
1120.6,306.39
1120.9,306.52
1121.1,306.6
1121.3,306.67
1121.6,306.69
1121.8,306.78
1122.1,306.94
1122.3,307.11
1122.6,307.19
1122.8,307.3
1123.0,307.43
1123.3,307.41
1123.5,307.45
1123.8,307.62
1124.0,307.74
1124.3,307.74
1124.5,307.85
1124.8,308.03
1125.0,308.19
1125.2,308.27
1125.5,308.38
1125.7,308.49
1126.0,308.59
1126.2,308.67
1126.5,308.78
1126.7,308.93
1126.9,309.02
1127.2,309.06
1127.4,309.14
1127.7,309.28
1127.9,309.39
1128.2,309.44
1128.4,309.54
1128.7,309.69
1128.9,309.8
1129.2,309.85
1129.4,309.92
1129.7,309.99
1129.9,310.1
1130.1,310.25
1130.4,310.37
1130.6,310.46
1130.9,310.53
1131.1,310.66
1131.4,310.78
1131.6,310.81
1131.9,310.85
1132.1,310.96
1132.4,311.09
1132.6,311.2
1132.9,311.32
1133.1,311.36
1133.3,311.39
1133.6,311.57
1133.8,311.7
1134.1,311.76
1134.3,311.88
1134.6,312.03
1134.8,312.15
1135.1,312.19
1135.3,312.25
1135.6,312.42
1135.8,312.56
1136.1,312.58
1136.3,312.65
1136.6,312.76
1136.8,312.83
1137.1,312.99
1137.3,313.09
1137.6,313.18
1137.8,313.28
1138.1,313.41
1138.3,313.54
1138.6,313.66
1138.8,313.78
1139.1,313.82
1139.3,313.85
1139.6,314.0
1139.8,314.12
1140.1,314.17
1140.3,314.26
1140.6,314.35
1140.8,314.46
1141.1,314.61
1141.3,314.74
1141.6,314.81
1141.8,314.88
1142.1,315.01
1142.3,315.08
1142.6,315.16
1142.8,315.29
1143.1,315.42
1143.3,315.55
1143.6,315.6
1143.9,315.68
1144.1,315.81
1144.4,315.95
1144.6,316.01
1144.9,316.12
1145.1,316.27
1145.4,316.36
1145.6,316.42
1145.9,316.53
1146.1,316.67
1146.4,316.76
1146.6,316.79
1146.9,316.91
1147.2,317.05
1147.4,317.11
1147.7,317.21
1147.9,317.33
1148.2,317.41
1148.4,317.52
1148.7,317.63
1148.9,317.66
1149.2,317.72
1149.4,317.85
1149.7,317.97
1149.9,318.07
1150.2,318.2
1150.4,318.31
1150.7,318.45
1151.0,318.53
1151.2,318.6
1151.5,318.72
1151.7,318.85
1152.0,318.94
1152.2,319.0
1152.5,319.09
1152.8,319.25
1153.0,319.4
1153.3,319.49
1153.5,319.52
1153.8,319.6
1154.0,319.71
1154.3,319.85
1154.6,320.02
1154.8,320.12
1155.1,320.14
1155.3,320.18
1155.6,320.32
1155.8,320.48
1156.1,320.64
1156.4,320.76
1156.6,320.83
1156.9,320.88
1157.1,320.95
1157.4,321.11
1157.7,321.22
1157.9,321.28
1158.2,321.36
1158.4,321.51
1158.7,321.61
1158.9,321.63
1159.2,321.68
1159.5,321.8
1159.7,321.97
1160.0,322.07
1160.2,322.21
1160.5,322.34
1160.8,322.43
1161.0,322.49
1161.3,322.53
1161.5,322.65
1161.8,322.79
1162.1,322.93
1162.3,323.08
1162.6,323.18
1162.8,323.25
1163.1,323.28
1163.4,323.37
1163.6,323.55
1163.9,323.68
1164.2,323.74
1164.4,323.84
1164.7,323.97
1164.9,324.11
1165.2,324.2
1165.4,324.29
1165.7,324.36
1166.0,324.4
1166.2,324.52
1166.5,324.61
1166.8,324.69
1167.0,324.8
1167.3,324.91
1167.6,325.0
1167.8,325.09
1168.1,325.26
1168.3,325.41
1168.6,325.49
1168.9,325.55
1169.1,325.6
1169.4,325.72
1169.7,325.89
1169.9,325.97
1170.2,326.05
1170.4,326.16
1170.7,326.28
1171.0,326.37
1171.3,326.49
1171.5,326.61
1171.8,326.7
1172.0,326.81
1172.3,326.88
1172.6,326.99
1172.8,327.2
1173.1,327.29
1173.4,327.31
1173.6,327.4
1173.9,327.51
1174.2,327.59
1174.4,327.64
1174.7,327.77
1175.0,327.91
1175.2,328.0
1175.5,328.12
1175.8,328.22
1176.0,328.28
1176.3,328.39
1176.6,328.54
1176.8,328.7
1177.1,328.8
1177.4,328.86
1177.6,328.96
1177.9,329.06
1178.2,329.19
1178.4,329.28
1178.7,329.3
1179.0,329.36
1179.2,329.47
1179.5,329.61
1179.8,329.72
1180.0,329.79
1180.3,329.9
1180.6,330.03
1180.8,330.17
1181.1,330.28
1181.4,330.33
1181.7,330.38
1181.9,330.51
1182.2,330.63
1182.5,330.69
1182.7,330.87
1183.0,331.06
1183.3,331.11
1183.5,331.16
1183.8,331.25
1184.1,331.37
1184.4,331.48
1184.6,331.58
1184.9,331.67
1185.2,331.76
1185.4,331.83
1185.7,331.87
1186.0,331.98
1186.3,332.17
1186.5,332.27
1186.8,332.33
1187.1,332.47
1187.3,332.64
1187.6,332.72
1187.9,332.8
1188.2,332.96
1188.4,333.03
1188.7,333.1
1189.0,333.23
1189.3,333.32
1189.5,333.37
1189.8,333.5
1190.1,333.63
1190.3,333.71
1190.6,333.82
1190.9,333.93
1191.2,334.02
1191.4,334.15
1191.7,334.3
1192.0,334.35
1192.3,334.44
1192.5,334.57
1192.8,334.65
1193.1,334.73
1193.3,334.81
1193.6,334.92
1193.9,335.02
1194.2,335.08
1194.4,335.13
1194.7,335.25
1195.0,335.46
1195.3,335.58
1195.6,335.65
1195.8,335.7
1196.1,335.8
1196.4,335.95
1196.7,336.05
1196.9,336.15
1197.2,336.26
1197.5,336.34
1197.8,336.46
1198.0,336.59
1198.3,336.72
1198.6,336.79
1198.9,336.82
1199.2,336.92
1199.4,337.05
1199.7,337.19
1200.0,337.31
1200.3,337.43
1200.5,337.47
1200.8,337.57
1201.1,337.65
1201.4,337.71
1201.7,337.84
1201.9,337.93
1202.2,338.03
1202.5,338.16
1202.8,338.28
1203.0,338.42
1203.3,338.54
1203.6,338.65
1203.9,338.76
1204.2,338.82
1204.4,338.9
1204.7,339.02
1205.0,339.16
1205.3,339.26
1205.6,339.32
1205.8,339.38
1206.1,339.45
1206.4,339.58
1206.7,339.75
1207.0,339.86
1207.2,339.97
1207.5,340.09
1207.8,340.18
1208.1,340.26
1208.4,340.34
1208.7,340.43
1208.9,340.53
1209.2,340.62
1209.5,340.72
1209.8,340.84
1210.1,340.95
1210.3,341.02
1210.6,341.11
1210.9,341.21
1211.2,341.34
1211.5,341.41
1211.8,341.49
1212.0,341.62
1212.3,341.71
1212.6,341.77
1212.9,341.89
1213.2,342.02
1213.5,342.1
1213.7,342.21
1214.0,342.32
1214.3,342.38
1214.6,342.45
1214.9,342.6
1215.2,342.73
1215.4,342.82
1215.7,342.89
1216.0,342.99
1216.3,343.13
1216.6,343.26
1216.9,343.29
1217.2,343.42
1217.4,343.55
1217.7,343.63
1218.0,343.74
1218.3,343.85
1218.6,343.89
1218.9,343.94
1219.2,344.02
1219.4,344.18
1219.7,344.34
1220.0,344.43
1220.3,344.48
1220.6,344.55
1220.9,344.67
1221.2,344.75
1221.5,344.85
1221.8,344.96
1222.0,345.05
1222.3,345.15
1222.6,345.28
1222.9,345.34
1223.2,345.38
1223.5,345.52
1223.8,345.63
1224.1,345.72
1224.3,345.77
1224.6,345.86
1224.9,345.97
1225.2,346.06
1225.5,346.16
1225.8,346.24
1226.1,346.32
1226.4,346.43
1226.7,346.5
1227.0,346.58
1227.3,346.65
1227.5,346.68
1227.8,346.77
1228.1,346.92
1228.4,346.99
1228.7,347.06
1229.0,347.15
1229.3,347.18
1229.6,347.26
1229.9,347.37
1230.2,347.43
1230.4,347.55
1230.7,347.66
1231.0,347.76
1231.3,347.9
1231.6,347.97
1231.9,348.05
1232.2,348.17
1232.5,348.25
1232.8,348.38
1233.1,348.51
1233.4,348.58
1233.7,348.66
1234.0,348.78
1234.3,348.9
1234.6,349.01
1234.8,349.1
1235.1,349.23
1235.4,349.33
1235.7,349.39
1236.0,349.5
1236.3,349.65
1236.6,349.78
1236.9,349.9
1237.2,350.05
1237.5,350.18
1237.8,350.26
1238.1,350.33
1238.4,350.43
1238.7,350.59
1239.0,350.72
1239.3,350.8
1239.6,350.9
1239.9,351.02
1240.2,351.14
1240.5,351.26
1240.8,351.36
1241.1,351.49
1241.3,351.57
1241.7,351.64
1241.9,351.76
1242.2,351.89
1242.5,351.97
1242.8,352.07
1243.1,352.22
1243.4,352.36
1243.7,352.46
1244.0,352.56
1244.3,352.65
1244.6,352.75
1244.9,352.83
1245.2,352.93
1245.5,353.05
1245.8,353.17
1246.1,353.26
1246.4,353.35
1246.7,353.46
1247.0,353.57
1247.3,353.71
1247.6,353.8
1247.9,353.86
1248.2,353.99
1248.5,354.07
1248.8,354.17
1249.1,354.31
1249.4,354.4
1249.7,354.49
1250.0,354.6
1250.3,354.7
1250.6,354.8
1250.9,354.9
1251.2,354.99
1251.5,355.09
1251.8,355.21
1252.1,355.28
1252.4,355.41
1252.8,355.55
1253.1,355.66
1253.3,355.75
1253.7,355.82
1254.0,355.94
1254.3,356.05
1254.6,356.13
1254.9,356.25
1255.2,356.35
1255.5,356.41
1255.8,356.53
1256.1,356.65
1256.4,356.72
1256.7,356.79
1257.0,356.89
1257.3,357.02
1257.6,357.14
1257.9,357.24
1258.2,357.36
1258.5,357.49
1258.8,357.59
1259.1,357.63
1259.4,357.71
1259.8,357.84
1260.1,357.92
1260.4,358.0
1260.7,358.13
1261.0,358.26
1261.3,358.33
1261.6,358.33
1261.9,358.4
1262.2,358.53
1262.5,358.67
1262.8,358.81
1263.1,358.91
1263.4,359.0
1263.7,359.1
1264.1,359.21
1264.4,359.3
1264.7,359.39
1265.0,359.5
1265.3,359.57
1265.6,359.63
1265.9,359.71
1266.2,359.8
1266.5,359.91
1266.8,360.0
1267.1,360.1
1267.4,360.23
1267.8,360.37
1268.1,360.48
1268.4,360.52
1268.7,360.62
1269.0,360.77
1269.3,360.86
1269.6,360.89
1269.9,361.0
1270.2,361.15
1270.6,361.26
1270.9,361.33
1271.2,361.4
1271.5,361.47
1271.8,361.61
1272.1,361.75
1272.4,361.8
1272.7,361.87
1273.1,361.96
1273.4,362.12
1273.7,362.25
1274.0,362.31
1274.3,362.38
1274.6,362.49
1274.9,362.63
1275.2,362.75
1275.6,362.86
1275.9,362.96
1276.2,363.03
1276.5,363.1
1276.8,363.22
1277.1,363.3
1277.4,363.34
1277.8,363.44
1278.1,363.59
1278.4,363.71
1278.7,363.79
1279.0,363.89
1279.3,363.99
1279.7,364.11
1280.0,364.19
1280.3,364.29
1280.6,364.44
1280.9,364.57
1281.2,364.64
1281.6,364.74
1281.9,364.84
1282.2,364.93
1282.5,365.05
1282.8,365.14
1283.1,365.24
1283.4,365.34
1283.8,365.41
1284.1,365.5
1284.4,365.62
1284.7,365.72
1285.0,365.81
1285.4,365.92
1285.7,366.03
1286.0,366.13
1286.3,366.22
1286.6,366.33
1286.9,366.43
1287.3,366.53
1287.6,366.65
1287.9,366.75
1288.2,366.82
1288.6,366.93
1288.9,367.04
1289.2,367.1
1289.5,367.19
1289.8,367.32
1290.2,367.37
1290.5,367.48
1290.8,367.59
1291.1,367.65
1291.4,367.77
1291.8,367.92
1292.1,368.01
1292.4,368.11
1292.7,368.19
1293.1,368.33
1293.4,368.42
1293.7,368.49
1294.0,368.62
1294.3,368.69
1294.7,368.75
1295.0,368.88
1295.3,368.96
1295.6,369.01
1296.0,369.09
1296.3,369.21
1296.6,369.36
1296.9,369.45
1297.3,369.54
1297.6,369.68
1297.9,369.82
1298.2,369.89
1298.6,369.97
1298.9,370.05
1299.2,370.12
1299.5,370.22
1299.9,370.29
1300.2,370.38
1300.5,370.49
1300.8,370.53
1301.2,370.64
1301.5,370.75
1301.8,370.81
1302.1,370.91
1302.5,371.03
1302.8,371.11
1303.1,371.21
1303.4,371.31
1303.8,371.37
1304.1,371.43
1304.4,371.51
1304.8,371.61
1305.1,371.68
1305.4,371.78
1305.8,371.88
1306.1,371.95
1306.4,372.04
1306.7,372.13
1307.1,372.22
1307.4,372.3
1307.7,372.36
1308.1,372.42
1308.4,372.52
1308.7,372.62
1309.1,372.69
1309.4,372.77
1309.7,372.85
1310.0,372.97
1310.4,373.06
1310.7,373.15
1311.0,373.22
1311.4,373.26
1311.7,373.33
1312.0,373.43
1312.4,373.56
1312.7,373.69
1313.0,373.78
1313.4,373.86
1313.7,373.94
1314.0,374.02
1314.4,374.08
1314.7,374.19
