Composition,
Date Added,1998-06-26
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,TRO202
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,  TRO202g
Sample ID,CGEA02
Original Sample ID,EA-EAC-002-G
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,37.53
305.0,37.05
310.0,36.32
315.0,35.88
320.0,35.65
325.0,36.09
330.0,36.27
335.0,37.12
340.0,37.25
345.0,37.07
350.0,37.1
355.0,37.12
360.0,37.41
365.0,37.51
370.0,38.29
375.0,38.51
380.0,38.75
385.0,39.2
390.0,39.72
395.0,40.23
400.0,40.74
405.0,41.57
410.0,41.82
415.0,42.41
420.0,42.84
425.0,43.56
430.0,44.31
435.0,45.09
440.0,45.86
445.0,46.56
450.0,47.34
455.0,47.94
460.0,48.23
465.0,48.76
470.0,49.12
475.0,49.71
480.0,50.18
485.0,50.72
490.0,51.44
495.0,52.27
500.0,52.98
505.0,53.97
510.0,54.79
515.0,55.69
520.0,56.62
525.0,57.82
530.0,58.91
535.0,59.99
540.0,61.1
545.0,62.12
550.0,62.86
555.0,63.52
560.0,64.16
565.0,64.78
570.0,65.37
575.0,65.8
580.0,66.12
585.0,66.62
590.0,66.93
595.0,67.28
600.0,67.7
605.0,68.03
610.0,68.9
615.0,69.37
620.0,69.96
625.0,70.43
630.0,71.12
635.0,71.32
640.0,71.7
645.0,72.07
650.0,71.99
655.0,72.5
660.0,72.47
665.0,72.8
670.0,72.71
675.0,73.09
680.0,73.14
685.0,73.16
690.0,73.32
695.0,73.6
700.0,73.37
705.0,73.62
710.0,73.8
715.0,74.0
720.0,74.44
725.0,74.39
730.0,74.97
735.0,75.24
740.0,75.25
745.0,75.41
750.0,75.56
755.0,75.85
760.0,76.23
765.0,76.19
770.0,76.51
775.0,76.67
780.0,76.76
785.0,76.85
790.0,77.17
795.0,77.23
800.0,76.95
805.0,77.19
810.0,77.24
815.0,77.29
820.0,77.52
825.0,77.63
830.0,77.66
835.0,78.21
840.0,77.72
845.0,78.05
850.0,78.4
855.0,78.74
860.0,78.72
865.0,78.95
870.0,79.19
875.0,79.71
880.0,79.96
885.0,80.17
890.0,80.22
895.0,80.48
900.0,80.24
905.0,80.21
910.0,80.38
915.0,80.65
920.0,80.57
925.0,80.69
930.0,80.53
935.0,80.78
940.0,80.74
945.0,80.88
950.0,81.01
955.0,81.27
960.0,81.21
965.0,81.26
970.0,81.3
975.0,81.51
980.0,81.53
985.0,81.78
990.0,81.93
995.0,82.07
1000.0,82.03
1005.0,82.08
1010.0,82.26
1015.0,82.31
1020.0,82.36
1025.0,82.44
1030.0,82.69
1035.0,82.66
1040.0,82.8
1045.0,83.09
