Composition,
Date Added,1994-11-25
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,1800
Sample Name,JO3 
Maximum Wavelength,25920
Database of Origin,ReLab
Other Information,
References,
Resolution,9.0
Material Class,Rock
Sample Description,
Sample ID,N1OS14
Original Sample ID,OS-EAC-014
Viewing Geometry,
Wavelength,Response
1800.0,140.57
1800.7,139.98
1801.3,139.68
1801.9,139.89
1802.6,140.36
1803.2,140.54
1803.8,140.51
1804.4,140.99
1805.1,141.02
1805.7,140.01
1806.3,139.54
1806.9,139.81
1807.6,140.01
1808.2,139.84
1808.8,140.66
1809.5,140.54
1810.1,140.5
1810.7,140.26
1811.4,139.93
1812.0,139.97
1812.6,140.18
1813.3,140.01
1813.9,140.8
1814.5,141.31
1815.2,141.57
1815.8,141.13
1816.4,140.69
1817.1,140.9
1817.7,140.93
1818.4,141.13
1819.0,141.13
1819.6,140.22
1820.3,139.9
1820.9,140.13
1821.6,140.77
1822.2,140.65
1822.8,140.19
1823.5,140.34
1824.1,140.32
1824.8,140.55
1825.4,140.94
1826.0,140.72
1826.7,140.03
1827.3,139.66
1828.0,140.06
1828.6,140.32
1829.3,140.21
1829.9,139.75
1830.6,139.44
1831.2,139.35
1831.8,140.14
1832.5,140.95
1833.1,140.96
1833.8,140.76
1834.4,140.74
1835.1,140.05
1835.7,139.24
1836.4,139.36
1837.0,139.8
1837.7,139.93
1838.3,139.7
1839.0,140.42
1839.7,140.89
1840.3,140.67
1841.0,140.22
1841.6,139.87
1842.3,139.42
1842.9,140.34
1843.6,141.26
1844.2,140.98
1844.9,141.3
1845.5,141.2
1846.2,140.89
1846.9,140.28
1847.5,139.42
1848.2,139.02
1848.8,139.45
1849.5,139.89
1850.2,139.71
1850.8,139.64
1851.5,140.44
1852.1,140.99
1852.8,140.66
1853.5,140.11
1854.1,139.9
1854.8,139.7
1855.5,140.21
1856.1,140.95
1856.8,140.27
1857.4,139.74
1858.1,140.35
1858.8,140.83
1859.4,141.12
1860.1,140.39
1860.8,139.89
1861.4,140.19
1862.1,140.28
1862.8,140.76
1863.5,141.18
1864.1,140.31
1864.8,140.13
1865.5,140.12
1866.1,139.86
1866.8,140.2
1867.5,140.5
1868.2,140.11
1868.8,139.9
1869.5,140.15
1870.2,140.13
1870.9,139.58
1871.5,138.64
1872.2,139.32
1872.9,140.2
1873.6,139.47
1874.2,139.55
1874.9,140.28
1875.6,140.85
1876.3,140.81
1876.9,140.43
1877.6,140.01
1878.3,140.31
1879.0,140.3
1879.7,140.61
1880.4,140.54
1881.0,140.54
1881.7,140.63
1882.4,140.93
1883.1,141.24
1883.8,140.65
1884.5,139.59
1885.1,140.08
1885.8,140.65
1886.5,140.61
1887.2,140.52
1887.9,140.36
1888.6,140.71
1889.3,140.56
1890.0,140.33
1890.6,139.93
1891.3,139.82
1892.0,139.65
1892.7,139.44
1893.4,139.73
1894.1,140.12
1894.8,140.48
1895.5,140.61
1896.2,139.77
1896.9,139.55
1897.6,139.91
1898.3,139.48
1899.0,139.06
1899.6,139.12
1900.3,139.08
1901.0,139.32
1901.7,140.08
1902.4,140.0
1903.1,139.24
1903.8,138.92
1904.5,139.38
1905.2,139.68
1905.9,139.32
1906.6,138.89
1907.3,138.44
1908.0,139.13
1908.7,139.78
1909.4,139.3
1910.1,139.17
1910.8,138.76
1911.6,138.94
1912.3,139.09
1913.0,139.3
1913.7,138.84
1914.4,138.75
1915.1,139.09
1915.8,139.14
1916.5,139.41
1917.2,140.03
1917.9,139.71
1918.6,139.25
1919.3,139.16
1920.0,138.97
1920.8,138.88
1921.5,138.87
1922.2,138.9
1922.9,139.7
1923.6,139.98
1924.3,139.27
1925.0,139.14
1925.8,139.46
1926.5,139.11
1927.2,139.25
1927.9,139.77
1928.6,139.26
1929.3,138.8
1930.1,139.48
1930.8,139.71
1931.5,139.87
1932.2,139.74
1932.9,139.89
1933.7,139.82
1934.4,139.53
1935.1,139.4
1935.8,139.16
1936.5,138.97
1937.3,139.03
1938.0,139.14
1938.7,139.23
1939.4,139.52
1940.2,139.91
1940.9,139.6
1941.6,139.61
1942.4,139.7
1943.1,139.72
1943.8,139.82
1944.5,139.6
1945.3,139.32
1946.0,139.47
1946.7,139.6
1947.5,139.58
1948.2,139.74
1948.9,139.72
1949.7,139.53
1950.4,139.55
1951.1,139.56
1951.9,139.75
1952.6,140.08
1953.3,139.9
1954.1,139.83
1954.8,139.54
1955.5,139.73
1956.3,139.95
1957.0,139.77
1957.8,139.98
1958.5,140.02
1959.2,140.13
1960.0,140.31
1960.7,139.8
1961.5,139.62
1962.2,139.9
1962.9,139.97
1963.7,139.92
1964.4,139.43
1965.2,139.68
1965.9,139.81
1966.7,140.11
1967.4,140.1
1968.2,139.62
1968.9,140.09
1969.7,140.12
1970.4,139.76
1971.2,140.12
1971.9,140.4
1972.7,139.77
1973.4,139.48
1974.2,139.74
1974.9,139.92
1975.7,139.85
1976.4,139.68
1977.2,140.02
1977.9,140.18
1978.7,140.07
1979.4,140.16
1980.2,140.3
1980.9,140.05
1981.7,140.03
1982.5,140.26
1983.2,140.3
1984.0,140.08
1984.7,140.33
1985.5,140.25
1986.3,140.05
1987.0,139.97
1987.8,139.74
1988.5,139.66
1989.3,139.49
1990.1,139.63
1990.8,140.02
1991.6,140.12
1992.4,140.3
1993.1,140.11
1993.9,140.09
1994.7,140.33
1995.4,140.09
1996.2,139.94
1997.0,140.17
1997.7,140.17
1998.5,140.07
1999.3,140.07
2000.1,140.23
2000.8,140.66
2001.6,140.5
