Composition,
Date Added,1988-10-26
Formula,
Grain Size Description,<90.0um
Grain Size,45.0 - 90.0
Locality,
Minimum Wavelength,340
Sample Name,AWA101
Maximum Wavelength,2700
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,Wet seived. Probably heavily oxidized.  
Sample ID,C1SC14
Original Sample ID,SC-EAC-014
Viewing Geometry,0.0° / -15.0°
Wavelength,Response
340.0,79.44
345.0,82.4
350.0,85.68
355.0,86.76
360.0,88.21
365.0,87.88
370.0,88.35
375.0,89.41
380.0,90.06
385.0,90.41
390.0,91.83
395.0,92.63
400.0,94.27
405.0,95.53
410.0,96.72
415.0,97.1
420.0,98.09
425.0,98.56
430.0,99.28
435.0,100.11
440.0,100.43
445.0,102.05
450.0,101.73
455.0,102.51
460.0,102.86
465.0,103.31
470.0,103.76
475.0,103.89
480.0,104.74
485.0,104.82
490.0,105.75
495.0,105.57
500.0,105.98
505.0,106.26
510.0,106.08
515.0,107.14
520.0,107.28
525.0,107.78
530.0,107.47
535.0,107.77
540.0,108.35
545.0,108.7
550.0,108.79
555.0,108.83
560.0,108.62
565.0,108.82
570.0,109.14
575.0,109.09
580.0,109.91
585.0,109.33
590.0,110.0
595.0,110.73
600.0,109.92
605.0,110.38
610.0,110.98
615.0,110.55
620.0,110.07
625.0,110.5
630.0,110.13
635.0,110.61
640.0,110.42
645.0,110.87
650.0,111.31
655.0,111.17
660.0,110.88
665.0,110.24
670.0,111.29
675.0,110.95
680.0,111.43
685.0,111.75
690.0,112.02
695.0,111.23
700.0,111.92
705.0,111.88
710.0,111.8
715.0,112.85
720.0,112.05
725.0,111.81
730.0,112.52
735.0,112.54
740.0,112.73
745.0,112.9
750.0,112.16
755.0,112.28
760.0,112.91
765.0,113.84
770.0,112.63
775.0,112.95
780.0,113.03
785.0,112.86
790.0,114.16
795.0,113.54
800.0,112.87
805.0,113.17
810.0,113.48
815.0,113.94
820.0,114.01
825.0,113.34
830.0,113.72
835.0,113.56
840.0,113.85
845.0,113.42
850.0,113.57
855.0,113.53
860.0,113.48
865.0,113.71
870.0,113.19
875.0,113.11
880.0,113.3
885.0,113.34
890.0,113.18
895.0,112.9
900.0,113.34
905.0,113.42
910.0,113.27
915.0,112.99
920.0,113.65
925.0,112.12
930.0,112.58
935.0,112.18
940.0,112.39
945.0,112.89
950.0,112.49
955.0,112.59
960.0,112.38
965.0,112.76
970.0,112.56
975.0,112.77
980.0,112.73
985.0,112.86
990.0,112.79
995.0,112.93
1000.0,112.24
1005.0,112.28
1010.0,112.71
1015.0,112.07
1020.0,111.6
1025.0,110.99
1030.0,110.96
1035.0,111.32
1040.0,111.33
1045.0,111.13
1050.0,110.48
1055.0,110.88
1060.0,110.72
1065.0,110.51
1070.0,110.68
1075.0,110.33
1080.0,110.35
1085.0,109.78
1090.0,109.3
1095.0,109.52
1100.0,109.35
1105.0,109.8
1110.0,110.21
1115.0,110.19
1120.0,110.13
1125.0,110.11
1130.0,109.91
1135.0,110.19
1140.0,110.56
1145.0,110.6
1150.0,111.04
1155.0,111.07
1160.0,110.36
1165.0,110.81
1170.0,110.47
1175.0,110.47
1180.0,110.53
1185.0,111.21
1190.0,111.4
1195.0,111.34
1200.0,111.8
1205.0,111.45
1210.0,111.61
1215.0,111.75
1220.0,111.87
1225.0,111.77
1230.0,111.54
1235.0,111.64
1240.0,110.95
1245.0,110.86
1250.0,110.8
1255.0,110.54
1260.0,110.25
1265.0,109.99
1270.0,110.72
1275.0,110.77
1280.0,110.77
1285.0,111.25
1290.0,111.06
1295.0,110.81
1300.0,111.65
1305.0,111.71
1310.0,111.77
1315.0,111.52
1320.0,111.8
1325.0,112.51
1330.0,112.31
1335.0,112.55
1340.0,112.65
1345.0,112.67
1350.0,111.95
1355.0,112.26
1360.0,112.28
1365.0,112.14
1370.0,111.99
1375.0,112.27
1380.0,111.84
1385.0,111.88
1390.0,111.65
1395.0,111.72
1400.0,111.28
1405.0,110.86
1410.0,111.42
1415.0,111.96
1420.0,111.37
1425.0,111.53
1430.0,112.01
1435.0,112.54
1440.0,112.92
1445.0,112.64
1450.0,112.43
1455.0,113.18
1460.0,114.08
1465.0,114.62
1470.0,114.26
1475.0,114.85
1480.0,114.12
1485.0,114.3
1490.0,113.04
1495.0,113.45
1500.0,113.42
1505.0,113.38
1510.0,113.7
1515.0,113.68
1520.0,113.7
1525.0,114.06
1530.0,114.47
1535.0,114.17
1540.0,114.39
1545.0,114.42
1550.0,114.57
1555.0,114.63
1560.0,114.99
1565.0,114.34
1570.0,114.63
1575.0,115.37
1580.0,115.38
1585.0,115.58
1590.0,115.64
1595.0,115.83
1600.0,115.96
1605.0,115.92
1610.0,116.09
1615.0,116.7
1620.0,116.81
1625.0,116.58
1630.0,116.68
1635.0,116.7
1640.0,116.12
1645.0,115.63
1650.0,116.41
1655.0,116.31
1660.0,115.57
1665.0,115.8
1670.0,116.76
1675.0,116.1
1680.0,115.1
1685.0,115.11
1690.0,114.59
1695.0,114.28
1700.0,114.14
1705.0,114.88
1710.0,113.95
1715.0,114.14
1720.0,114.97
1725.0,114.72
1730.0,114.4
1735.0,115.3
1740.0,115.44
1745.0,114.74
1750.0,115.35
1755.0,114.98
1760.0,114.6
1765.0,114.41
1770.0,114.96
1775.0,115.06
1780.0,114.87
1785.0,115.02
1790.0,113.92
1795.0,114.3
1800.0,114.31
1805.0,114.64
1810.0,114.92
1815.0,114.7
1820.0,115.87
1825.0,116.08
1830.0,115.77
1835.0,115.83
1840.0,115.98
1845.0,115.67
1850.0,116.28
1855.0,116.63
1860.0,116.86
1865.0,117.31
1870.0,116.74
1875.0,117.33
1880.0,118.29
1885.0,118.1
1890.0,118.03
1895.0,117.88
1900.0,117.44
1905.0,117.41
1910.0,117.3
1915.0,118.18
1920.0,118.46
1925.0,118.24
1930.0,119.48
1935.0,118.94
1940.0,119.22
1945.0,119.45
1950.0,119.13
1955.0,118.83
1960.0,118.48
1965.0,118.04
1970.0,117.61
1975.0,118.09
1980.0,119.13
1985.0,119.75
1990.0,119.99
1995.0,119.36
2000.0,120.75
2005.0,121.46
2010.0,121.41
2015.0,120.44
2020.0,119.47
2025.0,118.92
2030.0,119.33
2035.0,119.03
2040.0,119.42
2045.0,120.47
2050.0,119.95
2055.0,119.81
2060.0,120.44
2065.0,120.42
2070.0,120.44
2075.0,120.55
2080.0,120.53
2085.0,120.5
2090.0,121.3
2095.0,121.76
2100.0,122.16
2105.0,122.47
2110.0,122.82
2115.0,123.84
2120.0,124.02
2125.0,124.34
2130.0,124.14
2135.0,122.61
2140.0,122.81
2145.0,122.84
2150.0,123.0
2155.0,123.41
2160.0,123.21
2165.0,123.18
2170.0,123.12
2175.0,123.06
2180.0,122.79
2185.0,122.56
2190.0,122.31
2195.0,122.16
2200.0,122.79
2205.0,123.32
2210.0,123.03
2215.0,124.11
2220.0,124.11
2225.0,125.73
2230.0,124.53
2235.0,124.02
2240.0,123.42
2245.0,123.5
2250.0,123.76
2255.0,123.85
2260.0,124.12
2265.0,123.82
2270.0,123.1
2275.0,123.16
2280.0,122.94
2285.0,123.37
2290.0,124.3
2295.0,123.65
2300.0,124.0
2305.0,124.98
2310.0,125.17
2315.0,125.29
2320.0,125.79
2325.0,125.72
2330.0,126.14
2335.0,127.37
2340.0,126.87
2345.0,126.39
2350.0,126.74
2355.0,127.07
2360.0,127.72
2365.0,128.08
2370.0,128.3
2375.0,128.43
2380.0,128.16
2385.0,127.29
2390.0,128.09
2395.0,128.85
2400.0,128.03
2405.0,128.24
2410.0,128.72
2415.0,127.89
2420.0,128.66
2425.0,129.48
2430.0,130.2
2435.0,130.25
2440.0,129.76
2445.0,129.81
2450.0,130.27
2455.0,128.9
2460.0,128.02
2465.0,128.53
2470.0,128.54
2475.0,128.96
2480.0,128.93
2485.0,128.12
2490.0,127.92
2495.0,127.9
2500.0,128.22
2505.0,128.52
2510.0,128.93
2515.0,129.78
2520.0,129.86
2525.0,130.13
2530.0,129.78
2535.0,130.26
2540.0,131.87
2545.0,130.91
2550.0,131.35
2555.0,132.64
2560.0,130.62
2565.0,131.21
2570.0,132.98
2575.0,132.25
2580.0,132.04
2585.0,130.31
2590.0,129.99
2595.0,131.11
2600.0,133.48
2605.0,131.79
2610.0,135.28
2615.0,131.63
2620.0,132.9
2625.0,133.71
2630.0,130.04
2635.0,133.19
2640.0,132.53
2645.0,132.3
2650.0,133.03
2655.0,132.9
2660.0,133.67
2665.0,133.33
2670.0,133.41
2675.0,134.76
2680.0,133.59
2685.0,133.3
2690.0,132.03
2695.0,128.96
2700.0,124.83
