Composition,
Date Added,2004-12-17
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,SPT119
Maximum Wavelength,49859
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,Obtained form Minerals Unlimite   Dry-sieved. 
Sample ID,BKR1SF033A
Original Sample ID,SF-EAC-033-A
Viewing Geometry,
Wavelength,Response
300.0,48.31
305.0,39.18
310.0,33.62
315.0,30.07
320.0,28.99
325.0,28.29
330.0,28.6
335.0,29.48
340.0,32.89
345.0,37.85
350.0,45.38
355.0,58.73
360.0,77.53
365.0,106.55
370.0,145.55
375.0,194.72
380.0,260.38
385.0,331.8
390.0,403.14
395.0,485.13
400.0,577.35
405.0,643.99
410.0,675.63
415.0,689.46
420.0,681.4
425.0,640.92
430.0,655.33
435.0,728.3
440.0,807.25
445.0,814.15
450.0,840.13
455.0,850.53
460.0,855.12
465.0,857.71
470.0,858.14
475.0,858.35
480.0,857.18
485.0,856.94
490.0,854.46
495.0,852.84
500.0,849.23
505.0,846.69
510.0,842.58
515.0,839.71
520.0,836.03
525.0,833.27
530.0,830.37
535.0,828.33
540.0,826.37
545.0,825.25
550.0,824.79
555.0,824.73
560.0,824.95
565.0,825.64
570.0,827.4
575.0,829.33
580.0,831.71
585.0,835.0
590.0,838.68
595.0,842.81
600.0,846.72
605.0,851.26
610.0,855.18
615.0,859.81
620.0,862.97
625.0,867.11
630.0,870.02
635.0,873.1
640.0,874.86
645.0,876.8
650.0,877.55
655.0,878.13
660.0,878.33
665.0,877.87
670.0,877.1
675.0,875.45
680.0,874.22
685.0,872.19
690.0,870.07
695.0,867.14
700.0,864.85
705.0,861.51
710.0,858.09
715.0,854.71
720.0,851.09
725.0,847.72
730.0,844.29
735.0,841.64
740.0,838.5
745.0,836.72
750.0,834.42
755.0,833.19
760.0,831.97
765.0,831.53
770.0,831.51
775.0,831.37
780.0,831.82
785.0,832.22
790.0,833.7
795.0,834.32
800.0,836.54
805.0,838.04
810.0,840.58
815.0,842.41
820.0,844.87
825.0,847.27
830.0,850.14
835.0,852.9
840.0,855.85
845.0,858.52
850.0,861.51
855.0,864.85
860.0,867.59
865.0,871.17
870.0,874.02
875.0,876.72
880.0,877.76
885.0,880.1
890.0,881.06
895.0,882.64
900.0,883.92
905.0,886.11
910.0,887.34
915.0,888.47
920.0,890.1
925.0,891.07
930.0,892.3
935.0,892.55
940.0,893.71
945.0,893.79
950.0,894.12
955.0,893.47
960.0,894.01
965.0,893.97
970.0,894.95
975.0,895.26
980.0,896.72
985.0,896.22
990.0,896.68
995.0,895.96
1000.0,895.72
1005.0,895.02
1010.0,895.54
1015.0,895.58
1020.0,896.08
1025.0,896.77
1030.0,896.79
1035.0,897.71
1040.0,897.84
1045.0,898.3
1050.0,898.2
1055.0,898.69
1060.0,898.03
1065.0,898.14
1070.0,898.2
1075.0,898.52
1080.0,898.68
1085.0,898.66
1090.0,898.23
1095.0,897.78
1100.0,897.26
1105.0,897.71
1110.0,898.07
1115.0,897.71
1120.0,897.91
1125.0,897.9
1130.0,896.85
1135.0,896.65
1140.0,895.76
1145.0,894.64
1150.0,892.22
1155.0,891.4
1160.0,890.19
1165.0,889.98
1170.0,889.22
1175.0,889.69
1180.0,888.34
1185.0,886.43
1190.0,884.62
1195.0,883.04
1200.0,881.02
1205.0,879.9
1210.0,879.02
1215.0,877.72
1220.0,877.17
1225.0,875.67
1230.0,873.63
1235.0,871.71
1240.0,871.43
1245.0,870.12
1250.0,869.56
1255.0,869.01
1260.0,868.25
1265.0,866.68
1270.0,864.87
1275.0,863.97
1280.0,862.75
1285.0,862.3
1290.0,861.27
1295.0,860.47
1300.0,859.32
1300.5,859.25
1300.8,859.2
1301.2,859.18
1301.5,859.13
1301.8,858.98
1302.1,858.89
1302.5,858.88
1302.8,858.82
1303.1,858.75
1303.4,858.66
1303.8,858.6
1304.1,858.5
1304.4,858.38
1304.8,858.35
1305.1,858.24
1305.4,858.18
1305.8,858.21
1306.1,858.18
1306.4,858.1
1306.7,858.04
1307.1,857.96
1307.4,857.9
1307.7,857.84
1308.1,857.74
1308.4,857.64
1308.7,857.57
1309.1,857.54
1309.4,857.58
1309.7,857.49
1310.0,857.33
1310.4,857.22
1310.7,857.15
1311.0,857.11
1311.4,857.05
1311.7,856.97
1312.0,856.92
1312.4,856.79
1312.7,856.69
1313.0,856.67
1313.4,856.6
1313.7,856.5
1314.0,856.36
1314.4,856.29
1314.7,856.21
1315.0,856.17
1315.4,856.17
1315.7,856.01
1316.0,855.86
1316.4,855.82
1316.7,855.8
1317.0,855.7
1317.4,855.64
1317.7,855.59
1318.0,855.5
1318.4,855.32
1318.7,855.21
1319.0,855.24
1319.4,855.17
1319.7,855.04
1320.1,854.99
1320.4,854.93
1320.7,854.82
1321.1,854.75
1321.4,854.58
