Composition,
Date Added,2002-04-22
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,SPT140
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,Spectral properties of possible Mar surface materials
Sample ID,CASF54
Original Sample ID,SF-EAC-054-A
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,110.04
305.0,106.45
310.0,107.03
315.0,111.25
320.0,117.17
325.0,125.39
330.0,135.29
335.0,147.95
340.0,163.31
345.0,181.72
350.0,204.4
355.0,229.36
360.0,256.24
365.0,283.74
370.0,311.04
375.0,339.21
380.0,364.5
385.0,390.38
390.0,416.63
395.0,447.26
400.0,480.44
405.0,506.9
410.0,528.49
415.0,542.76
420.0,548.02
425.0,542.87
430.0,525.83
435.0,528.66
440.0,553.11
445.0,576.28
450.0,593.0
455.0,605.93
460.0,615.62
465.0,624.46
470.0,632.06
475.0,640.95
480.0,648.53
485.0,656.61
490.0,665.31
495.0,672.1
500.0,679.72
505.0,687.53
510.0,694.0
515.0,701.64
520.0,707.87
525.0,715.34
530.0,721.15
535.0,727.83
540.0,733.23
545.0,738.79
550.0,743.69
555.0,748.37
560.0,752.57
565.0,756.56
570.0,760.04
575.0,763.07
580.0,763.92
585.0,766.93
590.0,769.09
595.0,770.08
600.0,771.76
605.0,772.99
610.0,772.81
615.0,773.97
620.0,775.3
625.0,776.43
630.0,775.64
635.0,777.62
640.0,776.71
645.0,777.99
650.0,778.12
655.0,778.84
660.0,779.27
665.0,779.2
670.0,779.56
675.0,780.4
680.0,779.65
685.0,779.84
690.0,779.44
695.0,779.18
700.0,779.02
705.0,778.65
710.0,778.51
715.0,777.87
720.0,776.28
725.0,775.65
730.0,775.17
735.0,773.17
740.0,771.94
745.0,771.63
750.0,769.98
755.0,770.62
760.0,769.56
765.0,767.83
770.0,766.53
775.0,764.23
780.0,763.71
785.0,761.46
790.0,761.56
795.0,760.2
800.0,758.92
805.0,758.51
810.0,757.83
815.0,755.58
820.0,754.57
825.0,754.9
830.0,752.01
835.0,751.3
840.0,751.49
845.0,748.65
850.0,748.38
855.0,749.73
860.0,748.5
865.0,747.09
870.0,747.01
875.0,746.68
880.0,745.44
885.0,745.37
890.0,745.03
895.0,745.67
900.0,744.7
905.0,744.98
910.0,744.69
915.0,744.93
920.0,745.44
925.0,745.28
930.0,745.36
935.0,744.45
940.0,745.23
945.0,745.24
950.0,746.17
955.0,747.33
960.0,746.44
965.0,747.21
970.0,748.14
975.0,747.25
980.0,747.5
985.0,747.21
990.0,748.31
995.0,748.05
1000.0,748.77
1005.0,749.91
1010.0,749.31
1015.0,749.97
1020.0,751.29
1025.0,751.0
1030.0,752.39
1035.0,753.58
1040.0,752.49
1045.0,752.27
1050.0,754.76
1055.0,755.58
1060.0,754.9
1065.0,754.07
1070.0,755.43
1075.0,755.39
1080.0,754.62
1085.0,755.95
1090.0,755.74
1095.0,756.5
1100.0,754.81
1105.0,755.97
1110.0,756.33
1115.0,756.18
1120.0,756.9
1125.0,756.76
1130.0,756.24
1135.0,756.56
1140.0,756.48
1145.0,756.46
1150.0,756.93
1155.0,754.92
1160.0,755.04
1165.0,753.9
1170.0,753.66
1175.0,752.58
1180.0,754.54
1185.0,752.17
1190.0,753.19
1195.0,753.52
1200.0,752.99
1205.0,754.06
1210.0,752.5
1215.0,753.33
1220.0,752.33
1225.0,753.6
1230.0,753.1
1235.0,752.47
1240.0,751.8
1245.0,752.02
1250.0,752.85
1255.0,751.57
1260.0,751.37
1265.0,751.3
1270.0,751.99
1275.0,751.09
1280.0,750.21
1285.0,750.22
1290.0,750.03
1295.0,749.2
1300.0,749.16
1305.0,748.71
1310.0,749.49
1315.0,748.13
1320.0,746.69
1325.0,747.33
1330.0,745.47
1335.0,744.83
1340.0,743.57
1345.0,742.65
1350.0,741.17
1355.0,738.91
1360.0,737.86
1365.0,736.66
1370.0,735.28
1375.0,734.75
1380.0,732.34
1385.0,731.01
1390.0,728.83
1395.0,723.89
1400.0,720.79
1405.0,714.62
1410.0,707.51
1415.0,696.56
1420.0,687.85
1425.0,678.49
1430.0,669.33
1435.0,659.41
1440.0,654.93
1445.0,653.44
1450.0,652.85
1455.0,653.33
1460.0,654.81
1465.0,653.79
1470.0,654.76
1475.0,654.28
1480.0,652.86
1485.0,652.36
1490.0,651.96
1495.0,652.05
1500.0,651.8
1505.0,652.05
1510.0,651.69
1515.0,652.09
1520.0,650.6
1525.0,649.82
1530.0,648.27
1535.0,646.58
1540.0,643.81
1545.0,642.84
1550.0,640.94
1555.0,638.88
1560.0,637.34
1565.0,634.57
1570.0,633.82
1575.0,631.78
1580.0,629.17
1585.0,628.04
1590.0,625.36
1595.0,624.16
1600.0,621.68
1605.0,619.22
1610.0,617.64
1615.0,615.61
1620.0,613.8
1625.0,611.39
1630.0,609.63
1635.0,606.51
1640.0,605.0
1645.0,603.18
1650.0,600.59
1655.0,599.82
1660.0,596.91
1665.0,595.45
1670.0,592.41
1675.0,589.56
1680.0,587.9
1685.0,585.09
1690.0,581.57
1695.0,579.78
1700.0,577.08
1705.0,574.68
1710.0,572.17
1715.0,569.86
1720.0,567.5
