Composition,
Date Added,2002-04-16
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,SRP119
Maximum Wavelength,25921
Database of Origin,ReLab
Other Information,
References,
Resolution,11.0
Material Class,Mineral
Sample Description,Spectral properties of possible Mars surface materials
Sample ID,LASR24
Original Sample ID,SR-EAC-024
Viewing Geometry,
Wavelength,Response
300.0,115.23
305.0,120.0
310.0,128.21
315.0,137.22
320.0,144.27
325.0,152.09
330.0,159.67
335.0,168.65
340.0,178.35
345.0,189.56
350.0,204.2
355.0,220.15
360.0,232.27
365.0,240.88
370.0,255.08
375.0,267.21
380.0,277.32
385.0,284.65
390.0,300.59
395.0,315.23
400.0,323.78
405.0,328.15
410.0,330.17
415.0,332.81
420.0,336.48
425.0,339.75
430.0,342.59
435.0,346.8
440.0,353.36
445.0,362.84
450.0,371.45
455.0,377.46
460.0,384.85
465.0,395.55
470.0,409.93
475.0,421.12
480.0,429.66
485.0,435.65
490.0,441.21
495.0,446.49
500.0,452.48
505.0,458.97
510.0,463.59
515.0,468.19
520.0,473.22
525.0,477.81
530.0,482.04
535.0,485.62
540.0,489.07
545.0,491.45
550.0,493.81
555.0,495.89
560.0,498.53
565.0,500.1
570.0,501.6
575.0,503.12
580.0,504.84
585.0,506.64
590.0,508.11
595.0,509.17
600.0,510.27
605.0,509.56
610.0,510.91
615.0,511.63
620.0,511.69
625.0,512.42
630.0,512.04
635.0,512.55
640.0,511.88
645.0,511.74
650.0,511.05
655.0,510.45
660.0,509.59
665.0,508.95
670.0,507.81
675.0,506.88
680.0,506.81
685.0,505.06
690.0,504.74
695.0,502.97
700.0,502.26
705.0,500.43
710.0,500.13
715.0,498.44
720.0,498.14
725.0,497.4
730.0,496.52
735.0,496.34
740.0,495.7
745.0,496.47
750.0,495.41
755.0,496.13
760.0,496.81
765.0,496.36
770.0,497.66
775.0,499.45
780.0,500.03
785.0,499.5
790.0,502.13
795.0,502.74
800.0,503.28
805.0,503.35
810.0,505.3
815.0,504.74
820.0,505.25
825.0,504.01
830.0,505.58
835.0,506.09
840.0,504.62
845.0,504.8
850.0,504.12
855.0,503.96
860.0,504.19
865.0,503.02
870.0,501.63
875.0,501.95
880.0,499.97
885.0,498.55
890.0,499.3
895.0,499.4
900.0,497.56
905.0,497.72
910.0,497.87
915.0,497.28
920.0,496.81
925.0,497.45
930.0,498.02
935.0,497.52
940.0,496.75
945.0,495.14
950.0,496.21
955.0,496.22
960.0,497.37
965.0,497.65
970.0,499.95
975.0,499.8
980.0,499.2
985.0,501.45
990.0,500.81
995.0,502.2
1000.0,500.22
1005.0,500.3
1010.0,501.56
1015.0,501.71
1020.0,501.04
1025.0,500.86
1030.0,501.13
1035.0,500.62
1040.0,501.19
1045.0,499.53
1050.0,500.03
1055.0,499.35
1060.0,500.05
1065.0,498.74
1070.0,498.72
1075.0,498.74
1080.0,497.67
1085.0,497.77
1090.0,497.67
1095.0,495.9
1100.0,497.18
1105.0,497.17
1110.0,496.15
1115.0,497.14
1120.0,496.18
1125.0,496.64
1130.0,497.23
1135.0,497.26
1140.0,497.26
1145.0,498.23
1150.0,497.18
1155.0,498.82
1160.0,498.97
1165.0,497.78
1170.0,498.63
1175.0,499.56
1180.0,499.83
1185.0,500.36
1190.0,500.88
1195.0,501.5
1200.0,502.62
1205.0,503.22
1210.0,504.97
1215.0,503.64
1220.0,505.27
1225.0,506.01
1230.0,506.75
1235.0,506.68
1240.0,506.68
1245.0,508.01
1250.0,508.52
1255.0,509.2
1260.0,508.68
1265.0,508.9
1270.0,509.91
1275.0,509.81
1280.0,509.23
1285.0,508.83
1290.0,509.44
1295.0,511.17
1300.0,512.61
1305.0,513.82
1310.0,514.59
1315.0,515.26
1320.0,515.19
1325.0,516.77
1330.0,516.4
1335.0,517.37
1340.0,517.54
1345.0,518.01
1350.0,516.75
1355.0,514.92
1360.0,510.51
1365.0,508.61
1370.0,513.0
1375.0,511.05
1380.0,493.42
1385.0,449.59
1390.0,445.45
1395.0,429.34
1400.0,459.9
1405.0,487.36
1410.0,500.6
1415.0,509.29
1420.0,511.01
1425.0,511.05
1430.0,513.68
1435.0,515.38
1440.0,516.1
1445.0,517.58
1450.0,519.17
1455.0,519.37
1460.0,520.84
1465.0,521.58
1470.0,522.41
1475.0,522.74
1480.0,523.56
1485.0,523.45
1490.0,524.19
1495.0,525.65
1500.0,525.06
1505.0,526.74
1510.0,527.07
1515.0,526.55
1520.0,528.07
1525.0,528.74
1530.0,529.48
1535.0,528.87
1540.0,529.7
1545.0,529.57
1550.0,530.3
1555.0,530.0
1560.0,529.61
1565.0,531.21
1570.0,531.63
1575.0,531.28
1580.0,531.41
1585.0,531.77
1590.0,531.85
1595.0,532.37
1600.0,532.85
1605.0,532.32
1610.0,532.62
1615.0,532.93
1620.0,533.64
1625.0,532.58
1630.0,533.51
1635.0,532.75
1640.0,533.67
1645.0,533.43
1650.0,532.09
1655.0,533.87
1660.0,533.6
1665.0,533.99
1670.0,533.69
1675.0,534.2
1680.0,533.8
1685.0,533.04
1690.0,533.32
1695.0,533.73
1700.0,533.27
1705.0,533.5
1710.0,533.06
1715.0,533.63
1720.0,533.75
1725.0,532.45
1730.0,532.57
1735.0,530.82
1740.0,531.29
1745.0,530.75
1750.0,530.76
1755.0,530.75
1760.0,531.68
1765.0,530.1
1770.0,530.6
1775.0,530.1
1780.0,529.58
1785.0,529.96
1790.0,528.88
1795.0,528.51
