Composition,
Date Added,1996-07-20
Formula,
Grain Size Description,<0.0um
Grain Size,0.0 - 0.0
Locality,
Minimum Wavelength,1800
Sample Name,AL-1E 
Maximum Wavelength,25920
Database of Origin,ReLab
Other Information,
References,
Resolution,9.0
Material Class,Rock
Sample Description,"Outcrop section 29, T5S R10W, Martin place  34.40N, 87.42W Russellville.Upper Mississippi, Hertselle sandstone. "
Sample ID,MASS34E
Original Sample ID,SS-EAC-034-E
Viewing Geometry,
Wavelength,Response
1800.0,194.7
1800.7,194.46
1801.3,194.84
1801.9,194.72
1802.6,194.32
1803.2,194.15
1803.8,194.23
1804.4,193.99
1805.1,194.09
1805.7,194.06
1806.3,194.29
1806.9,194.05
1807.6,194.04
1808.2,193.89
1808.8,194.2
1809.5,194.55
1810.1,193.97
1810.7,193.57
1811.4,193.72
1812.0,194.16
1812.6,194.04
1813.3,193.63
1813.9,193.93
1814.5,194.04
1815.2,194.06
1815.8,194.26
1816.4,194.38
1817.1,193.8
1817.7,193.96
1818.4,194.31
1819.0,194.53
1819.6,194.52
1820.3,194.19
1820.9,194.19
1821.6,194.04
1822.2,193.3
1822.8,193.32
1823.5,193.59
1824.1,194.07
1824.8,194.05
1825.4,194.14
1826.0,194.02
1826.7,193.77
1827.3,193.26
1828.0,193.43
1828.6,194.16
1829.3,194.0
1829.9,194.08
1830.6,194.43
1831.2,193.65
1831.8,193.23
1832.5,193.1
1833.1,193.38
1833.8,193.53
1834.4,193.94
1835.1,194.0
1835.7,193.51
1836.4,192.92
1837.0,193.15
1837.7,193.08
1838.3,193.3
1839.0,193.37
1839.7,193.44
1840.3,193.53
1841.0,193.44
1841.6,193.32
1842.3,193.04
1842.9,193.13
1843.6,193.28
1844.2,193.06
1844.9,193.22
1845.5,193.43
1846.2,193.33
1846.9,192.95
1847.5,192.73
1848.2,193.01
1848.8,193.39
1849.5,192.79
1850.2,193.11
1850.8,193.16
1851.5,193.0
1852.1,193.14
1852.8,192.77
1853.5,192.88
1854.1,193.08
1854.8,192.84
1855.5,192.75
1856.1,192.97
1856.8,193.37
1857.4,192.79
1858.1,192.3
1858.8,192.45
1859.4,192.85
1860.1,192.79
1860.8,193.14
1861.4,192.76
1862.1,192.58
1862.8,192.63
1863.5,192.88
1864.1,192.58
1864.8,192.53
1865.5,192.7
1866.1,192.44
1866.8,192.34
1867.5,192.15
1868.2,191.99
1868.8,192.0
1869.5,191.85
1870.2,192.15
1870.9,192.68
1871.5,192.56
1872.2,192.04
1872.9,191.62
1873.6,191.91
1874.2,192.34
1874.9,192.19
1875.6,191.84
1876.3,191.94
1876.9,191.66
1877.6,191.37
1878.3,191.84
1879.0,192.04
1879.7,191.59
1880.4,191.72
1881.0,192.15
1881.7,191.67
1882.4,190.92
1883.1,190.85
1883.8,191.35
1884.5,190.88
1885.1,190.42
1885.8,190.73
1886.5,190.79
1887.2,190.41
1887.9,190.53
1888.6,190.21
1889.3,190.28
1890.0,190.43
1890.6,190.41
1891.3,190.7
1892.0,190.17
1892.7,189.75
1893.4,189.85
1894.1,189.79
1894.8,190.02
1895.5,190.0
1896.2,189.57
1896.9,188.94
1897.6,188.53
1898.3,188.28
1899.0,188.74
1899.6,189.15
1900.3,188.94
1901.0,188.31
1901.7,187.86
1902.4,187.67
1903.1,187.72
1903.8,187.94
1904.5,187.92
1905.2,187.91
1905.9,188.14
1906.6,188.07
1907.3,187.83
1908.0,187.46
1908.7,187.52
1909.4,187.48
1910.1,187.56
1910.8,187.47
1911.6,186.96
1912.3,186.53
1913.0,186.66
1913.7,186.78
1914.4,186.94
1915.1,186.98
1915.8,187.13
1916.5,186.89
1917.2,186.66
1917.9,186.43
1918.6,186.13
1919.3,186.17
1920.0,186.21
1920.8,186.37
1921.5,186.38
1922.2,185.96
1922.9,185.91
1923.6,185.91
1924.3,186.04
1925.0,185.97
1925.8,186.08
1926.5,186.02
1927.2,185.79
1927.9,185.94
1928.6,186.17
1929.3,185.87
1930.1,185.74
1930.8,185.45
1931.5,185.38
1932.2,185.47
1932.9,185.36
1933.7,185.53
1934.4,185.85
1935.1,185.88
1935.8,185.98
1936.5,185.66
1937.3,185.32
1938.0,185.22
1938.7,185.32
1939.4,185.55
1940.2,185.73
1940.9,185.61
1941.6,185.61
1942.4,185.62
1943.1,185.57
1943.8,185.73
1944.5,186.17
1945.3,186.03
1946.0,186.37
1946.7,186.25
1947.5,185.89
1948.2,185.52
1948.9,185.83
1949.7,185.65
1950.4,185.62
1951.1,185.73
1951.9,185.99
1952.6,185.85
1953.3,185.93
1954.1,185.87
1954.8,185.99
1955.5,185.87
1956.3,186.01
1957.0,186.24
1957.8,185.93
1958.5,185.56
1959.2,185.74
1960.0,185.9
1960.7,185.52
1961.5,185.5
1962.2,185.66
1962.9,185.94
1963.7,186.07
1964.4,185.91
1965.2,186.09
1965.9,186.17
1966.7,186.28
1967.4,185.97
1968.2,185.85
1968.9,185.93
1969.7,186.02
1970.4,185.91
1971.2,185.78
1971.9,185.98
1972.7,186.26
1973.4,186.29
1974.2,185.9
1974.9,185.7
1975.7,185.71
1976.4,186.08
1977.2,186.12
1977.9,186.07
1978.7,186.01
1979.4,185.77
1980.2,185.86
1980.9,185.98
1981.7,186.31
1982.5,186.2
1983.2,185.97
