Composition,
Date Added,2000-08-09
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,VER101
Maximum Wavelength,25920
Database of Origin,ReLab
Other Information,
References,
Resolution,9.0
Material Class,Mineral
Sample Description,Obtained from Smithsonian Institution (#C5284)  Dry-sieved. 
Sample ID,LAVE01
Original Sample ID,VE-EAC-001
Viewing Geometry,
Wavelength,Response
300.0,45.53
305.0,43.54
310.0,43.08
315.0,42.42
320.0,42.51
325.0,42.8
330.0,43.6
335.0,44.45
340.0,45.62
345.0,46.64
350.0,47.71
355.0,49.0
360.0,50.71
365.0,52.81
370.0,55.39
375.0,58.69
380.0,62.03
385.0,65.55
390.0,68.52
395.0,71.94
400.0,74.55
405.0,76.35
410.0,78.82
415.0,81.34
420.0,84.79
425.0,89.18
430.0,94.95
435.0,101.41
440.0,108.33
445.0,114.47
450.0,119.35
455.0,122.65
460.0,124.86
465.0,126.41
470.0,128.07
475.0,130.07
480.0,132.94
485.0,137.16
490.0,142.22
495.0,148.98
500.0,156.8
505.0,165.57
510.0,174.19
515.0,183.78
520.0,193.07
525.0,203.01
530.0,211.96
535.0,220.85
540.0,229.17
545.0,237.13
550.0,244.07
555.0,251.24
560.0,257.37
565.0,263.51
570.0,268.61
575.0,273.49
580.0,278.07
585.0,282.23
590.0,285.95
595.0,290.64
600.0,294.57
605.0,298.85
610.0,302.07
615.0,305.88
620.0,309.8
625.0,313.95
630.0,316.77
635.0,322.12
640.0,325.22
645.0,329.55
650.0,333.15
655.0,337.71
660.0,340.7
665.0,344.55
670.0,347.86
675.0,352.28
680.0,354.39
685.0,358.28
690.0,360.67
695.0,363.82
700.0,367.26
705.0,369.46
710.0,373.19
715.0,375.76
720.0,378.82
725.0,383.09
730.0,388.58
735.0,390.77
740.0,392.54
745.0,395.36
750.0,397.95
755.0,402.16
760.0,405.59
765.0,407.9
770.0,411.22
775.0,414.28
780.0,416.94
785.0,418.6
790.0,421.86
795.0,424.05
800.0,423.88
805.0,429.81
810.0,429.1
815.0,430.73
820.0,432.46
825.0,432.23
830.0,430.92
835.0,430.62
840.0,433.07
845.0,431.73
850.0,431.55
855.0,430.63
860.0,432.15
865.0,429.98
870.0,430.69
875.0,428.68
880.0,428.15
885.0,425.85
890.0,427.08
895.0,426.05
900.0,428.07
905.0,426.59
910.0,427.31
915.0,427.44
920.0,427.17
925.0,426.61
930.0,427.18
935.0,429.67
940.0,429.68
945.0,431.52
950.0,431.89
955.0,433.71
960.0,434.12
965.0,434.98
