Composition,
Date Added,1999-12-15
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,ZEO115
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,Smithsonian Inst NMNH #106928   
Sample ID,C1ZE15
Original Sample ID,ZE-EAC-015
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,662.48
305.0,663.51
310.0,668.72
315.0,673.75
320.0,678.4
325.0,682.58
330.0,687.72
335.0,690.31
340.0,694.16
345.0,695.03
350.0,702.6
355.0,702.35
360.0,705.16
365.0,706.53
370.0,709.73
375.0,716.11
380.0,715.71
385.0,718.94
390.0,722.71
395.0,726.99
400.0,728.58
405.0,732.14
410.0,734.44
415.0,737.45
420.0,740.98
425.0,745.29
430.0,748.15
435.0,752.29
440.0,754.65
445.0,758.53
450.0,761.87
455.0,766.04
460.0,766.56
465.0,769.41
470.0,771.38
475.0,774.41
480.0,776.13
485.0,778.89
490.0,779.76
495.0,781.63
500.0,784.15
505.0,785.86
510.0,786.97
515.0,790.44
520.0,789.36
525.0,792.81
530.0,793.78
535.0,796.47
540.0,797.35
545.0,800.08
550.0,800.2
555.0,802.31
560.0,802.7
565.0,804.54
570.0,804.49
575.0,806.37
580.0,806.02
585.0,806.72
590.0,806.6
595.0,807.11
600.0,806.42
605.0,807.19
610.0,806.64
615.0,807.17
620.0,806.75
625.0,806.74
630.0,806.43
635.0,806.54
640.0,806.18
645.0,806.06
650.0,805.79
655.0,805.47
660.0,805.3
665.0,805.02
670.0,805.53
675.0,804.64
680.0,805.0
685.0,804.88
690.0,805.19
695.0,805.05
700.0,804.87
705.0,804.36
710.0,804.65
715.0,804.66
720.0,804.07
725.0,803.11
730.0,803.39
735.0,803.05
740.0,802.8
745.0,803.02
750.0,802.16
755.0,802.2
760.0,801.69
765.0,802.49
770.0,802.92
775.0,801.13
780.0,802.56
785.0,801.1
790.0,801.3
795.0,802.09
800.0,802.38
805.0,800.44
810.0,801.32
815.0,801.74
820.0,801.33
825.0,802.48
830.0,800.27
835.0,801.09
840.0,802.12
845.0,801.4
850.0,799.61
855.0,801.94
860.0,802.17
865.0,799.76
