Composition,
Date Added,1999-12-17
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,1800
Sample Name,ZEO123
Maximum Wavelength,25921
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,Smithsonian Inst NMNH #122858   
Sample ID,MAZE23
Original Sample ID,ZE-EAC-023
Viewing Geometry,
Wavelength,Response
1800.0,271.87
1800.7,270.74
1801.3,270.42
1801.9,271.34
1802.6,271.81
1803.2,271.5
1803.8,270.93
1804.4,270.57
1805.1,272.28
1805.7,273.47
1806.3,271.79
1806.9,270.07
1807.6,269.54
1808.2,267.61
1808.8,269.45
1809.5,271.25
1810.1,269.93
1810.7,269.28
1811.4,269.53
1812.0,270.06
1812.6,271.0
1813.3,270.64
1813.9,268.77
1814.5,267.98
1815.2,268.13
1815.8,268.93
1816.4,269.64
1817.1,270.2
1817.7,269.16
1818.4,268.46
1819.0,269.18
1819.6,270.02
1820.3,269.31
1820.9,267.85
1821.6,268.55
1822.2,269.67
1822.8,270.39
1823.5,269.61
1824.1,269.27
1824.8,268.58
1825.4,267.41
1826.0,266.6
1826.7,267.67
1827.3,269.27
1828.0,268.9
1828.6,267.46
1829.3,267.65
1829.9,269.41
1830.6,269.11
1831.2,268.71
1831.8,268.93
1832.5,268.36
1833.1,268.52
1833.8,268.2
1834.4,267.77
1835.1,268.05
1835.7,267.64
1836.4,267.89
1837.0,268.52
1837.7,268.83
1838.3,268.11
1839.0,266.82
1839.7,267.05
1840.3,266.5
1841.0,265.25
1841.6,265.4
1842.3,266.87
1842.9,266.73
1843.6,266.87
1844.2,267.45
1844.9,266.33
1845.5,266.76
1846.2,266.5
1846.9,264.62
1847.5,264.24
1848.2,265.63
1848.8,265.82
1849.5,266.19
1850.2,266.27
1850.8,265.63
1851.5,264.87
1852.1,265.15
1852.8,265.78
1853.5,264.72
1854.1,264.41
1854.8,265.35
1855.5,265.15
1856.1,264.24
1856.8,264.75
1857.4,264.84
1858.1,264.6
1858.8,263.12
1859.4,261.73
1860.1,261.69
1860.8,262.77
1861.4,263.11
1862.1,262.29
1862.8,261.48
1863.5,260.85
1864.1,260.04
1864.8,259.81
1865.5,260.22
1866.1,260.78
1866.8,260.26
1867.5,259.55
1868.2,259.13
1868.8,258.65
1869.5,258.72
1870.2,258.46
1870.9,257.65
1871.5,257.42
1872.2,256.34
1872.9,254.67
1873.6,253.61
1874.2,253.68
1874.9,253.04
1875.6,252.18
1876.3,252.02
1876.9,250.49
1877.6,249.33
1878.3,249.17
1879.0,249.13
1879.7,247.8
1880.4,245.45
1881.0,244.66
1881.7,243.77
1882.4,242.26
1883.1,240.91
1883.8,240.01
1884.5,238.66
1885.1,236.32
1885.8,234.93
1886.5,233.25
1887.2,231.48
1887.9,229.72
1888.6,227.78
1889.3,224.93
1890.0,222.44
1890.6,221.24
1891.3,219.16
1892.0,216.84
1892.7,214.69
1893.4,212.96
1894.1,210.81
1894.8,207.24
1895.5,205.06
1896.2,202.51
1896.9,200.31
1897.6,198.62
1898.3,196.9
1899.0,194.77
1899.6,192.54
1900.3,190.37
1901.0,188.86
1901.7,187.91
1902.4,185.97
1903.1,185.55
1903.8,185.56
1904.5,184.61
1905.2,183.6
1905.9,183.31
1906.6,183.65
1907.3,183.24
1908.0,182.02
1908.7,182.17
1909.4,183.19
1910.1,182.67
1910.8,182.75
1911.6,183.28
1912.3,184.84
1913.0,186.03
1913.7,186.12
1914.4,185.96
1915.1,186.44
1915.8,188.11
1916.5,189.75
1917.2,190.22
1917.9,190.34
1918.6,191.08
1919.3,192.3
1920.0,193.83
1920.8,194.09
1921.5,193.96
1922.2,196.11
1922.9,198.03
1923.6,198.97
1924.3,199.52
1925.0,199.86
1925.8,200.47
1926.5,201.64
1927.2,202.88
1927.9,204.25
1928.6,204.55
1929.3,204.68
1930.1,206.12
1930.8,207.44
1931.5,208.61
1932.2,209.55
1932.9,210.17
1933.7,209.93
1934.4,210.42
1935.1,211.95
1935.8,212.67
1936.5,212.94
1937.3,213.53
1938.0,213.74
1938.7,214.63
1939.4,214.78
1940.2,214.22
1940.9,215.24
1941.6,216.4
1942.4,217.24
1943.1,216.88
1943.8,217.11
1944.5,217.65
1945.3,218.82
1946.0,219.54
1946.7,219.79
1947.5,219.67
1948.2,220.45
1948.9,220.61
1949.7,221.01
1950.4,221.64
1951.1,222.02
1951.9,222.18
1952.6,222.66
1953.3,223.02
1954.1,223.96
1954.8,224.36
1955.5,223.64
1956.3,223.87
1957.0,224.26
1957.8,224.21
1958.5,225.2
1959.2,226.47
1960.0,226.89
1960.7,226.93
1961.5,227.16
1962.2,227.33
1962.9,227.11
1963.7,227.46
1964.4,228.36
1965.2,228.8
1965.9,228.83
1966.7,229.16
1967.4,229.7
1968.2,230.01
1968.9,230.08
1969.7,230.86
1970.4,231.01
1971.2,230.72
1971.9,231.06
1972.7,232.03
1973.4,232.88
1974.2,232.54
1974.9,232.83
1975.7,233.73
1976.4,234.08
1977.2,233.99
1977.9,234.34
1978.7,234.62
1979.4,234.69
1980.2,235.46
1980.9,236.07
1981.7,236.32
1982.5,236.49
1983.2,236.38
1984.0,237.15
1984.7,237.56
1985.5,237.07
1986.3,237.57
1987.0,238.49
1987.8,238.49
1988.5,238.9
1989.3,239.32
1990.1,239.47
1990.8,239.51
1991.6,239.51
1992.4,239.72
1993.1,240.6
1993.9,240.98
1994.7,241.34
1995.4,241.69
1996.2,242.21
1997.0,242.45
1997.7,242.17
1998.5,241.48
1999.3,241.68
2000.1,243.04
2000.8,244.4
2001.6,243.88
2002.4,243.69
2003.1,244.25
2003.9,244.2
2004.7,244.17
2005.5,244.7
2006.2,245.44
2007.0,245.77
2007.8,245.18
2008.6,244.92
2009.4,246.04
2010.1,246.72
2010.9,246.71
2011.7,247.15
2012.5,247.15
2013.3,246.72
2014.0,246.28
2014.8,246.51
2015.6,246.43
2016.4,246.45
2017.2,247.53
2018.0,248.15
2018.7,248.41
2019.5,247.7
2020.3,247.14
2021.1,248.05
2021.9,248.92
2022.7,248.59
2023.5,248.61
2024.3,248.51
2025.1,247.81
2025.8,247.85
2026.6,248.52
2027.4,249.27
2028.2,248.93
2029.0,248.43
2029.8,248.69
2030.6,248.9
2031.4,248.7
2032.2,249.05
2033.0,249.42
2033.8,250.08
2034.6,250.78
2035.4,249.41
2036.2,248.29
2037.0,248.49
2037.8,249.11
2038.6,249.55
2039.4,249.55
2040.2,249.89
2041.0,249.81
2041.8,249.66
2042.6,250.05
2043.4,250.16
2044.2,249.96
2045.0,250.04
2045.8,250.21
2046.6,250.01
2047.4,249.33
2048.3,249.23
2049.1,249.17
2049.9,249.75
2050.7,250.39
2051.5,249.93
2052.3,249.48
2053.1,250.01
2053.9,250.51
2054.8,250.88
2055.6,250.95
2056.4,250.4
2057.2,249.94
2058.0,250.47
2058.8,250.29
2059.6,249.9
2060.5,249.9
2061.3,250.11
2062.1,250.06
2062.9,249.86
2063.7,249.75
2064.6,249.93
2065.4,249.64
2066.2,249.7
2067.0,249.94
2067.9,249.86
2068.7,249.79
2069.5,249.81
2070.3,249.82
2071.2,249.8
2072.0,249.61
2072.8,250.14
2073.7,250.56
2074.5,250.64
2075.3,250.47
2076.1,249.62
2077.0,249.63
2077.8,249.86
2078.6,249.54
2079.5,249.01
2080.3,248.94
2081.1,249.38
2082.0,249.88
2082.8,249.93
2083.7,249.76
2084.5,250.13
2085.3,250.37
2086.2,250.09
2087.0,249.64
2087.9,249.29
2088.7,249.42
2089.5,249.92
2090.4,250.12
2091.2,249.19
2092.1,249.04
2092.9,249.53
2093.8,249.41
2094.6,249.68
2095.4,249.92
2096.3,249.67
2097.1,249.34
2098.0,249.08
2098.8,248.91
2099.7,248.68
2100.5,249.01
2101.4,249.37
2102.2,249.26
2103.1,248.59
2104.0,248.47
2104.8,248.74
2105.7,248.68
2106.5,248.6
2107.4,248.42
2108.2,248.59
2109.1,248.93
2109.9,249.42
2110.8,249.54
2111.7,248.98
2112.5,248.53
2113.4,247.96
2114.2,247.8
2115.1,248.04
2116.0,248.22
2116.8,248.81
2117.7,248.92
2118.6,248.62
2119.4,248.12
2120.3,248.58
2121.2,248.87
2122.0,248.79
2122.9,248.39
2123.8,248.02
2124.6,247.46
2125.5,247.8
2126.4,247.99
2127.3,247.85
2128.1,248.11
2129.0,248.04
2129.9,247.65
2130.8,247.55
2131.6,247.99
2132.5,248.06
2133.4,247.85
2134.3,247.58
2135.1,247.57
2136.0,247.26
2136.9,247.32
2137.8,247.57
2138.7,247.98
2139.6,248.12
2140.4,247.45
2141.3,247.46
2142.2,247.72
2143.1,247.67
2144.0,247.65
2144.9,248.43
2145.8,248.44
2146.6,247.94
2147.5,247.07
2148.4,246.83
2149.3,247.35
2150.2,248.07
2151.1,248.01
2152.0,247.68
2152.9,247.08
2153.8,247.07
2154.7,247.4
2155.6,247.74
2156.5,247.54
2157.4,246.77
2158.3,246.64
