Composition,
Date Added,2001-09-26
Formula,
Grain Size Description,<45.0um
Grain Size,0.0 - 45.0
Locality,
Minimum Wavelength,300
Sample Name,ZIR102
Maximum Wavelength,2600
Database of Origin,ReLab
Other Information,
References,
Resolution,5.0
Material Class,Mineral
Sample Description,
Sample ID,CAZI02
Original Sample ID,ZI-EAC-002
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,159.69
305.0,162.47
310.0,167.27
315.0,174.41
320.0,182.84
325.0,192.28
330.0,201.65
335.0,211.27
340.0,219.7
345.0,228.2
350.0,235.94
355.0,243.78
360.0,251.06
365.0,258.43
370.0,265.14
375.0,272.12
380.0,278.19
385.0,285.11
390.0,291.22
395.0,297.53
400.0,305.56
405.0,310.32
410.0,315.37
415.0,319.99
420.0,324.7
425.0,330.65
430.0,336.58
435.0,343.76
440.0,350.93
445.0,357.98
450.0,364.21
455.0,370.4
460.0,375.44
465.0,380.74
470.0,385.01
475.0,388.76
480.0,392.32
485.0,396.74
490.0,401.95
495.0,405.97
500.0,410.29
505.0,413.23
510.0,416.92
515.0,420.7
520.0,425.86
525.0,430.7
530.0,435.65
535.0,440.22
540.0,445.87
545.0,452.89
550.0,460.23
555.0,467.83
560.0,475.42
565.0,484.48
570.0,492.81
575.0,500.76
580.0,508.66
585.0,515.63
590.0,522.05
595.0,531.34
600.0,539.17
605.0,545.67
610.0,551.41
615.0,555.95
620.0,561.38
625.0,567.35
630.0,571.82
635.0,576.03
640.0,579.27
645.0,580.62
650.0,577.38
655.0,575.84
660.0,588.52
665.0,599.67
670.0,608.05
675.0,612.35
680.0,616.18
685.0,617.81
690.0,618.54
695.0,626.59
700.0,631.67
705.0,634.29
710.0,637.26
715.0,639.61
720.0,641.27
725.0,643.98
730.0,644.93
735.0,647.43
740.0,648.29
745.0,650.02
750.0,651.4
755.0,652.97
760.0,653.93
765.0,654.79
770.0,656.55
775.0,657.34
780.0,658.93
785.0,658.87
790.0,660.17
795.0,659.7
800.0,660.44
805.0,660.53
810.0,661.24
815.0,661.79
820.0,662.27
825.0,661.63
830.0,662.36
835.0,661.9
840.0,662.94
845.0,662.12
850.0,662.76
855.0,662.77
860.0,663.11
865.0,663.86
870.0,665.48
875.0,664.74
880.0,664.27
885.0,663.86
890.0,664.33
895.0,663.59
900.0,662.94
905.0,664.72
910.0,664.92
915.0,666.76
920.0,667.9
925.0,669.34
930.0,669.32
935.0,669.13
940.0,667.7
945.0,669.06
950.0,669.69
955.0,669.99
960.0,672.21
965.0,672.73
970.0,672.72
975.0,673.87
980.0,674.68
985.0,674.31
990.0,675.96
995.0,675.33
1000.0,675.82
1005.0,676.13
1010.0,677.39
1015.0,677.43
1020.0,677.52
1025.0,676.0
1030.0,675.23
1035.0,674.29
1040.0,672.41
1045.0,670.93
1050.0,670.17
1055.0,668.91
1060.0,667.79
1065.0,668.56
1070.0,669.92
1075.0,670.56
1080.0,670.56
1085.0,669.4
1090.0,667.21
1095.0,664.79
1100.0,660.84
1105.0,657.69
1110.0,655.52
1115.0,654.76
1120.0,655.12
1125.0,658.37
1130.0,662.21
1135.0,665.38
1140.0,669.23
1145.0,671.99
1150.0,674.42
1155.0,677.15
1160.0,681.51
1165.0,683.59
1170.0,687.44
1175.0,691.01
1180.0,693.65
1185.0,695.48
1190.0,697.61
1195.0,697.97
1200.0,699.03
1205.0,699.9
1210.0,701.81
1215.0,701.83
1220.0,702.98
1225.0,702.62
1230.0,704.09
1235.0,704.02
1240.0,704.44
1245.0,704.19
1250.0,704.26
1255.0,704.17
1260.0,704.87
1265.0,704.69
1270.0,704.69
1275.0,703.86
1280.0,703.48
1285.0,703.16
1290.0,703.43
1295.0,703.45
1300.0,704.35
1305.0,704.43
1310.0,704.76
1315.0,704.74
1320.0,704.27
1325.0,704.5
1330.0,704.98
1335.0,704.81
1340.0,704.87
