Composition,
Date Added,2021-10-25
Formula,
Grain Size Description,<63.0um
Grain Size,38.0 - 63.0
Locality,
Minimum Wavelength,1428
Sample Name,Chihuahua labradorite 38-63 um wet-sieved
Maximum Wavelength,49859
Database of Origin,ReLab
Other Information,
References,
Resolution,4.0
Material Class,Mineral
Sample Description,
Sample ID,BIR2PL155N
Original Sample ID,PL-ECS-155-N
Viewing Geometry,
Wavelength,Response
1428.42,360.148
1428.82,360.579
1429.21,360.891
1429.6,360.986
1430.0,360.604
1430.39,360.27
1430.79,360.254
1431.18,360.003
1431.58,359.954
1431.97,359.868
1432.37,360.26
1432.77,360.509
1433.16,360.188
1433.56,361.066
1433.95,361.329
1434.35,360.59
1434.75,360.64
1435.14,361.194
1435.54,361.086
1435.94,361.207
1436.34,361.268
1436.74,361.618
1437.13,361.909
1437.53,361.532
1437.93,361.753
1438.33,361.932
1438.73,362.08
1439.13,361.685
1439.53,361.285
1439.93,361.957
1440.33,362.521
1440.73,362.975
1441.13,362.671
1441.53,362.485
1441.93,361.893
1442.33,361.952
1442.73,362.913
1443.13,362.963
1443.54,362.887
1443.94,363.013
1444.34,363.158
1444.74,363.243
1445.14,363.165
1445.55,363.101
1445.95,362.754
1446.35,362.876
1446.76,362.965
1447.16,362.942
1447.57,363.559
1447.97,363.65
1448.37,362.936
1448.78,363.242
1449.18,363.768
1449.59,363.742
1449.99,363.416
1450.4,363.478
1450.81,363.938
1451.21,364.293
1451.62,364.232
1452.03,363.937
1452.43,364.047
1452.84,364.346
1453.25,364.236
1453.65,363.919
1454.06,363.627
1454.47,363.734
1454.88,363.787
1455.29,364.423
1455.69,365.783
1456.1,365.61
1456.51,364.966
1456.92,364.687
1457.33,364.629
1457.74,364.543
1458.15,365.046
1458.56,365.394
1458.97,365.343
1459.38,365.235
1459.79,365.111
1460.2,364.992
1460.62,365.198
1461.03,365.138
1461.44,364.803
1461.85,364.916
1462.26,365.745
1462.68,365.978
1463.09,365.429
1463.5,365.201
1463.91,365.491
1464.33,365.872
1464.74,366.347
1465.16,366.398
1465.57,366.051
1465.98,365.787
1466.4,366.065
1466.81,366.099
1467.23,365.554
1467.64,365.74
1468.06,365.977
1468.48,365.946
1468.89,366.437
1469.31,366.75
1469.72,366.826
1470.14,366.914
1470.56,367.062
1470.97,366.872
1471.39,366.65
1471.81,367.069
1472.23,367.601
1472.65,366.98
1473.06,366.38
1473.48,366.411
1473.9,366.951
1474.32,367.179
1474.74,367.161
1475.16,367.13
1475.58,367.323
1476.0,367.532
1476.42,367.335
1476.84,367.375
1477.26,367.548
1477.68,367.955
1478.1,368.385
1478.53,368.592
1478.95,368.42
1479.37,367.805
1479.79,367.771
1480.21,367.659
1480.64,368.019
1481.06,368.126
1481.48,367.794
1481.91,368.427
1482.33,368.828
1482.75,368.663
1483.18,368.801
1483.6,368.863
1484.03,368.691
1484.45,368.756
1484.88,368.682
1485.3,368.386
1485.73,368.957
1486.15,369.627
1486.58,369.265
1487.01,368.354
1487.43,368.388
1487.86,369.426
1488.29,369.752
1488.71,369.718
1489.14,370.043
1489.57,369.926
1490.0,369.566
1490.43,369.644
1490.85,369.911
1491.28,369.949
1491.71,370.293
1492.14,370.822
1492.57,370.972
1493.0,370.118
1493.43,369.908
1493.86,370.495
1494.29,370.609
1494.72,370.452
1495.15,370.346
1495.59,370.616
1496.02,370.723
1496.45,370.866
1496.88,370.523
1497.31,370.447
1497.75,371.097
1498.18,371.314
1498.61,371.329
1499.04,371.492
1499.48,371.379
1499.91,370.967
1500.35,370.757
1500.78,370.99
1501.21,371.336
1501.65,371.382
1502.08,371.797
1502.52,372.205
1502.95,371.522
1503.39,370.923
1503.83,370.999
1504.26,370.7
1504.7,370.955
1505.14,371.476
1505.57,372.162
1506.01,371.903
1506.45,371.525
1506.89,371.943
1507.32,372.24
1507.76,371.823
1508.2,371.726
1508.64,372.109
1509.08,372.366
1509.52,372.836
1509.96,373.02
1510.4,373.076
1510.84,372.981
1511.28,372.227
1511.72,372.304
1512.16,372.975
1512.6,373.252
1513.04,373.258
1513.48,372.893
1513.93,372.664
1514.37,372.914
1514.81,373.084
1515.25,373.293
1515.7,373.63
1516.14,373.448
1516.58,373.784
1517.03,373.75
1517.47,373.372
1517.92,373.788
1518.36,373.608
1518.8,373.906
1519.25,374.388
1519.69,373.884
1520.14,373.346
1520.59,373.45
1521.03,373.669
1521.48,373.833
1521.93,374.136
1522.37,374.482
1522.82,374.607
1523.27,374.689
1523.71,374.266
1524.16,374.4
1524.61,374.603
1525.06,374.838
1525.51,375.167
1525.96,375.396
1526.41,375.292
1526.86,375.077
1527.31,375.027
1527.76,374.811
1528.21,374.769
1528.66,375.134
1529.11,375.161
1529.56,374.492
1530.01,374.546
1530.46,374.784
1530.91,374.607
1531.36,374.887
1531.82,375.325
1532.27,375.667
1532.72,375.507
1533.18,375.161
1533.63,375.003
1534.08,375.356
1534.54,375.731
1534.99,375.563
1535.45,375.455
1535.9,375.577
1536.36,375.838
1536.81,376.143
1537.27,375.808
1537.72,375.462
1538.18,375.647
1538.64,376.38
1539.09,376.663
1539.55,376.371
1540.01,376.249
1540.46,376.456
1540.92,376.332
1541.38,376.492
1541.84,376.617
1542.3,376.258
1542.76,376.317
1543.22,376.593
1543.68,376.377
1544.13,376.504
1544.6,376.686
1545.06,376.752
1545.52,377.039
1545.98,377.551
1546.44,376.966
1546.9,376.837
1547.36,376.891
1547.82,377.063
1548.29,377.381
1548.75,377.252
1549.21,377.055
1549.67,377.009
1550.14,376.851
1550.6,377.432
1551.06,377.771
1551.53,377.193
1551.99,376.944
1552.46,377.49
1552.92,377.629
1553.39,377.637
1553.85,377.604
1554.32,377.607
1554.78,377.863
1555.25,377.709
1555.72,377.614
1556.19,377.804
1556.65,377.462
1557.12,377.448
1557.59,377.846
1558.06,378.005
1558.52,377.822
1558.99,377.828
1559.46,377.947
1559.93,378.148
1560.4,378.107
1560.87,378.132
1561.34,378.202
1561.81,378.292
1562.28,378.175
1562.75,378.481
1563.22,378.947
1563.69,378.677
1564.17,378.357
1564.64,378.621
1565.11,378.606
1565.58,378.803
1566.06,378.856
1566.53,378.694
1567.0,378.992
1567.48,379.201
1567.95,378.774
1568.42,378.603
1568.9,378.637
1569.37,378.742
1569.85,378.865
1570.32,378.812
1570.8,378.929
1571.28,379.33
1571.75,379.578
1572.23,379.563
1572.71,379.13
1573.18,379.026
1573.66,378.931
1574.14,379.033
1574.62,379.359
1575.1,379.394
1575.57,379.411
1576.05,379.417
1576.53,379.102
1577.01,379.122
1577.49,379.451
1577.97,379.794
1578.45,380.034
1578.93,380.043
1579.41,379.942
1579.89,379.812
1580.38,379.441
1580.86,379.411
1581.34,379.662
1581.82,379.506
1582.31,379.65
1582.79,380.132
1583.27,380.231
1583.76,380.2
1584.24,380.326
1584.72,380.459
1585.21,380.188
1585.69,380.298
1586.18,380.51
1586.66,380.496
1587.15,380.184
1587.64,380.12
1588.12,380.098
1588.61,380.394
1589.1,380.904
1589.58,381.315
1590.07,381.259
1590.56,381.132
1591.05,381.029
1591.53,380.747
1592.02,380.48
1592.51,380.918
1593.0,381.176
1593.49,380.939
1593.98,381.011
1594.47,381.537
1594.96,381.54
1595.45,381.572
1595.94,381.456
1596.43,381.178
1596.93,381.101
1597.42,381.307
1597.91,381.585
1598.4,381.833
1598.9,381.536
1599.39,381.432
1599.88,381.628
1600.38,381.792
1600.87,381.79
1601.37,381.728
1601.86,381.772
1602.35,382.167
1602.85,382.132
1603.35,381.856
1603.84,381.711
1604.34,381.975
1604.83,382.201
1605.33,382.295
1605.83,382.219
1606.33,382.408
1606.82,382.478
1607.32,382.311
1607.82,382.229
1608.32,382.15
1608.82,382.054
1609.32,382.211
1609.82,382.314
1610.32,382.526
1610.82,382.621
1611.32,382.6
1611.82,382.426
1612.32,382.471
1612.82,382.335
1613.32,382.402
1613.83,382.72
1614.33,382.828
1614.83,382.732
1615.33,382.765
1615.84,382.774
1616.34,382.802
1616.85,382.807
1617.35,382.56
1617.85,382.45
1618.36,383.069
1618.86,383.191
1619.37,382.89
1619.88,382.843
1620.38,383.125
1620.89,382.755
1621.4,382.501
1621.9,382.502
1622.41,382.704
1622.92,382.95
1623.43,382.892
1623.94,382.915
1624.44,383.377
1624.95,383.309
1625.46,383.222
1625.97,382.993
1626.48,382.923
1626.99,383.076
1627.5,383.351
1628.01,383.551
1628.53,383.697
1629.04,383.798
1629.55,383.717
1630.06,383.595
1630.57,383.801
1631.09,383.954
1631.6,383.717
1632.11,383.501
1632.63,383.968
1633.14,384.109
1633.66,383.908
1634.17,383.766
1634.69,383.808
1635.2,383.899
1635.72,383.657
1636.24,383.646
1636.75,383.855
1637.27,383.788
1637.79,384.059
1638.3,384.243
1638.82,384.44
1639.34,384.358
1639.86,384.386
1640.38,384.639
1640.9,384.598
1641.41,384.431
1641.93,384.391
1642.45,384.334
1642.98,384.466
1643.5,384.478
1644.02,384.567
1644.54,384.566
1645.06,384.469
1645.58,384.602
1646.11,384.794
1646.63,384.561
1647.15,384.537
1647.67,384.522
1648.2,384.53
1648.72,384.543
1649.25,384.683
1649.77,384.769
1650.3,384.907
1650.82,384.77
1651.35,384.667
1651.87,384.833
1652.4,384.946
1652.93,384.958
1653.45,385.169
1653.98,385.34
1654.51,385.235
1655.04,385.066
1655.57,385.194
1656.1,385.264
1656.62,385.273
1657.15,385.041
1657.68,385.066
1658.21,385.218
1658.74,385.519
1659.28,385.462
1659.81,385.349
1660.34,385.318
1660.87,385.551
1661.4,385.528
1661.93,385.432
1662.47,385.348
1663.0,385.594
1663.53,385.694
