Composition,
Date Added,2017-04-25
Formula,
Grain Size Description,<106.0um
Grain Size,63.0 - 106.0
Locality,
Minimum Wavelength,320
Sample Name,Crystal Bay bytownite 63-106 um wet-sieved
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Mineral
Sample Description,
Sample ID,KDPL154O2
Original Sample ID,PL-ECS-154-O
Viewing Geometry,40.0° / 0.0°
Wavelength,Response
320.0,284.29
330.0,383.92
340.0,453.29
350.0,489.71
360.0,515.5
370.0,530.21
380.0,529.59
390.0,541.57
400.0,565.7
410.0,577.98
420.0,578.59
430.0,588.61
440.0,598.09
450.0,603.01
460.0,613.66
470.0,623.62
480.0,629.88
490.0,634.96
500.0,640.28
510.0,646.73
520.0,653.21
530.0,658.76
540.0,665.76
550.0,672.79
560.0,680.87
570.0,690.09
580.0,698.86
590.0,706.0
600.0,713.2
610.0,717.92
620.0,722.36
630.0,725.64
640.0,728.19
650.0,731.64
660.0,733.49
670.0,737.21
680.0,739.98
690.0,743.88
700.0,746.35
710.0,748.91
720.0,751.28
730.0,753.84
740.0,755.96
750.0,757.3
760.0,759.03
770.0,760.86
780.0,761.76
790.0,762.73
800.0,762.9
810.0,760.72
820.0,759.76
830.0,757.7
840.0,756.59
850.0,755.62
860.0,753.04
870.0,751.52
880.0,748.11
890.0,750.74
900.0,749.28
910.0,749.6
920.0,749.04
930.0,747.76
940.0,746.16
950.0,745.51
960.0,744.9
970.0,744.04
980.0,743.5
990.0,740.43
1000.0,738.31
1010.0,735.92
1020.0,732.45
1030.0,728.5
1040.0,723.62
1050.0,719.23
1060.0,715.32
1070.0,710.09
1080.0,705.73
1090.0,701.21
1100.0,696.14
1110.0,691.26
1120.0,687.4
1130.0,682.62
1140.0,678.21
1150.0,674.64
1160.0,669.94
1170.0,666.75
1180.0,663.62
1190.0,660.76
1200.0,658.67
1210.0,656.95
1220.0,654.98
1230.0,652.36
1240.0,652.98
1250.0,651.6
1260.0,650.32
1270.0,650.43
1280.0,650.37
1290.0,650.3
1300.0,651.57
1310.0,652.93
1320.0,653.67
1330.0,654.15
1340.0,656.74
1350.0,660.9
1360.0,666.17
1370.0,665.19
1380.0,669.16
1390.0,665.73
1400.0,665.74
1410.0,664.36
1420.0,664.43
1430.0,665.92
1440.0,666.59
1450.0,668.38
1460.0,671.88
1470.0,677.21
1480.0,680.11
1490.0,685.05
1500.0,688.58
1510.0,693.55
1520.0,697.57
1530.0,700.37
1540.0,703.67
1550.0,706.7
1560.0,709.61
1570.0,710.79
1580.0,713.95
1590.0,715.62
1600.0,717.53
1610.0,719.85
1620.0,722.1
1630.0,724.81
1640.0,725.08
1650.0,726.7
1660.0,728.79
1670.0,730.63
1680.0,733.51
1690.0,734.73
1700.0,735.59
1710.0,737.15
1720.0,738.93
1730.0,738.58
1740.0,738.51
1750.0,738.83
1760.0,739.82
1770.0,741.32
1780.0,742.19
1790.0,743.35
1800.0,745.26
1810.0,745.71
1820.0,745.37
1830.0,746.95
1840.0,746.6
1850.0,745.0
1860.0,743.88
1870.0,738.99
1880.0,730.66
1890.0,713.96
1900.0,682.56
1910.0,655.53
1920.0,632.3
1930.0,611.9
1940.0,600.73
1950.0,604.94
1960.0,613.9
1970.0,621.77
1980.0,630.32
1990.0,643.51
2000.0,657.01
2010.0,673.05
2020.0,685.49
2030.0,695.07
2040.0,702.3
2050.0,710.0
2060.0,715.65
2070.0,723.35
2080.0,729.96
2090.0,733.66
2100.0,743.22
2110.0,749.31
2120.0,756.59
2130.0,761.58
2140.0,764.24
2150.0,764.73
2160.0,761.75
2170.0,758.52
2180.0,755.78
2190.0,756.03
2200.0,756.77
2210.0,754.77
2220.0,756.67
2230.0,758.8
2240.0,760.97
2250.0,762.7
2260.0,764.21
2270.0,766.1
2280.0,766.0
2290.0,764.57
2300.0,765.04
2310.0,763.97
2320.0,761.49
2330.0,761.32
2340.0,760.13
2350.0,756.15
2360.0,751.9
2370.0,746.22
2380.0,736.1
2390.0,725.66
2400.0,712.08
2410.0,699.08
2420.0,688.23
2430.0,681.98
2440.0,676.42
2450.0,671.77
2460.0,666.74
2470.0,662.07
2480.0,661.76
2490.0,661.23
2500.0,663.14
2510.0,666.77
2520.0,668.92
2530.0,678.18
2540.0,684.98
2550.0,688.57
