Composition,
Date Added,2017-04-25
Formula,
Grain Size Description,<106.0um
Grain Size,63.0 - 106.0
Locality,
Minimum Wavelength,320
Sample Name,Crystal Bay bytownite 63-106 um wet-sieved
Maximum Wavelength,2550
Database of Origin,ReLab
Other Information,
References,
Resolution,10.0
Material Class,Mineral
Sample Description,
Sample ID,KEPL154O2
Original Sample ID,PL-ECS-154-O
Viewing Geometry,50.0° / 0.0°
Wavelength,Response
320.0,292.45
330.0,390.55
340.0,460.83
350.0,498.18
360.0,523.28
370.0,536.14
380.0,536.48
390.0,547.46
400.0,574.39
410.0,584.32
420.0,586.17
430.0,595.44
440.0,604.62
450.0,609.57
460.0,622.23
470.0,630.74
480.0,636.9
490.0,642.26
500.0,647.96
510.0,652.97
520.0,659.62
530.0,664.85
540.0,671.11
550.0,677.7
560.0,686.41
570.0,695.01
580.0,703.73
590.0,711.77
600.0,717.87
610.0,723.03
620.0,726.7
630.0,730.24
640.0,733.14
650.0,735.11
660.0,738.58
670.0,742.49
680.0,745.62
690.0,749.39
700.0,751.46
710.0,754.11
720.0,755.88
730.0,757.97
740.0,759.97
750.0,762.78
760.0,764.92
770.0,764.99
780.0,766.44
790.0,765.49
800.0,764.98
810.0,764.73
820.0,763.89
830.0,764.85
840.0,763.05
850.0,760.92
860.0,758.91
870.0,756.9
880.0,755.34
890.0,754.87
900.0,753.95
910.0,752.74
920.0,751.8
930.0,750.73
940.0,750.02
950.0,748.61
960.0,748.21
970.0,746.14
980.0,742.88
990.0,742.32
1000.0,739.9
1010.0,737.19
1020.0,732.25
1030.0,729.81
1040.0,725.7
1050.0,720.57
1060.0,717.07
1070.0,711.26
1080.0,706.83
1090.0,702.67
1100.0,697.73
1110.0,693.57
1120.0,689.16
1130.0,684.43
1140.0,680.59
1150.0,676.09
1160.0,672.35
1170.0,669.83
1180.0,666.15
1190.0,663.66
1200.0,660.82
1210.0,660.37
1220.0,657.65
1230.0,656.2
1240.0,654.47
1250.0,655.59
1260.0,653.21
1270.0,654.57
1280.0,654.2
1290.0,654.39
1300.0,654.84
1310.0,654.89
1320.0,657.41
1330.0,657.94
1340.0,659.68
1350.0,663.16
1360.0,666.37
1370.0,666.9
1380.0,670.57
1390.0,668.54
1400.0,668.33
1410.0,666.17
1420.0,666.86
1430.0,668.36
1440.0,669.41
1450.0,672.14
1460.0,675.11
1470.0,680.13
1480.0,682.76
1490.0,687.34
1500.0,691.15
1510.0,696.22
1520.0,700.2
1530.0,703.18
1540.0,705.99
1550.0,709.13
1560.0,711.25
1570.0,713.09
1580.0,714.99
1590.0,717.4
1600.0,719.28
1610.0,722.53
1620.0,723.41
1630.0,725.02
1640.0,727.56
1650.0,728.84
1660.0,731.38
1670.0,733.24
1680.0,733.63
1690.0,735.85
1700.0,737.78
1710.0,740.3
1720.0,741.44
1730.0,740.52
1740.0,741.1
1750.0,741.71
1760.0,741.37
1770.0,742.56
1780.0,745.33
1790.0,746.03
1800.0,747.82
1810.0,748.41
1820.0,747.53
1830.0,749.27
1840.0,747.36
1850.0,748.16
1860.0,746.87
1870.0,740.47
1880.0,733.74
1890.0,716.39
1900.0,685.93
1910.0,659.8
1920.0,636.75
1930.0,617.07
1940.0,603.61
1950.0,610.8
1960.0,618.36
1970.0,626.8
1980.0,636.26
1990.0,648.79
2000.0,662.0
2010.0,676.94
2020.0,689.24
2030.0,699.08
2040.0,706.74
2050.0,712.85
2060.0,719.78
2070.0,727.66
2080.0,732.92
2090.0,740.36
2100.0,747.06
2110.0,754.01
2120.0,759.66
2130.0,764.15
2140.0,768.94
2150.0,767.36
2160.0,763.99
2170.0,759.8
2180.0,759.85
2190.0,758.35
2200.0,757.89
2210.0,755.37
2220.0,757.44
2230.0,759.89
2240.0,760.8
2250.0,763.33
2260.0,764.58
2270.0,766.55
2280.0,768.55
2290.0,764.05
2300.0,764.97
2310.0,762.32
2320.0,760.32
2330.0,759.22
2340.0,755.32
2350.0,753.39
2360.0,751.63
2370.0,747.56
2380.0,738.07
2390.0,726.22
2400.0,713.02
2410.0,701.41
2420.0,691.65
2430.0,684.3
2440.0,678.71
2450.0,673.11
2460.0,669.06
2470.0,663.8
2480.0,662.84
2490.0,660.34
2500.0,663.65
2510.0,666.45
2520.0,670.62
2530.0,679.68
2540.0,684.5
2550.0,681.28
