Composition,
Date Added,2015-04-20
Formula,
Grain Size Description,<100.0um
Grain Size,(0.0 - 100.0)
Locality,"Rio Tinto Mining District, SW Spain"
Minimum Wavelength,320
Sample Name,EV25
Maximum Wavelength,99719
Database of Origin,RELAB
Other Information,Mica Quartz Plagioclase
References,
Resolution,4.0
Material class,Rock
Sample Description,Acid alteration of rocks
Sample ID,BKR1EV025
Original Sample ID,EV-C1M-025
Viewing Geometry,Unknown
Wavelength,Response
320.0,0.41887
322.0,0.42297
324.0,0.42638
326.0,0.42834
328.0,0.43291
330.0,0.43394
332.0,0.43812
334.0,0.4407
336.0,0.44385
338.0,0.44592
340.0,0.44943
342.0,0.45247
344.0,0.45444
346.0,0.45587
348.0,0.45959
350.0,0.46206
352.0,0.46564
354.0,0.46842
356.0,0.47312
358.0,0.47723
360.0,0.48159
362.0,0.48558
364.0,0.49194
366.0,0.49521
368.0,0.50124
370.0,0.50629
372.0,0.5117
374.0,0.51665
376.0,0.52143
378.0,0.52758
380.0,0.53204
382.0,0.53785
384.0,0.54273
386.0,0.54714
388.0,0.55156
390.0,0.55618
392.0,0.56289
394.0,0.56641
396.0,0.57206
398.0,0.57473
400.0,0.58034
402.0,0.58311
404.0,0.5879
406.0,0.59238
408.0,0.59569
410.0,0.59792
412.0,0.60196
414.0,0.60455
416.0,0.60926
418.0,0.61209
420.0,0.61549
422.0,0.61831
424.0,0.62176
426.0,0.62545
428.0,0.62821
430.0,0.63152
432.0,0.63589
434.0,0.63668
436.0,0.64085
438.0,0.64161
440.0,0.64539
442.0,0.64678
444.0,0.64982
446.0,0.65122
448.0,0.65538
450.0,0.65603
452.0,0.65879
454.0,0.66076
456.0,0.66214
458.0,0.66403
460.0,0.66508
462.0,0.66701
464.0,0.66831
466.0,0.66853
468.0,0.67151
470.0,0.67272
472.0,0.67283
474.0,0.67395
476.0,0.67567
478.0,0.67688
480.0,0.6785
482.0,0.67964
484.0,0.67972
486.0,0.68013
488.0,0.6837
490.0,0.68313
492.0,0.68471
494.0,0.68585
496.0,0.687
498.0,0.68637
500.0,0.68772
502.0,0.68863
504.0,0.6892
506.0,0.68991
508.0,0.6904
510.0,0.69073
512.0,0.69236
514.0,0.69247
516.0,0.69396
518.0,0.69356
520.0,0.69522
522.0,0.69502
524.0,0.69588
526.0,0.69632
528.0,0.69639
530.0,0.69812
532.0,0.69854
534.0,0.69889
536.0,0.69918
538.0,0.69934
540.0,0.69964
542.0,0.70103
544.0,0.70169
546.0,0.70009
548.0,0.7015
550.0,0.70267
552.0,0.70252
554.0,0.70217
556.0,0.70259
558.0,0.70323
560.0,0.70338
562.0,0.70397
564.0,0.70429
566.0,0.70353
568.0,0.70567
570.0,0.70498
572.0,0.70422
574.0,0.70503
576.0,0.70494
578.0,0.70608
580.0,0.70577
582.0,0.70594
584.0,0.70689
586.0,0.70647
588.0,0.70691
590.0,0.70706
592.0,0.70739
594.0,0.708
596.0,0.70905
598.0,0.70812
600.0,0.70907
602.0,0.70885
604.0,0.7082
606.0,0.70966
608.0,0.70943
610.0,0.70894
612.0,0.71022
614.0,0.70921
616.0,0.71111
618.0,0.71075
620.0,0.71078
622.0,0.71171
624.0,0.71113
626.0,0.71176
628.0,0.7123
630.0,0.71246
632.0,0.71294
634.0,0.71437
636.0,0.71286
638.0,0.71386
640.0,0.71395
642.0,0.71464
644.0,0.71471
646.0,0.71485
648.0,0.71505
650.0,0.71624
652.0,0.71614
654.0,0.71608
